source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
30	pyricularia oryzae	Mycelium	not applicable	not available	enrichment of phosphorylated protein	1	30	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	6 ppm	20 ppm	1	1	30.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD001389/30.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Mycelium
04	pyricularia oryzae	Mycelium	not applicable	not available	enrichment of phosphorylated protein	1	04	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	6 ppm	20 ppm	1	1	04.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD001389/04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Mycelium
30_rep2	pyricularia oryzae	Mycelium	not applicable	not available	enrichment of phosphorylated protein	1	30_rep2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	6 ppm	20 ppm	1	1	30_rep2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD001389/30_rep2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Mycelium
21	pyricularia oryzae	Mycelium	not applicable	not available	enrichment of phosphorylated protein	1	21	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	6 ppm	20 ppm	1	1	21.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD001389/21.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Mycelium
06	pyricularia oryzae	Mycelium	not applicable	not available	enrichment of phosphorylated protein	1	06	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	6 ppm	20 ppm	1	1	06.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD001389/06.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Mycelium
32	pyricularia oryzae	Mycelium	not applicable	not available	enrichment of phosphorylated protein	1	32	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	6 ppm	20 ppm	1	1	32.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD001389/32.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Mycelium
28	pyricularia oryzae	Mycelium	not applicable	not available	enrichment of phosphorylated protein	1	28	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	6 ppm	20 ppm	1	1	28.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD001389/28.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Mycelium
36	pyricularia oryzae	Mycelium	not applicable	not available	enrichment of phosphorylated protein	1	36	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	6 ppm	20 ppm	1	1	36.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD001389/36.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Mycelium
03	pyricularia oryzae	Mycelium	not applicable	not available	enrichment of phosphorylated protein	1	03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	6 ppm	20 ppm	1	1	03.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD001389/03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Mycelium
11_rep2	pyricularia oryzae	Mycelium	not applicable	not available	enrichment of phosphorylated protein	1	11_rep2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	6 ppm	20 ppm	1	1	11_rep2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD001389/11_rep2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Mycelium
35	pyricularia oryzae	Mycelium	not applicable	not available	enrichment of phosphorylated protein	1	35	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	6 ppm	20 ppm	1	1	35.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD001389/35.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Mycelium
20	pyricularia oryzae	Mycelium	not applicable	not available	enrichment of phosphorylated protein	1	20	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	6 ppm	20 ppm	1	1	20.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD001389/20.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Mycelium
18	pyricularia oryzae	Mycelium	not applicable	not available	enrichment of phosphorylated protein	1	18	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	6 ppm	20 ppm	1	1	18.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD001389/18.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Mycelium
31	pyricularia oryzae	Mycelium	not applicable	not available	enrichment of phosphorylated protein	1	31	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	6 ppm	20 ppm	1	1	31.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD001389/31.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Mycelium
16	pyricularia oryzae	Mycelium	not applicable	not available	enrichment of phosphorylated protein	1	16	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	6 ppm	20 ppm	1	1	16.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD001389/16.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Mycelium
27	pyricularia oryzae	Mycelium	not applicable	not available	enrichment of phosphorylated protein	1	27	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	6 ppm	20 ppm	1	1	27.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD001389/27.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Mycelium
04_rep2	pyricularia oryzae	Mycelium	not applicable	not available	enrichment of phosphorylated protein	1	04_rep2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	6 ppm	20 ppm	1	1	04_rep2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD001389/04_rep2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Mycelium
14	pyricularia oryzae	Mycelium	not applicable	not available	enrichment of phosphorylated protein	1	14	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	6 ppm	20 ppm	1	1	14.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD001389/14.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Mycelium
11	pyricularia oryzae	Mycelium	not applicable	not available	enrichment of phosphorylated protein	1	11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	6 ppm	20 ppm	1	1	11.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD001389/11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Mycelium
