source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[environmental sample type]	characteristics[environmental medium]	characteristics[geographic location]	characteristics[project name]	characteristics[microbiome source]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[sdrf template]	comment[sdrf template]	factor value[biological replicate]
Globicatella_sanguinis_4	Globicatella_sanguinis_4	Globicatella sanguinis	not applicable	not applicable	not applicable	biofilm	biofilm	United States of America	urethral_catheter_biofilm_proteomics	urethral catheter biofilm	1	Proteomic_analysis_of_Aerococcus_and_Globicatella_spp._colonizing_polymicrobial_urethral_catheter_biofilms	proteomic profiling by mass spectrometry	1	1DLC052414_UCB_UP_30_rep2.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=ltq;AC=MS:1000447	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	1
Escherichia_coli_4	Escherichia_coli_4	Escherichia coli	not applicable	not applicable	not applicable	biofilm	biofilm	United States of America	urethral_catheter_biofilm_proteomics	urethral catheter biofilm	1	Proteomic_analysis_of_Aerococcus_and_Globicatella_spp._colonizing_polymicrobial_urethral_catheter_biofilms	proteomic profiling by mass spectrometry	1	1DLC052414_UCB_UP_30_rep1.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=ltq;AC=MS:1000447	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	1
Aerococcus_urinae_5	Aerococcus_urinae_5	Aerococcus urinae	not applicable	not applicable	not applicable	biofilm	biofilm	United States of America	urethral_catheter_biofilm_proteomics	urethral catheter biofilm	1	Proteomic_analysis_of_Aerococcus_and_Globicatella_spp._colonizing_polymicrobial_urethral_catheter_biofilms	proteomic profiling by mass spectrometry	1	1DLC050614_UCB_UP_27_rep2.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=ltq;AC=MS:1000447	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	1
Globicatella_sanguinis_5	Globicatella_sanguinis_5	Globicatella sanguinis	not applicable	not applicable	not applicable	biofilm	biofilm	United States of America	urethral_catheter_biofilm_proteomics	urethral catheter biofilm	1	Proteomic_analysis_of_Aerococcus_and_Globicatella_spp._colonizing_polymicrobial_urethral_catheter_biofilms	proteomic profiling by mass spectrometry	1	1DLC052214_UCB_CB_37_II_rep1.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=ltq;AC=MS:1000447	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	1
Escherichia_coli_5	Escherichia_coli_5	Escherichia coli	not applicable	not applicable	not applicable	biofilm	biofilm	United States of America	urethral_catheter_biofilm_proteomics	urethral catheter biofilm	1	Proteomic_analysis_of_Aerococcus_and_Globicatella_spp._colonizing_polymicrobial_urethral_catheter_biofilms	proteomic profiling by mass spectrometry	1	1DLC041714_UCB_63_rep2.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=ltq;AC=MS:1000447	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	1
Aerococcus_urinae_6	Aerococcus_urinae_6	Aerococcus urinae	not applicable	not applicable	not applicable	biofilm	biofilm	United States of America	urethral_catheter_biofilm_proteomics	urethral catheter biofilm	1	Proteomic_analysis_of_Aerococcus_and_Globicatella_spp._colonizing_polymicrobial_urethral_catheter_biofilms	proteomic profiling by mass spectrometry	1	1DLC052714_UCB_UP_51_rep2.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=ltq;AC=MS:1000447	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	1
Globicatella_sanguinis_6	Globicatella_sanguinis_6	Globicatella sanguinis	not applicable	not applicable	not applicable	biofilm	biofilm	United States of America	urethral_catheter_biofilm_proteomics	urethral catheter biofilm	1	Proteomic_analysis_of_Aerococcus_and_Globicatella_spp._colonizing_polymicrobial_urethral_catheter_biofilms	proteomic profiling by mass spectrometry	1	1DLC050614_UCB_UP_27_rep1.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=ltq;AC=MS:1000447	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	1
Escherichia_coli_6	Escherichia_coli_6	Escherichia coli	not applicable	not applicable	not applicable	biofilm	biofilm	United States of America	urethral_catheter_biofilm_proteomics	urethral catheter biofilm	1	Proteomic_analysis_of_Aerococcus_and_Globicatella_spp._colonizing_polymicrobial_urethral_catheter_biofilms	proteomic profiling by mass spectrometry	1	1DLC140228QE_UCB_50_S2_rep1.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=q exactive;AC=MS:1001911	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	1
Aerococcus_urinae_7	Aerococcus_urinae_7	Aerococcus urinae	not applicable	not applicable	not applicable	biofilm	biofilm	United States of America	urethral_catheter_biofilm_proteomics	urethral catheter biofilm	1	Proteomic_analysis_of_Aerococcus_and_Globicatella_spp._colonizing_polymicrobial_urethral_catheter_biofilms	proteomic profiling by mass spectrometry	1	1DLC052214_UCB_CB_37_II_rep3.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=ltq;AC=MS:1000447	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	1
Globicatella_sanguinis_7	Globicatella_sanguinis_7	Globicatella sanguinis	not applicable	not applicable	not applicable	biofilm	biofilm	United States of America	urethral_catheter_biofilm_proteomics	urethral catheter biofilm	1	Proteomic_analysis_of_Aerococcus_and_Globicatella_spp._colonizing_polymicrobial_urethral_catheter_biofilms	proteomic profiling by mass spectrometry	1	1DLC052414_UCB_UP_29_rep2.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=ltq;AC=MS:1000447	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	1
Escherichia_coli_7	Escherichia_coli_7	Escherichia coli	not applicable	not applicable	not applicable	biofilm	biofilm	United States of America	urethral_catheter_biofilm_proteomics	urethral catheter biofilm	1	Proteomic_analysis_of_Aerococcus_and_Globicatella_spp._colonizing_polymicrobial_urethral_catheter_biofilms	proteomic profiling by mass spectrometry	1	1DLC052414_UCB_UP_28_rep2.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=ltq;AC=MS:1000447	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	1
Aerococcus_urinae_8	Aerococcus_urinae_8	Aerococcus urinae	not applicable	not applicable	not applicable	biofilm	biofilm	United States of America	urethral_catheter_biofilm_proteomics	urethral catheter biofilm	1	Proteomic_analysis_of_Aerococcus_and_Globicatella_spp._colonizing_polymicrobial_urethral_catheter_biofilms	proteomic profiling by mass spectrometry	1	1DLC052414_UCB_UP_28_rep1.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=ltq;AC=MS:1000447	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	1
Globicatella_sanguinis_8	Globicatella_sanguinis_8	Globicatella sanguinis	not applicable	not applicable	not applicable	biofilm	biofilm	United States of America	urethral_catheter_biofilm_proteomics	urethral catheter biofilm	1	Proteomic_analysis_of_Aerococcus_and_Globicatella_spp._colonizing_polymicrobial_urethral_catheter_biofilms	proteomic profiling by mass spectrometry	1	1DLC041714_UCB_61_rep2.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=ltq;AC=MS:1000447	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	1
Escherichia_coli_8	Escherichia_coli_8	Escherichia coli	not applicable	not applicable	not applicable	biofilm	biofilm	United States of America	urethral_catheter_biofilm_proteomics	urethral catheter biofilm	1	Proteomic_analysis_of_Aerococcus_and_Globicatella_spp._colonizing_polymicrobial_urethral_catheter_biofilms	proteomic profiling by mass spectrometry	1	1DLC041714_UCB_62_rep2.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=ltq;AC=MS:1000447	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	1
Aerococcus_urinae_9	Aerococcus_urinae_9	Aerococcus urinae	not applicable	not applicable	not applicable	biofilm	biofilm	United States of America	urethral_catheter_biofilm_proteomics	urethral catheter biofilm	1	Proteomic_analysis_of_Aerococcus_and_Globicatella_spp._colonizing_polymicrobial_urethral_catheter_biofilms	proteomic profiling by mass spectrometry	1	1DLC052214_UCB_CB_37_I_rep2.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=ltq;AC=MS:1000447	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	1
Globicatella_sanguinis_9	Globicatella_sanguinis_9	Globicatella sanguinis	not applicable	not applicable	not applicable	biofilm	biofilm	United States of America	urethral_catheter_biofilm_proteomics	urethral catheter biofilm	1	Proteomic_analysis_of_Aerococcus_and_Globicatella_spp._colonizing_polymicrobial_urethral_catheter_biofilms	proteomic profiling by mass spectrometry	1	1DLC050614_UCB_UP_37_rep1.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=ltq;AC=MS:1000447	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	1
Escherichia_coli_9	Escherichia_coli_9	Escherichia coli	not applicable	not applicable	not applicable	biofilm	biofilm	United States of America	urethral_catheter_biofilm_proteomics	urethral catheter biofilm	1	Proteomic_analysis_of_Aerococcus_and_Globicatella_spp._colonizing_polymicrobial_urethral_catheter_biofilms	proteomic profiling by mass spectrometry	1	1DLC140228QE_UCB_50_S1_rep1.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=q exactive;AC=MS:1001911	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	1
Aerococcus_urinae_10	Aerococcus_urinae_10	Aerococcus urinae	not applicable	not applicable	not applicable	biofilm	biofilm	United States of America	urethral_catheter_biofilm_proteomics	urethral catheter biofilm	1	Proteomic_analysis_of_Aerococcus_and_Globicatella_spp._colonizing_polymicrobial_urethral_catheter_biofilms	proteomic profiling by mass spectrometry	1	1DLC052714_UCB_UP_52_rep2.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=ltq;AC=MS:1000447	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	1
Globicatella_sanguinis_10	Globicatella_sanguinis_10	Globicatella sanguinis	not applicable	not applicable	not applicable	biofilm	biofilm	United States of America	urethral_catheter_biofilm_proteomics	urethral catheter biofilm	1	Proteomic_analysis_of_Aerococcus_and_Globicatella_spp._colonizing_polymicrobial_urethral_catheter_biofilms	proteomic profiling by mass spectrometry	1	1DLC052414_UCB_UP_29_rep1.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=ltq;AC=MS:1000447	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	1
Escherichia_coli_10	Escherichia_coli_10	Escherichia coli	not applicable	not applicable	not applicable	biofilm	biofilm	United States of America	urethral_catheter_biofilm_proteomics	urethral catheter biofilm	1	Proteomic_analysis_of_Aerococcus_and_Globicatella_spp._colonizing_polymicrobial_urethral_catheter_biofilms	proteomic profiling by mass spectrometry	1	1DLC041714_UCB_61_rep1.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=ltq;AC=MS:1000447	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	1
Aerococcus_urinae_11	Aerococcus_urinae_11	Aerococcus urinae	not applicable	not applicable	not applicable	biofilm	biofilm	United States of America	urethral_catheter_biofilm_proteomics	urethral catheter biofilm	1	Proteomic_analysis_of_Aerococcus_and_Globicatella_spp._colonizing_polymicrobial_urethral_catheter_biofilms	proteomic profiling by mass spectrometry	1	1DLC052714_UCB_UP_51_rep1.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=ltq;AC=MS:1000447	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	1
Globicatella_sanguinis_11	Globicatella_sanguinis_11	Globicatella sanguinis	not applicable	not applicable	not applicable	biofilm	biofilm	United States of America	urethral_catheter_biofilm_proteomics	urethral catheter biofilm	1	Proteomic_analysis_of_Aerococcus_and_Globicatella_spp._colonizing_polymicrobial_urethral_catheter_biofilms	proteomic profiling by mass spectrometry	1	1DLC141027_UCB_SU_53_rep2.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=ltq;AC=MS:1000447	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	1
Escherichia_coli_11	Escherichia_coli_11	Escherichia coli	not applicable	not applicable	not applicable	biofilm	biofilm	United States of America	urethral_catheter_biofilm_proteomics	urethral catheter biofilm	1	Proteomic_analysis_of_Aerococcus_and_Globicatella_spp._colonizing_polymicrobial_urethral_catheter_biofilms	proteomic profiling by mass spectrometry	1	1DLC050614_UCB_UP_37_rep2.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=ltq;AC=MS:1000447	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	1
Aerococcus_urinae_12	Aerococcus_urinae_12	Aerococcus urinae	not applicable	not applicable	not applicable	biofilm	biofilm	United States of America	urethral_catheter_biofilm_proteomics	urethral catheter biofilm	1	Proteomic_analysis_of_Aerococcus_and_Globicatella_spp._colonizing_polymicrobial_urethral_catheter_biofilms	proteomic profiling by mass spectrometry	1	1DLC140228QE_UCB_49_S2_rep1.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=q exactive;AC=MS:1001911	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	1
Globicatella_sanguinis_12	Globicatella_sanguinis_12	Globicatella sanguinis	not applicable	not applicable	not applicable	biofilm	biofilm	United States of America	urethral_catheter_biofilm_proteomics	urethral catheter biofilm	1	Proteomic_analysis_of_Aerococcus_and_Globicatella_spp._colonizing_polymicrobial_urethral_catheter_biofilms	proteomic profiling by mass spectrometry	1	1DLC052714_UCB_UP_38_rep1.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=ltq;AC=MS:1000447	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	1
Escherichia_coli_12	Escherichia_coli_12	Escherichia coli	not applicable	not applicable	not applicable	biofilm	biofilm	United States of America	urethral_catheter_biofilm_proteomics	urethral catheter biofilm	1	Proteomic_analysis_of_Aerococcus_and_Globicatella_spp._colonizing_polymicrobial_urethral_catheter_biofilms	proteomic profiling by mass spectrometry	1	1DLC140228QE_UCB_49_S1_rep1.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=q exactive;AC=MS:1001911	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	1
Aerococcus_urinae_13	Aerococcus_urinae_13	Aerococcus urinae	not applicable	not applicable	not applicable	biofilm	biofilm	United States of America	urethral_catheter_biofilm_proteomics	urethral catheter biofilm	1	Proteomic_analysis_of_Aerococcus_and_Globicatella_spp._colonizing_polymicrobial_urethral_catheter_biofilms	proteomic profiling by mass spectrometry	1	1DLC052714_UCB_UP_39_rep2.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=ltq;AC=MS:1000447	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	1
