source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[strain or breed]	characteristics[material type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[fractionation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	factor value[developmental stage]
pfalciparum_3d7_asexual_P	Plasmodium falciparum	not applicable	not applicable	normal	intraerythrocytic asexual stage	not available	not available	3D7	cell	1	run_12	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	Strong cation-exchange chromatography (SCX)	10 ppm	20 ppm	1	1	P_E1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	intraerythrocytic asexual stage
pfalciparum_3d7_asexual_P	Plasmodium falciparum	not applicable	not applicable	normal	intraerythrocytic asexual stage	not available	not available	3D7	cell	1	run_13	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	Strong cation-exchange chromatography (SCX)	10 ppm	20 ppm	2	1	P_E2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	intraerythrocytic asexual stage
pfalciparum_3d7_asexual_P	Plasmodium falciparum	not applicable	not applicable	normal	intraerythrocytic asexual stage	not available	not available	3D7	cell	1	run_14	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	Strong cation-exchange chromatography (SCX)	10 ppm	20 ppm	3	1	P_E3.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	intraerythrocytic asexual stage
pfalciparum_3d7_asexual_P	Plasmodium falciparum	not applicable	not applicable	normal	intraerythrocytic asexual stage	not available	not available	3D7	cell	1	run_15	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	Strong cation-exchange chromatography (SCX)	10 ppm	20 ppm	4	1	P_E4.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	intraerythrocytic asexual stage
pfalciparum_3d7_asexual_P	Plasmodium falciparum	not applicable	not applicable	normal	intraerythrocytic asexual stage	not available	not available	3D7	cell	1	run_16	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	Strong cation-exchange chromatography (SCX)	10 ppm	20 ppm	5	1	P_E5.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	intraerythrocytic asexual stage
pfalciparum_3d7_asexual_P	Plasmodium falciparum	not applicable	not applicable	normal	intraerythrocytic asexual stage	not available	not available	3D7	cell	1	run_17	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	Strong cation-exchange chromatography (SCX)	10 ppm	20 ppm	6	1	P_E6.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	intraerythrocytic asexual stage
pfalciparum_3d7_asexual_P	Plasmodium falciparum	not applicable	not applicable	normal	intraerythrocytic asexual stage	not available	not available	3D7	cell	1	run_18	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	Strong cation-exchange chromatography (SCX)	10 ppm	20 ppm	7	1	P_E7.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	intraerythrocytic asexual stage
pfalciparum_3d7_asexual_P	Plasmodium falciparum	not applicable	not applicable	normal	intraerythrocytic asexual stage	not available	not available	3D7	cell	1	run_19	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	Strong cation-exchange chromatography (SCX)	10 ppm	20 ppm	8	1	P_E8.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	intraerythrocytic asexual stage
pfalciparum_3d7_asexual_P	Plasmodium falciparum	not applicable	not applicable	normal	intraerythrocytic asexual stage	not available	not available	3D7	cell	1	run_20	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	Strong cation-exchange chromatography (SCX)	10 ppm	20 ppm	9	1	P_E9.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	intraerythrocytic asexual stage
pfalciparum_3d7_asexual_Prot	Plasmodium falciparum	not applicable	not applicable	normal	intraerythrocytic asexual stage	not available	not available	3D7	cell	1	run_21	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	Strong cation-exchange chromatography (SCX)	10 ppm	20 ppm	1	1	Prot_1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	intraerythrocytic asexual stage
pfalciparum_3d7_asexual_Prot	Plasmodium falciparum	not applicable	not applicable	normal	intraerythrocytic asexual stage	not available	not available	3D7	cell	1	run_22	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	Strong cation-exchange chromatography (SCX)	10 ppm	20 ppm	2	1	Prot_2_180707075905.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	intraerythrocytic asexual stage
pfalciparum_3d7_asexual_Prot	Plasmodium falciparum	not applicable	not applicable	normal	intraerythrocytic asexual stage	not available	not available	3D7	cell	1	run_23	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	Strong cation-exchange chromatography (SCX)	10 ppm	20 ppm	3	1	Prot_3_180707132051.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	intraerythrocytic asexual stage
pfalciparum_3d7_asexual_Prot	Plasmodium falciparum	not applicable	not applicable	normal	intraerythrocytic asexual stage	not available	not available	3D7	cell	1	run_24	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	Strong cation-exchange chromatography (SCX)	10 ppm	20 ppm	4	1	Prot_4_180708125928.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	intraerythrocytic asexual stage
pfalciparum_3d7_asexual_Prot	Plasmodium falciparum	not applicable	not applicable	normal	intraerythrocytic asexual stage	not available	not available	3D7	cell	1	run_25	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	Strong cation-exchange chromatography (SCX)	10 ppm	20 ppm	5	1	Prot_5_180708073756.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	intraerythrocytic asexual stage
pfalciparum_3d7_asexual_Prot	Plasmodium falciparum	not applicable	not applicable	normal	intraerythrocytic asexual stage	not available	not available	3D7	cell	1	run_26	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	Strong cation-exchange chromatography (SCX)	10 ppm	20 ppm	6	1	Prot_6_180707023725.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	intraerythrocytic asexual stage
pfalciparum_3d7_asexual_Prot	Plasmodium falciparum	not applicable	not applicable	normal	intraerythrocytic asexual stage	not available	not available	3D7	cell	1	run_27	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	Strong cation-exchange chromatography (SCX)	10 ppm	20 ppm	7	1	Prot_7_180708021614.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	intraerythrocytic asexual stage
pfalciparum_3d7_asexual_Prot	Plasmodium falciparum	not applicable	not applicable	normal	intraerythrocytic asexual stage	not available	not available	3D7	cell	1	run_28	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	Strong cation-exchange chromatography (SCX)	10 ppm	20 ppm	8	1	Prot_8.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	intraerythrocytic asexual stage
pfalciparum_3d7_asexual_Prot	Plasmodium falciparum	not applicable	not applicable	normal	intraerythrocytic asexual stage	not available	not available	3D7	cell	1	run_29	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	Strong cation-exchange chromatography (SCX)	10 ppm	20 ppm	9	1	Prot_9.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	intraerythrocytic asexual stage
pfalciparum_3d7_asexual_Prot	Plasmodium falciparum	not applicable	not applicable	normal	intraerythrocytic asexual stage	not available	not available	3D7	cell	1	run_30	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	Strong cation-exchange chromatography (SCX)	10 ppm	20 ppm	10	1	Prot_10_180708101841.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	intraerythrocytic asexual stage
pfalciparum_3d7_asexual_Prot	Plasmodium falciparum	not applicable	not applicable	normal	intraerythrocytic asexual stage	not available	not available	3D7	cell	1	run_31	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	Strong cation-exchange chromatography (SCX)	10 ppm	20 ppm	11	1	TiO_11_180706211534.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	intraerythrocytic asexual stage
pfalciparum_3d7_asexual_pool	Plasmodium falciparum	not applicable	not applicable	normal	intraerythrocytic asexual stage	not available	not available	3D7	cell	1	run_32	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	Strong cation-exchange chromatography (SCX)	10 ppm	20 ppm	1	1	as_p_e1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	intraerythrocytic asexual stage
pfalciparum_3d7_asexual_pool	Plasmodium falciparum	not applicable	not applicable	normal	intraerythrocytic asexual stage	not available	not available	3D7	cell	1	run_33	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	Strong cation-exchange chromatography (SCX)	10 ppm	20 ppm	2	1	as_p_e2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	intraerythrocytic asexual stage
