source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fractionation method]	comment[reduction reagent]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
S_a6	homo sapiens	Breast cell line	not applicable	Breast cancer	enrichment of phosphorylated protein	1	S_a6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.5 Da	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	S_a6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD001812/S_a6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Breast cell line
RO-CS-140925_PandeyA_ZM-pST_Fraction-1	homo sapiens	Breast cell line	not applicable	Breast cancer	enrichment of phosphorylated protein	1	RO-CS-140925_PandeyA_ZM-pST_Fraction-1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.5 Da	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	RO-CS-140925_PandeyA_ZM-pST_Fraction-1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD001812/RO-CS-140925_PandeyA_ZM-pST_Fraction-1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Breast cell line
S_a7	homo sapiens	Breast cell line	not applicable	Breast cancer	enrichment of phosphorylated protein	1	S_a7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.5 Da	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	S_a7.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD001812/S_a7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Breast cell line
RO-CS-140925_PandeyA_ZM-pST_Fraction-10	homo sapiens	Breast cell line	not applicable	Breast cancer	enrichment of phosphorylated protein	10	RO-CS-140925_PandeyA_ZM-pST_Fraction-10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.5 Da	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	RO-CS-140925_PandeyA_ZM-pST_Fraction-10.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD001812/RO-CS-140925_PandeyA_ZM-pST_Fraction-10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Breast cell line
S_a11	homo sapiens	Breast cell line	not applicable	Breast cancer	enrichment of phosphorylated protein	1	S_a11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.5 Da	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	S_a11.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD001812/S_a11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Breast cell line
S_b1	homo sapiens	Breast cell line	not applicable	Breast cancer	enrichment of phosphorylated protein	1	S_b1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.5 Da	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	S_b1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD001812/S_b1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Breast cell line
RO-CS-140925_PandeyA_ZM-pST_Fraction-2	homo sapiens	Breast cell line	not applicable	Breast cancer	enrichment of phosphorylated protein	2	RO-CS-140925_PandeyA_ZM-pST_Fraction-2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.5 Da	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	RO-CS-140925_PandeyA_ZM-pST_Fraction-2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD001812/RO-CS-140925_PandeyA_ZM-pST_Fraction-2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Breast cell line
S_a9	homo sapiens	Breast cell line	not applicable	Breast cancer	enrichment of phosphorylated protein	1	S_a9	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.5 Da	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	S_a9.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD001812/S_a9.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Breast cell line
RO-CS-140925_PandeyA_ZM-pST_Fraction-8	homo sapiens	Breast cell line	not applicable	Breast cancer	enrichment of phosphorylated protein	8	RO-CS-140925_PandeyA_ZM-pST_Fraction-8	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.5 Da	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	RO-CS-140925_PandeyA_ZM-pST_Fraction-8.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD001812/RO-CS-140925_PandeyA_ZM-pST_Fraction-8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Breast cell line
S_a5	homo sapiens	Breast cell line	not applicable	Breast cancer	enrichment of phosphorylated protein	1	S_a5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.5 Da	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	S_a5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD001812/S_a5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Breast cell line
RO-CS-140925_PandeyA_ZM-pST_Fraction-7	homo sapiens	Breast cell line	not applicable	Breast cancer	enrichment of phosphorylated protein	7	RO-CS-140925_PandeyA_ZM-pST_Fraction-7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.5 Da	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	RO-CS-140925_PandeyA_ZM-pST_Fraction-7.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD001812/RO-CS-140925_PandeyA_ZM-pST_Fraction-7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Breast cell line
RO-CS-140925_PandeyA_ZM-pST_Fraction-12	homo sapiens	Breast cell line	not applicable	Breast cancer	enrichment of phosphorylated protein	12	RO-CS-140925_PandeyA_ZM-pST_Fraction-12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.5 Da	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	RO-CS-140925_PandeyA_ZM-pST_Fraction-12.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD001812/RO-CS-140925_PandeyA_ZM-pST_Fraction-12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Breast cell line
S_a10	homo sapiens	Breast cell line	not applicable	Breast cancer	enrichment of phosphorylated protein	1	S_a10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.5 Da	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	S_a10.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD001812/S_a10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Breast cell line
AC_pY100	homo sapiens	Breast cell line	not applicable	Breast cancer	enrichment of phosphorylated protein	1	AC_pY100	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.5 Da	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	AC_pY100.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD001812/AC_pY100.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Breast cell line
S_a1	homo sapiens	Breast cell line	not applicable	Breast cancer	enrichment of phosphorylated protein	1	S_a1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.5 Da	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	S_a1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD001812/S_a1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Breast cell line
RO-CS-140925_PandeyA_ZM-pST_Fraction-11	homo sapiens	Breast cell line	not applicable	Breast cancer	enrichment of phosphorylated protein	11	RO-CS-140925_PandeyA_ZM-pST_Fraction-11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.5 Da	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	RO-CS-140925_PandeyA_ZM-pST_Fraction-11.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD001812/RO-CS-140925_PandeyA_ZM-pST_Fraction-11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Breast cell line
RO-CS-140925_PandeyA_ZM-MCF7_pY	homo sapiens	Breast cell line	not applicable	Breast cancer	enrichment of phosphorylated protein	1	RO-CS-140925_PandeyA_ZM-MCF7_pY	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.5 Da	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	RO-CS-140925_PandeyA_ZM-MCF7_pY.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD001812/RO-CS-140925_PandeyA_ZM-MCF7_pY.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Breast cell line
