source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fractionation method]	comment[reduction reagent]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
140716_V3_P5_Co-L_15min_10	homo sapiens	Epithelial cell	not applicable	not available	enrichment of phosphorylated protein	10	140716_V3_P5_Co-L_15min_10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	sds page	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	140716_V3_P5_Co-L_15min_10.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD002776/140716_V3_P5_Co-L_15min_10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
140728_V3_P5_TiO_F12_Co-L_22h_CID_II	homo sapiens	Epithelial cell	not applicable	not available	enrichment of phosphorylated protein	1	140728_V3_P5_TiO_F12_Co-L_22h_CID_II	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	sds page	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	140728_V3_P5_TiO_F12_Co-L_22h_CID_II.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD002776/140728_V3_P5_TiO_F12_Co-L_22h_CID_II.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
140805_V3_P5_TiO_F2_Co-L_15m_CID_II	homo sapiens	Epithelial cell	not applicable	not available	enrichment of phosphorylated protein	1	140805_V3_P5_TiO_F2_Co-L_15m_CID_II	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	sds page	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	140805_V3_P5_TiO_F2_Co-L_15m_CID_II.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD002776/140805_V3_P5_TiO_F2_Co-L_15m_CID_II.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
140819_V3_P5_RN_TiO_F1_Co-L_2h2_HCD-Inc	homo sapiens	Epithelial cell	not applicable	not available	enrichment of phosphorylated protein	1	140819_V3_P5_RN_TiO_F1_Co-L_2h2_HCD-Inc	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	sds page	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	140819_V3_P5_RN_TiO_F1_Co-L_2h2_HCD-Inc.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD002776/140819_V3_P5_RN_TiO_F1_Co-L_2h2_HCD-Inc.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
140930_V3_P5_RN_pY_CID_Co-H_2h_8uL	homo sapiens	Epithelial cell	not applicable	not available	enrichment of phosphorylated protein	1	140930_V3_P5_RN_pY_CID_Co-H_2h_8uL	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	sds page	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	140930_V3_P5_RN_pY_CID_Co-H_2h_8uL.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD002776/140930_V3_P5_RN_pY_CID_Co-H_2h_8uL.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
140830_V3_P5_RN_TiO_HCD-Inc_Co-L_2h_F8	homo sapiens	Epithelial cell	not applicable	not available	enrichment of phosphorylated protein	1	140830_V3_P5_RN_TiO_HCD-Inc_Co-L_2h_F8	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	sds page	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	8	1	140830_V3_P5_RN_TiO_HCD-Inc_Co-L_2h_F8.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD002776/140830_V3_P5_RN_TiO_HCD-Inc_Co-L_2h_F8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
140716_V3_P5_Co-L_15min_3	homo sapiens	Epithelial cell	not applicable	not available	enrichment of phosphorylated protein	3	140716_V3_P5_Co-L_15min_3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	sds page	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	140716_V3_P5_Co-L_15min_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD002776/140716_V3_P5_Co-L_15min_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
141003_V3_P5_RN_TiO_HCD_Co-L_2h_F6	homo sapiens	Epithelial cell	not applicable	not available	enrichment of phosphorylated protein	1	141003_V3_P5_RN_TiO_HCD_Co-L_2h_F6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	sds page	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	6	1	141003_V3_P5_RN_TiO_HCD_Co-L_2h_F6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD002776/141003_V3_P5_RN_TiO_HCD_Co-L_2h_F6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
140805_V3_P5_TiO_F7_Co-L_2h_CID_II	homo sapiens	Epithelial cell	not applicable	not available	enrichment of phosphorylated protein	1	140805_V3_P5_TiO_F7_Co-L_2h_CID_II	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	sds page	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	140805_V3_P5_TiO_F7_Co-L_2h_CID_II.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD002776/140805_V3_P5_TiO_F7_Co-L_2h_CID_II.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
140716_V3_P5_Co-L_15min_2	homo sapiens	Epithelial cell	not applicable	not available	enrichment of phosphorylated protein	2	140716_V3_P5_Co-L_15min_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	sds page	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	140716_V3_P5_Co-L_15min_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD002776/140716_V3_P5_Co-L_15min_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
141011_V3_P5_RN_TiO_HCD_Co-H_15min_F3	homo sapiens	Epithelial cell	not applicable	not available	enrichment of phosphorylated protein	1	141011_V3_P5_RN_TiO_HCD_Co-H_15min_F3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	sds page	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	3	1	141011_V3_P5_RN_TiO_HCD_Co-H_15min_F3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD002776/141011_V3_P5_RN_TiO_HCD_Co-H_15min_F3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
140602_V3_P5_TiO_F7_Co-L_15m_CID_I	homo sapiens	Epithelial cell	not applicable	not available	enrichment of phosphorylated protein	1	140602_V3_P5_TiO_F7_Co-L_15m_CID_I	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	sds page	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	140602_V3_P5_TiO_F7_Co-L_15m_CID_I.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD002776/140602_V3_P5_TiO_F7_Co-L_15m_CID_I.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
140716_V3_P5_Co-L_2h_10	homo sapiens	Epithelial cell	not applicable	not available	enrichment of phosphorylated protein	10	140716_V3_P5_Co-L_2h_10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	sds page	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	140716_V3_P5_Co-L_2h_10.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD002776/140716_V3_P5_Co-L_2h_10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
141005_V3_P5_RN_TiO_HCD_Co-L_15min_F3	homo sapiens	Epithelial cell	not applicable	not available	enrichment of phosphorylated protein	1	141005_V3_P5_RN_TiO_HCD_Co-L_15min_F3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	sds page	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	3	1	141005_V3_P5_RN_TiO_HCD_Co-L_15min_F3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD002776/141005_V3_P5_RN_TiO_HCD_Co-L_15min_F3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
140521_V3_P5_JMO_Phosphoexp-9-4_240-4_I	homo sapiens	Epithelial cell	not applicable	not available	enrichment of phosphorylated protein	1	140521_V3_P5_JMO_Phosphoexp-9-4_240-4_I	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	sds page	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	140521_V3_P5_JMO_Phosphoexp-9-4_240-4_I.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD002776/140521_V3_P5_JMO_Phosphoexp-9-4_240-4_I.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
