source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[strain or breed]	characteristics[material type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[fractionation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	factor value[fractionation method]
saureus_hg001_reference	Staphylococcus aureus	not applicable	not applicable	normal	not available	not available	not available	HG001	cell	1	run_11	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	off-gel electrophoresis	10 ppm	20 ppm	3	2	HG001_AOFS_BR1_F3.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	OFFGEL IEF
saureus_hg001_reference	Staphylococcus aureus	not applicable	not applicable	normal	not available	not available	not available	HG001	cell	1	run_12	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	off-gel electrophoresis	10 ppm	20 ppm	4	2	HG001_AOFS_BR1_F4.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	OFFGEL IEF
saureus_hg001_reference	Staphylococcus aureus	not applicable	not applicable	normal	not available	not available	not available	HG001	cell	1	run_13	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	off-gel electrophoresis	10 ppm	20 ppm	5	2	HG001_AOFS_BR1_F5.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	OFFGEL IEF
saureus_hg001_reference	Staphylococcus aureus	not applicable	not applicable	normal	not available	not available	not available	HG001	cell	1	run_14	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	off-gel electrophoresis	10 ppm	20 ppm	6	2	HG001_AOFS_BR1_F6.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	OFFGEL IEF
saureus_hg001_reference	Staphylococcus aureus	not applicable	not applicable	normal	not available	not available	not available	HG001	cell	1	run_15	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	off-gel electrophoresis	10 ppm	20 ppm	7	2	HG001_AOFS_BR1_F7.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	OFFGEL IEF
saureus_hg001_reference	Staphylococcus aureus	not applicable	not applicable	normal	not available	not available	not available	HG001	cell	1	run_16	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	off-gel electrophoresis	10 ppm	20 ppm	8	1	HG001_AOFS_BR1_F8.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	OFFGEL IEF
saureus_hg001_reference	Staphylococcus aureus	not applicable	not applicable	normal	not available	not available	not available	HG001	cell	1	run_17	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	off-gel electrophoresis	10 ppm	20 ppm	9	1	HG001_AOFS_BR1_F9.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	OFFGEL IEF
saureus_hg001_reference	Staphylococcus aureus	not applicable	not applicable	normal	not available	not available	not available	HG001	cell	1	run_18	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	off-gel electrophoresis	10 ppm	20 ppm	10	1	HG001_AOFS_BR1_F10.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	OFFGEL IEF
saureus_hg001_reference	Staphylococcus aureus	not applicable	not applicable	normal	not available	not available	not available	HG001	cell	1	run_19	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	off-gel electrophoresis	10 ppm	20 ppm	11	1	HG001_AOFS_BR1_F11.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	OFFGEL IEF
saureus_hg001_reference	Staphylococcus aureus	not applicable	not applicable	normal	not available	not available	not available	HG001	cell	1	run_20	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	off-gel electrophoresis	10 ppm	20 ppm	12	1	HG001_AOFS_BR1_F12.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	OFFGEL IEF
saureus_hg001_reference	Staphylococcus aureus	not applicable	not applicable	normal	not available	not available	not available	HG001	cell	1	run_21	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	off-gel electrophoresis	10 ppm	20 ppm	13	1	HG001_AOFS_BR1_F13.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	OFFGEL IEF
saureus_hg001_reference	Staphylococcus aureus	not applicable	not applicable	normal	not available	not available	not available	HG001	cell	1	run_22	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	off-gel electrophoresis	10 ppm	20 ppm	14	1	HG001_AOFS_BR1_F14.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	OFFGEL IEF
saureus_hg001_reference	Staphylococcus aureus	not applicable	not applicable	normal	not available	not available	not available	HG001	cell	1	run_23	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	off-gel electrophoresis	10 ppm	20 ppm	15	1	HG001_AOFS_BR1_F15.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	OFFGEL IEF
saureus_hg001_reference	Staphylococcus aureus	not applicable	not applicable	normal	not available	not available	not available	HG001	cell	1	run_24	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	off-gel electrophoresis	10 ppm	20 ppm	16	1	HG001_AOFS_BR1_F16.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	OFFGEL IEF
saureus_hg001_reference	Staphylococcus aureus	not applicable	not applicable	normal	not available	not available	not available	HG001	cell	1	run_25	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	off-gel electrophoresis	10 ppm	20 ppm	17	1	HG001_AOFS_BR1_F17.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	OFFGEL IEF
saureus_hg001_reference	Staphylococcus aureus	not applicable	not applicable	normal	not available	not available	not available	HG001	cell	1	run_26	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	off-gel electrophoresis	10 ppm	20 ppm	18	1	HG001_AOFS_BR1_F18.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	OFFGEL IEF
saureus_hg001_reference	Staphylococcus aureus	not applicable	not applicable	normal	not available	not available	not available	HG001	cell	1	run_27	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	off-gel electrophoresis	10 ppm	20 ppm	19	1	HG001_AOFS_BR1_F19.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	OFFGEL IEF
saureus_hg001_reference	Staphylococcus aureus	not applicable	not applicable	normal	not available	not available	not available	HG001	cell	1	run_28	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	off-gel electrophoresis	10 ppm	20 ppm	20	1	HG001_AOFS_BR1_F20.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	OFFGEL IEF
saureus_hg001_reference	Staphylococcus aureus	not applicable	not applicable	normal	not available	not available	not available	HG001	cell	1	run_29	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	off-gel electrophoresis	10 ppm	20 ppm	21	1	HG001_AOFS_BR1_F21.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	OFFGEL IEF
saureus_hg001_reference	Staphylococcus aureus	not applicable	not applicable	normal	not available	not available	not available	HG001	cell	1	run_30	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	off-gel electrophoresis	10 ppm	20 ppm	22	1	HG001_AOFS_BR1_F22.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	OFFGEL IEF
saureus_hg001_reference	Staphylococcus aureus	not applicable	not applicable	normal	not available	not available	not available	HG001	cell	1	run_31	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	off-gel electrophoresis	10 ppm	20 ppm	23	1	HG001_AOFS_BR1_F23.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	OFFGEL IEF
