source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[material type]	characteristics[disease]	characteristics[age]	characteristics[sex]	characteristics[individual]	characteristics[developmental stage]	characteristics[biological replicate]	characteristics[treatment]	characteristics[mhc protein complex]	characteristics[mhc typing]	characteristics[mhc typing method]	characteristics[antibody enrichment]	characteristics[immunopeptidome enrichment method]	assay name	technology type	comment[data file]	comment[technical replicate]	comment[instrument]	comment[proteomics data acquisition method]	comment[cleavage agent details]	comment[label]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms2 mass analyzer]	comment[fraction identifier]	comment[modification parameters]	comment[ms min mz]	comment[ms max mz]	comment[ms min charge]	comment[ms max charge]	comment[ms2 min mz]	comment[ms2 max mz]	comment[sample preparation batch]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[source name]
donor2_MDM_untreated	Homo sapiens	blood	macrophage	cell	normal	not available	not available	donor2	adult	2	untreated	MHC class II protein complex	not available	not applicable	L243 (anti-HLA-DR)	immunoaffinity purification	donor2_MDM_untreated_R1	proteomic profiling by mass spectrometry	20250218_S7_Donor2_MO.raw	1	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=unspecific cleavage;AC=MS:1001956	label free sample	NT=HCD;AC=MS:1000422	30 NCE	10 ppm	0.02 Da	NT=orbitrap;AC=MS:1000484	1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	300m/z	1600m/z	2	7	200m/z	1400m/z	experiment_A	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	sdrf-pipelines v0.1.5	donor2_MDM_untreated
donor2_MDM_LCh	Homo sapiens	blood	macrophage	cell	normal	not available	not available	donor2	adult	2	incubated with 100 nM factor VIII light chain	MHC class II protein complex	not available	not applicable	L243 (anti-HLA-DR)	immunoaffinity purification	donor2_MDM_LCh_R1	proteomic profiling by mass spectrometry	20250218_S8_Donor2_MO_LCh.raw	1	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=unspecific cleavage;AC=MS:1001956	label free sample	NT=HCD;AC=MS:1000422	30 NCE	10 ppm	0.02 Da	NT=orbitrap;AC=MS:1000484	1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	300m/z	1600m/z	2	7	200m/z	1400m/z	experiment_A	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	sdrf-pipelines v0.1.5	donor2_MDM_LCh
donor2_MDM_AnxA5	Homo sapiens	blood	macrophage	cell	normal	not available	not available	donor2	adult	2	incubated with 100 nM annexin A5	MHC class II protein complex	not available	not applicable	L243 (anti-HLA-DR)	immunoaffinity purification	donor2_MDM_AnxA5_R1	proteomic profiling by mass spectrometry	20250218_S9_Donor2_MO_AV.raw	1	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=unspecific cleavage;AC=MS:1001956	label free sample	NT=HCD;AC=MS:1000422	30 NCE	10 ppm	0.02 Da	NT=orbitrap;AC=MS:1000484	1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	300m/z	1600m/z	2	7	200m/z	1400m/z	experiment_A	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	sdrf-pipelines v0.1.5	donor2_MDM_AnxA5
donor4_MDM_RBC_LChAnxA5	Homo sapiens	blood	macrophage	cell	normal	not available	not available	donor4	adult	4	co-incubated with PMA-treated red blood cells at a 1:100 macrophage to red blood cell ratio preloaded with factor VIII light chain-annexin A5 fusion protein	MHC class II protein complex	not available	not applicable	L243 (anti-HLA-DR)	immunoaffinity purification	donor4_MDM_RBC_LChAnxA5_R1	proteomic profiling by mass spectrometry	20250403_S10_D1B_MO_RBC_LChAV.raw	1	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=unspecific cleavage;AC=MS:1001956	label free sample	NT=HCD;AC=MS:1000422	30 NCE	10 ppm	0.02 Da	NT=orbitrap;AC=MS:1000484	1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	300m/z	1600m/z	2	7	200m/z	1400m/z	experiment_B	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	sdrf-pipelines v0.1.5	donor4_MDM_RBC_LChAnxA5
donor4_MDM_RBC_A2AnxA5	Homo sapiens	blood	macrophage	cell	normal	not available	not available	donor4	adult	4	co-incubated with PMA-treated red blood cells at a 1:100 macrophage to red blood cell ratio preloaded with factor VIII A2 domain-annexin A5 fusion protein	MHC class II protein complex	not available	not applicable	L243 (anti-HLA-DR)	immunoaffinity purification	donor4_MDM_RBC_A2AnxA5_R1	proteomic profiling by mass spectrometry	20250403_S11_D1B_MO_RBC_A2AV.raw	1	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=unspecific cleavage;AC=MS:1001956	label free sample	NT=HCD;AC=MS:1000422	30 NCE	10 ppm	0.02 Da	NT=orbitrap;AC=MS:1000484	1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	300m/z	1600m/z	2	7	200m/z	1400m/z	experiment_B	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	sdrf-pipelines v0.1.5	donor4_MDM_RBC_A2AnxA5
donor4_MDM_RBC_C2AnxA5	Homo sapiens	blood	macrophage	cell	normal	not available	not available	donor4	adult	4	co-incubated with PMA-treated red blood cells at a 1:100 macrophage to red blood cell ratio preloaded with factor VIII C2 domain-annexin A5 fusion protein	MHC class II protein complex	not available	not applicable	L243 (anti-HLA-DR)	immunoaffinity purification	donor4_MDM_RBC_C2AnxA5_R1	proteomic profiling by mass spectrometry	20250403_S12_D1B_MO_RBC_C2AV.raw	1	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=unspecific cleavage;AC=MS:1001956	label free sample	NT=HCD;AC=MS:1000422	30 NCE	10 ppm	0.02 Da	NT=orbitrap;AC=MS:1000484	1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	300m/z	1600m/z	2	7	200m/z	1400m/z	experiment_B	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	sdrf-pipelines v0.1.5	donor4_MDM_RBC_C2AnxA5
donor5_MDM_untreated	Homo sapiens	blood	macrophage	cell	normal	not available	not available	donor5	adult	5	untreated	MHC class II protein complex	not available	not applicable	L243 (anti-HLA-DR)	immunoaffinity purification	donor5_MDM_untreated_R1	proteomic profiling by mass spectrometry	20250403_S13_D2T_MO.raw	1	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=unspecific cleavage;AC=MS:1001956	label free sample	NT=HCD;AC=MS:1000422	30 NCE	10 ppm	0.02 Da	NT=orbitrap;AC=MS:1000484	1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	300m/z	1600m/z	2	7	200m/z	1400m/z	experiment_B	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	sdrf-pipelines v0.1.5	donor5_MDM_untreated
donor5_MDM_RBC	Homo sapiens	blood	macrophage	cell	normal	not available	not available	donor5	adult	5	co-incubated with PMA-treated red blood cells at a 1:100 macrophage to red blood cell ratio	MHC class II protein complex	not available	not applicable	L243 (anti-HLA-DR)	immunoaffinity purification	donor5_MDM_RBC_R1	proteomic profiling by mass spectrometry	20250403_S14_D2T_MO_RBC.raw	1	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=unspecific cleavage;AC=MS:1001956	label free sample	NT=HCD;AC=MS:1000422	30 NCE	10 ppm	0.02 Da	NT=orbitrap;AC=MS:1000484	1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	300m/z	1600m/z	2	7	200m/z	1400m/z	experiment_B	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	sdrf-pipelines v0.1.5	donor5_MDM_RBC
donor5_MDM_RBC_AnxA5	Homo sapiens	blood	macrophage	cell	normal	not available	not available	donor5	adult	5	co-incubated with PMA-treated red blood cells at a 1:100 macrophage to red blood cell ratio preloaded with annexin A5	MHC class II protein complex	not available	not applicable	L243 (anti-HLA-DR)	immunoaffinity purification	donor5_MDM_RBC_AnxA5_R1	proteomic profiling by mass spectrometry	20250403_S15_D2T_MO_RBC_AV.raw	1	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=unspecific cleavage;AC=MS:1001956	label free sample	NT=HCD;AC=MS:1000422	30 NCE	10 ppm	0.02 Da	NT=orbitrap;AC=MS:1000484	1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	300m/z	1600m/z	2	7	200m/z	1400m/z	experiment_B	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	sdrf-pipelines v0.1.5	donor5_MDM_RBC_AnxA5
donor5_MDM_RBC_LChAnxA5	Homo sapiens	blood	macrophage	cell	normal	not available	not available	donor5	adult	5	co-incubated with PMA-treated red blood cells at a 1:100 macrophage to red blood cell ratio preloaded with factor VIII light chain-annexin A5 fusion protein	MHC class II protein complex	not available	not applicable	L243 (anti-HLA-DR)	immunoaffinity purification	donor5_MDM_RBC_LChAnxA5_R1	proteomic profiling by mass spectrometry	20250403_S16_D2T_MO_RBC_LChAV.raw	1	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=unspecific cleavage;AC=MS:1001956	label free sample	NT=HCD;AC=MS:1000422	30 NCE	10 ppm	0.02 Da	NT=orbitrap;AC=MS:1000484	1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	300m/z	1600m/z	2	7	200m/z	1400m/z	experiment_B	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	sdrf-pipelines v0.1.5	donor5_MDM_RBC_LChAnxA5
donor5_MDM_RBC_A2AnxA5	Homo sapiens	blood	macrophage	cell	normal	not available	not available	donor5	adult	5	co-incubated with PMA-treated red blood cells at a 1:100 macrophage to red blood cell ratio preloaded with factor VIII A2 domain-annexin A5 fusion protein	MHC class II protein complex	not available	not applicable	L243 (anti-HLA-DR)	immunoaffinity purification	donor5_MDM_RBC_A2AnxA5_R1	proteomic profiling by mass spectrometry	20250403_S17_D2T_MO_RBC_A2AV.raw	1	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=unspecific cleavage;AC=MS:1001956	label free sample	NT=HCD;AC=MS:1000422	30 NCE	10 ppm	0.02 Da	NT=orbitrap;AC=MS:1000484	1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	300m/z	1600m/z	2	7	200m/z	1400m/z	experiment_B	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	sdrf-pipelines v0.1.5	donor5_MDM_RBC_A2AnxA5
donor5_MDM_RBC_C2AnxA5	Homo sapiens	blood	macrophage	cell	normal	not available	not available	donor5	adult	5	co-incubated with PMA-treated red blood cells at a 1:100 macrophage to red blood cell ratio preloaded with factor VIII C2 domain-annexin A5 fusion protein	MHC class II protein complex	not available	not applicable	L243 (anti-HLA-DR)	immunoaffinity purification	donor5_MDM_RBC_C2AnxA5_R1	proteomic profiling by mass spectrometry	20250403_S18_D2T_MO_RBC_C2AV.raw	1	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=unspecific cleavage;AC=MS:1001956	label free sample	NT=HCD;AC=MS:1000422	30 NCE	10 ppm	0.02 Da	NT=orbitrap;AC=MS:1000484	1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	300m/z	1600m/z	2	7	200m/z	1400m/z	experiment_B	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	sdrf-pipelines v0.1.5	donor5_MDM_RBC_C2AnxA5
donor3_MDM_untreated	Homo sapiens	blood	macrophage	cell	normal	not available	not available	donor3	adult	3	untreated	MHC class II protein complex	not available	not applicable	L243 (anti-HLA-DR)	immunoaffinity purification	donor3_MDM_untreated_R1	proteomic profiling by mass spectrometry	20250403_S1_MO.raw	1	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=unspecific cleavage;AC=MS:1001956	label free sample	NT=HCD;AC=MS:1000422	30 NCE	10 ppm	0.02 Da	NT=orbitrap;AC=MS:1000484	1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	300m/z	1600m/z	2	7	200m/z	1400m/z	experiment_B	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	sdrf-pipelines v0.1.5	donor3_MDM_untreated
donor3_MDM_RBC	Homo sapiens	blood	macrophage	cell	normal	not available	not available	donor3	adult	3	co-incubated with PMA-treated red blood cells at a 1:100 macrophage to red blood cell ratio	MHC class II protein complex	not available	not applicable	L243 (anti-HLA-DR)	immunoaffinity purification	donor3_MDM_RBC_R1	proteomic profiling by mass spectrometry	20250403_S2_MO_RBC.raw	1	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=unspecific cleavage;AC=MS:1001956	label free sample	NT=HCD;AC=MS:1000422	30 NCE	10 ppm	0.02 Da	NT=orbitrap;AC=MS:1000484	1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	300m/z	1600m/z	2	7	200m/z	1400m/z	experiment_B	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	sdrf-pipelines v0.1.5	donor3_MDM_RBC
donor3_MDM_RBC_AnxA5	Homo sapiens	blood	macrophage	cell	normal	not available	not available	donor3	adult	3	co-incubated with PMA-treated red blood cells at a 1:100 macrophage to red blood cell ratio preloaded with annexin A5	MHC class II protein complex	not available	not applicable	L243 (anti-HLA-DR)	immunoaffinity purification	donor3_MDM_RBC_AnxA5_R1	proteomic profiling by mass spectrometry	20250403_S3_MO_RBC_AV.raw	1	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=unspecific cleavage;AC=MS:1001956	label free sample	NT=HCD;AC=MS:1000422	30 NCE	10 ppm	0.02 Da	NT=orbitrap;AC=MS:1000484	1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	300m/z	1600m/z	2	7	200m/z	1400m/z	experiment_B	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	sdrf-pipelines v0.1.5	donor3_MDM_RBC_AnxA5
donor3_MDM_RBC_LChAnxA5	Homo sapiens	blood	macrophage	cell	normal	not available	not available	donor3	adult	3	co-incubated with PMA-treated red blood cells at a 1:100 macrophage to red blood cell ratio preloaded with factor VIII light chain-annexin A5 fusion protein	MHC class II protein complex	not available	not applicable	L243 (anti-HLA-DR)	immunoaffinity purification	donor3_MDM_RBC_LChAnxA5_R1	proteomic profiling by mass spectrometry	20250403_S4_MO_RBC_LChAV.raw	1	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=unspecific cleavage;AC=MS:1001956	label free sample	NT=HCD;AC=MS:1000422	30 NCE	10 ppm	0.02 Da	NT=orbitrap;AC=MS:1000484	1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	300m/z	1600m/z	2	7	200m/z	1400m/z	experiment_B	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	sdrf-pipelines v0.1.5	donor3_MDM_RBC_LChAnxA5
