source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[cell line]	characteristics[age]	characteristics[sex]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[fractionation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	comment[ms1 analyzer type]	comment[ms2 analyzer type]	comment[quantification]	factor value[time point]	factor value[cdk9 expression]	factor value[antibody]
IP_3_GFP	Homo sapiens	cell culture	Erythroblast	normal	HUDEP-2	not available	not available	1	run 11	NT=proteomic profilling by mass spectrometer;AC=EFO:0002766	Data-dependent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=Unimod:4;MT=Fixed;PP=Anywhere;TA=C	NT=Oxidation;AC=Unimod:35;MT=Variable;PP=Anywhere;TA=M	NT=Acetylation;AC=Unimod:1;MT=Variable; PP=Protein N-term	NT=phosphorylated residue;AC=MOD:00696;MT=Variable;PP=Anywhere;TA=ST	not applicable	1	1	IP_3_GFP.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=orbitrap;AC=MS:1000484	NT=orbitrap;AC=MS:1000484	NT=label free quantification;AC=EFO:0030054	0 day	Wild-type	anti-GFP (IgG control)
IP_3_GFP_20200209173345	Homo sapiens	cell culture	Erythroblast	normal	HUDEP-2	not available	not available	2	run 12	NT=proteomic profilling by mass spectrometer;AC=EFO:0002766	Data-dependent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=Unimod:4;MT=Fixed;PP=Anywhere;TA=C	NT=Oxidation;AC=Unimod:35;MT=Variable;PP=Anywhere;TA=M	NT=Acetylation;AC=Unimod:1;MT=Variable; PP=Protein N-term	NT=phosphorylated residue;AC=MOD:00696;MT=Variable;PP=Anywhere;TA=ST	not applicable	1	2	IP_3_GFP_20200209173345.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=orbitrap;AC=MS:1000484	NT=orbitrap;AC=MS:1000484	NT=label free quantification;AC=EFO:0030054	0 day	Wild-type	anti-GFP (IgG control)
H2_WT_CDK9_1	Homo sapiens	cell culture	Erythroblast	normal	HUDEP-2	not available	not available	1	run 13	NT=proteomic profilling by mass spectrometer;AC=EFO:0002766	Data-dependent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=Unimod:4;MT=Fixed;PP=Anywhere;TA=C	NT=Oxidation;AC=Unimod:35;MT=Variable;PP=Anywhere;TA=M	NT=Acetylation;AC=Unimod:1;MT=Variable; PP=Protein N-term	NT=phosphorylated residue;AC=MOD:00696;MT=Variable;PP=Anywhere;TA=ST	not applicable	1	1	H2_WT_CDK9_1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=orbitrap;AC=MS:1000484	NT=orbitrap;AC=MS:1000484	NT=label free quantification;AC=EFO:0030054	6 day	Wild-type	anti-CDK9 (F-6 Santa Cruz)
H2_WT_CDK9_2	Homo sapiens	cell culture	Erythroblast	normal	HUDEP-2	not available	not available	2	run 14	NT=proteomic profilling by mass spectrometer;AC=EFO:0002766	Data-dependent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=Unimod:4;MT=Fixed;PP=Anywhere;TA=C	NT=Oxidation;AC=Unimod:35;MT=Variable;PP=Anywhere;TA=M	NT=Acetylation;AC=Unimod:1;MT=Variable; PP=Protein N-term	NT=phosphorylated residue;AC=MOD:00696;MT=Variable;PP=Anywhere;TA=ST	not applicable	1	1	H2_WT_CDK9_2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=orbitrap;AC=MS:1000484	NT=orbitrap;AC=MS:1000484	NT=label free quantification;AC=EFO:0030054	6 day	Wild-type	anti-CDK9 (F-6 Santa Cruz)
H2_WT_CDK9_3	Homo sapiens	cell culture	Erythroblast	normal	HUDEP-2	not available	not available	3	run 15	NT=proteomic profilling by mass spectrometer;AC=EFO:0002766	Data-dependent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=Unimod:4;MT=Fixed;PP=Anywhere;TA=C	NT=Oxidation;AC=Unimod:35;MT=Variable;PP=Anywhere;TA=M	NT=Acetylation;AC=Unimod:1;MT=Variable; PP=Protein N-term	NT=phosphorylated residue;AC=MOD:00696;MT=Variable;PP=Anywhere;TA=ST	not applicable	1	1	H2_WT_CDK9_3.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=orbitrap;AC=MS:1000484	NT=orbitrap;AC=MS:1000484	NT=label free quantification;AC=EFO:0030054	6 day	Wild-type	anti-CDK9 (F-6 Santa Cruz)
H2_WT_IgG1	Homo sapiens	cell culture	Erythroblast	normal	HUDEP-2	not available	not available	1	run 16	NT=proteomic profilling by mass spectrometer;AC=EFO:0002766	Data-dependent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=Unimod:4;MT=Fixed;PP=Anywhere;TA=C	NT=Oxidation;AC=Unimod:35;MT=Variable;PP=Anywhere;TA=M	NT=Acetylation;AC=Unimod:1;MT=Variable; PP=Protein N-term	NT=phosphorylated residue;AC=MOD:00696;MT=Variable;PP=Anywhere;TA=ST	not applicable	1	1	H2_WT_IgG1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=orbitrap;AC=MS:1000484	NT=orbitrap;AC=MS:1000484	NT=label free quantification;AC=EFO:0030054	6 day	Wild-type	Mouse IgG isotype control
H2_WT_IgG2	Homo sapiens	cell culture	Erythroblast	normal	HUDEP-2	not available	not available	2	run 17	NT=proteomic profilling by mass spectrometer;AC=EFO:0002766	Data-dependent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=Unimod:4;MT=Fixed;PP=Anywhere;TA=C	NT=Oxidation;AC=Unimod:35;MT=Variable;PP=Anywhere;TA=M	NT=Acetylation;AC=Unimod:1;MT=Variable; PP=Protein N-term	NT=phosphorylated residue;AC=MOD:00696;MT=Variable;PP=Anywhere;TA=ST	not applicable	1	1	H2_WT_IgG2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=orbitrap;AC=MS:1000484	NT=orbitrap;AC=MS:1000484	NT=label free quantification;AC=EFO:0030054	6 day	Wild-type	Mouse IgG isotype control
H2_WT_IgG3	Homo sapiens	cell culture	Erythroblast	normal	HUDEP-2	not available	not available	3	run 18	NT=proteomic profilling by mass spectrometer;AC=EFO:0002766	Data-dependent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=Unimod:4;MT=Fixed;PP=Anywhere;TA=C	NT=Oxidation;AC=Unimod:35;MT=Variable;PP=Anywhere;TA=M	NT=Acetylation;AC=Unimod:1;MT=Variable; PP=Protein N-term	NT=phosphorylated residue;AC=MOD:00696;MT=Variable;PP=Anywhere;TA=ST	not applicable	1	1	H2_WT_IgG3.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=orbitrap;AC=MS:1000484	NT=orbitrap;AC=MS:1000484	NT=label free quantification;AC=EFO:0030054	6 day	Wild-type	Mouse IgG isotype control
H2_GFP_CDK9_1	Homo sapiens	cell culture	Erythroblast	normal	HUDEP-2	not available	not available	1	run 19	NT=proteomic profilling by mass spectrometer;AC=EFO:0002766	Data-dependent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=Unimod:4;MT=Fixed;PP=Anywhere;TA=C	NT=Oxidation;AC=Unimod:35;MT=Variable;PP=Anywhere;TA=M	NT=Acetylation;AC=Unimod:1;MT=Variable; PP=Protein N-term	NT=phosphorylated residue;AC=MOD:00696;MT=Variable;PP=Anywhere;TA=ST	not applicable	1	1	H2_GFP_CDK9_1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=orbitrap;AC=MS:1000484	NT=orbitrap;AC=MS:1000484	NT=label free quantification;AC=EFO:0030054	6 day	GFP overexpression	anti-CDK9 (F-6 Santa Cruz)
H2_GFP_CDK9_2	Homo sapiens	cell culture	Erythroblast	normal	HUDEP-2	not available	not available	2	run 20	NT=proteomic profilling by mass spectrometer;AC=EFO:0002766	Data-dependent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=Unimod:4;MT=Fixed;PP=Anywhere;TA=C	NT=Oxidation;AC=Unimod:35;MT=Variable;PP=Anywhere;TA=M	NT=Acetylation;AC=Unimod:1;MT=Variable; PP=Protein N-term	NT=phosphorylated residue;AC=MOD:00696;MT=Variable;PP=Anywhere;TA=ST	not applicable	1	1	H2_GFP_CDK9_2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=orbitrap;AC=MS:1000484	NT=orbitrap;AC=MS:1000484	NT=label free quantification;AC=EFO:0030054	6 day	GFP overexpression	anti-CDK9 (F-6 Santa Cruz)
H2_GFP_CDK9_3	Homo sapiens	cell culture	Erythroblast	normal	HUDEP-2	not available	not available	3	run 21	NT=proteomic profilling by mass spectrometer;AC=EFO:0002766	Data-dependent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=Unimod:4;MT=Fixed;PP=Anywhere;TA=C	NT=Oxidation;AC=Unimod:35;MT=Variable;PP=Anywhere;TA=M	NT=Acetylation;AC=Unimod:1;MT=Variable; PP=Protein N-term	NT=phosphorylated residue;AC=MOD:00696;MT=Variable;PP=Anywhere;TA=ST	not applicable	1	1	H2_GFP_CDK9_3.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=orbitrap;AC=MS:1000484	NT=orbitrap;AC=MS:1000484	NT=label free quantification;AC=EFO:0030054	6 day	GFP overexpression	anti-CDK9 (F-6 Santa Cruz)
H2_GFP_IgG1	Homo sapiens	cell culture	Erythroblast	normal	HUDEP-2	not available	not available	1	run 22	NT=proteomic profilling by mass spectrometer;AC=EFO:0002766	Data-dependent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=Unimod:4;MT=Fixed;PP=Anywhere;TA=C	NT=Oxidation;AC=Unimod:35;MT=Variable;PP=Anywhere;TA=M	NT=Acetylation;AC=Unimod:1;MT=Variable; PP=Protein N-term	NT=phosphorylated residue;AC=MOD:00696;MT=Variable;PP=Anywhere;TA=ST	not applicable	1	1	H2_GFP_IgG1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=orbitrap;AC=MS:1000484	NT=orbitrap;AC=MS:1000484	NT=label free quantification;AC=EFO:0030054	6 day	GFP overexpression	Mouse IgG isotype control
H2_GFP_IgG2	Homo sapiens	cell culture	Erythroblast	normal	HUDEP-2	not available	not available	2	run 23	NT=proteomic profilling by mass spectrometer;AC=EFO:0002766	Data-dependent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=Unimod:4;MT=Fixed;PP=Anywhere;TA=C	NT=Oxidation;AC=Unimod:35;MT=Variable;PP=Anywhere;TA=M	NT=Acetylation;AC=Unimod:1;MT=Variable; PP=Protein N-term	NT=phosphorylated residue;AC=MOD:00696;MT=Variable;PP=Anywhere;TA=ST	not applicable	1	1	H2_GFP_IgG2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=orbitrap;AC=MS:1000484	NT=orbitrap;AC=MS:1000484	NT=label free quantification;AC=EFO:0030054	6 day	GFP overexpression	Mouse IgG isotype control
H2_GFP_IgG3	Homo sapiens	cell culture	Erythroblast	normal	HUDEP-2	not available	not available	3	run 24	NT=proteomic profilling by mass spectrometer;AC=EFO:0002766	Data-dependent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=Unimod:4;MT=Fixed;PP=Anywhere;TA=C	NT=Oxidation;AC=Unimod:35;MT=Variable;PP=Anywhere;TA=M	NT=Acetylation;AC=Unimod:1;MT=Variable; PP=Protein N-term	NT=phosphorylated residue;AC=MOD:00696;MT=Variable;PP=Anywhere;TA=ST	not applicable	1	1	H2_GFP_IgG3.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=orbitrap;AC=MS:1000484	NT=orbitrap;AC=MS:1000484	NT=label free quantification;AC=EFO:0030054	6 day	GFP overexpression	Mouse IgG isotype control
H2_pBABE_CDK9_1	Homo sapiens	cell culture	Erythroblast	normal	HUDEP-2	not available	not available	1	run 25	NT=proteomic profilling by mass spectrometer;AC=EFO:0002766	Data-dependent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=Unimod:4;MT=Fixed;PP=Anywhere;TA=C	NT=Oxidation;AC=Unimod:35;MT=Variable;PP=Anywhere;TA=M	NT=Acetylation;AC=Unimod:1;MT=Variable; PP=Protein N-term	NT=phosphorylated residue;AC=MOD:00696;MT=Variable;PP=Anywhere;TA=ST	not applicable	1	1	H2_pBABE_CDK9_1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=orbitrap;AC=MS:1000484	NT=orbitrap;AC=MS:1000484	NT=label free quantification;AC=EFO:0030054	6 day	CDK9 Over expression	anti-CDK9 (F-6 Santa Cruz)
H2_pBABE_CDK9_2	Homo sapiens	cell culture	Erythroblast	normal	HUDEP-2	not available	not available	2	run 26	NT=proteomic profilling by mass spectrometer;AC=EFO:0002766	Data-dependent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=Unimod:4;MT=Fixed;PP=Anywhere;TA=C	NT=Oxidation;AC=Unimod:35;MT=Variable;PP=Anywhere;TA=M	NT=Acetylation;AC=Unimod:1;MT=Variable; PP=Protein N-term	NT=phosphorylated residue;AC=MOD:00696;MT=Variable;PP=Anywhere;TA=ST	not applicable	1	1	H2_pBABE_CDK9_2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=orbitrap;AC=MS:1000484	NT=orbitrap;AC=MS:1000484	NT=label free quantification;AC=EFO:0030054	6 day	CDK9 Over expression	anti-CDK9 (F-6 Santa Cruz)
H2_pBABE_CDK9_3	Homo sapiens	cell culture	Erythroblast	normal	HUDEP-2	not available	not available	3	run 27	NT=proteomic profilling by mass spectrometer;AC=EFO:0002766	Data-dependent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=Unimod:4;MT=Fixed;PP=Anywhere;TA=C	NT=Oxidation;AC=Unimod:35;MT=Variable;PP=Anywhere;TA=M	NT=Acetylation;AC=Unimod:1;MT=Variable; PP=Protein N-term	NT=phosphorylated residue;AC=MOD:00696;MT=Variable;PP=Anywhere;TA=ST	not applicable	1	1	H2_pBABE_CDK9_3.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=orbitrap;AC=MS:1000484	NT=orbitrap;AC=MS:1000484	NT=label free quantification;AC=EFO:0030054	6 day	CDK9 Over expression	anti-CDK9 (F-6 Santa Cruz)
