source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	characteristics[treatment]	characteristics[strain]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[technical replicate]	comment[fraction identifier]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[treatment]
wevan_I170925_DBA2J_CD_ET1818_SW_Run012	Mus musculus	Liver	normal	1	control diet	DBA2J	wevan_I170925_DBA2J_CD_ET1818_SW_Run012	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	1	1	wevan_I170925_DBA2J_CD_ET1818_SW_Run012.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	control diet
wevan_I171006_48a_HF_ET1772_SW_Run022	Mus musculus	Liver	normal	1	high fat diet	not available	wevan_I171006_48a_HF_ET1772_SW_Run022	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	1	1	wevan_I171006_48a_HF_ET1772_SW_Run022.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	high fat diet
wevan_I171006_B6D2F1_CD_ET1227_SW_Run020	Mus musculus	Liver	normal	1	control diet	B6D2F1	wevan_I171006_B6D2F1_CD_ET1227_SW_Run020	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	1	1	wevan_I171006_B6D2F1_CD_ET1227_SW_Run020.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	control diet
wevan_I171006_BXD24_HF_ET2259_SW_Run018	Mus musculus	Liver	normal	1	high fat diet	BXD24	wevan_I171006_BXD24_HF_ET2259_SW_Run018	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	1	1	wevan_I171006_BXD24_HF_ET2259_SW_Run018.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	high fat diet
wevan_I171006_BXD32_CD_ET2494_SW_Run013	Mus musculus	Liver	normal	1	control diet	BXD32	wevan_I171006_BXD32_CD_ET2494_SW_Run013	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	1	1	wevan_I171006_BXD32_CD_ET2494_SW_Run013.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	control diet
wevan_I171006_BXD32_CD_ET2495_SW_Run017	Mus musculus	Liver	normal	2	control diet	BXD32	wevan_I171006_BXD32_CD_ET2495_SW_Run017	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	1	1	wevan_I171006_BXD32_CD_ET2495_SW_Run017.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	control diet
wevan_I171006_BXD39_HF_ET1474_SW_Run014	Mus musculus	Liver	normal	1	high fat diet	BXD39	wevan_I171006_BXD39_HF_ET1474_SW_Run014	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	1	1	wevan_I171006_BXD39_HF_ET1474_SW_Run014.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	high fat diet
wevan_I171006_BXD44_HF_ET1687_SW_Run027	Mus musculus	Liver	normal	1	high fat diet	BXD44	wevan_I171006_BXD44_HF_ET1687_SW_Run027	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	1	1	wevan_I171006_BXD44_HF_ET1687_SW_Run027.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	high fat diet
wevan_I171006_BXD53_HF_ET833_SW_Run023	Mus musculus	Liver	normal	1	high fat diet	BXD53	wevan_I171006_BXD53_HF_ET833_SW_Run023	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	1	1	wevan_I171006_BXD53_HF_ET833_SW_Run023.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	high fat diet
wevan_I171006_BXD53_HF_ET836_SW_Run021	Mus musculus	Liver	normal	2	high fat diet	BXD53	wevan_I171006_BXD53_HF_ET836_SW_Run021	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	1	1	wevan_I171006_BXD53_HF_ET836_SW_Run021.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	high fat diet
wevan_I171006_BXD63_CD_ET1414_SW_Run019	Mus musculus	Liver	normal	1	control diet	BXD63	wevan_I171006_BXD63_CD_ET1414_SW_Run019	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	1	1	wevan_I171006_BXD63_CD_ET1414_SW_Run019.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	control diet
wevan_I171006_BXD63_CD_ET1417_SW_Run015	Mus musculus	Liver	normal	2	control diet	BXD63	wevan_I171006_BXD63_CD_ET1417_SW_Run015	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	1	1	wevan_I171006_BXD63_CD_ET1417_SW_Run015.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	control diet
wevan_I171006_BXD63_CD_ET1872_SW_Run024	Mus musculus	Liver	normal	3	control diet	BXD63	wevan_I171006_BXD63_CD_ET1872_SW_Run024	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	1	1	wevan_I171006_BXD63_CD_ET1872_SW_Run024.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	control diet
wevan_I171006_BXD63_HF_ET1416_SW_Run016	Mus musculus	Liver	normal	2	high fat diet	BXD63	wevan_I171006_BXD63_HF_ET1416_SW_Run016	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	1	1	wevan_I171006_BXD63_HF_ET1416_SW_Run016.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	high fat diet
wevan_I171006_BXD69_CD_ET1850_SW_Run025	Mus musculus	Liver	normal	1	control diet	BXD69	wevan_I171006_BXD69_CD_ET1850_SW_Run025	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	1	1	wevan_I171006_BXD69_CD_ET1850_SW_Run025.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	control diet
wevan_I171006_BXD73_CD_ET1860_SW_Run026	Mus musculus	Liver	normal	1	control diet	BXD73	wevan_I171006_BXD73_CD_ET1860_SW_Run026	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	1	1	wevan_I171006_BXD73_CD_ET1860_SW_Run026.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	control diet
wevan_I171007_B6D2F1_CD_ET1568_SW_Run035	Mus musculus	Liver	normal	2	control diet	B6D2F1	wevan_I171007_B6D2F1_CD_ET1568_SW_Run035	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	1	1	wevan_I171007_B6D2F1_CD_ET1568_SW_Run035.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	control diet
wevan_I171007_BXD101_CD_ET2114_SW_Run032	Mus musculus	Liver	normal	2	control diet	BXD101	wevan_I171007_BXD101_CD_ET2114_SW_Run032	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	1	1	wevan_I171007_BXD101_CD_ET2114_SW_Run032.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	control diet
wevan_I171007_BXD102_HF_ET1366_SW_Run030	Mus musculus	Liver	normal	2	high fat diet	BXD102	wevan_I171007_BXD102_HF_ET1366_SW_Run030	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	1	1	wevan_I171007_BXD102_HF_ET1366_SW_Run030.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	high fat diet
wevan_I171007_BXD29_CD_ET1044_SW_Run031	Mus musculus	Liver	normal	1	control diet	BXD29	wevan_I171007_BXD29_CD_ET1044_SW_Run031	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	1	1	wevan_I171007_BXD29_CD_ET1044_SW_Run031.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	control diet
wevan_I171007_BXD29_CD_ET1045_SW_Run040	Mus musculus	Liver	normal	2	control diet	BXD29	wevan_I171007_BXD29_CD_ET1045_SW_Run040	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	1	1	wevan_I171007_BXD29_CD_ET1045_SW_Run040.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	control diet
wevan_I171007_BXD39_CD_ET673_SW_Run041	Mus musculus	Liver	normal	1	control diet	BXD39	wevan_I171007_BXD39_CD_ET673_SW_Run041	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	1	1	wevan_I171007_BXD39_CD_ET673_SW_Run041.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	control diet
wevan_I171007_BXD44_CD_ET1505_SW_Run038	Mus musculus	Liver	normal	1	control diet	BXD44	wevan_I171007_BXD44_CD_ET1505_SW_Run038	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	1	1	wevan_I171007_BXD44_CD_ET1505_SW_Run038.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	control diet
wevan_I171007_BXD44_HF_ET1501_SW_Run036	Mus musculus	Liver	normal	2	high fat diet	BXD44	wevan_I171007_BXD44_HF_ET1501_SW_Run036	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	1	1	wevan_I171007_BXD44_HF_ET1501_SW_Run036.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	high fat diet
wevan_I171007_BXD45_CD_ET1762_SW_Run033	Mus musculus	Liver	normal	1	control diet	BXD45	wevan_I171007_BXD45_CD_ET1762_SW_Run033	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	1	1	wevan_I171007_BXD45_CD_ET1762_SW_Run033.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	control diet
wevan_I171007_BXD62_CD_ET1478_SW_Run037	Mus musculus	Liver	normal	1	control diet	BXD62	wevan_I171007_BXD62_CD_ET1478_SW_Run037	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	1	1	wevan_I171007_BXD62_CD_ET1478_SW_Run037.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	control diet
wevan_I171007_BXD63_HF_ET2091_SW_Run029	Mus musculus	Liver	normal	3	high fat diet	BXD63	wevan_I171007_BXD63_HF_ET2091_SW_Run029	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	1	1	wevan_I171007_BXD63_HF_ET2091_SW_Run029.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	high fat diet
wevan_I171007_BXD87_CD_ET2498_SW_Run028	Mus musculus	Liver	normal	1	control diet	BXD87	wevan_I171007_BXD87_CD_ET2498_SW_Run028	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	1	1	wevan_I171007_BXD87_CD_ET2498_SW_Run028.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	control diet
wevan_I171007_BXD90_CD_ET1096_SW_Run034	Mus musculus	Liver	normal	1	control diet	BXD90	wevan_I171007_BXD90_CD_ET1096_SW_Run034	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	1	1	wevan_I171007_BXD90_CD_ET1096_SW_Run034.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	control diet
wevan_I171007_C57BL6_CD_ET1590_SW_Run039	Mus musculus	Liver	normal	1	control diet	C57BL6	wevan_I171007_C57BL6_CD_ET1590_SW_Run039	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	1	1	wevan_I171007_C57BL6_CD_ET1590_SW_Run039.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	control diet
wevan_I171008_B6D2F1_CD_ET1228_SW_Run047	Mus musculus	Liver	normal	3	control diet	B6D2F1	wevan_I171008_B6D2F1_CD_ET1228_SW_Run047	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	1	1	wevan_I171008_B6D2F1_CD_ET1228_SW_Run047.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	control diet
wevan_I171008_B6D2F1_CD_ET1569_SW_Run043	Mus musculus	Liver	normal	4	control diet	B6D2F1	wevan_I171008_B6D2F1_CD_ET1569_SW_Run043	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	1	1	wevan_I171008_B6D2F1_CD_ET1569_SW_Run043.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	control diet
wevan_I171008_B6D2F1_HF_ET1230_SW_Run044	Mus musculus	Liver	normal	1	high fat diet	B6D2F1	wevan_I171008_B6D2F1_HF_ET1230_SW_Run044	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	1	1	wevan_I171008_B6D2F1_HF_ET1230_SW_Run044.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	high fat diet
wevan_I171008_BXD101_CD_ET2114_SW_Run050	Mus musculus	Liver	normal	3	control diet	BXD101	wevan_I171008_BXD101_CD_ET2114_SW_Run050	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	1	1	wevan_I171008_BXD101_CD_ET2114_SW_Run050.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	control diet
wevan_I171008_BXD34_CD_ET1054_SW_Run048	Mus musculus	Liver	normal	1	control diet	BXD34	wevan_I171008_BXD34_CD_ET1054_SW_Run048	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	1	1	wevan_I171008_BXD34_CD_ET1054_SW_Run048.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	control diet
wevan_I171008_BXD34_CD_ET765_SW_Run049	Mus musculus	Liver	normal	2	control diet	BXD34	wevan_I171008_BXD34_CD_ET765_SW_Run049	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	1	1	wevan_I171008_BXD34_CD_ET765_SW_Run049.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	control diet
wevan_I171008_BXD39_CD_ET675_SW_Run042	Mus musculus	Liver	normal	2	control diet	BXD39	wevan_I171008_BXD39_CD_ET675_SW_Run042	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	1	1	wevan_I171008_BXD39_CD_ET675_SW_Run042.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	control diet
