source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[biological replicate]	characteristics[ancestry category]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]
Infected_12h_PanethCells_3_DIAProteomics	NT=Mus musculus;AC=NCBITaxon:10090	small intestine	Paneth cells	Infected with S. Typhimurium	not available	not available years	not available	1	not available	Proteomics_DIA	proteomic profiling by mass spectrometry	Data-independent acquisition	timsTOF Ultra	NT=label free sample;AC=MS:1002038	trypsin	6470	1	TTU_MB_24932_2-3_21092025_9-24-2025_6470.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
Infected_12h_PanethCells_4_DIAProteomics	NT=Mus musculus;AC=NCBITaxon:10090	small intestine	Paneth cells	Infected with S. Typhimurium	not available	not available years	not available	1	not available	Proteomics_DIA	proteomic profiling by mass spectrometry	Data-independent acquisition	timsTOF Ultra	NT=label free sample;AC=MS:1002038	trypsin	6465	1	TTU_MB_24932_2-4_21092025_9-24-2025_6465.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
Infected_24h_PanethCells_1_DIAProteomics	NT=Mus musculus;AC=NCBITaxon:10090	small intestine	Paneth cells	Infected with S. Typhimurium	not available	not available years	not available	1	not available	Proteomics_DIA	proteomic profiling by mass spectrometry	Data-independent acquisition	timsTOF Ultra	NT=label free sample;AC=MS:1002038	trypsin	6454	1	TTU_MB_24932_24-1_21092025_9-23-2025_6454.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
Infected_24h_PanethCells_2_DIAProteomics	NT=Mus musculus;AC=NCBITaxon:10090	small intestine	Paneth cells	Infected with S. Typhimurium	not available	not available years	not available	1	not available	Proteomics_DIA	proteomic profiling by mass spectrometry	Data-independent acquisition	timsTOF Ultra	NT=label free sample;AC=MS:1002038	trypsin	6459	1	TTU_MB_24932_24-2_21092025_9-23-2025_6459.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
Infected_24h_PanethCells_3_DIAProteomics	NT=Mus musculus;AC=NCBITaxon:10090	small intestine	Paneth cells	Infected with S. Typhimurium	not available	not available years	not available	1	not available	Proteomics_DIA	proteomic profiling by mass spectrometry	Data-independent acquisition	timsTOF Ultra	NT=label free sample;AC=MS:1002038	trypsin	6456	1	TTU_MB_24932_24-3_21092025_9-23-2025_6456.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
Infected_24h_PanethCells_4_DIAProteomics	NT=Mus musculus;AC=NCBITaxon:10090	small intestine	Paneth cells	Infected with S. Typhimurium	not available	not available years	not available	1	not available	Proteomics_DIA	proteomic profiling by mass spectrometry	Data-independent acquisition	timsTOF Ultra	NT=label free sample;AC=MS:1002038	trypsin	6453	1	TTU_MB_24932_24-4_21092025_9-23-2025_6453.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
UninfectedCtrl_24h_PanethCells_1_DIAProteomics	NT=Mus musculus;AC=NCBITaxon:10090	small intestine	Paneth cells	Uninfected	not available	not available years	not available	1	not available	Proteomics_DIA	proteomic profiling by mass spectrometry	Data-independent acquisition	timsTOF Ultra	NT=label free sample;AC=MS:1002038	trypsin	6458	1	TTU_MB_24932_24-C1_21092025_9-23-2025_6458.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
UninfectedCtrl_24h_PanethCells_2_DIAProteomics	NT=Mus musculus;AC=NCBITaxon:10090	small intestine	Paneth cells	Uninfected	not available	not available years	not available	1	not available	Proteomics_DIA	proteomic profiling by mass spectrometry	Data-independent acquisition	timsTOF Ultra	NT=label free sample;AC=MS:1002038	trypsin	6455	1	TTU_MB_24932_24-C2_21092025_9-23-2025_6455.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
UninfectedCtrl_24h_PanethCells_3_DIAProteomics	NT=Mus musculus;AC=NCBITaxon:10090	small intestine	Paneth cells	Uninfected	not available	not available years	not available	1	not available	Proteomics_DIA	proteomic profiling by mass spectrometry	Data-independent acquisition	timsTOF Ultra	NT=label free sample;AC=MS:1002038	trypsin	6457	1	TTU_MB_24932_24-C3_21092025_9-23-2025_6457.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
UninfectedCtrl_24h_PanethCells_4_DIAProteomics	NT=Mus musculus;AC=NCBITaxon:10090	small intestine	Paneth cells	Uninfected	not available	not available years	not available	1	not available	Proteomics_DIA	proteomic profiling by mass spectrometry	Data-independent acquisition	timsTOF Ultra	NT=label free sample;AC=MS:1002038	trypsin	6460	1	TTU_MB_24932_24-C4_21092025_9-23-2025_6460.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
