accession	verdict	suggested_organism_part	suggested_cell_type	reason	organism_group	repo_source	fetch_status	repo_organism_parts	repo_organisms	text_tissue_hints	sdrf_organism_part	sdrf_organism	sdrf_cell_type	title	pubmed	repo_url
MSV000093975	stay_not_available			repository has no organism part and no tissue wording in title/description	host_plus_microbe	MassIVE	ok				not applicable	human gut metagenome		Metaproteomic study about diet-induced effects on the gut microbiota of patients affected by Crohn's disease		https://massive.ucsd.edu/ProteoSAFe/dataset.jsp?accession=MSV000093975
MSV000093980	stay_not_applicable_microbe			no repository organism part; unicellular/microbe/metagenome	microbe_or_unicellular	MassIVE	ok				not available	metagenome	not applicable	Casanovo de novo peptide sequencing immunopeptidomics, metaproteomics and dark proteome		https://massive.ucsd.edu/ProteoSAFe/dataset.jsp?accession=MSV000093980
MSV000094832	stay_not_available			repository has no organism part and no tissue wording in title/description	multicellular	MassIVE	ok				not available	Homo sapiens	not applicable	Metaproteome analysis of the coral holobiont demonstrates algal symbiont quiescence under thermal stress		https://massive.ucsd.edu/ProteoSAFe/dataset.jsp?accession=MSV000094832
MSV000096163	stay_not_applicable_microbe			no repository organism part; unicellular/microbe/metagenome	microbe_or_unicellular	MassIVE	ok				not available	metagenome	not applicable	metaExpertPro: a computational workflow for metaproteomics spectral library construction and data-independent acquisition mass spectrometry data analysis		https://massive.ucsd.edu/ProteoSAFe/dataset.jsp?accession=MSV000096163
MSV000096205	stay_not_applicable_microbe			no repository organism part; unicellular/microbe/metagenome	microbe_or_unicellular	MassIVE	ok				not available	metagenome	not applicable	Activity-Targeted SIP-Metaproteomics of a Full-Scale Biogas Facility		https://massive.ucsd.edu/ProteoSAFe/dataset.jsp?accession=MSV000096205
MSV000099592	possible_from_text	leaf		no structured organism part; title/description/keywords mention tissue	multicellular	MassIVE	ok			leaf	not available	Homo sapiens	not applicable	Deciphering taxon-specific metabolic shifts during pathogenic fungal infection in leaf-cutter ant fungal gardens		https://massive.ucsd.edu/ProteoSAFe/dataset.jsp?accession=MSV000099592
MSV000101539	stay_not_applicable_microbe			no repository organism part; unicellular/microbe/metagenome	microbe_or_unicellular	MassIVE	ok				not available	metagenome	not applicable	Purple phototrophic bacteria release crotonate as metabolic overflow pathway		https://massive.ucsd.edu/ProteoSAFe/dataset.jsp?accession=MSV000101539
MSV000102768	stay_not_applicable_microbe			no repository organism part; unicellular/microbe/metagenome	microbe_or_unicellular	MassIVE	ok			leaf; leaves	not available	metagenome	not applicable	Metaproteomic analysis reveals spatial variation in leaf-associated bacterial proteins across Agave salmiana leaves		https://massive.ucsd.edu/ProteoSAFe/dataset.jsp?accession=MSV000102768
PAD000001	fetch_failed			http_404	multicellular	none	http_404				not available	Homo sapiens				https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PAD000001
PMID28625833	fetch_failed			http_404	multicellular	none	http_404				not applicable	Homo sapiens	Epithelial; Epithelial cells; epithelial; not available			https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PMID28625833
PRD000136	stay_not_applicable_microbe			no repository organism part; unicellular/microbe/metagenome	microbe_or_unicellular	PRIDE	ok				not available	metagenome	not applicable	Metaproteomics of Microbial Phyllosphere Communities	19805315	https://www.ebi.ac.uk/pride/archive/projects/PRD000136
PRD000256	stay_not_available			repository has no organism part and no tissue wording in title/description	multicellular	PRIDE	ok		Mus musculus (mouse)		not available	mus musculus	not applicable	mES phosphoproteome data - mES phosphoproteome data		https://www.ebi.ac.uk/pride/archive/projects/PRD000256
PRD000308	stay_not_available			repository has no organism part and no tissue wording in title/description	multicellular	PRIDE	ok		Arabidopsis thaliana (mouse-ear cress)		not available	arabidopsis thaliana	not applicable	Comparative phosphoproteome study of STN8 kinase mutant	21768351	https://www.ebi.ac.uk/pride/archive/projects/PRD000308
PRD000376	stay_not_available			repository has no organism part and no tissue wording in title/description	host_plus_microbe	PRIDE	ok		Saccharomyces cerevisiae (baker's yeast); Homo sapiens (human)		not available	saccharomyces cerevisiae	not applicable	NatB -  N-terminal acetylome analyses and functional insights of the N-terminal acetyltransferase NatB	22814378	https://www.ebi.ac.uk/pride/archive/projects/PRD000376
PRD000382	stay_not_applicable_microbe			no repository organism part; unicellular/microbe/metagenome	microbe_or_unicellular	PRIDE	ok		Fusarium sp.		not available	fusarium sp.	not applicable	Fusarium graminearum WT phosphoproteome, non-limiting conditions	22522806	https://www.ebi.ac.uk/pride/archive/projects/PRD000382
PRD000387	stay_not_available			repository has no organism part and no tissue wording in title/description	other	PRIDE	ok		Lobaria pulmonaria		not available	Lobaria pulmonaria	not applicable	Metaproteomics of Lobaria pulmonaria	21604374	https://www.ebi.ac.uk/pride/archive/projects/PRD000387
PRD000411	stay_not_available			repository has no organism part and no tissue wording in title/description	multicellular	PRIDE	ok		Homo sapiens (human)		not available	homo sapiens	not applicable	TMT6-switch -  Identification and quantification of S-nitrosylation by cysteine reactive tandem mass tag switch assay	22126794	https://www.ebi.ac.uk/pride/archive/projects/PRD000411
PRD000425	stay_not_applicable_microbe			no repository organism part; unicellular/microbe/metagenome	microbe_or_unicellular	PRIDE	ok			leaf	not available	metagenome	not applicable	Metaproteomics of leaf-litter decomposer communities	22402400	https://www.ebi.ac.uk/pride/archive/projects/PRD000425
PRD000525	stay_not_available			repository has no organism part and no tissue wording in title/description	multicellular	PRIDE	ok		Homo sapiens (human)		not available	homo sapiens	not applicable	Phosphoproteomes data analysis - HeLa		https://www.ebi.ac.uk/pride/archive/projects/PRD000525
PRD000526	stay_not_available			repository has no organism part and no tissue wording in title/description	multicellular	PRIDE	ok		Homo sapiens (human)		not available	homo sapiens	not applicable	HeLa phosphoproteomics - TiO2-enriched phosphopeptides		https://www.ebi.ac.uk/pride/archive/projects/PRD000526
PRD000527	stay_not_available			repository has no organism part and no tissue wording in title/description	multicellular	PRIDE	ok		Homo sapiens (human)		not available	homo sapiens	not applicable	Phosphoproteome data analysis- HeLa		https://www.ebi.ac.uk/pride/archive/projects/PRD000527
PXD000018	map_to_cell_type		Fibroblast	repository organism part is a cell type (CL/BTO cell)	multicellular	PRIDE	ok	Fibroblast|CL:0000057; fibroblast|CL:0000057	Mus musculus (mouse)		not available	Mus musculus	embryonic fibroblast	Proteomic analysis of integrin adhesion complex-mediated mechanotransduction		https://www.ebi.ac.uk/pride/archive/projects/PXD000018
PXD000020	stay_not_applicable_microbe			no repository organism part; unicellular/microbe/metagenome	microbe_or_unicellular	PRIDE	ok		Escherichia coli o157:nm		not available	Escherichia coli o157:nm	not available	The metabolic regulation of sporulation and parasporal crystal formation in Bacillus thuringiensis revealed by transcriptomics and proteomics	23408684	https://www.ebi.ac.uk/pride/archive/projects/PXD000020
PXD000023	stay_not_applicable_microbe			no repository organism part; unicellular/microbe/metagenome	microbe_or_unicellular	PRIDE	ok		Escherichia coli o157:h7 (strain tw14359 / ehec)		not available	Escherichia coli	not available	EHEC O157:H7 Sakai vs. TW14359: Secreted and Cytosolic iTRAQ; sepD secretome analysis of TW14359	23985143	https://www.ebi.ac.uk/pride/archive/projects/PXD000023
PXD000025	stay_not_applicable_microbe			no repository organism part; unicellular/microbe/metagenome	microbe_or_unicellular	PRIDE	ok		Rhodopseudomonas palustris		not available	rhodopseudomonas palustris	not applicable	Phosphoproteomic analysis of Rhodopseudomonas palustris	23030682	https://www.ebi.ac.uk/pride/archive/projects/PXD000025
PXD000033	stay_not_available			repository has no organism part and no tissue wording in title/description	multicellular	PRIDE	ok		Arabidopsis thaliana (mouse-ear cress)		not available	arabidopsis thaliana	not applicable	ATM and ATR- dependent protein phosphorylation induced within 15 minutes after gamma irradiation in Arabidopsis thaliana	25561503	https://www.ebi.ac.uk/pride/archive/projects/PXD000033
PXD000041	stay_not_applicable_microbe			no repository organism part; unicellular/microbe/metagenome	microbe_or_unicellular	PRIDE	ok		Schizosaccharomyces pombe 972h-		not available	Schizosaccharomyces pombe		Hrp3-TAP_Purification from Schizosaccharomyces pombe	23103765	https://www.ebi.ac.uk/pride/archive/projects/PXD000041
PXD000089	possible_from_text	colon		no structured organism part; title/description/keywords mention tissue	multicellular	PRIDE	ok		Homo sapiens (human)	colorectal; colon	not available	homo sapiens	not applicable	Proteomic and phosphoproteomic data of colorectal cancer tissues and cells for Chromosome-Centric Human Proteome Project	23312004	https://www.ebi.ac.uk/pride/archive/projects/PXD000089
PXD000094	stay_not_applicable_microbe			no repository organism part; unicellular/microbe/metagenome	microbe_or_unicellular	PRIDE	ok		Bacteria		not applicable	Bacteria	not applicable	Proteogenomics of Tistlia consotensis	23727365	https://www.ebi.ac.uk/pride/archive/projects/PXD000094
PXD000107	stay_not_applicable_microbe			no repository organism part; unicellular/microbe/metagenome	microbe_or_unicellular	PRIDE	ok		Pseudomonas aeruginosa pao1		not available	Pseudomonas aeruginosa pao1		Pseudomonas aeruginosa inner membrane proteome	23744604	https://www.ebi.ac.uk/pride/archive/projects/PXD000107
PXD000114	stay_not_available			repository has no organism part and no tissue wording in title/description	host_plus_microbe	PRIDE	ok		Homo sapiens (human)		not applicable	human gut metagenome		Metaproteomics of Premature Infant Gut Colonization	26077811	https://www.ebi.ac.uk/pride/archive/projects/PXD000114
PXD000125	stay_not_available			repository has no organism part and no tissue wording in title/description	multicellular	PRIDE	ok		Homo sapiens (human)		not available	Homo sapiens		Comprehensive identification of proteins from MALDI imaging	23782541	https://www.ebi.ac.uk/pride/archive/projects/PXD000125
PXD000150	stay_not_applicable_microbe			no repository organism part; unicellular/microbe/metagenome	microbe_or_unicellular	PRIDE	ok		Escherichia coli		not applicable	Escherichia coli	not applicable	MSE vs IM-MSE comparison - The experiment was conducted to compare the MSE and IM-MSE acquisiton modes		https://www.ebi.ac.uk/pride/archive/projects/PXD000150
PXD000151	stay_not_available			repository has no organism part and no tissue wording in title/description	multicellular	PRIDE	ok		Homo sapiens (human)		not available	Homo sapiens		Adaptation of a commonly used, chemically defined medium for human embryonic stem cells to stable isotope labeling with amino acids in cell culture (SILAC)	23734825	https://www.ebi.ac.uk/pride/archive/projects/PXD000151
PXD000153	stay_not_available			repository has no organism part and no tissue wording in title/description	other	PRIDE	ok		Bartonella henselae (strain atcc 49882 / houston 1) (rochalimaea henselae)		not applicable	Bartonella henselae	not applicable	Complete Expressed Proteome of Bartonella Henselae	23878158	https://www.ebi.ac.uk/pride/archive/projects/PXD000153
PXD000158	possible_from_text	heart		no structured organism part; title/description/keywords mention tissue	multicellular	PRIDE	ok		Homo sapiens (human); Mus musculus (mouse)	cardiac; heart	not available	homo sapiens	not applicable	Characterization of the Cardiac Myosin Binding Protein-C Phosphoproteome in Healthy and Failing Human Hearts	23619294	https://www.ebi.ac.uk/pride/archive/projects/PXD000158
PXD000159	stay_not_available			repository has no organism part and no tissue wording in title/description	multicellular	PRIDE	ok		Homo sapiens (human)		not available	Homo sapiens		SIRT6 and SIRT7 binding proteome	24782448	https://www.ebi.ac.uk/pride/archive/projects/PXD000159
PXD000164	possible_from_text	urine; bladder		no structured organism part; title/description/keywords mention tissue	host_plus_microbe	PRIDE	ok		Morganella; Morganella; Homo sapiens (human); Pseudomonas sp.	urine; bladder	not available	Homo sapiens	not applicable	A Metaproteomics Approach to Elucidate Host and Pathogen Protein Expression during Catheter-Associated Urinary Tract Infections	25673765	https://www.ebi.ac.uk/pride/archive/projects/PXD000164
PXD000173	stay_not_applicable_microbe			no repository organism part; unicellular/microbe/metagenome	microbe_or_unicellular	PRIDE	ok		Saccharomyces cerevisiae (baker's yeast)		not available	Saccharomyces cerevisiae		Immunoprecipitated proteins associated with foci-forming Eno2p-EGFP-FLAG or non-forming Eno2V22Ap-EGFP-FLAG in yeast Saccharomyces cerevisiae under hypoxia	23748432	https://www.ebi.ac.uk/pride/archive/projects/PXD000173
PXD000177	possible_from_text	root		no structured organism part; title/description/keywords mention tissue	multicellular	PRIDE	ok		Arabidopsis thaliana (mouse-ear cress)	root	not available	arabidopsis thaliana	not applicable	Quantitative Phosphoproteomics after auxin-stimulated lateral root induction	23328941	https://www.ebi.ac.uk/pride/archive/projects/PXD000177
PXD000178	stay_not_available			repository has no organism part and no tissue wording in title/description	multicellular	PRIDE	ok		Gossypium		not available	gossypium	not applicable	Cotton Fiber Glycoproteome -  Glycoproteome of elongating cotton fiber cells	24019148	https://www.ebi.ac.uk/pride/archive/projects/PXD000178
PXD000184	stay_not_available			repository has no organism part and no tissue wording in title/description	other	PRIDE	ok		Thermus thermophilus		not available	thermus thermophilus	not applicable	Acetylome of Thermus thermophilus HB8	23901841	https://www.ebi.ac.uk/pride/archive/projects/PXD000184
PXD000189	stay_not_applicable_microbe			no repository organism part; unicellular/microbe/metagenome	microbe_or_unicellular	PRIDE	ok		Pseudomonas aeruginosa pao1		not available	Pseudomonas aeruginosa pao1		Searching for Pseudomonas aeruginosa MagD partners	23919994	https://www.ebi.ac.uk/pride/archive/projects/PXD000189
PXD000203	stay_not_available			repository has no organism part and no tissue wording in title/description	multicellular	PRIDE	ok		Mus musculus (mouse)		not available	Mus musculus		Mouse splenocyte proteome -  Proteome characterization of splenocytes from an Aβpp/ps-1 Alzheimer's disease model	24293237	https://www.ebi.ac.uk/pride/archive/projects/PXD000203
PXD000213	stay_not_available			repository has no organism part and no tissue wording in title/description	other	PRIDE	ok		Unidentified		not available	Unidentified		Pandoravirus proteome -  Pandoraviruses: amoeba viruses with genomes up to 2	23869018	https://www.ebi.ac.uk/pride/archive/projects/PXD000213
PXD000222	map_to_cell_type		Permanent cell line cell; Cell culture	repository organism part is a cell type (CL/BTO cell)	multicellular	PRIDE	ok	Permanent cell line cell|CL:0000002; Cell culture|BTO:0000214; cell culture|BTO:0000214; permanent cell line cell|CL:0000002	Homo sapiens (human)		not available	homo sapiens	not applicable	Comparative Phosphoproteomic Analysis of G2-checkpoint Recovery	23612710	https://www.ebi.ac.uk/pride/archive/projects/PXD000222
PXD000225	stay_not_available			repository has no organism part and no tissue wording in title/description	multicellular	PRIDE	ok		Homo sapiens (human)		not available	homo sapiens	not applicable	Phosphoproteomics study on protein kinase C delta induced cell death	23879269	https://www.ebi.ac.uk/pride/archive/projects/PXD000225
PXD000228	review_mixed	blood	Platelet	repository mixes anatomy with cell type/culture; do not copy blindly	multicellular	PRIDE	ok	Blood|BTO:0000089; Platelet|CL:0000233; blood|BTO:0000089; platelet|CL:0000233	Homo sapiens (human)		not applicable	Homo sapiens	platelet	Stimulated Human Platelet Lysate: control, PAR1 and PAR4 stimulated	24776597	https://www.ebi.ac.uk/pride/archive/projects/PXD000228
PXD000238	possible_from_text	prostate gland		no structured organism part; title/description/keywords mention tissue	multicellular	PRIDE	ok		Homo sapiens (human)	prostate	not available	homo sapiens	not applicable	Phosphoproteomic Analysis of Lethal Castration Resistant Prostate Cancer Reveals Patient but not Metastatic Site Heterogeneity of Tyrosine Kinase Activation	24248375	https://www.ebi.ac.uk/pride/archive/projects/PXD000238
PXD000239	possible_from_text	breast		no structured organism part; title/description/keywords mention tissue	multicellular	PRIDE	ok		Homo sapiens (human)	breast	not available	homo sapiens	MDA-MB-231 cell	Characterization of the novel broad-spectrum kinase inhibitor CTx-0294885 as an affinity reagent for mass spectrometry-based kinome profiling	23692254	https://www.ebi.ac.uk/pride/archive/projects/PXD000239
PXD000241	stay_not_applicable_microbe			no repository organism part; unicellular/microbe/metagenome	microbe_or_unicellular	PRIDE	ok		Escherichia coli		not available	Escherichia coli	not available	Serine Hydrolases from E. Coli		https://www.ebi.ac.uk/pride/archive/projects/PXD000241
PXD000273	stay_not_applicable_microbe			no repository organism part; unicellular/microbe/metagenome	microbe_or_unicellular	PRIDE	ok		Bacillus subtilis subsp. subtilis str. 168		not available	bacillus subtilis subsp. subtilis str. 168	not applicable	Quantitative proteomics reveals the role of arginine phosphorylation in bacterial stress response	24263382	https://www.ebi.ac.uk/pride/archive/projects/PXD000273
PXD000276	map_to_cell_type		Permanent cell line cell; Cell culture	repository organism part is a cell type (CL/BTO cell)	microbe_or_unicellular	PRIDE	ok	Permanent cell line cell|CL:0000002; Cell culture|BTO:0000214; cell culture|BTO:0000214; permanent cell line cell|CL:0000002	Schizosaccharomyces pombe		not available	Schizosaccharomyces pombe		Quantitative analysis of fission yeast transcriptomes and proteomes in proliferating and quiescent cells	23101633	https://www.ebi.ac.uk/pride/archive/projects/PXD000276
PXD000279	stay_not_available			repository has no organism part and no tissue wording in title/description	host_plus_microbe	PRIDE	ok		Escherichia coli; Homo sapiens (human)		not available	Homo sapiens	not available	MaxLFQ label-free quantification algorithm benchmark datasets	24942700	https://www.ebi.ac.uk/pride/archive/projects/PXD000279
PXD000289	stay_not_applicable_microbe			no repository organism part; unicellular/microbe/metagenome	microbe_or_unicellular	PRIDE	ok		Sulfolobus acidocaldarius		not available	sulfolobus acidocaldarius	not applicable	Sulfolobus acidocaldarius phosphoproteome	24078887	https://www.ebi.ac.uk/pride/archive/projects/PXD000289
PXD000292	stay_not_applicable_microbe			no repository organism part; unicellular/microbe/metagenome	microbe_or_unicellular	PRIDE	ok		Saccharomyces cerevisiae (baker's yeast)		not available	Saccharomyces cerevisiae		ChaFRADIC: A novel SCX-based approach for N-terminal Enrichment	23964590	https://www.ebi.ac.uk/pride/archive/projects/PXD000292
PXD000333	stay_not_available			repository has no organism part and no tissue wording in title/description	multicellular	PRIDE	ok		Homo sapiens (human)		not available	homo sapiens	not applicable	Human Primary T-cells Phospoproteomic WorkFlow	25055762	https://www.ebi.ac.uk/pride/archive/projects/PXD000333
PXD000357	stay_not_available			repository has no organism part and no tissue wording in title/description	multicellular	PRIDE	ok		Homo sapiens (human)		not available	Homo sapiens		Identification of ERK1 direct substrates using stable isotope labeled kinase assay linked phosphoproteomics	25022875	https://www.ebi.ac.uk/pride/archive/projects/PXD000357
