source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[cell line]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[material type]	characteristics[biological replicate]	characteristics[ancestry category]	characteristics[phenotype]	characteristics[individual]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]
289_OS_CTL_T1	NT=Mus musculus;AC=NCBITaxon:10090	Retina	not applicable	NT=normal;AC=PATO:0000461	not applicable	adult	P35	female	Tissue	11	not available	adenoma	289_OS	run 11	SWATH-MS	Data-independent acquisition	NT=ZenoTOF 7600;AC=MS:1003293	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=CID; AC =MS:1000133	20 ppm	20 ppm	11	1	20220511_314_OS_LIM_T2.wiff	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0
289_OS_CTL_T2	NT=Mus musculus;AC=NCBITaxon:10090	Retina	not applicable	NT=normal;AC=PATO:0000461	not applicable	adult	P35	female	Tissue	12	not available	adenoma	289_OS	run 12	SWATH-MS	Data-independent acquisition	NT=ZenoTOF 7600;AC=MS:1003293	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=CID; AC =MS:1000133	20 ppm	20 ppm	12	2	20220511_331_OD_CTL_T2.wiff	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0
294_OD_CTL_T1	NT=Mus musculus;AC=NCBITaxon:10090	Retina	not applicable	Myopia	not applicable	adult	P35	male	Tissue	13	not available	adenoma	294_OD	run 25	SWATH-MS	Data-independent acquisition	NT=ZenoTOF 7600;AC=MS:1003293	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=CID; AC =MS:1000133	20 ppm	20 ppm	13	1	20220511_255_OS_CTL_T2.wiff	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0
294_OD_CTL_T2	NT=Mus musculus;AC=NCBITaxon:10090	Retina	not applicable	Myopia	not applicable	adult	P35	male	Tissue	14	not available	adenoma	294_OD	run 26	SWATH-MS	Data-independent acquisition	NT=ZenoTOF 7600;AC=MS:1003293	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=CID; AC =MS:1000133	20 ppm	20 ppm	14	2	20220511_255_OD_LIM_T1.wiff	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0
294_OS_LIM_T1	NT=Mus musculus;AC=NCBITaxon:10090	Retina	not applicable	NT=normal;AC=PATO:0000461	not applicable	adult	P35	male	Tissue	15	not available	adenoma	294_OS	run 27	SWATH-MS	Data-independent acquisition	NT=ZenoTOF 7600;AC=MS:1003293	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=CID; AC =MS:1000133	20 ppm	20 ppm	15	1	20220511_331_OS_LIM_T2.wiff	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0
294_OS_LIM_T2	NT=Mus musculus;AC=NCBITaxon:10090	Retina	not applicable	NT=normal;AC=PATO:0000461	not applicable	adult	P35	male	Tissue	16	not available	adenoma	294_OS	run 28	SWATH-MS	Data-independent acquisition	NT=ZenoTOF 7600;AC=MS:1003293	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=CID; AC =MS:1000133	20 ppm	20 ppm	16	2	20220511_331_OD_CTL_T1.wiff	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0
306_OD_LIM_T1	NT=Mus musculus;AC=NCBITaxon:10090	Retina	not applicable	Myopia	not applicable	adult	P28	female	Tissue	17	not available	adenoma	306_OD	run 29	SWATH-MS	Data-independent acquisition	NT=ZenoTOF 7600;AC=MS:1003293	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=CID; AC =MS:1000133	20 ppm	20 ppm	17	1	20220511_311_OS_CTL_T2.wiff	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0
306_OD_LIM_T2	NT=Mus musculus;AC=NCBITaxon:10090	Retina	not applicable	Myopia	not applicable	adult	P28	female	Tissue	18	not available	adenoma	306_OD	run 30	SWATH-MS	Data-independent acquisition	NT=ZenoTOF 7600;AC=MS:1003293	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=CID; AC =MS:1000133	20 ppm	20 ppm	18	2	20220511_325_OS_CTL_T2.wiff	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0
306_OS_CTL_T1	NT=Mus musculus;AC=NCBITaxon:10090	Retina	not applicable	NT=normal;AC=PATO:0000461	not applicable	adult	P28	female	Tissue	19	not available	adenoma	306_OS	run 31	SWATH-MS	Data-independent acquisition	NT=ZenoTOF 7600;AC=MS:1003293	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=CID; AC =MS:1000133	20 ppm	20 ppm	19	1	20220511_325_OD_LIM_T1.wiff	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0
306_OS_CTL_T2	NT=Mus musculus;AC=NCBITaxon:10090	Retina	not applicable	NT=normal;AC=PATO:0000461	not applicable	adult	P28	female	Tissue	20	not available	adenoma	306_OS	run 32	SWATH-MS	Data-independent acquisition	NT=ZenoTOF 7600;AC=MS:1003293	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=CID; AC =MS:1000133	20 ppm	20 ppm	20	2	20220511_289_OS_CTL_T1.wiff	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0
311_OD_LIM_T1	NT=Mus musculus;AC=NCBITaxon:10090	Retina	not applicable	Myopia	not applicable	adult	P28	male	Tissue	21	not available	adenoma	311_OD	run 33	SWATH-MS	Data-independent acquisition	NT=ZenoTOF 7600;AC=MS:1003293	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=CID; AC =MS:1000133	20 ppm	20 ppm	21	1	20220511_314_OD_CTL_T1.wiff	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0
311_OD_LIM_T2	NT=Mus musculus;AC=NCBITaxon:10090	Retina	not applicable	Myopia	not applicable	adult	P28	male	Tissue	22	not available	adenoma	311_OD	run 34	SWATH-MS	Data-independent acquisition	NT=ZenoTOF 7600;AC=MS:1003293	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=CID; AC =MS:1000133	20 ppm	20 ppm	22	2	20220511_333_OS_CTL_T1.wiff	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0
311_OS_CTL_T1	NT=Mus musculus;AC=NCBITaxon:10090	Retina	not applicable	NT=normal;AC=PATO:0000461	not applicable	adult	P28	male	Tissue	23	not available	adenoma	311_OS	run 35	SWATH-MS	Data-independent acquisition	NT=ZenoTOF 7600;AC=MS:1003293	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=CID; AC =MS:1000133	20 ppm	20 ppm	23	1	20220511_314_OD_CTL_T2.wiff	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0
311_OS_CTL_T2	NT=Mus musculus;AC=NCBITaxon:10090	Retina	not applicable	NT=normal;AC=PATO:0000461	not applicable	adult	P28	male	Tissue	24	not available	adenoma	311_OS	run 36	SWATH-MS	Data-independent acquisition	NT=ZenoTOF 7600;AC=MS:1003293	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=CID; AC =MS:1000133	20 ppm	20 ppm	24	2	20220511_336_OS_CTL_T2.wiff	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0
314_OD_CTL_T1	NT=Mus musculus;AC=NCBITaxon:10090	Retina	not applicable	Myopia	not applicable	adult	P28	female	Tissue	25	not available	adenoma	314_OD	run 73	SWATH-MS	Data-independent acquisition	NT=ZenoTOF 7600;AC=MS:1003293	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=CID; AC =MS:1000133	20 ppm	20 ppm	25	1	20220511_294_OD_CTL_T1.wiff	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0
314_OD_CTL_T2	NT=Mus musculus;AC=NCBITaxon:10090	Retina	not applicable	Myopia	not applicable	adult	P28	female	Tissue	26	not available	adenoma	314_OD	run 74	SWATH-MS	Data-independent acquisition	NT=ZenoTOF 7600;AC=MS:1003293	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=CID; AC =MS:1000133	20 ppm	20 ppm	26	2	20220511_331_OS_LIM_T1.wiff	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0
314_OS_LIM_T1	NT=Mus musculus;AC=NCBITaxon:10090	Retina	not applicable	NT=normal;AC=PATO:0000461	not applicable	adult	P28	female	Tissue	27	not available	adenoma	314_OS	run 75	SWATH-MS	Data-independent acquisition	NT=ZenoTOF 7600;AC=MS:1003293	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=CID; AC =MS:1000133	20 ppm	20 ppm	27	1	20220511_333_OD_LIM_T1.wiff	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0
314_OS_LIM_T2	NT=Mus musculus;AC=NCBITaxon:10090	Retina	not applicable	NT=normal;AC=PATO:0000461	not applicable	adult	P28	female	Tissue	28	not available	adenoma	314_OS	run 76	SWATH-MS	Data-independent acquisition	NT=ZenoTOF 7600;AC=MS:1003293	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=CID; AC =MS:1000133	20 ppm	20 ppm	28	2	20220511_325_OD_LIM_T2.wiff	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0
325_OD_LIM_T1	NT=Mus musculus;AC=NCBITaxon:10090	Retina	not applicable	Myopia	not applicable	adult	P28	male	Tissue	29	not available	adenoma	325_OD	run 77	SWATH-MS	Data-independent acquisition	NT=ZenoTOF 7600;AC=MS:1003293	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=CID; AC =MS:1000133	20 ppm	20 ppm	29	1	20220511_306_OS_CTL_T2.wiff	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0
325_OD_LIM_T2	NT=Mus musculus;AC=NCBITaxon:10090	Retina	not applicable	Myopia	not applicable	adult	P28	male	Tissue	30	not available	adenoma	325_OD	run 78	SWATH-MS	Data-independent acquisition	NT=ZenoTOF 7600;AC=MS:1003293	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=CID; AC =MS:1000133	20 ppm	20 ppm	30	2	20220511_336_OD_LIM_T1.wiff	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0
325_OS_CTL_T1	NT=Mus musculus;AC=NCBITaxon:10090	Retina	not applicable	NT=normal;AC=PATO:0000461	not applicable	adult	P28	male	Tissue	31	not available	adenoma	325_OS	run 79	SWATH-MS	Data-independent acquisition	NT=ZenoTOF 7600;AC=MS:1003293	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=CID; AC =MS:1000133	20 ppm	20 ppm	31	1	20220511_262_OS_CTL_T1.wiff	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0
325_OS_CTL_T2	NT=Mus musculus;AC=NCBITaxon:10090	Retina	not applicable	NT=normal;AC=PATO:0000461	not applicable	adult	P28	male	Tissue	32	not available	adenoma	325_OS	run 80	SWATH-MS	Data-independent acquisition	NT=ZenoTOF 7600;AC=MS:1003293	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=CID; AC =MS:1000133	20 ppm	20 ppm	32	2	20220511_294_OS_LIM_T1.wiff	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0
331_OD_CTL_T1	NT=Mus musculus;AC=NCBITaxon:10090	Retina	not applicable	Myopia	not applicable	adult	P35	male	Tissue	33	not available	adenoma	331_OD	run 81	SWATH-MS	Data-independent acquisition	NT=ZenoTOF 7600;AC=MS:1003293	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=CID; AC =MS:1000133	20 ppm	20 ppm	33	1	20220511_314_OS_LIM_T1.wiff	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0
331_OD_CTL_T2	NT=Mus musculus;AC=NCBITaxon:10090	Retina	not applicable	Myopia	not applicable	adult	P35	male	Tissue	34	not available	adenoma	331_OD	run 82	SWATH-MS	Data-independent acquisition	NT=ZenoTOF 7600;AC=MS:1003293	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=CID; AC =MS:1000133	20 ppm	20 ppm	34	2	20220511_333_OS_CTL_T2.wiff	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0
331_OS_LIM_T1	NT=Mus musculus;AC=NCBITaxon:10090	Retina	not applicable	NT=normal;AC=PATO:0000461	not applicable	adult	P35	male	Tissue	35	not available	adenoma	331_OS	run 83	SWATH-MS	Data-independent acquisition	NT=ZenoTOF 7600;AC=MS:1003293	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=CID; AC =MS:1000133	20 ppm	20 ppm	35	1	20220511_294_OS_LIM_T2.wiff	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0
331_OS_LIM_T2	NT=Mus musculus;AC=NCBITaxon:10090	Retina	not applicable	NT=normal;AC=PATO:0000461	not applicable	adult	P35	male	Tissue	36	not available	adenoma	331_OS	run 84	SWATH-MS	Data-independent acquisition	NT=ZenoTOF 7600;AC=MS:1003293	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=CID; AC =MS:1000133	20 ppm	20 ppm	36	2	20220511_262_OD_LIM_T2.wiff	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0
333_OD_LIM_T1	NT=Mus musculus;AC=NCBITaxon:10090	Retina	not applicable	Myopia	not applicable	adult	P28	female	Tissue	37	not available	adenoma	333_OD	run 85	SWATH-MS	Data-independent acquisition	NT=ZenoTOF 7600;AC=MS:1003293	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=CID; AC =MS:1000133	20 ppm	20 ppm	37	1	20220511_294_OD_CTL_T2.wiff	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0
333_OD_LIM_T2	NT=Mus musculus;AC=NCBITaxon:10090	Retina	not applicable	Myopia	not applicable	adult	P28	female	Tissue	38	not available	adenoma	333_OD	run 86	SWATH-MS	Data-independent acquisition	NT=ZenoTOF 7600;AC=MS:1003293	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=CID; AC =MS:1000133	20 ppm	20 ppm	38	2	20220511_289_OS_CTL_T2.wiff	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0
333_OS_CTL_T1	NT=Mus musculus;AC=NCBITaxon:10090	Retina	not applicable	NT=normal;AC=PATO:0000461	not applicable	adult	P28	female	Tissue	39	not available	adenoma	333_OS	run 87	SWATH-MS	Data-independent acquisition	NT=ZenoTOF 7600;AC=MS:1003293	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=CID; AC =MS:1000133	20 ppm	20 ppm	39	1	20220511_336_OS_CTL_T1.wiff	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0
333_OS_CTL_T2	NT=Mus musculus;AC=NCBITaxon:10090	Retina	not applicable	NT=normal;AC=PATO:0000461	not applicable	adult	P28	female	Tissue	40	not available	adenoma	333_OS	run 88	SWATH-MS	Data-independent acquisition	NT=ZenoTOF 7600;AC=MS:1003293	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=CID; AC =MS:1000133	20 ppm	20 ppm	40	2	20220511_255_OD_LIM_T2.wiff	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0
336_OD_LIM_T1	NT=Mus musculus;AC=NCBITaxon:10090	Retina	not applicable	Myopia	not applicable	adult	P28	male	Tissue	41	not available	adenoma	336_OD	run 89	SWATH-MS	Data-independent acquisition	NT=ZenoTOF 7600;AC=MS:1003293	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=CID; AC =MS:1000133	20 ppm	20 ppm	41	1	20220511_255_OS_CTL_T1.wiff	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0
336_OD_LIM_T2	NT=Mus musculus;AC=NCBITaxon:10090	Retina	not applicable	Myopia	not applicable	adult	P28	male	Tissue	42	not available	adenoma	336_OD	run 90	SWATH-MS	Data-independent acquisition	NT=ZenoTOF 7600;AC=MS:1003293	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=CID; AC =MS:1000133	20 ppm	20 ppm	42	2	20220511_311_OD_LIM_T1.wiff	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0
336_OS_CTL_T1	NT=Mus musculus;AC=NCBITaxon:10090	Retina	not applicable	NT=normal;AC=PATO:0000461	not applicable	adult	P28	male	Tissue	43	not available	adenoma	336_OS	run 91	SWATH-MS	Data-independent acquisition	NT=ZenoTOF 7600;AC=MS:1003293	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=CID; AC =MS:1000133	20 ppm	20 ppm	43	1	20220511_262_OS_CTL_T2.wiff	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0
336_OS_CTL_T2	NT=Mus musculus;AC=NCBITaxon:10090	Retina	not applicable	NT=normal;AC=PATO:0000461	not applicable	adult	P28	male	Tissue	44	not available	adenoma	336_OS	run 92	SWATH-MS	Data-independent acquisition	NT=ZenoTOF 7600;AC=MS:1003293	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=CID; AC =MS:1000133	20 ppm	20 ppm	44	2	20220511_289_OD_LIM_T1.wiff	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0
