source name	characteristics[organism]	characteristics[organism part]	characteristics[cell line]	characteristics[cell type]	characteristics[disease]	characteristics[material type]	characteristics[age]	characteristics[sex]	characteristics[individual]	characteristics[developmental stage]	characteristics[biological replicate]	characteristics[immunopeptidome enrichment method]	characteristics[mhc protein complex]	characteristics[mhc typing]	characteristics[antibody enrichment]	assay name	technology type	comment[data file]	comment[technical replicate]	comment[instrument]	comment[proteomics data acquisition method]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms2 mass analyzer]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[source name]
RPMI7951_DMSO	Homo sapiens	not applicable	RPMI-7951	melanocyte	cutaneous melanoma	cell	not available	not available	RPMI-7951	not available	2	immunoaffinity purification	MHC class I protein complex	HLA-A*02:01	W6/32 (pan-HLA class I)	RPMI7951_dmso_2	proteomic profiling by mass spectrometry	RPMI7951_dmso_2_Targeted.raw	1	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=parallel reaction monitoring;AC=MS:1003907	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35;PP=Anywhere	10 ppm	0.02 Da	NT=orbitrap;AC=MS:1000484	v1.1.0	NT=human;VV=v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	RPMI7951_DMSO
RPMI7951_DMSO	Homo sapiens	not applicable	RPMI-7951	melanocyte	cutaneous melanoma	cell	not available	not available	RPMI-7951	not available	3	immunoaffinity purification	MHC class I protein complex	HLA-A*02:01	W6/32 (pan-HLA class I)	RPMI7951_dmso_3	proteomic profiling by mass spectrometry	RPMI7951_dmso_3_Targeted.raw	1	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=parallel reaction monitoring;AC=MS:1003907	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35;PP=Anywhere	10 ppm	0.02 Da	NT=orbitrap;AC=MS:1000484	v1.1.0	NT=human;VV=v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	RPMI7951_DMSO
RPMI7951_100nM	Homo sapiens	not applicable	RPMI-7951	melanocyte	cutaneous melanoma	cell	not available	not available	RPMI-7951	not available	1	immunoaffinity purification	MHC class I protein complex	HLA-A*02:01	W6/32 (pan-HLA class I)	RPMI7951_100nM_1	proteomic profiling by mass spectrometry	RPMI7951_100nM_1_Targeted.raw	1	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=parallel reaction monitoring;AC=MS:1003907	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35;PP=Anywhere	10 ppm	0.02 Da	NT=orbitrap;AC=MS:1000484	v1.1.0	NT=human;VV=v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	RPMI7951_100nM
RPMI7951_100nM	Homo sapiens	not applicable	RPMI-7951	melanocyte	cutaneous melanoma	cell	not available	not available	RPMI-7951	not available	2	immunoaffinity purification	MHC class I protein complex	HLA-A*02:01	W6/32 (pan-HLA class I)	RPMI7951_100nM_2	proteomic profiling by mass spectrometry	RPMI7951_100nM_2_Targeted.raw	1	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=parallel reaction monitoring;AC=MS:1003907	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35;PP=Anywhere	10 ppm	0.02 Da	NT=orbitrap;AC=MS:1000484	v1.1.0	NT=human;VV=v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	RPMI7951_100nM
RPMI7951_100nM	Homo sapiens	not applicable	RPMI-7951	melanocyte	cutaneous melanoma	cell	not available	not available	RPMI-7951	not available	3	immunoaffinity purification	MHC class I protein complex	HLA-A*02:01	W6/32 (pan-HLA class I)	RPMI7951_100nM_3	proteomic profiling by mass spectrometry	RPMI7951_100nM_3_Targeted.raw	1	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=parallel reaction monitoring;AC=MS:1003907	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35;PP=Anywhere	10 ppm	0.02 Da	NT=orbitrap;AC=MS:1000484	v1.1.0	NT=human;VV=v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	RPMI7951_100nM
RPMI7951_1uM	Homo sapiens	not applicable	RPMI-7951	melanocyte	cutaneous melanoma	cell	not available	not available	RPMI-7951	not available	1	immunoaffinity purification	MHC class I protein complex	HLA-A*02:01	W6/32 (pan-HLA class I)	RPMI7951_1uM_1	proteomic profiling by mass spectrometry	RPMI7951_1uM_1_Targeted.raw	1	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=parallel reaction monitoring;AC=MS:1003907	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35;PP=Anywhere	10 ppm	0.02 Da	NT=orbitrap;AC=MS:1000484	v1.1.0	NT=human;VV=v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	RPMI7951_1uM
RPMI7951_1uM	Homo sapiens	not applicable	RPMI-7951	melanocyte	cutaneous melanoma	cell	not available	not available	RPMI-7951	not available	2	immunoaffinity purification	MHC class I protein complex	HLA-A*02:01	W6/32 (pan-HLA class I)	RPMI7951_1uM_2	proteomic profiling by mass spectrometry	RPMI7951_1uM_2_Targeted.raw	1	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=parallel reaction monitoring;AC=MS:1003907	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35;PP=Anywhere	10 ppm	0.02 Da	NT=orbitrap;AC=MS:1000484	v1.1.0	NT=human;VV=v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	RPMI7951_1uM
RPMI7951_1uM	Homo sapiens	not applicable	RPMI-7951	melanocyte	cutaneous melanoma	cell	not available	not available	RPMI-7951	not available	3	immunoaffinity purification	MHC class I protein complex	HLA-A*02:01	W6/32 (pan-HLA class I)	RPMI7951_1uM_3	proteomic profiling by mass spectrometry	RPMI7951_1uM_3_Targeted.raw	1	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=parallel reaction monitoring;AC=MS:1003907	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35;PP=Anywhere	10 ppm	0.02 Da	NT=orbitrap;AC=MS:1000484	v1.1.0	NT=human;VV=v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	RPMI7951_1uM
SKMEL5_1uM	Homo sapiens	not applicable	SK-MEL-5	melanocyte	cutaneous melanoma	cell	not available	not available	SK-MEL-5	not available	1	immunoaffinity purification	MHC class I protein complex	HLA-A*02:01	W6/32 (pan-HLA class I)	SKMEL5_1uM_1	proteomic profiling by mass spectrometry	SKMEL5_1uM_1_Targeted.raw	1	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=parallel reaction monitoring;AC=MS:1003907	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35;PP=Anywhere	10 ppm	0.02 Da	NT=orbitrap;AC=MS:1000484	v1.1.0	NT=human;VV=v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	SKMEL5_1uM
SKMEL5_1uM	Homo sapiens	not applicable	SK-MEL-5	melanocyte	cutaneous melanoma	cell	not available	not available	SK-MEL-5	not available	2	immunoaffinity purification	MHC class I protein complex	HLA-A*02:01	W6/32 (pan-HLA class I)	SKMEL5_1uM_2	proteomic profiling by mass spectrometry	SKMEL5_1uM_2_Targeted.raw	1	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=parallel reaction monitoring;AC=MS:1003907	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35;PP=Anywhere	10 ppm	0.02 Da	NT=orbitrap;AC=MS:1000484	v1.1.0	NT=human;VV=v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	SKMEL5_1uM
SKMEL5_1uM	Homo sapiens	not applicable	SK-MEL-5	melanocyte	cutaneous melanoma	cell	not available	not available	SK-MEL-5	not available	3	immunoaffinity purification	MHC class I protein complex	HLA-A*02:01	W6/32 (pan-HLA class I)	SKMEL5_1uM_3	proteomic profiling by mass spectrometry	SKMEL5_1uM_3_Targeted.raw	1	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=parallel reaction monitoring;AC=MS:1003907	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35;PP=Anywhere	10 ppm	0.02 Da	NT=orbitrap;AC=MS:1000484	v1.1.0	NT=human;VV=v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	SKMEL5_1uM
SKMEL5_1uM	Homo sapiens	not applicable	SK-MEL-5	melanocyte	cutaneous melanoma	cell	not available	not available	SK-MEL-5	not available	1	immunoaffinity purification	MHC class I protein complex	HLA-A*02:01	W6/32 (pan-HLA class I)	SKMEL5_1uM_1_adj	proteomic profiling by mass spectrometry	SKMEL5_1uM_1_adj_Targeted.raw	2	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=parallel reaction monitoring;AC=MS:1003907	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35;PP=Anywhere	10 ppm	0.02 Da	NT=orbitrap;AC=MS:1000484	v1.1.0	NT=human;VV=v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	SKMEL5_1uM
SKMEL5_1uM	Homo sapiens	not applicable	SK-MEL-5	melanocyte	cutaneous melanoma	cell	not available	not available	SK-MEL-5	not available	2	immunoaffinity purification	MHC class I protein complex	HLA-A*02:01	W6/32 (pan-HLA class I)	SKMEL5_1uM_2_adj	proteomic profiling by mass spectrometry	SKMEL5_1uM_2_adj_Targeted.raw	2	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=parallel reaction monitoring;AC=MS:1003907	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35;PP=Anywhere	10 ppm	0.02 Da	NT=orbitrap;AC=MS:1000484	v1.1.0	NT=human;VV=v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	SKMEL5_1uM
SKMEL5_1uM	Homo sapiens	not applicable	SK-MEL-5	melanocyte	cutaneous melanoma	cell	not available	not available	SK-MEL-5	not available	3	immunoaffinity purification	MHC class I protein complex	HLA-A*02:01	W6/32 (pan-HLA class I)	SKMEL5_1uM_3_adj	proteomic profiling by mass spectrometry	SKMEL5_1uM_3_adj_Targeted.raw	2	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=parallel reaction monitoring;AC=MS:1003907	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35;PP=Anywhere	10 ppm	0.02 Da	NT=orbitrap;AC=MS:1000484	v1.1.0	NT=human;VV=v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	SKMEL5_1uM
