source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[material type]	characteristics[genotype]	characteristics[growth phase]	characteristics[pooled sample]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[dissociation method]	comment[collision energy]	comment[ms2 mass analyzer]	comment[ms1 scan range]	comment[acquisition date]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	factor value[genotype]	factor value[growth phase]
Bsub_ymcA_endexp_rep3	Bacillus subtilis subsp. subtilis str. 168	not applicable	not applicable	not applicable	whole organism	ymcA mutant	end-exponential phase	not pooled	3	run 11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	20 ppm	20 ppm	NT=beam-type collision-induced dissociation;AC=MS:1000422	27% NCE	NT=orbitrap;AC=MS:1000484	375m/z-1500m/z	2022-07-08T04:56:13	1	1	E1_220707_22C012_sample_11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	ymcA mutant	end-exponential phase
Bsub_ymcA_endexp_rep4	Bacillus subtilis subsp. subtilis str. 168	not applicable	not applicable	not applicable	whole organism	ymcA mutant	end-exponential phase	not pooled	4	run 12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	20 ppm	20 ppm	NT=beam-type collision-induced dissociation;AC=MS:1000422	27% NCE	NT=orbitrap;AC=MS:1000484	375m/z-1500m/z	2022-07-08T05:57:59	1	1	E1_220707_22C012_sample_12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	ymcA mutant	end-exponential phase
Bsub_ymcA_trans_rep1	Bacillus subtilis subsp. subtilis str. 168	not applicable	not applicable	not applicable	whole organism	ymcA mutant	transition phase	not pooled	1	run 13	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	20 ppm	20 ppm	NT=beam-type collision-induced dissociation;AC=MS:1000422	27% NCE	NT=orbitrap;AC=MS:1000484	375m/z-1500m/z	2022-07-08T08:01:39	1	1	E1_220707_22C012_sample_13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	ymcA mutant	transition phase
Bsub_ymcA_trans_rep2	Bacillus subtilis subsp. subtilis str. 168	not applicable	not applicable	not applicable	whole organism	ymcA mutant	transition phase	not pooled	2	run 14	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	20 ppm	20 ppm	NT=beam-type collision-induced dissociation;AC=MS:1000422	27% NCE	NT=orbitrap;AC=MS:1000484	375m/z-1500m/z	2022-07-08T09:03:23	1	1	E1_220707_22C012_sample_14.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	ymcA mutant	transition phase
Bsub_ymcA_trans_rep3	Bacillus subtilis subsp. subtilis str. 168	not applicable	not applicable	not applicable	whole organism	ymcA mutant	transition phase	not pooled	3	run 15	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	20 ppm	20 ppm	NT=beam-type collision-induced dissociation;AC=MS:1000422	27% NCE	NT=orbitrap;AC=MS:1000484	375m/z-1500m/z	2022-07-08T10:05:10	1	1	E1_220707_22C012_sample_15.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	ymcA mutant	transition phase
Bsub_ymcA_trans_rep4	Bacillus subtilis subsp. subtilis str. 168	not applicable	not applicable	not applicable	whole organism	ymcA mutant	transition phase	not pooled	4	run 16	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	20 ppm	20 ppm	NT=beam-type collision-induced dissociation;AC=MS:1000422	27% NCE	NT=orbitrap;AC=MS:1000484	375m/z-1500m/z	2022-07-08T11:07:11	1	1	E1_220707_22C012_sample_16.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	ymcA mutant	transition phase
Bsub_ppGpp0_endexp_rep1	Bacillus subtilis subsp. subtilis str. 168	not applicable	not applicable	not applicable	whole organism	ppGpp0	end-exponential phase	not pooled	1	run 17	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	20 ppm	20 ppm	NT=beam-type collision-induced dissociation;AC=MS:1000422	27% NCE	NT=orbitrap;AC=MS:1000484	375m/z-1500m/z	2022-07-08T13:10:46	1	1	E1_220707_22C012_sample_17.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	ppGpp0	end-exponential phase
Bsub_ppGpp0_endexp_rep2	Bacillus subtilis subsp. subtilis str. 168	not applicable	not applicable	not applicable	whole organism	ppGpp0	end-exponential phase	not pooled	2	run 18	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	20 ppm	20 ppm	NT=beam-type collision-induced dissociation;AC=MS:1000422	27% NCE	NT=orbitrap;AC=MS:1000484	375m/z-1500m/z	2022-07-08T14:12:32	1	1	E1_220707_22C012_sample_18.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	ppGpp0	end-exponential phase
Bsub_ppGpp0_endexp_rep3	Bacillus subtilis subsp. subtilis str. 168	not applicable	not applicable	not applicable	whole organism	ppGpp0	end-exponential phase	not pooled	3	run 19	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	20 ppm	20 ppm	NT=beam-type collision-induced dissociation;AC=MS:1000422	27% NCE	NT=orbitrap;AC=MS:1000484	375m/z-1500m/z	2022-07-08T15:14:19	1	1	E1_220707_22C012_sample_19.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	ppGpp0	end-exponential phase
Bsub_ppGpp0_endexp_rep4	Bacillus subtilis subsp. subtilis str. 168	not applicable	not applicable	not applicable	whole organism	ppGpp0	end-exponential phase	not pooled	4	run 20	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	20 ppm	20 ppm	NT=beam-type collision-induced dissociation;AC=MS:1000422	27% NCE	NT=orbitrap;AC=MS:1000484	375m/z-1500m/z	2022-07-08T16:15:53	1	1	E1_220707_22C012_sample_20.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	ppGpp0	end-exponential phase
Bsub_ppGpp0_trans_rep1	Bacillus subtilis subsp. subtilis str. 168	not applicable	not applicable	not applicable	whole organism	ppGpp0	transition phase	not pooled	1	run 21	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	20 ppm	20 ppm	NT=beam-type collision-induced dissociation;AC=MS:1000422	27% NCE	NT=orbitrap;AC=MS:1000484	375m/z-1500m/z	2022-07-08T18:19:01	1	1	E1_220707_22C012_sample_21.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	ppGpp0	transition phase
Bsub_ppGpp0_trans_rep2	Bacillus subtilis subsp. subtilis str. 168	not applicable	not applicable	not applicable	whole organism	ppGpp0	transition phase	not pooled	2	run 22	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	20 ppm	20 ppm	NT=beam-type collision-induced dissociation;AC=MS:1000422	27% NCE	NT=orbitrap;AC=MS:1000484	375m/z-1500m/z	2022-07-08T19:20:33	1	1	E1_220707_22C012_sample_22.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	ppGpp0	transition phase
Bsub_ppGpp0_trans_rep3	Bacillus subtilis subsp. subtilis str. 168	not applicable	not applicable	not applicable	whole organism	ppGpp0	transition phase	not pooled	3	run 23	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	20 ppm	20 ppm	NT=beam-type collision-induced dissociation;AC=MS:1000422	27% NCE	NT=orbitrap;AC=MS:1000484	375m/z-1500m/z	2022-07-08T20:22:08	1	1	E1_220707_22C012_sample_23.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	ppGpp0	transition phase
Bsub_ppGpp0_trans_rep4	Bacillus subtilis subsp. subtilis str. 168	not applicable	not applicable	not applicable	whole organism	ppGpp0	transition phase	not pooled	4	run 24	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	20 ppm	20 ppm	NT=beam-type collision-induced dissociation;AC=MS:1000422	27% NCE	NT=orbitrap;AC=MS:1000484	375m/z-1500m/z	2022-07-08T21:23:55	1	1	E1_220707_22C012_sample_24.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	ppGpp0	transition phase
Bsub_ppGpp0-ymcA_endexp_rep1	Bacillus subtilis subsp. subtilis str. 168	not applicable	not applicable	not applicable	whole organism	ppGpp0 ymcA mutant	end-exponential phase	not pooled	1	run 25	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	20 ppm	20 ppm	NT=beam-type collision-induced dissociation;AC=MS:1000422	27% NCE	NT=orbitrap;AC=MS:1000484	375m/z-1500m/z	2022-07-08T23:27:16	1	1	E1_220707_22C012_sample_25.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	ppGpp0 ymcA mutant	end-exponential phase
Bsub_ppGpp0-ymcA_endexp_rep2	Bacillus subtilis subsp. subtilis str. 168	not applicable	not applicable	not applicable	whole organism	ppGpp0 ymcA mutant	end-exponential phase	not pooled	2	run 26	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	20 ppm	20 ppm	NT=beam-type collision-induced dissociation;AC=MS:1000422	27% NCE	NT=orbitrap;AC=MS:1000484	375m/z-1500m/z	2022-07-09T00:29:00	1	1	E1_220707_22C012_sample_26.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	ppGpp0 ymcA mutant	end-exponential phase
Bsub_ppGpp0-ymcA_endexp_rep3	Bacillus subtilis subsp. subtilis str. 168	not applicable	not applicable	not applicable	whole organism	ppGpp0 ymcA mutant	end-exponential phase	not pooled	3	run 27	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	20 ppm	20 ppm	NT=beam-type collision-induced dissociation;AC=MS:1000422	27% NCE	NT=orbitrap;AC=MS:1000484	375m/z-1500m/z	2022-07-09T01:30:33	1	1	E1_220707_22C012_sample_27.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	ppGpp0 ymcA mutant	end-exponential phase
Bsub_ppGpp0-ymcA_endexp_rep4	Bacillus subtilis subsp. subtilis str. 168	not applicable	not applicable	not applicable	whole organism	ppGpp0 ymcA mutant	end-exponential phase	not pooled	4	run 28	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	20 ppm	20 ppm	NT=beam-type collision-induced dissociation;AC=MS:1000422	27% NCE	NT=orbitrap;AC=MS:1000484	375m/z-1500m/z	2022-07-09T02:32:07	1	1	E1_220707_22C012_sample_28.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	ppGpp0 ymcA mutant	end-exponential phase
Bsub_ppGpp0-ymcA_trans_rep1	Bacillus subtilis subsp. subtilis str. 168	not applicable	not applicable	not applicable	whole organism	ppGpp0 ymcA mutant	transition phase	not pooled	1	run 29	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	20 ppm	20 ppm	NT=beam-type collision-induced dissociation;AC=MS:1000422	27% NCE	NT=orbitrap;AC=MS:1000484	375m/z-1500m/z	2022-07-09T04:35:26	1	1	E1_220707_22C012_sample_29.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	ppGpp0 ymcA mutant	transition phase
Bsub_ppGpp0-ymcA_trans_rep2	Bacillus subtilis subsp. subtilis str. 168	not applicable	not applicable	not applicable	whole organism	ppGpp0 ymcA mutant	transition phase	not pooled	2	run 30	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	20 ppm	20 ppm	NT=beam-type collision-induced dissociation;AC=MS:1000422	27% NCE	NT=orbitrap;AC=MS:1000484	375m/z-1500m/z	2022-07-09T05:36:59	1	1	E1_220707_22C012_sample_30.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	ppGpp0 ymcA mutant	transition phase
Bsub_ppGpp0-ymcA_trans_rep3	Bacillus subtilis subsp. subtilis str. 168	not applicable	not applicable	not applicable	whole organism	ppGpp0 ymcA mutant	transition phase	not pooled	3	run 31	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	20 ppm	20 ppm	NT=beam-type collision-induced dissociation;AC=MS:1000422	27% NCE	NT=orbitrap;AC=MS:1000484	375m/z-1500m/z	2022-07-09T06:38:32	1	1	E1_220707_22C012_sample_31.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	ppGpp0 ymcA mutant	transition phase
