source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[cleavage agent details]	comment[technical replicate]	comment[fraction identifier]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]
PXD045910-Sample-21	Rattus norvegicus	not available	not available	1	PLK074_EXPL_220212_FGU13_HF1_6uL_DDA_150M_120G	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	1	1	PLK074_EXPL_220212_FGU13_HF1_6uL_DDA_150M_120G.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD045910-Sample-22	Rattus norvegicus	not available	not available	1	PLK074_EXPL_220212_FGU13_HF4_3uL_DDA_150M_120G	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	1	1	PLK074_EXPL_220212_FGU13_HF4_3uL_DDA_150M_120G.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD045910-Sample-23	Rattus norvegicus	not available	not available	1	PLK074_EXPL_220212_FGU13_HL1_3uL_DDA_150M_120G	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	1	1	PLK074_EXPL_220212_FGU13_HL1_3uL_DDA_150M_120G.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD045910-Sample-24	Rattus norvegicus	not available	not available	1	PLK074_EXPL_220212_FGU13_HL2_3uL_DDA_150M_120G	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	1	1	PLK074_EXPL_220212_FGU13_HL2_3uL_DDA_150M_120G.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD045910-Sample-25	Rattus norvegicus	not available	not available	1	PLK074_EXPL_220216_FGU13_A-CS2_3uL_DDA_150M_120G	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	1	1	PLK074_EXPL_220216_FGU13_A-CS2_3uL_DDA_150M_120G.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD045910-Sample-26	Rattus norvegicus	not available	not available	1	PLK074_EXPL_220216_FGU13_A-CS4_3uL_DDA_150M_120G	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	1	1	PLK074_EXPL_220216_FGU13_A-CS4_3uL_DDA_150M_120G.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD045910-Sample-27	Rattus norvegicus	not available	not available	1	PLK074_EXPL_220216_FGU13_A-HS1_5uL_DDA_150M_120G	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	1	1	PLK074_EXPL_220216_FGU13_A-HS1_5uL_DDA_150M_120G.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD045910-Sample-28	Rattus norvegicus	not available	not available	1	PLK074_EXPL_220216_FGU13_A-HS2_3uL_DDA_150M_120G	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	1	1	PLK074_EXPL_220216_FGU13_A-HS2_3uL_DDA_150M_120G.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD045910-Sample-29	Rattus norvegicus	not available	not available	1	PLK074_EXPL_220216_FGU13_A-HS4_3uL_DDA_150M_120G	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	1	1	PLK074_EXPL_220216_FGU13_A-HS4_3uL_DDA_150M_120G.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD045910-Sample-30	Rattus norvegicus	not available	not available	1	PLK074_EXPL_220216_FGU13_B-CS1_3uL_DDA_150M_120G	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	1	1	PLK074_EXPL_220216_FGU13_B-CS1_3uL_DDA_150M_120G.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
