source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fractionation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]
SY_PtpB_SILAC_TiO2_CID_Bio3_6c	staphylococcus aureus	not available	not applicable	not available	enrichment of phosphorylated protein	1	SY_PtpB_SILAC_TiO2_CID_Bio3_6c	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	2 Da	2 Da	sds page	1	1	SY_PtpB_SILAC_TiO2_CID_Bio3_6c.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD009874/SY_PtpB_SILAC_TiO2_CID_Bio3_6c.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
SY_PtpB_SILAC_TiO2_CID_Bio4_11a	staphylococcus aureus	not available	not applicable	not available	enrichment of phosphorylated protein	1	SY_PtpB_SILAC_TiO2_CID_Bio4_11a	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	2 Da	2 Da	sds page	1	1	SY_PtpB_SILAC_TiO2_CID_Bio4_11a.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD009874/SY_PtpB_SILAC_TiO2_CID_Bio4_11a.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
SY_PtpB_H2O2_CID_Bio3_41112a	staphylococcus aureus	not available	not applicable	not available	enrichment of phosphorylated protein	1	SY_PtpB_H2O2_CID_Bio3_41112a	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	2 Da	2 Da	sds page	1	1	SY_PtpB_H2O2_CID_Bio3_41112a.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD009874/SY_PtpB_H2O2_CID_Bio3_41112a.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
SY_PtpB_SILAC_TiO2_CID_Bio3_5c	staphylococcus aureus	not available	not applicable	not available	enrichment of phosphorylated protein	1	SY_PtpB_SILAC_TiO2_CID_Bio3_5c	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	2 Da	2 Da	sds page	1	1	SY_PtpB_SILAC_TiO2_CID_Bio3_5c.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD009874/SY_PtpB_SILAC_TiO2_CID_Bio3_5c.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
150404_V2_PM3_CH_SY_SILAC_Bio3_ptpBKo_05	staphylococcus aureus	not available	not applicable	not available	enrichment of phosphorylated protein	5	150404_V2_PM3_CH_SY_SILAC_Bio3_ptpBKo_05	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	2 Da	2 Da	sds page	1	1	150404_V2_PM3_CH_SY_SILAC_Bio3_ptpBKo_05.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD009874/150404_V2_PM3_CH_SY_SILAC_Bio3_ptpBKo_05.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
SY_PtpB_H2O2_CID_Bio1_25a	staphylococcus aureus	not available	not applicable	not available	enrichment of phosphorylated protein	1	SY_PtpB_H2O2_CID_Bio1_25a	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	2 Da	2 Da	sds page	1	1	SY_PtpB_H2O2_CID_Bio1_25a.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD009874/SY_PtpB_H2O2_CID_Bio1_25a.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
150328_V2_PM3_CH_SY_SILAC_Bio2_WTKo2_06	staphylococcus aureus	not available	not applicable	not available	enrichment of phosphorylated protein	6	150328_V2_PM3_CH_SY_SILAC_Bio2_WTKo2_06	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	2 Da	2 Da	sds page	1	1	150328_V2_PM3_CH_SY_SILAC_Bio2_WTKo2_06.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD009874/150328_V2_PM3_CH_SY_SILAC_Bio2_WTKo2_06.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
SY_WT_SILAC_TiO2_Bio2_collected_10	staphylococcus aureus	not available	not applicable	not available	enrichment of phosphorylated protein	10	SY_WT_SILAC_TiO2_Bio2_collected_10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	2 Da	2 Da	sds page	1	1	SY_WT_SILAC_TiO2_Bio2_collected_10.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD009874/SY_WT_SILAC_TiO2_Bio2_collected_10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
SY_PtpB_SILAC_TiO2_CID_Bio3_11c	staphylococcus aureus	not available	not applicable	not available	enrichment of phosphorylated protein	1	SY_PtpB_SILAC_TiO2_CID_Bio3_11c	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	2 Da	2 Da	sds page	1	1	SY_PtpB_SILAC_TiO2_CID_Bio3_11c.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD009874/SY_PtpB_SILAC_TiO2_CID_Bio3_11c.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
SY_WT_SILAC_TiO2_Bio1_collected_02	staphylococcus aureus	not available	not applicable	not available	enrichment of phosphorylated protein	2	SY_WT_SILAC_TiO2_Bio1_collected_02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	2 Da	2 Da	sds page	1	1	SY_WT_SILAC_TiO2_Bio1_collected_02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD009874/SY_WT_SILAC_TiO2_Bio1_collected_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
SY_PtpB_SILAC_TiO2_Bio4_collected_13	staphylococcus aureus	not available	not applicable	not available	enrichment of phosphorylated protein	13	SY_PtpB_SILAC_TiO2_Bio4_collected_13	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	2 Da	2 Da	sds page	1	1	SY_PtpB_SILAC_TiO2_Bio4_collected_13.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD009874/SY_PtpB_SILAC_TiO2_Bio4_collected_13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
SY_WT_SILAC_TiO2_Bio2_collected_02	staphylococcus aureus	not available	not applicable	not available	enrichment of phosphorylated protein	2	SY_WT_SILAC_TiO2_Bio2_collected_02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	2 Da	2 Da	sds page	1	1	SY_WT_SILAC_TiO2_Bio2_collected_02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD009874/SY_WT_SILAC_TiO2_Bio2_collected_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
SY_PtpB_H2O2_CID_Bio2_collected2_13	staphylococcus aureus	not available	not applicable	not available	enrichment of phosphorylated protein	13	SY_PtpB_H2O2_CID_Bio2_collected2_13	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	2 Da	2 Da	sds page	1	1	SY_PtpB_H2O2_CID_Bio2_collected2_13.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD009874/SY_PtpB_H2O2_CID_Bio2_collected2_13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
SY_PtpB_H2O2_CID_Bio3_1314a	staphylococcus aureus	not available	not applicable	not available	enrichment of phosphorylated protein	1	SY_PtpB_H2O2_CID_Bio3_1314a	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	2 Da	2 Da	sds page	1	1	SY_PtpB_H2O2_CID_Bio3_1314a.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD009874/SY_PtpB_H2O2_CID_Bio3_1314a.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
SY_PtpB_H2O2_CID_Bio5_6a_2	staphylococcus aureus	not available	not applicable	not available	enrichment of phosphorylated protein	2	SY_PtpB_H2O2_CID_Bio5_6a_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	2 Da	2 Da	sds page	1	1	SY_PtpB_H2O2_CID_Bio5_6a_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD009874/SY_PtpB_H2O2_CID_Bio5_6a_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
SY_PtpB_H2O2_CID_Bio2_6c	staphylococcus aureus	not available	not applicable	not available	enrichment of phosphorylated protein	1	SY_PtpB_H2O2_CID_Bio2_6c	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	2 Da	2 Da	sds page	1	1	SY_PtpB_H2O2_CID_Bio2_6c.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD009874/SY_PtpB_H2O2_CID_Bio2_6c.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
