source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[strain or breed]	characteristics[growth condition]	characteristics[treatment]	characteristics[material type]	characteristics[sample type]	characteristics[pooled sample]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[strain or breed]	factor value[treatment]
CIM-789_ctrl_3	Gossypium hirsutum	leaf	not applicable	normal	whole plant flowering stage	CIM-789	greenhouse, clay pots with silt loam soil, Hoagland nutrient solution, CCRI Multan	control temperature (35C day / 25C night)	tissue	study sample	pooled	3	QE_000085_Mohib_2c_1	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	30 NCE	not available	not available	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	1	QE_000085_Mohib_2c_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	CIM-789	control temperature (35C day / 25C night)
CIM-789_ctrl_3	Gossypium hirsutum	leaf	not applicable	normal	whole plant flowering stage	CIM-789	greenhouse, clay pots with silt loam soil, Hoagland nutrient solution, CCRI Multan	control temperature (35C day / 25C night)	tissue	study sample	pooled	3	QE_000086_Mohib_2c_2	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	30 NCE	not available	not available	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	2	QE_000086_Mohib_2c_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	CIM-789	control temperature (35C day / 25C night)
GH-Hamaliya_heat_1	Gossypium hirsutum	leaf	not applicable	normal	whole plant flowering stage	GH-Hamaliya	greenhouse, clay pots with silt loam soil, Hoagland nutrient solution, CCRI Multan	heat stress (45C day / 32C night)	tissue	study sample	pooled	1	QE_000121_Mohib_3a_1	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	30 NCE	not available	not available	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	1	QE_000121_Mohib_3a_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	GH-Hamaliya	heat stress (45C day / 32C night)
GH-Hamaliya_heat_1	Gossypium hirsutum	leaf	not applicable	normal	whole plant flowering stage	GH-Hamaliya	greenhouse, clay pots with silt loam soil, Hoagland nutrient solution, CCRI Multan	heat stress (45C day / 32C night)	tissue	study sample	pooled	1	QE_000122_Mohib_3a_2	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	30 NCE	not available	not available	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	2	QE_000122_Mohib_3a_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	GH-Hamaliya	heat stress (45C day / 32C night)
GH-Hamaliya_heat_2	Gossypium hirsutum	leaf	not applicable	normal	whole plant flowering stage	GH-Hamaliya	greenhouse, clay pots with silt loam soil, Hoagland nutrient solution, CCRI Multan	heat stress (45C day / 32C night)	tissue	study sample	pooled	2	QE_000118_Mohib_3b_1	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	30 NCE	not available	not available	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	1	QE_000118_Mohib_3b_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	GH-Hamaliya	heat stress (45C day / 32C night)
GH-Hamaliya_heat_2	Gossypium hirsutum	leaf	not applicable	normal	whole plant flowering stage	GH-Hamaliya	greenhouse, clay pots with silt loam soil, Hoagland nutrient solution, CCRI Multan	heat stress (45C day / 32C night)	tissue	study sample	pooled	2	QE_000119_Mohib_3b_2	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	30 NCE	not available	not available	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	2	QE_000119_Mohib_3b_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	GH-Hamaliya	heat stress (45C day / 32C night)
GH-Hamaliya_heat_3	Gossypium hirsutum	leaf	not applicable	normal	whole plant flowering stage	GH-Hamaliya	greenhouse, clay pots with silt loam soil, Hoagland nutrient solution, CCRI Multan	heat stress (45C day / 32C night)	tissue	study sample	pooled	3	QE_000115_Mohib_3c_1	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	30 NCE	not available	not available	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	1	QE_000115_Mohib_3c_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	GH-Hamaliya	heat stress (45C day / 32C night)
GH-Hamaliya_heat_3	Gossypium hirsutum	leaf	not applicable	normal	whole plant flowering stage	GH-Hamaliya	greenhouse, clay pots with silt loam soil, Hoagland nutrient solution, CCRI Multan	heat stress (45C day / 32C night)	tissue	study sample	pooled	3	QE_000116_Mohib_3c_2	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	30 NCE	not available	not available	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	2	QE_000116_Mohib_3c_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	GH-Hamaliya	heat stress (45C day / 32C night)
CIM-789_heat_1	Gossypium hirsutum	leaf	not applicable	normal	whole plant flowering stage	CIM-789	greenhouse, clay pots with silt loam soil, Hoagland nutrient solution, CCRI Multan	heat stress (45C day / 32C night)	tissue	study sample	pooled	1	QE_000127_Mohib_4a_1	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	30 NCE	not available	not available	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	1	QE_000127_Mohib_4a_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	CIM-789	heat stress (45C day / 32C night)
CIM-789_heat_1	Gossypium hirsutum	leaf	not applicable	normal	whole plant flowering stage	CIM-789	greenhouse, clay pots with silt loam soil, Hoagland nutrient solution, CCRI Multan	heat stress (45C day / 32C night)	tissue	study sample	pooled	1	QE_000128_Mohib_4a_2	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	30 NCE	not available	not available	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	2	QE_000128_Mohib_4a_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	CIM-789	heat stress (45C day / 32C night)
CIM-789_heat_2	Gossypium hirsutum	leaf	not applicable	normal	whole plant flowering stage	CIM-789	greenhouse, clay pots with silt loam soil, Hoagland nutrient solution, CCRI Multan	heat stress (45C day / 32C night)	tissue	study sample	pooled	2	QE_000130_Mohib_4b_1	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	30 NCE	not available	not available	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	1	QE_000130_Mohib_4b_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	CIM-789	heat stress (45C day / 32C night)
CIM-789_heat_2	Gossypium hirsutum	leaf	not applicable	normal	whole plant flowering stage	CIM-789	greenhouse, clay pots with silt loam soil, Hoagland nutrient solution, CCRI Multan	heat stress (45C day / 32C night)	tissue	study sample	pooled	2	QE_000131_Mohib_4b_2	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	30 NCE	not available	not available	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	2	QE_000131_Mohib_4b_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	CIM-789	heat stress (45C day / 32C night)
CIM-789_heat_3	Gossypium hirsutum	leaf	not applicable	normal	whole plant flowering stage	CIM-789	greenhouse, clay pots with silt loam soil, Hoagland nutrient solution, CCRI Multan	heat stress (45C day / 32C night)	tissue	study sample	pooled	3	QE_000124_Mohib_4c_1	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	30 NCE	not available	not available	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	1	QE_000124_Mohib_4c_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	CIM-789	heat stress (45C day / 32C night)
CIM-789_heat_3	Gossypium hirsutum	leaf	not applicable	normal	whole plant flowering stage	CIM-789	greenhouse, clay pots with silt loam soil, Hoagland nutrient solution, CCRI Multan	heat stress (45C day / 32C night)	tissue	study sample	pooled	3	QE_000125_Mohib_4c_2	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	30 NCE	not available	not available	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	2	QE_000125_Mohib_4c_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	CIM-789	heat stress (45C day / 32C night)
