source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[material type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[experiment]	factor value[biological replicate]	factor value[acquisition mode]	factor value[data format]
CAD20210819lisainan_twocolumn_ML_30min_DIA_125ng_2_Slot1-2_1_554.d	Mus musculus	Liver	not available	not available	not available	not available	not available	1	CAD20210819lisainan_twocolumn_ML_30min_DIA_125ng_2_Slot1-2_1_554.d	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	1	CAD20210819lisainan_twocolumn_ML_30min_DIA_125ng_2_Slot1-2_1_554.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	QCML mouse liver digest QC (DIA/DDA)	1	Data-independent acquisition	Bruker .d (zip)
M20210912gaohh_QCML_N_Tcolumn0502_DIA_after_tune_Slot1-4_1_9224.d	Mus musculus	Liver	not available	not available	not available	not available	not available	1	M20210912gaohh_QCML_N_Tcolumn0502_DIA_after_tune_Slot1-4_1_9224.d	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	1	M20210912gaohh_QCML_N_Tcolumn0502_DIA_after_tune_Slot1-4_1_9224.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	QCML mouse liver digest QC (DIA/DDA)	1	Data-independent acquisition	Bruker .d (zip)
HZAULS-A20201105xuej-QCML-DIA-750ng	Mus musculus	Liver	not available	not available	not available	not available	not available	1	HZAULS-A20201105xuej-QCML-DIA-750ng	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	1	HZAULS-A20201105xuej-QCML-DIA-750ng.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	QCML mouse liver digest QC (DIA/DDA)	1	Data-independent acquisition	Thermo .raw
A20190924_xuezz_30min_500ng_DIA_test	Mus musculus	Liver	not available	not available	not available	not available	not available	1	A20190924_xuezz_30min_500ng_DIA_test	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	1	A20190924_xuezz_30min_500ng_DIA_test.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	QCML mouse liver digest QC (DIA/DDA)	1	Data-independent acquisition	Thermo .raw
D20210616xiaoq_ml_sw_check_ml	Mus musculus	Liver	not available	not available	not available	not available	not available	1	D20210616xiaoq_ml_sw_check_ml	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	1	D20210616xiaoq_ml_sw_check_ml.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	QCML mouse liver digest QC (DIA/DDA)	1	Data-independent acquisition	SCIEX .wiff
O20220329wangyr_FAIMS_QCML0301_DIA_30min_42V_62V	Mus musculus	Liver	not available	not available	not available	not available	not available	1	O20220329wangyr_FAIMS_QCML0301_DIA_30min_42V_62V	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	1	O20220329wangyr_FAIMS_QCML0301_DIA_30min_42V_62V.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	QCML mouse liver digest QC (DIA/DDA)	1	Data-independent acquisition	Thermo .raw
A20210510yix_ml_30min_DIA	Mus musculus	Liver	not available	not available	not available	not available	not available	1	A20210510yix_ml_30min_DIA	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	1	A20210510yix_ml_30min_DIA.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	QCML mouse liver digest QC (DIA/DDA)	1	Data-independent acquisition	Thermo .raw
N20201026lilu_ml_30min_DIA_Slot1-4_1_1768.d	Mus musculus	Liver	not available	not available	not available	not available	not available	1	N20201026lilu_ml_30min_DIA_Slot1-4_1_1768.d	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	1	N20201026lilu_ml_30min_DIA_Slot1-4_1_1768.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	QCML mouse liver digest QC (DIA/DDA)	1	Data-independent acquisition	Bruker .d (zip)
BPRC_HFX_20201128_QC_MouseLiver_DIA_500ng_Calibration_R1	Mus musculus	Liver	not available	not available	not available	not available	not available	1	BPRC_HFX_20201128_QC_MouseLiver_DIA_500ng_Calibration_R1	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	1	BPRC_HFX_20201128_QC_MouseLiver_DIA_500ng_Calibration_R1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	QCML mouse liver digest QC (DIA/DDA)	1	Data-independent acquisition	Thermo .raw
D20190905lisain_mln_sw_check_m1	Mus musculus	Liver	not available	not available	not available	not available	not available	1	D20190905lisain_mln_sw_check_m1	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	1	D20190905lisain_mln_sw_check_m1.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	QCML mouse liver digest QC (DIA/DDA)	1	Data-independent acquisition	SCIEX .wiff
SFHI_20200917wangxf_QCML_1st_DIA_1ug_1	Mus musculus	Liver	not available	not available	not available	not available	not available	1	SFHI_20200917wangxf_QCML_1st_DIA_1ug_1	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	1	SFHI_20200917wangxf_QCML_1st_DIA_1ug_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	QCML mouse liver digest QC (DIA/DDA)	1	Data-independent acquisition	Thermo .raw
O20220621yaonan_FAIMS_QCML0518_DIA_30min_42V_62V	Mus musculus	Liver	not available	not available	not available	not available	not available	1	O20220621yaonan_FAIMS_QCML0518_DIA_30min_42V_62V	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	1	O20220621yaonan_FAIMS_QCML0518_DIA_30min_42V_62V.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	QCML mouse liver digest QC (DIA/DDA)	1	Data-independent acquisition	Thermo .raw
N20200901lilu_ml_30min_DIA_Slot1-4_1_779.d	Mus musculus	Liver	not available	not available	not available	not available	not available	1	N20200901lilu_ml_30min_DIA_Slot1-4_1_779.d	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	1	N20200901lilu_ml_30min_DIA_Slot1-4_1_779.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	QCML mouse liver digest QC (DIA/DDA)	1	Data-independent acquisition	Bruker .d (zip)
J20210604liuxia_mouseliver_SWATH	Mus musculus	Liver	not available	not available	not available	not available	not available	1	J20210604liuxia_mouseliver_SWATH	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	1	J20210604liuxia_mouseliver_SWATH.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	QCML mouse liver digest QC (DIA/DDA)	1	Data-independent acquisition	SCIEX .wiff
F20191220gaohh_QCML_DIA_500ng	Mus musculus	Liver	not available	not available	not available	not available	not available	1	F20191220gaohh_QCML_DIA_500ng	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	1	F20191220gaohh_QCML_DIA_500ng.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	QCML mouse liver digest QC (DIA/DDA)	1	Data-independent acquisition	Thermo .raw
M20210924gaohh_QCML_N0823_Tcolumn0502_DIA_after_tune_Slot1-3_1_9492.d	Mus musculus	Liver	not available	not available	not available	not available	not available	1	M20210924gaohh_QCML_N0823_Tcolumn0502_DIA_after_tune_Slot1-3_1_9492.d	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	1	M20210924gaohh_QCML_N0823_Tcolumn0502_DIA_after_tune_Slot1-3_1_9492.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	QCML mouse liver digest QC (DIA/DDA)	1	Data-independent acquisition	Bruker .d (zip)
F20200716_xuezz_QCML_DIA_250ng_1ul_NEWTRAP1	Mus musculus	Liver	not available	not available	not available	not available	not available	1	F20200716_xuezz_QCML_DIA_250ng_1ul_NEWTRAP1	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	1	F20200716_xuezz_QCML_DIA_250ng_1ul_NEWTRAP1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	QCML mouse liver digest QC (DIA/DDA)	1	Data-independent acquisition	Thermo .raw
A20210823liuwei_omics_ml_test_500ng_DIA	Mus musculus	Liver	not available	not available	not available	not available	not available	1	A20210823liuwei_omics_ml_test_500ng_DIA	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	1	A20210823liuwei_omics_ml_test_500ng_DIA.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	QCML mouse liver digest QC (DIA/DDA)	1	Data-independent acquisition	Thermo .raw
N20210605dongzhen_ml_M_30min_DIA_Slot2-54_1_5873.d	Mus musculus	Liver	not available	not available	not available	not available	not available	1	N20210605dongzhen_ml_M_30min_DIA_Slot2-54_1_5873.d	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	1	N20210605dongzhen_ml_M_30min_DIA_Slot2-54_1_5873.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	QCML mouse liver digest QC (DIA/DDA)	1	Data-independent acquisition	Bruker .d (zip)
G20200628liangshuang_ML_1ug_SWATH_2	Mus musculus	Liver	not available	not available	not available	not available	not available	1	G20200628liangshuang_ML_1ug_SWATH_2	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	1	G20200628liangshuang_ML_1ug_SWATH_2.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	QCML mouse liver digest QC (DIA/DDA)	1	Data-independent acquisition	SCIEX .wiff
SFHI_20201019wangxf_QCML_DIA_1ug_1	Mus musculus	Liver	not available	not available	not available	not available	not available	1	SFHI_20201019wangxf_QCML_DIA_1ug_1	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	1	SFHI_20201019wangxf_QCML_DIA_1ug_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	QCML mouse liver digest QC (DIA/DDA)	1	Data-independent acquisition	Thermo .raw
A20210908yix_ml_30min_DIA_newcolumn	Mus musculus	Liver	not available	not available	not available	not available	not available	1	A20210908yix_ml_30min_DIA_newcolumn	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	1	A20210908yix_ml_30min_DIA_newcolumn.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	QCML mouse liver digest QC (DIA/DDA)	1	Data-independent acquisition	Thermo .raw
F20200707_xuezz_QCML_DIA_250ng_2ulnewcolumn1	Mus musculus	Liver	not available	not available	not available	not available	not available	1	F20200707_xuezz_QCML_DIA_250ng_2ulnewcolumn1	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	1	F20200707_xuezz_QCML_DIA_250ng_2ulnewcolumn1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	QCML mouse liver digest QC (DIA/DDA)	1	Data-independent acquisition	Thermo .raw
D20200126xiaoq_ml_sw_check_m1	Mus musculus	Liver	not available	not available	not available	not available	not available	1	D20200126xiaoq_ml_sw_check_m1	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	1	D20200126xiaoq_ml_sw_check_m1.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	QCML mouse liver digest QC (DIA/DDA)	1	Data-independent acquisition	SCIEX .wiff
