source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[developmental stage]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[compound]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[fraction identifier]	comment[label]	comment[cleavage agent details]	comment[instrument]	comment[proteomics data acquisition method]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]
CTRL_3	homo sapiens	not aplicable	trophoblast cell	not available	not available	not available	not available	Trophoblast stem cell BAP1 overexpression	not aplicable	1	run15	proteomic profiling by mass spectrometry	3	VP_CTRL_3_7236.d.tar.zip	1	label free sample	Trypsin	timsTOF fleX	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
CTRL_EVT_1	homo sapiens	not aplicable	trophoblast cell	not available	not available	not available	not available	Extravillous Trophoblast BAP1 overexpression	not aplicable	1	run16	proteomic profiling by mass spectrometry	1	VP_CTRL_EVT_1_7246.d.tar.zip	1	label free sample	Trypsin	timsTOF fleX	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
CTRL_EVT_2	homo sapiens	not aplicable	trophoblast cell	not available	not available	not available	not available	Extravillous Trophoblast BAP1 overexpression	not aplicable	1	run17	proteomic profiling by mass spectrometry	2	VP_CTRL_EVT_2_7255.d.tar.zip	1	label free sample	Trypsin	timsTOF fleX	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
CTRL_EVT_3	homo sapiens	not aplicable	trophoblast cell	not available	not available	not available	not available	Extravillous Trophoblast BAP1 overexpression	not aplicable	1	run18	proteomic profiling by mass spectrometry	3	VP_CTRL_EVT_3_7247.d.tar.zip	1	label free sample	Trypsin	timsTOF fleX	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
CTRL_ORG_1	homo sapiens	not aplicable	trophoblast cell	not available	not available	not available	not available	Trophoblast organoids BAP1 overexpression	not aplicable	1	run19	proteomic profiling by mass spectrometry	1	VP_CTRL_ORG_1_7250.d.tar.zip	1	label free sample	Trypsin	timsTOF fleX	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
CTRL_ORG_2	homo sapiens	not aplicable	trophoblast cell	not available	not available	not available	not available	Trophoblast organoids BAP1 overexpression	not aplicable	1	run20	proteomic profiling by mass spectrometry	2	VP_CTRL_ORG_2_7263.d.tar.zip	1	label free sample	Trypsin	timsTOF fleX	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
CTRL_ORG_3	homo sapiens	not aplicable	trophoblast cell	not available	not available	not available	not available	Trophoblast organoids BAP1 overexpression	not aplicable	1	run21	proteomic profiling by mass spectrometry	3	VP_CTRL_ORG_3_7238.d.tar.zip	1	label free sample	Trypsin	timsTOF fleX	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
CTRL_STB_1	homo sapiens	not aplicable	trophoblast cell	not available	not available	not available	not available	Syncytiotrophoblast BAP1 overexpression	not aplicable	1	run22	proteomic profiling by mass spectrometry	1	VP_CTRL_STB_1_7257.d.tar.zip	1	label free sample	Trypsin	timsTOF fleX	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
CTRL_STB_2	homo sapiens	not aplicable	trophoblast cell	not available	not available	not available	not available	Syncytiotrophoblast BAP1 overexpression	not aplicable	1	run23	proteomic profiling by mass spectrometry	2	VP_CTRL_STB_2_7254.d.tar.zip	1	label free sample	Trypsin	timsTOF fleX	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
CTRL_STB_3	homo sapiens	not aplicable	trophoblast cell	not available	not available	not available	not available	Syncytiotrophoblast BAP1 overexpression	not aplicable	1	run24	proteomic profiling by mass spectrometry	3	VP_CTRL_STB_3_7242.d.tar.zip	1	label free sample	Trypsin	timsTOF fleX	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
