source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[tool metadata]
KO+AK Dys -Ca	Mus musculus	heart left ventricle	not applicable	myocardial infarction	adult	2	S_Brandenburg_310323_110423_DIA_B_07_BC7_1_9995	proteomic profiling by mass spectrometry	Data-independent acquisition	timsTOF Pro 2	NT=label free sample;AC=MS:1002038	NT=Trypsin/P	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term;TA=	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;PP=Anywhere;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;PP=Anywhere;TA=M			1	2	S_Brandenburg_310323_110423_DIA_B_07_BC7_1_9995.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	lesSDRF v0.1.0
WT+AK IgG -Ca	Mus musculus	heart left ventricle	not applicable	myocardial infarction	adult	2	S_Brandenburg_310323_110423_DIA_B_08_BC8_1_9996	proteomic profiling by mass spectrometry	Data-independent acquisition	timsTOF Pro 2	NT=label free sample;AC=MS:1002038	NT=Trypsin/P	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term;TA=	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;PP=Anywhere;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;PP=Anywhere;TA=M			1	2	S_Brandenburg_310323_110423_DIA_B_08_BC8_1_9996.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	lesSDRF v0.1.0
WT+AK Dys +Ca	Mus musculus	heart left ventricle	not applicable	myocardial infarction	adult	2	S_Brandenburg_310323_110423_DIA_B_09_BD1_1_9997	proteomic profiling by mass spectrometry	Data-independent acquisition	timsTOF Pro 2	NT=label free sample;AC=MS:1002038	NT=Trypsin/P	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term;TA=	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;PP=Anywhere;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;PP=Anywhere;TA=M			1	2	S_Brandenburg_310323_110423_DIA_B_09_BD1_1_9997.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	lesSDRF v0.1.0
KO+AK Dys +Ca	Mus musculus	heart left ventricle	not applicable	myocardial infarction	adult	2	S_Brandenburg_310323_110423_DIA_B_10_BD2_1_9998	proteomic profiling by mass spectrometry	Data-independent acquisition	timsTOF Pro 2	NT=label free sample;AC=MS:1002038	NT=Trypsin/P	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term;TA=	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;PP=Anywhere;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;PP=Anywhere;TA=M			1	2	S_Brandenburg_310323_110423_DIA_B_10_BD2_1_9998.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	lesSDRF v0.1.0
WT+AK Dys -Ca	Mus musculus	heart left ventricle	not applicable	myocardial infarction	adult	3	S_Brandenburg_310323_110423_DIA_B_11_BD3_1_9999	proteomic profiling by mass spectrometry	Data-independent acquisition	timsTOF Pro 2	NT=label free sample;AC=MS:1002038	NT=Trypsin/P	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term;TA=	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;PP=Anywhere;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;PP=Anywhere;TA=M			1	2	S_Brandenburg_310323_110423_DIA_B_11_BD3_1_9999.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	lesSDRF v0.1.0
KO+AK Dys -Ca	Mus musculus	heart left ventricle	not applicable	myocardial infarction	adult	3	S_Brandenburg_310323_110423_DIA_B_12_BD4_1_10000	proteomic profiling by mass spectrometry	Data-independent acquisition	timsTOF Pro 2	NT=label free sample;AC=MS:1002038	NT=Trypsin/P	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term;TA=	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;PP=Anywhere;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;PP=Anywhere;TA=M			1	2	S_Brandenburg_310323_110423_DIA_B_12_BD4_1_10000.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	lesSDRF v0.1.0
WT+AK IgG -Ca	Mus musculus	heart left ventricle	not applicable	myocardial infarction	adult	3	S_Brandenburg_310323_110423_DIA_B_13_BD5_1_10001	proteomic profiling by mass spectrometry	Data-independent acquisition	timsTOF Pro 2	NT=label free sample;AC=MS:1002038	NT=Trypsin/P	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term;TA=	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;PP=Anywhere;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;PP=Anywhere;TA=M			1	2	S_Brandenburg_310323_110423_DIA_B_13_BD5_1_10001.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	lesSDRF v0.1.0
WT+AK Dys +Ca	Mus musculus	heart left ventricle	not applicable	myocardial infarction	adult	3	S_Brandenburg_310323_110423_DIA_B_14_BD6_1_10002	proteomic profiling by mass spectrometry	Data-independent acquisition	timsTOF Pro 2	NT=label free sample;AC=MS:1002038	NT=Trypsin/P	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term;TA=	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;PP=Anywhere;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;PP=Anywhere;TA=M			1	2	S_Brandenburg_310323_110423_DIA_B_14_BD6_1_10002.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	lesSDRF v0.1.0
KO+AK Dys +Ca	Mus musculus	heart left ventricle	not applicable	myocardial infarction	adult	3	S_Brandenburg_310323_110423_DIA_B_15_BD7_1_10003	proteomic profiling by mass spectrometry	Data-independent acquisition	timsTOF Pro 2	NT=label free sample;AC=MS:1002038	NT=Trypsin/P	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term;TA=	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;PP=Anywhere;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;PP=Anywhere;TA=M			1	2	S_Brandenburg_310323_110423_DIA_B_15_BD7_1_10003.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	lesSDRF v0.1.0
WT+AK Dys -Ca	Mus musculus	heart left ventricle	not applicable	myocardial infarction	adult	1	S_Brandenburg_310323_110423_DIA_C_01_BC1_1_10004	proteomic profiling by mass spectrometry	Data-independent acquisition	timsTOF Pro 2	NT=label free sample;AC=MS:1002038	NT=Trypsin/P	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term;TA=	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;PP=Anywhere;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;PP=Anywhere;TA=M			1	1	S_Brandenburg_310323_110423_DIA_C_01_BC1_1_10004.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	lesSDRF v0.1.0
