source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
sample_27	recombinant hepatitis c virus j6/jfh1-j6	Cell culture	not applicable	not available	enrichment of phosphorylated protein	27	sample_27	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	1	1	sample_27.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/07/PXD000988/sample_27.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
sample_24	recombinant hepatitis c virus j6/jfh1-j6	Cell culture	not applicable	not available	enrichment of phosphorylated protein	24	sample_24	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	1	1	sample_24.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/07/PXD000988/sample_24.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
sample_19	recombinant hepatitis c virus j6/jfh1-j6	Cell culture	not applicable	not available	enrichment of phosphorylated protein	19	sample_19	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	1	1	sample_19.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/07/PXD000988/sample_19.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
sample_05	recombinant hepatitis c virus j6/jfh1-j6	Cell culture	not applicable	not available	enrichment of phosphorylated protein	5	sample_05	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	1	1	sample_05.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/07/PXD000988/sample_05.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
sample_16	recombinant hepatitis c virus j6/jfh1-j6	Cell culture	not applicable	not available	enrichment of phosphorylated protein	16	sample_16	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	1	1	sample_16.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/07/PXD000988/sample_16.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
sample_04	recombinant hepatitis c virus j6/jfh1-j6	Cell culture	not applicable	not available	enrichment of phosphorylated protein	4	sample_04	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	1	1	sample_04.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/07/PXD000988/sample_04.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
sample_10	recombinant hepatitis c virus j6/jfh1-j6	Cell culture	not applicable	not available	enrichment of phosphorylated protein	10	sample_10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	1	1	sample_10.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/07/PXD000988/sample_10.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
sample_08	recombinant hepatitis c virus j6/jfh1-j6	Cell culture	not applicable	not available	enrichment of phosphorylated protein	8	sample_08	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	1	1	sample_08.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/07/PXD000988/sample_08.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
sample_21	recombinant hepatitis c virus j6/jfh1-j6	Cell culture	not applicable	not available	enrichment of phosphorylated protein	21	sample_21	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	1	1	sample_21.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/07/PXD000988/sample_21.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
sample_09	recombinant hepatitis c virus j6/jfh1-j6	Cell culture	not applicable	not available	enrichment of phosphorylated protein	9	sample_09	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	1	1	sample_09.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/07/PXD000988/sample_09.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
sample_02	recombinant hepatitis c virus j6/jfh1-j6	Cell culture	not applicable	not available	enrichment of phosphorylated protein	2	sample_02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	1	1	sample_02.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/07/PXD000988/sample_02.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
sample_03	recombinant hepatitis c virus j6/jfh1-j6	Cell culture	not applicable	not available	enrichment of phosphorylated protein	3	sample_03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	1	1	sample_03.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/07/PXD000988/sample_03.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
sample_25	recombinant hepatitis c virus j6/jfh1-j6	Cell culture	not applicable	not available	enrichment of phosphorylated protein	25	sample_25	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	1	1	sample_25.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/07/PXD000988/sample_25.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
sample_06	recombinant hepatitis c virus j6/jfh1-j6	Cell culture	not applicable	not available	enrichment of phosphorylated protein	6	sample_06	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	1	1	sample_06.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/07/PXD000988/sample_06.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
