source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[instrument]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fragment mass tolerance]	comment[collision energy]	comment[fractionation method]	comment[reduction reagent]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
20181210_15cm_3_HelaDilution_60min_10000ng_28Hz_R1	homo sapiens	not available	not applicable	not available	enrichment of phosphorylated protein	1	20181210_15cm_3_HelaDilution_60min_10000ng_28Hz_R1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap fusion lumos;AC=MS:1002732	NT=q exactive hf-x;AC=MS:1002877	NT=q exactive hf;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT;AC=UNIMOD:739;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	0.4 Da	55% NCE	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	chloroacetamide (claa)	1	1	20181210_15cm_3_HelaDilution_60min_10000ng_28Hz_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/12/PXD015087/20181210_15cm_3_HelaDilution_60min_10000ng_28Hz_R1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	not available
03177_GE1_S00_U5_R1	homo sapiens	not available	not applicable	not available	enrichment of phosphorylated protein	1	03177_GE1_S00_U5_R1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap fusion lumos;AC=MS:1002732	NT=q exactive hf-x;AC=MS:1002877	NT=q exactive hf;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT;AC=UNIMOD:739;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	0.4 Da	55% NCE	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	chloroacetamide (claa)	1	1	03177_GE1_S00_U5_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/12/PXD015087/03177_GE1_S00_U5_R1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	not available
Hela_P035218_BA1_S00_A00_R10	homo sapiens	not available	HeLa cell	not available	enrichment of phosphorylated protein	1	Hela_P035218_BA1_S00_A00_R10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap fusion lumos;AC=MS:1002732	NT=q exactive hf-x;AC=MS:1002877	NT=q exactive hf;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT;AC=UNIMOD:739;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	0.4 Da	55% NCE	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	chloroacetamide (claa)	1	1	Hela_P035218_BA1_S00_A00_R10.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/12/PXD015087/Hela_P035218_BA1_S00_A00_R10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	not available
PROCAL_P035273_BD2_S00_A00_R1	homo sapiens	not available	not applicable	not available	enrichment of phosphorylated protein	1	PROCAL_P035273_BD2_S00_A00_R1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap fusion lumos;AC=MS:1002732	NT=q exactive hf-x;AC=MS:1002877	NT=q exactive hf;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT;AC=UNIMOD:739;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	0.4 Da	55% NCE	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	chloroacetamide (claa)	1	1	PROCAL_P035273_BD2_S00_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/12/PXD015087/PROCAL_P035273_BD2_S00_A00_R1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	not available
Placenta_03008_RH5_S00_RP40_R1	homo sapiens	placenta	not applicable	not available	enrichment of phosphorylated protein	1	Placenta_03008_RH5_S00_RP40_R1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap fusion lumos;AC=MS:1002732	NT=q exactive hf-x;AC=MS:1002877	NT=q exactive hf;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT;AC=UNIMOD:739;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	0.4 Da	55% NCE	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	chloroacetamide (claa)	1	1	Placenta_03008_RH5_S00_RP40_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/12/PXD015087/Placenta_03008_RH5_S00_RP40_R1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	placenta
02970_RD5_S00_R36_R1	homo sapiens	not available	not applicable	not available	enrichment of phosphorylated protein	1	02970_RD5_S00_R36_R1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap fusion lumos;AC=MS:1002732	NT=q exactive hf-x;AC=MS:1002877	NT=q exactive hf;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT;AC=UNIMOD:739;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	0.4 Da	55% NCE	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	chloroacetamide (claa)	1	1	02970_RD5_S00_R36_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/12/PXD015087/02970_RD5_S00_R36_R1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	not available
Plasma_P035244_BD1_S00_A00_R4	homo sapiens	blood plasma	not applicable	not available	enrichment of phosphorylated protein	1	Plasma_P035244_BD1_S00_A00_R4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap fusion lumos;AC=MS:1002732	NT=q exactive hf-x;AC=MS:1002877	NT=q exactive hf;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT;AC=UNIMOD:739;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	0.4 Da	55% NCE	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	chloroacetamide (claa)	1	1	Plasma_P035244_BD1_S00_A00_R4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/12/PXD015087/Plasma_P035244_BD1_S00_A00_R4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	blood plasma
190622_03178_GB3_TMT11_Pancreatic_S00_RP18_R1	homo sapiens	not available	not applicable	not available	enrichment of phosphorylated protein	1	190622_03178_GB3_TMT11_Pancreatic_S00_RP18_R1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap fusion lumos;AC=MS:1002732	NT=q exactive hf-x;AC=MS:1002877	NT=q exactive hf;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT;AC=UNIMOD:739;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	0.4 Da	55% NCE	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	chloroacetamide (claa)	1	1	190622_03178_GB3_TMT11_Pancreatic_S00_RP18_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/12/PXD015087/190622_03178_GB3_TMT11_Pancreatic_S00_RP18_R1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	not available
Plasma_P035277_BB2_S00_A00_R4	homo sapiens	blood plasma	not applicable	not available	enrichment of phosphorylated protein	1	Plasma_P035277_BB2_S00_A00_R4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap fusion lumos;AC=MS:1002732	NT=q exactive hf-x;AC=MS:1002877	NT=q exactive hf;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT;AC=UNIMOD:739;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	0.4 Da	55% NCE	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	chloroacetamide (claa)	1	1	Plasma_P035277_BB2_S00_A00_R4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/12/PXD015087/Plasma_P035277_BB2_S00_A00_R4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	blood plasma
Hela_P035218_BA1_S00_A00_R3	homo sapiens	not available	HeLa cell	not available	enrichment of phosphorylated protein	1	Hela_P035218_BA1_S00_A00_R3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap fusion lumos;AC=MS:1002732	NT=q exactive hf-x;AC=MS:1002877	NT=q exactive hf;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT;AC=UNIMOD:739;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	0.4 Da	55% NCE	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	chloroacetamide (claa)	1	1	Hela_P035218_BA1_S00_A00_R3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/12/PXD015087/Hela_P035218_BA1_S00_A00_R3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	not available
190622_03178_GD6_TMT11_Pancreatic_S00_RP45_R1	homo sapiens	not available	not applicable	not available	enrichment of phosphorylated protein	1	190622_03178_GD6_TMT11_Pancreatic_S00_RP45_R1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap fusion lumos;AC=MS:1002732	NT=q exactive hf-x;AC=MS:1002877	NT=q exactive hf;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT;AC=UNIMOD:739;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	0.4 Da	55% NCE	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	chloroacetamide (claa)	1	1	190622_03178_GD6_TMT11_Pancreatic_S00_RP45_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/12/PXD015087/190622_03178_GD6_TMT11_Pancreatic_S00_RP45_R1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	not available
Placenta_03011_RB2_S00_RP15_R1	homo sapiens	placenta	not applicable	not available	enrichment of phosphorylated protein	1	Placenta_03011_RB2_S00_RP15_R1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap fusion lumos;AC=MS:1002732	NT=q exactive hf-x;AC=MS:1002877	NT=q exactive hf;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT;AC=UNIMOD:739;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	0.4 Da	55% NCE	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	chloroacetamide (claa)	1	1	Placenta_03011_RB2_S00_RP15_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/12/PXD015087/Placenta_03011_RB2_S00_RP15_R1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	placenta
03177_GF6_S00_U43_R1	homo sapiens	not available	not applicable	not available	enrichment of phosphorylated protein	1	03177_GF6_S00_U43_R1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap fusion lumos;AC=MS:1002732	NT=q exactive hf-x;AC=MS:1002877	NT=q exactive hf;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT;AC=UNIMOD:739;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	0.4 Da	55% NCE	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	chloroacetamide (claa)	1	1	03177_GF6_S00_U43_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/12/PXD015087/03177_GF6_S00_U43_R1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	not available
0719_03352_RC2_TMT11_15min_S00_RP14_R1	homo sapiens	not available	not applicable	not available	enrichment of phosphorylated protein	1	0719_03352_RC2_TMT11_15min_S00_RP14_R1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap fusion lumos;AC=MS:1002732	NT=q exactive hf-x;AC=MS:1002877	NT=q exactive hf;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT;AC=UNIMOD:739;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	0.4 Da	55% NCE	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	chloroacetamide (claa)	1	1	0719_03352_RC2_TMT11_15min_S00_RP14_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/12/PXD015087/0719_03352_RC2_TMT11_15min_S00_RP14_R1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	not available
CSF_P035231_BC1_S00_A00_R5	homo sapiens	not available	not applicable	not available	enrichment of phosphorylated protein	1	CSF_P035231_BC1_S00_A00_R5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap fusion lumos;AC=MS:1002732	NT=q exactive hf-x;AC=MS:1002877	NT=q exactive hf;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT;AC=UNIMOD:739;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	0.4 Da	55% NCE	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	chloroacetamide (claa)	1	1	CSF_P035231_BC1_S00_A00_R5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/12/PXD015087/CSF_P035231_BC1_S00_A00_R5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	not available
02970_RE2_S00_R12_R1	homo sapiens	not available	not applicable	not available	enrichment of phosphorylated protein	1	02970_RE2_S00_R12_R1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap fusion lumos;AC=MS:1002732	NT=q exactive hf-x;AC=MS:1002877	NT=q exactive hf;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT;AC=UNIMOD:739;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	0.4 Da	55% NCE	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	chloroacetamide (claa)	1	1	02970_RE2_S00_R12_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/12/PXD015087/02970_RE2_S00_R12_R1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	not available
Placenta_03013_RE4_S00_RP28_R1	homo sapiens	placenta	not applicable	not available	enrichment of phosphorylated protein	1	Placenta_03013_RE4_S00_RP28_R1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap fusion lumos;AC=MS:1002732	NT=q exactive hf-x;AC=MS:1002877	NT=q exactive hf;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT;AC=UNIMOD:739;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	0.4 Da	55% NCE	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	chloroacetamide (claa)	1	1	Placenta_03013_RE4_S00_RP28_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/12/PXD015087/Placenta_03013_RE4_S00_RP28_R1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	placenta
02970_RE6_S00_R44_R1	homo sapiens	not available	not applicable	not available	enrichment of phosphorylated protein	1	02970_RE6_S00_R44_R1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap fusion lumos;AC=MS:1002732	NT=q exactive hf-x;AC=MS:1002877	NT=q exactive hf;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT;AC=UNIMOD:739;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	0.4 Da	55% NCE	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	chloroacetamide (claa)	1	1	02970_RE6_S00_R44_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/12/PXD015087/02970_RE6_S00_R44_R1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	not available
March_CSF_P035232_BC1_S00_A00_R10	homo sapiens	not available	not applicable	not available	enrichment of phosphorylated protein	1	March_CSF_P035232_BC1_S00_A00_R10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap fusion lumos;AC=MS:1002732	NT=q exactive hf-x;AC=MS:1002877	NT=q exactive hf;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT;AC=UNIMOD:739;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	0.4 Da	55% NCE	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	chloroacetamide (claa)	1	1	March_CSF_P035232_BC1_S00_A00_R10.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/12/PXD015087/March_CSF_P035232_BC1_S00_A00_R10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	not available
0721_03352_RF3_TMT11_15min_S00_RP22_R1	homo sapiens	not available	not applicable	not available	enrichment of phosphorylated protein	1	0721_03352_RF3_TMT11_15min_S00_RP22_R1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap fusion lumos;AC=MS:1002732	NT=q exactive hf-x;AC=MS:1002877	NT=q exactive hf;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT;AC=UNIMOD:739;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	0.4 Da	55% NCE	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	chloroacetamide (claa)	1	1	0721_03352_RF3_TMT11_15min_S00_RP22_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/12/PXD015087/0721_03352_RF3_TMT11_15min_S00_RP22_R1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	not available
35238_cfs_30min	homo sapiens	not available	not applicable	not available	enrichment of phosphorylated protein	1	35238_cfs_30min	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap fusion lumos;AC=MS:1002732	NT=q exactive hf-x;AC=MS:1002877	NT=q exactive hf;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT;AC=UNIMOD:739;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	0.4 Da	55% NCE	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	chloroacetamide (claa)	1	1	35238_cfs_30min.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/12/PXD015087/35238_cfs_30min.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	not available
03177_GG3_S00_U23_R1	homo sapiens	not available	not applicable	not available	enrichment of phosphorylated protein	1	03177_GG3_S00_U23_R1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap fusion lumos;AC=MS:1002732	NT=q exactive hf-x;AC=MS:1002877	NT=q exactive hf;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT;AC=UNIMOD:739;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	0.4 Da	55% NCE	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	chloroacetamide (claa)	1	1	03177_GG3_S00_U23_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/12/PXD015087/03177_GG3_S00_U23_R1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	not available
