source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[material type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[experiment]	factor value[group]	factor value[label class]
CAC20220118lut_Ag2_fpDIA_30min_b11_10_part2	Mus musculus	not available	not available	not available	not available	not available	not available	1	CAC20220118lut_Ag2_fpDIA_30min_b11_10_part2	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	2	1	CAC20220118lut_Ag2_fpDIA_30min_b11_10_part2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	Multi-organ mouse/human aging + protein restriction study	mouse fpDIA/DIA	DIA
CAB20220209lut_Ag2_fpDIA_30min_b19_27_part1	Mus musculus	not available	not available	not available	not available	not available	not available	1	CAB20220209lut_Ag2_fpDIA_30min_b19_27_part1	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	1	CAB20220209lut_Ag2_fpDIA_30min_b19_27_part1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	Multi-organ mouse/human aging + protein restriction study	mouse fpDIA/DIA	DIA
CAA20220209lut_Ag1_fpDIA_30min_b2_15_part2	Mus musculus	not available	not available	not available	not available	not available	not available	1	CAA20220209lut_Ag1_fpDIA_30min_b2_15_part2	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	2	1	CAA20220209lut_Ag1_fpDIA_30min_b2_15_part2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	Multi-organ mouse/human aging + protein restriction study	mouse fpDIA/DIA	DIA
CAA20220114lut_Ag1_fpDIA_30min_b2_20_part2	Mus musculus	not available	not available	not available	not available	not available	not available	1	CAA20220114lut_Ag1_fpDIA_30min_b2_20_part2	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	2	1	CAA20220114lut_Ag1_fpDIA_30min_b2_20_part2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	Multi-organ mouse/human aging + protein restriction study	mouse fpDIA/DIA	DIA
CAB20211219lut_Ag1_fpDIA_30min_b13_17_part1	Mus musculus	not available	not available	not available	not available	not available	not available	1	CAB20211219lut_Ag1_fpDIA_30min_b13_17_part1	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	1	CAB20211219lut_Ag1_fpDIA_30min_b13_17_part1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	Multi-organ mouse/human aging + protein restriction study	mouse fpDIA/DIA	DIA
CAC20230118lut_aging_human_TMT_60min_b6_9	Homo sapiens	not available	not available	not available	not available	not available	not available	1	CAC20230118lut_aging_human_TMT_60min_b6_9	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	1	CAC20230118lut_aging_human_TMT_60min_b6_9.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	Multi-organ mouse/human aging + protein restriction study	human	TMT
CAA20220226lut_Ag2_fpDIA_30min_b28_24_part2	Mus musculus	not available	not available	not available	not available	not available	not available	1	CAA20220226lut_Ag2_fpDIA_30min_b28_24_part2	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	2	1	CAA20220226lut_Ag2_fpDIA_30min_b28_24_part2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	Multi-organ mouse/human aging + protein restriction study	mouse fpDIA/DIA	DIA
CAB20220405lut_Ag2_fpDIA_30min_b22_28_part2	Mus musculus	not available	not available	not available	not available	not available	not available	1	CAB20220405lut_Ag2_fpDIA_30min_b22_28_part2	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	2	1	CAB20220405lut_Ag2_fpDIA_30min_b22_28_part2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	Multi-organ mouse/human aging + protein restriction study	mouse fpDIA/DIA	DIA
CAC20220118lut_Ag2_fpDIA_30min_b11_6_part1	Mus musculus	not available	not available	not available	not available	not available	not available	1	CAC20220118lut_Ag2_fpDIA_30min_b11_6_part1	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	1	CAC20220118lut_Ag2_fpDIA_30min_b11_6_part1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	Multi-organ mouse/human aging + protein restriction study	mouse fpDIA/DIA	DIA
CAC20211224lut_Ag1_fpDIA_30min_b39_13_part1	Mus musculus	not available	not available	not available	not available	not available	not available	1	CAC20211224lut_Ag1_fpDIA_30min_b39_13_part1	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	1	CAC20211224lut_Ag1_fpDIA_30min_b39_13_part1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	Multi-organ mouse/human aging + protein restriction study	mouse fpDIA/DIA	DIA
CAC20220910lut_Ag1_fpDIA_30min_b26_15_part1	Mus musculus	not available	not available	not available	not available	not available	not available	1	CAC20220910lut_Ag1_fpDIA_30min_b26_15_part1	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	1	CAC20220910lut_Ag1_fpDIA_30min_b26_15_part1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	Multi-organ mouse/human aging + protein restriction study	mouse fpDIA/DIA	DIA
CAC20230126lut_aging_human_TMT_60min_b10_18	Homo sapiens	not available	not available	not available	not available	not available	not available	1	CAC20230126lut_aging_human_TMT_60min_b10_18	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	1	CAC20230126lut_aging_human_TMT_60min_b10_18.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	Multi-organ mouse/human aging + protein restriction study	human	TMT
CAC20230122lut_aging_human_TMT_60min_b8_31	Homo sapiens	not available	not available	not available	not available	not available	not available	1	CAC20230122lut_aging_human_TMT_60min_b8_31	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	1	CAC20230122lut_aging_human_TMT_60min_b8_31.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	Multi-organ mouse/human aging + protein restriction study	human	TMT
