source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fractionation method]	comment[reduction reagent]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]
20121222_BoSo_Bsubtilis_SuperSilac_EtOH_Rep1_OG_HCD_LysC_Prestress_08	bacillus subtilis subsp. subtilis str. 168	not available	not applicable	not available	enrichment of phosphorylated protein	8	20121222_BoSo_Bsubtilis_SuperSilac_EtOH_Rep1_OG_HCD_LysC_Prestress_08	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap xl;AC=MS:1000556	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	0.5 Da	0.5 Da	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	20121222_BoSo_Bsubtilis_SuperSilac_EtOH_Rep1_OG_HCD_LysC_Prestress_08.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/11/PXD008860/20121222_BoSo_Bsubtilis_SuperSilac_EtOH_Rep1_OG_HCD_LysC_Prestress_08.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
20131227_VR_Bsu_LysC_PrimeXS_batch_1mg_5mgTiO2_R2	bacillus subtilis subsp. subtilis str. 168	not available	not applicable	not available	enrichment of phosphorylated protein	1	20131227_VR_Bsu_LysC_PrimeXS_batch_1mg_5mgTiO2_R2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap xl;AC=MS:1000556	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	0.5 Da	0.5 Da	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	20131227_VR_Bsu_LysC_PrimeXS_batch_1mg_5mgTiO2_R2.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/11/PXD008860/20131227_VR_Bsu_LysC_PrimeXS_batch_1mg_5mgTiO2_R2.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
20111028_BoZo_Bacillusphospho_PrpC_WT_12	bacillus subtilis subsp. subtilis str. 168	not available	not applicable	not available	enrichment of phosphorylated protein	12	20111028_BoZo_Bacillusphospho_PrpC_WT_12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap xl;AC=MS:1000556	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	0.5 Da	0.5 Da	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	20111028_BoZo_Bacillusphospho_PrpC_WT_12.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/11/PXD008860/20111028_BoZo_Bacillusphospho_PrpC_WT_12.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
20091204_BoMa_SA_BacillusSILAC-KO_log2_Ph_04	bacillus subtilis subsp. subtilis str. 168	not available	not applicable	not available	enrichment of phosphorylated protein	4	20091204_BoMa_SA_BacillusSILAC-KO_log2_Ph_04	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap xl;AC=MS:1000556	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	0.5 Da	0.5 Da	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	20091204_BoMa_SA_BacillusSILAC-KO_log2_Ph_04.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/11/PXD008860/20091204_BoMa_SA_BacillusSILAC-KO_log2_Ph_04.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
20131129_VR_PrimeXS_BsuWT_LysC_500ug	bacillus subtilis subsp. subtilis str. 168	not available	not applicable	not available	enrichment of phosphorylated protein	1	20131129_VR_PrimeXS_BsuWT_LysC_500ug	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap xl;AC=MS:1000556	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	0.5 Da	0.5 Da	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	20131129_VR_PrimeXS_BsuWT_LysC_500ug.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/11/PXD008860/20131129_VR_PrimeXS_BsuWT_LysC_500ug.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
20120523_VR_Bsu_TripleSILACrep1_L2ESLS_GeLC_F10	bacillus subtilis subsp. subtilis str. 168	not available	not applicable	not available	enrichment of phosphorylated protein	1	20120523_VR_Bsu_TripleSILACrep1_L2ESLS_GeLC_F10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap xl;AC=MS:1000556	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	0.5 Da	0.5 Da	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	iodoacetamide (iaa)	10	1	20120523_VR_Bsu_TripleSILACrep1_L2ESLS_GeLC_F10.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/11/PXD008860/20120523_VR_Bsu_TripleSILACrep1_L2ESLS_GeLC_F10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
20130713_VR_phosphoEnrichmentTest_TiO2_01	bacillus subtilis subsp. subtilis str. 168	not available	not applicable	not available	enrichment of phosphorylated protein	1	20130713_VR_phosphoEnrichmentTest_TiO2_01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap xl;AC=MS:1000556	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	0.5 Da	0.5 Da	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	20130713_VR_phosphoEnrichmentTest_TiO2_01.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/11/PXD008860/20130713_VR_phosphoEnrichmentTest_TiO2_01.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
20120427_BoSo_Bsubtilis_SuperSilacreplicate2_Offgel_LysC_Hcd_Log_Slice06	bacillus subtilis subsp. subtilis str. 168	not available	not applicable	not available	enrichment of phosphorylated protein	1	20120427_BoSo_Bsubtilis_SuperSilacreplicate2_Offgel_LysC_Hcd_Log_Slice06	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap xl;AC=MS:1000556	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	0.5 Da	0.5 Da	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	20120427_BoSo_Bsubtilis_SuperSilacreplicate2_Offgel_LysC_Hcd_Log_Slice06.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/11/PXD008860/20120427_BoSo_Bsubtilis_SuperSilacreplicate2_Offgel_LysC_Hcd_Log_Slice06.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
20100104_BoMa_SA_BacillusSILAC-Stat2_17	bacillus subtilis subsp. subtilis str. 168	not available	not applicable	not available	enrichment of phosphorylated protein	17	20100104_BoMa_SA_BacillusSILAC-Stat2_17	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap xl;AC=MS:1000556	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	0.5 Da	0.5 Da	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	20100104_BoMa_SA_BacillusSILAC-Stat2_17.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/11/PXD008860/20100104_BoMa_SA_BacillusSILAC-Stat2_17.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
20120314_VR_TripleSILAC_pT1L1T2rep_F03	bacillus subtilis subsp. subtilis str. 168	not available	not applicable	not available	enrichment of phosphorylated protein	1	20120314_VR_TripleSILAC_pT1L1T2rep_F03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap xl;AC=MS:1000556	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	0.5 Da	0.5 Da	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	iodoacetamide (iaa)	3	1	20120314_VR_TripleSILAC_pT1L1T2rep_F03.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/11/PXD008860/20120314_VR_TripleSILAC_pT1L1T2rep_F03.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
20121222_BoSo_Bsubtilis_SuperSilac_EtOH_Rep2_GelC_CID_LysC_Prestress_09	bacillus subtilis subsp. subtilis str. 168	not available	not applicable	not available	enrichment of phosphorylated protein	9	20121222_BoSo_Bsubtilis_SuperSilac_EtOH_Rep2_GelC_CID_LysC_Prestress_09	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap xl;AC=MS:1000556	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	0.5 Da	0.5 Da	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	20121222_BoSo_Bsubtilis_SuperSilac_EtOH_Rep2_GelC_CID_LysC_Prestress_09.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/11/PXD008860/20121222_BoSo_Bsubtilis_SuperSilac_EtOH_Rep2_GelC_CID_LysC_Prestress_09.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
20120602_VR_Bsu_TripleSILAC_WTPrkCPrpC_OG_F07	bacillus subtilis subsp. subtilis str. 168	not available	not applicable	not available	enrichment of phosphorylated protein	1	20120602_VR_Bsu_TripleSILAC_WTPrkCPrpC_OG_F07	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap xl;AC=MS:1000556	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	0.5 Da	0.5 Da	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	iodoacetamide (iaa)	7	1	20120602_VR_Bsu_TripleSILAC_WTPrkCPrpC_OG_F07.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/11/PXD008860/20120602_VR_Bsu_TripleSILAC_WTPrkCPrpC_OG_F07.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
20120902_VR_Bsu_TripleSILAC_WTPrkCPrpCRep1_GeLC_F08	bacillus subtilis subsp. subtilis str. 168	not available	not applicable	not available	enrichment of phosphorylated protein	1	20120902_VR_Bsu_TripleSILAC_WTPrkCPrpCRep1_GeLC_F08	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap xl;AC=MS:1000556	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	0.5 Da	0.5 Da	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	iodoacetamide (iaa)	8	1	20120902_VR_Bsu_TripleSILAC_WTPrkCPrpCRep1_GeLC_F08.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/11/PXD008860/20120902_VR_Bsu_TripleSILAC_WTPrkCPrpCRep1_GeLC_F08.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
20120427_BoSo_Bsubtilis_SuperSilacreplicate2_Offgel_LysC_Hcd_firsttransSlice02	bacillus subtilis subsp. subtilis str. 168	not available	not applicable	not available	enrichment of phosphorylated protein	1	20120427_BoSo_Bsubtilis_SuperSilacreplicate2_Offgel_LysC_Hcd_firsttransSlice02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap xl;AC=MS:1000556	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	0.5 Da	0.5 Da	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	20120427_BoSo_Bsubtilis_SuperSilacreplicate2_Offgel_LysC_Hcd_firsttransSlice02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/11/PXD008860/20120427_BoSo_Bsubtilis_SuperSilacreplicate2_Offgel_LysC_Hcd_firsttransSlice02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
20121116_VR_Bsu_TripleSILAC_WTPtkAPtpZReplicate2a_GeLC_F08	bacillus subtilis subsp. subtilis str. 168	not available	not applicable	not available	enrichment of phosphorylated protein	1	20121116_VR_Bsu_TripleSILAC_WTPtkAPtpZReplicate2a_GeLC_F08	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap xl;AC=MS:1000556	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	0.5 Da	0.5 Da	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	iodoacetamide (iaa)	8	1	20121116_VR_Bsu_TripleSILAC_WTPtkAPtpZReplicate2a_GeLC_F08.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/11/PXD008860/20121116_VR_Bsu_TripleSILAC_WTPtkAPtpZReplicate2a_GeLC_F08.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
20120104_VR_TripleSILAC_pL2ESLS_F1	bacillus subtilis subsp. subtilis str. 168	not available	not applicable	not available	enrichment of phosphorylated protein	1	20120104_VR_TripleSILAC_pL2ESLS_F1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap xl;AC=MS:1000556	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	0.5 Da	0.5 Da	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	20120104_VR_TripleSILAC_pL2ESLS_F1.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/11/PXD008860/20120104_VR_TripleSILAC_pL2ESLS_F1.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
20120416_VR_Bsu_TripleSILAC_L2ESLSrep_GeLC_F02	bacillus subtilis subsp. subtilis str. 168	not available	not applicable	not available	enrichment of phosphorylated protein	1	20120416_VR_Bsu_TripleSILAC_L2ESLSrep_GeLC_F02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap xl;AC=MS:1000556	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	0.5 Da	0.5 Da	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	iodoacetamide (iaa)	2	1	20120416_VR_Bsu_TripleSILAC_L2ESLSrep_GeLC_F02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/11/PXD008860/20120416_VR_Bsu_TripleSILAC_L2ESLSrep_GeLC_F02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
20120407_BoSo_LysC_Bsubtilis_SuperSilac_secondtrans_GelC_Slice03	bacillus subtilis subsp. subtilis str. 168	not available	not applicable	not available	enrichment of phosphorylated protein	1	20120407_BoSo_LysC_Bsubtilis_SuperSilac_secondtrans_GelC_Slice03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap xl;AC=MS:1000556	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	0.5 Da	0.5 Da	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	20120407_BoSo_LysC_Bsubtilis_SuperSilac_secondtrans_GelC_Slice03.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/11/PXD008860/20120407_BoSo_LysC_Bsubtilis_SuperSilac_secondtrans_GelC_Slice03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
20140820_BoSo_Bsubtilis_Phospho_LysC_Test_1to5bead_05	bacillus subtilis subsp. subtilis str. 168	not available	not applicable	not available	enrichment of phosphorylated protein	5	20140820_BoSo_Bsubtilis_Phospho_LysC_Test_1to5bead_05	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap xl;AC=MS:1000556	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	0.5 Da	0.5 Da	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	20140820_BoSo_Bsubtilis_Phospho_LysC_Test_1to5bead_05.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/11/PXD008860/20140820_BoSo_Bsubtilis_Phospho_LysC_Test_1to5bead_05.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
20120104_VR_TripleSILAC_pL2ESLS_F7	bacillus subtilis subsp. subtilis str. 168	not available	not applicable	not available	enrichment of phosphorylated protein	1	20120104_VR_TripleSILAC_pL2ESLS_F7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap xl;AC=MS:1000556	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	0.5 Da	0.5 Da	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	iodoacetamide (iaa)	7	1	20120104_VR_TripleSILAC_pL2ESLS_F7.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/11/PXD008860/20120104_VR_TripleSILAC_pL2ESLS_F7.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
