source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[technical replicate]	comment[fraction identifier]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
F1RS20170122_AG_ZAAT5	Danio rerio	liver	not available	1	F1RS20170122_AG_ZAAT5	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	1	1	F1RS20170122_AG_ZAAT5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	liver
F1RS20170122_AG_ZAAT6	Danio rerio	liver	not available	1	F1RS20170122_AG_ZAAT6	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	1	1	F1RS20170122_AG_ZAAT6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	liver
F1RS20170928_BW_Aminus1_375-675	Danio rerio	liver	not available	1	F1RS20170928_BW_Aminus1_375-675	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	1	1	F1RS20170928_BW_Aminus1_375-675.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	liver
F1RS20170928_BW_Aminus1_675-975	Danio rerio	liver	not available	1	F1RS20170928_BW_Aminus1_675-975	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	1	1	F1RS20170928_BW_Aminus1_675-975.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	liver
F1RS20170928_BW_Aminus2_375-675	Danio rerio	liver	not available	1	F1RS20170928_BW_Aminus2_375-675	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	1	1	F1RS20170928_BW_Aminus2_375-675.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	liver
F1RS20170928_BW_Aminus2_675-975	Danio rerio	liver	not available	1	F1RS20170928_BW_Aminus2_675-975	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	1	1	F1RS20170928_BW_Aminus2_675-975.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	liver
F1RS20170928_BW_Aplus1_375-675	Danio rerio	liver	not available	1	F1RS20170928_BW_Aplus1_375-675	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	1	1	F1RS20170928_BW_Aplus1_375-675.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	liver
F1RS20170928_BW_Aplus1_675-975	Danio rerio	liver	not available	1	F1RS20170928_BW_Aplus1_675-975	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	1	1	F1RS20170928_BW_Aplus1_675-975.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	liver
F1RS20170928_BW_Aplus2_375-675	Danio rerio	liver	not available	1	F1RS20170928_BW_Aplus2_375-675	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	1	1	F1RS20170928_BW_Aplus2_375-675.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	liver
F1RS20170928_BW_Aplus2_675-975	Danio rerio	liver	not available	1	F1RS20170928_BW_Aplus2_675-975	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	1	1	F1RS20170928_BW_Aplus2_675-975.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	liver
F1RS20170928_BW_Aplus3_375-675	Danio rerio	liver	not available	1	F1RS20170928_BW_Aplus3_375-675	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	1	1	F1RS20170928_BW_Aplus3_375-675.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	liver
F1RS20170928_BW_Aplus3_675-975	Danio rerio	liver	not available	1	F1RS20170928_BW_Aplus3_675-975	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	1	1	F1RS20170928_BW_Aplus3_675-975.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	liver
F1RS20170928_BW_Aplus4_375-675	Danio rerio	liver	not available	1	F1RS20170928_BW_Aplus4_375-675	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	1	1	F1RS20170928_BW_Aplus4_375-675.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	liver
F1RS20170928_BW_Aplus4_675-975	Danio rerio	liver	not available	1	F1RS20170928_BW_Aplus4_675-975	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	1	1	F1RS20170928_BW_Aplus4_675-975.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	liver
F1RS20170928_BW_Aplus5_375-675	Danio rerio	liver	not available	1	F1RS20170928_BW_Aplus5_375-675	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	1	1	F1RS20170928_BW_Aplus5_375-675.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	liver
F1RS20170928_BW_Aplus5_675-975	Danio rerio	liver	not available	1	F1RS20170928_BW_Aplus5_675-975	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	1	1	F1RS20170928_BW_Aplus5_675-975.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	liver
F1RS20170928_BW_Aplus6_375-675	Danio rerio	liver	not available	1	F1RS20170928_BW_Aplus6_375-675	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	1	1	F1RS20170928_BW_Aplus6_375-675.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	liver
F1RS20170928_BW_Aplus6_675-975	Danio rerio	liver	not available	1	F1RS20170928_BW_Aplus6_675-975	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	1	1	F1RS20170928_BW_Aplus6_675-975.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	liver
F1RS20170928_BW_Zminus1_375-675	Danio rerio	liver	not available	1	F1RS20170928_BW_Zminus1_375-675	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	1	1	F1RS20170928_BW_Zminus1_375-675.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	liver
F1RS20170928_BW_Zminus1_675-975	Danio rerio	liver	not available	1	F1RS20170928_BW_Zminus1_675-975	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	1	1	F1RS20170928_BW_Zminus1_675-975.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	liver
F1RS20170928_BW_Zminus2_375-675	Danio rerio	liver	not available	1	F1RS20170928_BW_Zminus2_375-675	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	1	1	F1RS20170928_BW_Zminus2_375-675.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	liver
F1RS20170928_BW_Zminus2_675-975	Danio rerio	liver	not available	1	F1RS20170928_BW_Zminus2_675-975	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	1	1	F1RS20170928_BW_Zminus2_675-975.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	liver
F1RS20170928_BW_Zplus1_375-675	Danio rerio	liver	not available	1	F1RS20170928_BW_Zplus1_375-675	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	1	1	F1RS20170928_BW_Zplus1_375-675.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	liver
F1RS20170928_BW_Zplus1_675-975	Danio rerio	liver	not available	1	F1RS20170928_BW_Zplus1_675-975	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	1	1	F1RS20170928_BW_Zplus1_675-975.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	liver
F1RS20170928_BW_Zplus2_375-675	Danio rerio	liver	not available	1	F1RS20170928_BW_Zplus2_375-675	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	1	1	F1RS20170928_BW_Zplus2_375-675.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	liver
F1RS20170928_BW_Zplus2_675-975	Danio rerio	liver	not available	1	F1RS20170928_BW_Zplus2_675-975	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	1	1	F1RS20170928_BW_Zplus2_675-975.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	liver
F1RS20170928_BW_Zplus3_375-675	Danio rerio	liver	not available	1	F1RS20170928_BW_Zplus3_375-675	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	1	1	F1RS20170928_BW_Zplus3_375-675.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	liver
F1RS20170928_BW_Zplus3_675-975	Danio rerio	liver	not available	1	F1RS20170928_BW_Zplus3_675-975	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	1	1	F1RS20170928_BW_Zplus3_675-975.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	liver
F1RS20170928_BW_Zplus4_375-675	Danio rerio	liver	not available	1	F1RS20170928_BW_Zplus4_375-675	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	1	1	F1RS20170928_BW_Zplus4_375-675.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	liver
F1RS20170928_BW_Zplus4_675-975	Danio rerio	liver	not available	1	F1RS20170928_BW_Zplus4_675-975	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	1	1	F1RS20170928_BW_Zplus4_675-975.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	liver
F1RS20170928_BW_Zplus5_375-675	Danio rerio	liver	not available	1	F1RS20170928_BW_Zplus5_375-675	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	1	1	F1RS20170928_BW_Zplus5_375-675.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	liver
F1RS20170928_BW_Zplus5_675-975	Danio rerio	liver	not available	1	F1RS20170928_BW_Zplus5_675-975	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	1	1	F1RS20170928_BW_Zplus5_675-975.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	liver
F1RS20170928_BW_Zplus6_375-675	Danio rerio	liver	not available	1	F1RS20170928_BW_Zplus6_375-675	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	1	1	F1RS20170928_BW_Zplus6_375-675.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	liver
F1RS20170928_BW_Zplus6_675-975	Danio rerio	liver	not available	1	F1RS20170928_BW_Zplus6_675-975	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	1	1	F1RS20170928_BW_Zplus6_675-975.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	liver
