source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[individual]	characteristics[material type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[dia method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[isolation window width]	comment[scan window lower limit]	comment[scan window upper limit]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[cell type]
230526_BMVEC_C1	Homo sapiens	blood brain barrier	brain microvascular endothelial cell	normal	adult	not available	not available	not available	not applicable	cell	1	run 230526_BMVEC_rep1_C1_1_5664	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF fleX;AC=MS:1003124	label free sample	NT=Trypsin;AC=MS:1001251	NT=Methylthio;MT=Fixed;TA=C;AC=UNIMOD:39	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	1	1	230526_BMVEC_rep1_C1_1_5664.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	brain microvascular endothelial cell
230526_BMVEC_C1	Homo sapiens	blood brain barrier	brain microvascular endothelial cell	normal	adult	not available	not available	not available	not applicable	cell	1	run 230526_BMVEC_rep2_C1_1_5665	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF fleX;AC=MS:1003124	label free sample	NT=Trypsin;AC=MS:1001251	NT=Methylthio;MT=Fixed;TA=C;AC=UNIMOD:39	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	1	2	230526_BMVEC_rep2_C1_1_5665.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	brain microvascular endothelial cell
230616_BMVEC_HIV1_B3	Homo sapiens	blood brain barrier	brain microvascular endothelial cell	normal	adult	not available	not available	not available	not applicable	cell	1	run 230616_BMVEC_HIV1_rep1_B3_1_5787	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF fleX;AC=MS:1003124	label free sample	NT=Trypsin;AC=MS:1001251	NT=Methylthio;MT=Fixed;TA=C;AC=UNIMOD:39	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	1	1	230616_BMVEC_HIV1_rep1_B3_1_5787.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	brain microvascular endothelial cell
230616_BMVEC_HIV1_B3	Homo sapiens	blood brain barrier	brain microvascular endothelial cell	normal	adult	not available	not available	not available	not applicable	cell	1	run 230616_BMVEC_HIV1_rep2_B3_1_5788	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF fleX;AC=MS:1003124	label free sample	NT=Trypsin;AC=MS:1001251	NT=Methylthio;MT=Fixed;TA=C;AC=UNIMOD:39	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	1	2	230616_BMVEC_HIV1_rep2_B3_1_5788.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	brain microvascular endothelial cell
230616_BMVEC_HIV2_B4	Homo sapiens	blood brain barrier	brain microvascular endothelial cell	normal	adult	not available	not available	not available	not applicable	cell	1	run 230616_BMVEC_HIV2_rep1_B4_1_5791	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF fleX;AC=MS:1003124	label free sample	NT=Trypsin;AC=MS:1001251	NT=Methylthio;MT=Fixed;TA=C;AC=UNIMOD:39	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	1	1	230616_BMVEC_HIV2_rep1_B4_1_5791.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	brain microvascular endothelial cell
230616_BMVEC_HIV2_B4	Homo sapiens	blood brain barrier	brain microvascular endothelial cell	normal	adult	not available	not available	not available	not applicable	cell	1	run 230616_BMVEC_HIV2_rep2_B4_1_5792	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF fleX;AC=MS:1003124	label free sample	NT=Trypsin;AC=MS:1001251	NT=Methylthio;MT=Fixed;TA=C;AC=UNIMOD:39	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	1	2	230616_BMVEC_HIV2_rep2_B4_1_5792.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	brain microvascular endothelial cell
230616_BMVEC_HIV_ART1_B5	Homo sapiens	blood brain barrier	brain microvascular endothelial cell	normal	adult	not available	not available	not available	not applicable	cell	1	run 230616_BMVEC_HIV_ART1_rep1_B5_1_5795	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF fleX;AC=MS:1003124	label free sample	NT=Trypsin;AC=MS:1001251	NT=Methylthio;MT=Fixed;TA=C;AC=UNIMOD:39	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	1	1	230616_BMVEC_HIV_ART1_rep1_B5_1_5795.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	brain microvascular endothelial cell
230616_BMVEC_HIV_ART1_B5	Homo sapiens	blood brain barrier	brain microvascular endothelial cell	normal	adult	not available	not available	not available	not applicable	cell	1	run 230616_BMVEC_HIV_ART1_rep2_B5_1_5796	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF fleX;AC=MS:1003124	label free sample	NT=Trypsin;AC=MS:1001251	NT=Methylthio;MT=Fixed;TA=C;AC=UNIMOD:39	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	1	2	230616_BMVEC_HIV_ART1_rep2_B5_1_5796.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	brain microvascular endothelial cell
230616_BMVEC_HIV_ART2_B6	Homo sapiens	blood brain barrier	brain microvascular endothelial cell	normal	adult	not available	not available	not available	not applicable	cell	1	run 230616_BMVEC_HIV_ART2_rep1_B6_1_5799	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF fleX;AC=MS:1003124	label free sample	NT=Trypsin;AC=MS:1001251	NT=Methylthio;MT=Fixed;TA=C;AC=UNIMOD:39	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	1	1	230616_BMVEC_HIV_ART2_rep1_B6_1_5799.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	brain microvascular endothelial cell
230616_BMVEC_HIV_ART2_B6	Homo sapiens	blood brain barrier	brain microvascular endothelial cell	normal	adult	not available	not available	not available	not applicable	cell	1	run 230616_BMVEC_HIV_ART2_rep2_B6_1_5800	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF fleX;AC=MS:1003124	label free sample	NT=Trypsin;AC=MS:1001251	NT=Methylthio;MT=Fixed;TA=C;AC=UNIMOD:39	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	1	2	230616_BMVEC_HIV_ART2_rep2_B6_1_5800.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	brain microvascular endothelial cell
230616_BMVEC_Untx1_B1	Homo sapiens	blood brain barrier	brain microvascular endothelial cell	normal	adult	not available	not available	not available	not applicable	cell	1	run 230616_BMVEC_Untx1_rep1_B1_1_5779	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF fleX;AC=MS:1003124	label free sample	NT=Trypsin;AC=MS:1001251	NT=Methylthio;MT=Fixed;TA=C;AC=UNIMOD:39	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	1	1	230616_BMVEC_Untx1_rep1_B1_1_5779.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	brain microvascular endothelial cell
230616_BMVEC_Untx1_B1	Homo sapiens	blood brain barrier	brain microvascular endothelial cell	normal	adult	not available	not available	not available	not applicable	cell	1	run 230616_BMVEC_Untx1_rep2_B1_1_5780	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF fleX;AC=MS:1003124	label free sample	NT=Trypsin;AC=MS:1001251	NT=Methylthio;MT=Fixed;TA=C;AC=UNIMOD:39	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	1	2	230616_BMVEC_Untx1_rep2_B1_1_5780.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	brain microvascular endothelial cell
230616_BMVEC_Untx2_B2	Homo sapiens	blood brain barrier	brain microvascular endothelial cell	normal	adult	not available	not available	not available	not applicable	cell	1	run 230616_BMVEC_Untx2_rep1_B2_1_5783	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF fleX;AC=MS:1003124	label free sample	NT=Trypsin;AC=MS:1001251	NT=Methylthio;MT=Fixed;TA=C;AC=UNIMOD:39	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	1	1	230616_BMVEC_Untx2_rep1_B2_1_5783.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	brain microvascular endothelial cell
230616_BMVEC_Untx2_B2	Homo sapiens	blood brain barrier	brain microvascular endothelial cell	normal	adult	not available	not available	not available	not applicable	cell	1	run 230616_BMVEC_Untx2_rep2_B2_1_5784	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF fleX;AC=MS:1003124	label free sample	NT=Trypsin;AC=MS:1001251	NT=Methylthio;MT=Fixed;TA=C;AC=UNIMOD:39	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	1	2	230616_BMVEC_Untx2_rep2_B2_1_5784.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	brain microvascular endothelial cell
230616_hepatocyte_B3	Homo sapiens	liver	hepatocyte	normal	adult	not available	not available	not available	not applicable	cell	1	run 230616_hepatocyte_rep1_B3_1_5770	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF fleX;AC=MS:1003124	label free sample	NT=Trypsin;AC=MS:1001251	NT=Methylthio;MT=Fixed;TA=C;AC=UNIMOD:39	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	1	1	230616_hepatocyte_rep1_B3_1_5770.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	hepatocyte
230616_hepatocyte_B3	Homo sapiens	liver	hepatocyte	normal	adult	not available	not available	not available	not applicable	cell	1	run 230616_hepatocyte_rep2_B3_1_5771	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF fleX;AC=MS:1003124	label free sample	NT=Trypsin;AC=MS:1001251	NT=Methylthio;MT=Fixed;TA=C;AC=UNIMOD:39	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	1	2	230616_hepatocyte_rep2_B3_1_5771.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	hepatocyte
230707_AstrocyteP1_S1_B3	Homo sapiens	blood brain barrier	astrocyte	normal	adult	not available	not available	not available	not applicable	cell	1	run 230707_AstrocyteP1_S1_rep1_B3_1_5894	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF fleX;AC=MS:1003124	label free sample	NT=Trypsin;AC=MS:1001251	NT=Methylthio;MT=Fixed;TA=C;AC=UNIMOD:39	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	1	1	230707_AstrocyteP1_S1_rep1_B3_1_5894.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	astrocyte
230707_AstrocyteP1_S1_B3	Homo sapiens	blood brain barrier	astrocyte	normal	adult	not available	not available	not available	not applicable	cell	1	run 230707_AstrocyteP1_S1_rep2_B3_1_5895	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF fleX;AC=MS:1003124	label free sample	NT=Trypsin;AC=MS:1001251	NT=Methylthio;MT=Fixed;TA=C;AC=UNIMOD:39	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	1	2	230707_AstrocyteP1_S1_rep2_B3_1_5895.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	astrocyte
230707_AstrocyteP2_S1_B1	Homo sapiens	blood brain barrier	astrocyte	normal	adult	not available	not available	not available	not applicable	cell	1	run 230707_AstrocyteP2_S1_rep1_B1_1_5890	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF fleX;AC=MS:1003124	label free sample	NT=Trypsin;AC=MS:1001251	NT=Methylthio;MT=Fixed;TA=C;AC=UNIMOD:39	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	1	1	230707_AstrocyteP2_S1_rep1_B1_1_5890.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	astrocyte
230707_AstrocyteP2_S1_B1	Homo sapiens	blood brain barrier	astrocyte	normal	adult	not available	not available	not available	not applicable	cell	1	run 230707_AstrocyteP2_S1_rep2_B1_1_5891	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF fleX;AC=MS:1003124	label free sample	NT=Trypsin;AC=MS:1001251	NT=Methylthio;MT=Fixed;TA=C;AC=UNIMOD:39	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	1	2	230707_AstrocyteP2_S1_rep2_B1_1_5891.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	astrocyte
230707_BMVEC_P3_S1_B7	Homo sapiens	blood brain barrier	brain microvascular endothelial cell	normal	adult	not available	not available	not available	not applicable	cell	1	run 230707_BMVEC_P3_S1_rep1_B7_1_5906	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF fleX;AC=MS:1003124	label free sample	NT=Trypsin;AC=MS:1001251	NT=Methylthio;MT=Fixed;TA=C;AC=UNIMOD:39	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	1	1	230707_BMVEC_P3_S1_rep1_B7_1_5906.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	brain microvascular endothelial cell
230707_BMVEC_P3_S1_B7	Homo sapiens	blood brain barrier	brain microvascular endothelial cell	normal	adult	not available	not available	not available	not applicable	cell	1	run 230707_BMVEC_P3_S1_rep2_B7_1_5907	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF fleX;AC=MS:1003124	label free sample	NT=Trypsin;AC=MS:1001251	NT=Methylthio;MT=Fixed;TA=C;AC=UNIMOD:39	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	1	2	230707_BMVEC_P3_S1_rep2_B7_1_5907.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	brain microvascular endothelial cell
