source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fractionation method]	comment[reduction reagent]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
20130910_Elite_FrPa_Lipid_Exp53_4h_1b	Homo sapiens	Endothelial cell of umbilical vein	not applicable	not available	phosphopeptide enrichment (TiO2)	1	20130910_Elite_FrPa_Lipid_Exp53_4h_1b	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	7 ppm	strong cation exchange chromatography	dithiothreitol	iodoacetamide	1	1	20130910_Elite_FrPa_Lipid_Exp53_4h_1b.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001186/20130910_Elite_FrPa_Lipid_Exp53_4h_1b.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Endothelial cell of umbilical vein
20140225_Elite_FrPa_LIPID_SILACexpA_fraction4	Homo sapiens	Endothelial cell of umbilical vein	not applicable	not available	phosphopeptide enrichment (TiO2)	1	20140225_Elite_FrPa_LIPID_SILACexpA_fraction4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	7 ppm	strong cation exchange chromatography	dithiothreitol	iodoacetamide	1	1	20140225_Elite_FrPa_LIPID_SILACexpA_fraction4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001186/20140225_Elite_FrPa_LIPID_SILACexpA_fraction4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Endothelial cell of umbilical vein
20140225_Elite_FrPa_LIPID_SILACexpB_flowthr4	Homo sapiens	Endothelial cell of umbilical vein	not applicable	not available	phosphopeptide enrichment (TiO2)	1	20140225_Elite_FrPa_LIPID_SILACexpB_flowthr4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	7 ppm	strong cation exchange chromatography	dithiothreitol	iodoacetamide	1	1	20140225_Elite_FrPa_LIPID_SILACexpB_flowthr4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001186/20140225_Elite_FrPa_LIPID_SILACexpB_flowthr4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Endothelial cell of umbilical vein
20140225_Elite_FrPa_LIPID_SILACexpA_fraction3	Homo sapiens	Endothelial cell of umbilical vein	not applicable	not available	phosphopeptide enrichment (TiO2)	1	20140225_Elite_FrPa_LIPID_SILACexpA_fraction3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	7 ppm	strong cation exchange chromatography	dithiothreitol	iodoacetamide	1	1	20140225_Elite_FrPa_LIPID_SILACexpA_fraction3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001186/20140225_Elite_FrPa_LIPID_SILACexpA_fraction3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Endothelial cell of umbilical vein
20140225_Elite_FrPa_LIPID_SILACexpB_fraction4	Homo sapiens	Endothelial cell of umbilical vein	not applicable	not available	phosphopeptide enrichment (TiO2)	1	20140225_Elite_FrPa_LIPID_SILACexpB_fraction4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	7 ppm	strong cation exchange chromatography	dithiothreitol	iodoacetamide	1	1	20140225_Elite_FrPa_LIPID_SILACexpB_fraction4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001186/20140225_Elite_FrPa_LIPID_SILACexpB_fraction4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Endothelial cell of umbilical vein
20130910_Elite_FrPa_Lipid_Exp53_22h_2	Homo sapiens	Endothelial cell of umbilical vein	not applicable	not available	phosphopeptide enrichment (TiO2)	2	20130910_Elite_FrPa_Lipid_Exp53_22h_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	7 ppm	strong cation exchange chromatography	dithiothreitol	iodoacetamide	1	1	20130910_Elite_FrPa_Lipid_Exp53_22h_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001186/20130910_Elite_FrPa_Lipid_Exp53_22h_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Endothelial cell of umbilical vein
20140225_Elite_FrPa_LIPID_SILACexpC_pooled-fractions	Homo sapiens	Endothelial cell of umbilical vein	not applicable	not available	phosphopeptide enrichment (TiO2)	1	20140225_Elite_FrPa_LIPID_SILACexpC_pooled-fractions	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	7 ppm	strong cation exchange chromatography	dithiothreitol	iodoacetamide	1	1	20140225_Elite_FrPa_LIPID_SILACexpC_pooled-fractions.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001186/20140225_Elite_FrPa_LIPID_SILACexpC_pooled-fractions.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Endothelial cell of umbilical vein
20140225_Elite_FrPa_LIPID_SILACexpC_fraction6	Homo sapiens	Endothelial cell of umbilical vein	not applicable	not available	phosphopeptide enrichment (TiO2)	1	20140225_Elite_FrPa_LIPID_SILACexpC_fraction6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	7 ppm	strong cation exchange chromatography	dithiothreitol	iodoacetamide	1	1	20140225_Elite_FrPa_LIPID_SILACexpC_fraction6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001186/20140225_Elite_FrPa_LIPID_SILACexpC_fraction6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Endothelial cell of umbilical vein
20140225_Elite_FrPa_LIPID_SILACexpC_fraction2	Homo sapiens	Endothelial cell of umbilical vein	not applicable	not available	phosphopeptide enrichment (TiO2)	1	20140225_Elite_FrPa_LIPID_SILACexpC_fraction2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	7 ppm	strong cation exchange chromatography	dithiothreitol	iodoacetamide	1	1	20140225_Elite_FrPa_LIPID_SILACexpC_fraction2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001186/20140225_Elite_FrPa_LIPID_SILACexpC_fraction2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Endothelial cell of umbilical vein
20140225_Elite_FrPa_LIPID_SILACexpB_fraction5	Homo sapiens	Endothelial cell of umbilical vein	not applicable	not available	phosphopeptide enrichment (TiO2)	1	20140225_Elite_FrPa_LIPID_SILACexpB_fraction5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	7 ppm	strong cation exchange chromatography	dithiothreitol	iodoacetamide	1	1	20140225_Elite_FrPa_LIPID_SILACexpB_fraction5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001186/20140225_Elite_FrPa_LIPID_SILACexpB_fraction5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Endothelial cell of umbilical vein
20140225_Elite_FrPa_LIPID_SILACexpC_pooled-flowthr	Homo sapiens	Endothelial cell of umbilical vein	not applicable	not available	phosphopeptide enrichment (TiO2)	1	20140225_Elite_FrPa_LIPID_SILACexpC_pooled-flowthr	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	7 ppm	strong cation exchange chromatography	dithiothreitol	iodoacetamide	1	1	20140225_Elite_FrPa_LIPID_SILACexpC_pooled-flowthr.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001186/20140225_Elite_FrPa_LIPID_SILACexpC_pooled-flowthr.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Endothelial cell of umbilical vein
20140225_Elite_FrPa_LIPID_SILACexpA_fraction1	Homo sapiens	Endothelial cell of umbilical vein	not applicable	not available	phosphopeptide enrichment (TiO2)	1	20140225_Elite_FrPa_LIPID_SILACexpA_fraction1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	7 ppm	strong cation exchange chromatography	dithiothreitol	iodoacetamide	1	1	20140225_Elite_FrPa_LIPID_SILACexpA_fraction1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001186/20140225_Elite_FrPa_LIPID_SILACexpA_fraction1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Endothelial cell of umbilical vein
20130910_Elite_FrPa_Lipid_Exp53_30h_2	Homo sapiens	Endothelial cell of umbilical vein	not applicable	not available	phosphopeptide enrichment (TiO2)	2	20130910_Elite_FrPa_Lipid_Exp53_30h_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	7 ppm	strong cation exchange chromatography	dithiothreitol	iodoacetamide	1	1	20130910_Elite_FrPa_Lipid_Exp53_30h_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001186/20130910_Elite_FrPa_Lipid_Exp53_30h_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Endothelial cell of umbilical vein
20140225_Elite_FrPa_LIPID_SILACexpB_fraction2	Homo sapiens	Endothelial cell of umbilical vein	not applicable	not available	phosphopeptide enrichment (TiO2)	1	20140225_Elite_FrPa_LIPID_SILACexpB_fraction2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	7 ppm	strong cation exchange chromatography	dithiothreitol	iodoacetamide	1	1	20140225_Elite_FrPa_LIPID_SILACexpB_fraction2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001186/20140225_Elite_FrPa_LIPID_SILACexpB_fraction2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Endothelial cell of umbilical vein
