source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[disease]	characteristics[material type]	characteristics[treatment]	characteristics[enrichment process]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[compound]	characteristics[genotype]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[ms2 mass analyzer]	comment[ms1 scan range]	comment[scan window lower limit]	comment[scan window upper limit]	comment[isolation window width]	comment[dia method]	factor value[compound]	factor value[genotype]	factor value[treatment]
DIA_MAEA_KO_cl8_MG132_2	Homo sapiens	kidney	not available	2	normal	cell line	Proteasome Inhibitor MG-132	enrichment of ubiquitinated proteins	not available	not available	female	fetal stage	Flp-In-T-REx-293	CVCL_U427	Flp-In-T-REx-293	not applicable	MAEA-/- clone 8	20210421_EXPL1_OzKa_SA_Annette_HEK_TUBE_11	proteomic profiling by mass spectrometry	1	20210421_EXPL1_OzKa_SA_Annette_HEK_TUBE_11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=HCD;AC=MS:1000422	28% NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	not available	not available	not available	not available	not applicable	MAEA-/- clone 8	Proteasome Inhibitor MG-132
DIA_MAEA_KO_cl8_MG132_3	Homo sapiens	kidney	not available	3	normal	cell line	Proteasome Inhibitor MG-132	enrichment of ubiquitinated proteins	not available	not available	female	fetal stage	Flp-In-T-REx-293	CVCL_U427	Flp-In-T-REx-293	not applicable	MAEA-/- clone 8	20210421_EXPL1_OzKa_SA_Annette_HEK_TUBE_12	proteomic profiling by mass spectrometry	1	20210421_EXPL1_OzKa_SA_Annette_HEK_TUBE_12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=HCD;AC=MS:1000422	28% NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	not available	not available	not available	not available	not applicable	MAEA-/- clone 8	Proteasome Inhibitor MG-132
DIA_MAEA_rescue_cl8_uninduced_1	Homo sapiens	kidney	not available	1	normal	cell line	untreated	enrichment of ubiquitinated proteins	not available	not available	female	fetal stage	Flp-In-T-REx-293	CVCL_U427	Flp-In-T-REx-293	not applicable	MAEA-/- clone 8 with tetracycline-inducible 3xFlag-MAEA	20210421_EXPL1_OzKa_SA_Annette_HEK_TUBE_13	proteomic profiling by mass spectrometry	1	20210421_EXPL1_OzKa_SA_Annette_HEK_TUBE_13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=HCD;AC=MS:1000422	28% NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	not available	not available	not available	not available	not applicable	MAEA-/- clone 8 with tetracycline-inducible 3xFlag-MAEA	untreated
DIA_MAEA_rescue_cl8_uninduced_2	Homo sapiens	kidney	not available	2	normal	cell line	untreated	enrichment of ubiquitinated proteins	not available	not available	female	fetal stage	Flp-In-T-REx-293	CVCL_U427	Flp-In-T-REx-293	not applicable	MAEA-/- clone 8 with tetracycline-inducible 3xFlag-MAEA	20210421_EXPL1_OzKa_SA_Annette_HEK_TUBE_14	proteomic profiling by mass spectrometry	1	20210421_EXPL1_OzKa_SA_Annette_HEK_TUBE_14.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=HCD;AC=MS:1000422	28% NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	not available	not available	not available	not available	not applicable	MAEA-/- clone 8 with tetracycline-inducible 3xFlag-MAEA	untreated
DIA_MAEA_rescue_cl8_uninduced_3	Homo sapiens	kidney	not available	3	normal	cell line	untreated	enrichment of ubiquitinated proteins	not available	not available	female	fetal stage	Flp-In-T-REx-293	CVCL_U427	Flp-In-T-REx-293	not applicable	MAEA-/- clone 8 with tetracycline-inducible 3xFlag-MAEA	20210421_EXPL1_OzKa_SA_Annette_HEK_TUBE_15	proteomic profiling by mass spectrometry	1	20210421_EXPL1_OzKa_SA_Annette_HEK_TUBE_15.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=HCD;AC=MS:1000422	28% NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	not available	not available	not available	not available	not applicable	MAEA-/- clone 8 with tetracycline-inducible 3xFlag-MAEA	untreated
DIA_MAEA_rescue_cl8_uninduced_MG132_1	Homo sapiens	kidney	not available	1	normal	cell line	Proteasome Inhibitor MG-132	enrichment of ubiquitinated proteins	not available	not available	female	fetal stage	Flp-In-T-REx-293	CVCL_U427	Flp-In-T-REx-293	not applicable	MAEA-/- clone 8 with tetracycline-inducible 3xFlag-MAEA	20210421_EXPL1_OzKa_SA_Annette_HEK_TUBE_16	proteomic profiling by mass spectrometry	1	20210421_EXPL1_OzKa_SA_Annette_HEK_TUBE_16.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=HCD;AC=MS:1000422	28% NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	not available	not available	not available	not available	not applicable	MAEA-/- clone 8 with tetracycline-inducible 3xFlag-MAEA	Proteasome Inhibitor MG-132
DIA_MAEA_rescue_cl8_uninduced_MG132_2	Homo sapiens	kidney	not available	2	normal	cell line	Proteasome Inhibitor MG-132	enrichment of ubiquitinated proteins	not available	not available	female	fetal stage	Flp-In-T-REx-293	CVCL_U427	Flp-In-T-REx-293	not applicable	MAEA-/- clone 8 with tetracycline-inducible 3xFlag-MAEA	20210421_EXPL1_OzKa_SA_Annette_HEK_TUBE_17	proteomic profiling by mass spectrometry	1	20210421_EXPL1_OzKa_SA_Annette_HEK_TUBE_17.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=HCD;AC=MS:1000422	28% NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	not available	not available	not available	not available	not applicable	MAEA-/- clone 8 with tetracycline-inducible 3xFlag-MAEA	Proteasome Inhibitor MG-132
DIA_MAEA_rescue_cl8_uninduced_MG132_3	Homo sapiens	kidney	not available	3	normal	cell line	Proteasome Inhibitor MG-132	enrichment of ubiquitinated proteins	not available	not available	female	fetal stage	Flp-In-T-REx-293	CVCL_U427	Flp-In-T-REx-293	not applicable	MAEA-/- clone 8 with tetracycline-inducible 3xFlag-MAEA	20210421_EXPL1_OzKa_SA_Annette_HEK_TUBE_18	proteomic profiling by mass spectrometry	1	20210421_EXPL1_OzKa_SA_Annette_HEK_TUBE_18.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=HCD;AC=MS:1000422	28% NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	not available	not available	not available	not available	not applicable	MAEA-/- clone 8 with tetracycline-inducible 3xFlag-MAEA	Proteasome Inhibitor MG-132
DIA_MAEA_rescue_cl8_induced_1	Homo sapiens	kidney	not available	1	normal	cell line	untreated	enrichment of ubiquitinated proteins	not available	not available	female	fetal stage	Flp-In-T-REx-293	CVCL_U427	Flp-In-T-REx-293	tetracycline	MAEA-/- clone 8 with tetracycline-inducible 3xFlag-MAEA	20210421_EXPL1_OzKa_SA_Annette_HEK_TUBE_19	proteomic profiling by mass spectrometry	1	20210421_EXPL1_OzKa_SA_Annette_HEK_TUBE_19.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=HCD;AC=MS:1000422	28% NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	not available	not available	not available	not available	tetracycline	MAEA-/- clone 8 with tetracycline-inducible 3xFlag-MAEA	untreated
DIA_MAEA_rescue_cl8_induced_2	Homo sapiens	kidney	not available	2	normal	cell line	untreated	enrichment of ubiquitinated proteins	not available	not available	female	fetal stage	Flp-In-T-REx-293	CVCL_U427	Flp-In-T-REx-293	tetracycline	MAEA-/- clone 8 with tetracycline-inducible 3xFlag-MAEA	20210421_EXPL1_OzKa_SA_Annette_HEK_TUBE_20	proteomic profiling by mass spectrometry	1	20210421_EXPL1_OzKa_SA_Annette_HEK_TUBE_20.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=HCD;AC=MS:1000422	28% NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	not available	not available	not available	not available	tetracycline	MAEA-/- clone 8 with tetracycline-inducible 3xFlag-MAEA	untreated
DIA_MAEA_rescue_cl8_induced_3	Homo sapiens	kidney	not available	3	normal	cell line	untreated	enrichment of ubiquitinated proteins	not available	not available	female	fetal stage	Flp-In-T-REx-293	CVCL_U427	Flp-In-T-REx-293	tetracycline	MAEA-/- clone 8 with tetracycline-inducible 3xFlag-MAEA	20210421_EXPL1_OzKa_SA_Annette_HEK_TUBE_21	proteomic profiling by mass spectrometry	1	20210421_EXPL1_OzKa_SA_Annette_HEK_TUBE_21.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=HCD;AC=MS:1000422	28% NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	not available	not available	not available	not available	tetracycline	MAEA-/- clone 8 with tetracycline-inducible 3xFlag-MAEA	untreated
DIA_MAEA_rescue_cl8_induced_MG132_1	Homo sapiens	kidney	not available	1	normal	cell line	Proteasome Inhibitor MG-132	enrichment of ubiquitinated proteins	not available	not available	female	fetal stage	Flp-In-T-REx-293	CVCL_U427	Flp-In-T-REx-293	tetracycline	MAEA-/- clone 8 with tetracycline-inducible 3xFlag-MAEA	20210421_EXPL1_OzKa_SA_Annette_HEK_TUBE_22	proteomic profiling by mass spectrometry	1	20210421_EXPL1_OzKa_SA_Annette_HEK_TUBE_22.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=HCD;AC=MS:1000422	28% NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	not available	not available	not available	not available	tetracycline	MAEA-/- clone 8 with tetracycline-inducible 3xFlag-MAEA	Proteasome Inhibitor MG-132
DIA_MAEA_rescue_cl8_induced_MG132_2	Homo sapiens	kidney	not available	2	normal	cell line	Proteasome Inhibitor MG-132	enrichment of ubiquitinated proteins	not available	not available	female	fetal stage	Flp-In-T-REx-293	CVCL_U427	Flp-In-T-REx-293	tetracycline	MAEA-/- clone 8 with tetracycline-inducible 3xFlag-MAEA	20210421_EXPL1_OzKa_SA_Annette_HEK_TUBE_23	proteomic profiling by mass spectrometry	1	20210421_EXPL1_OzKa_SA_Annette_HEK_TUBE_23.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=HCD;AC=MS:1000422	28% NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	not available	not available	not available	not available	tetracycline	MAEA-/- clone 8 with tetracycline-inducible 3xFlag-MAEA	Proteasome Inhibitor MG-132
DIA_MAEA_rescue_cl8_induced_MG132_3	Homo sapiens	kidney	not available	3	normal	cell line	Proteasome Inhibitor MG-132	enrichment of ubiquitinated proteins	not available	not available	female	fetal stage	Flp-In-T-REx-293	CVCL_U427	Flp-In-T-REx-293	tetracycline	MAEA-/- clone 8 with tetracycline-inducible 3xFlag-MAEA	20210421_EXPL1_OzKa_SA_Annette_HEK_TUBE_24	proteomic profiling by mass spectrometry	1	20210421_EXPL1_OzKa_SA_Annette_HEK_TUBE_24.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=HCD;AC=MS:1000422	28% NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	not available	not available	not available	not available	tetracycline	MAEA-/- clone 8 with tetracycline-inducible 3xFlag-MAEA	Proteasome Inhibitor MG-132
DIA_mock_1	Homo sapiens	kidney	not available	1	normal	cell line	mock	not available	not available	not available	female	fetal stage	Flp-In-T-REx-293	CVCL_U427	Flp-In-T-REx-293	not available	not available	20210421_EXPL1_OzKa_SA_Annette_HEK_TUBE_25	proteomic profiling by mass spectrometry	1	20210421_EXPL1_OzKa_SA_Annette_HEK_TUBE_25.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=HCD;AC=MS:1000422	28% NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	not available	not available	not available	not available	not available	not available	mock
DIA_mock_1	Homo sapiens	kidney	not available	1	normal	cell line	mock	not available	not available	not available	female	fetal stage	Flp-In-T-REx-293	CVCL_U427	Flp-In-T-REx-293	not available	not available	20210421_EXPL1_OzKa_SA_Annette_HEK_TUBE_25_2	proteomic profiling by mass spectrometry	2	20210421_EXPL1_OzKa_SA_Annette_HEK_TUBE_25_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=HCD;AC=MS:1000422	28% NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	not available	not available	not available	not available	not available	not available	mock
DIA_mock_2	Homo sapiens	kidney	not available	2	normal	cell line	mock	not available	not available	not available	female	fetal stage	Flp-In-T-REx-293	CVCL_U427	Flp-In-T-REx-293	not available	not available	20210421_EXPL1_OzKa_SA_Annette_HEK_TUBE_26	proteomic profiling by mass spectrometry	1	20210421_EXPL1_OzKa_SA_Annette_HEK_TUBE_26.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=HCD;AC=MS:1000422	28% NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	not available	not available	not available	not available	not available	not available	mock
DIA_mock_2	Homo sapiens	kidney	not available	2	normal	cell line	mock	not available	not available	not available	female	fetal stage	Flp-In-T-REx-293	CVCL_U427	Flp-In-T-REx-293	not available	not available	20210421_EXPL1_OzKa_SA_Annette_HEK_TUBE_26_2	proteomic profiling by mass spectrometry	2	20210421_EXPL1_OzKa_SA_Annette_HEK_TUBE_26_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=HCD;AC=MS:1000422	28% NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	not available	not available	not available	not available	not available	not available	mock
