source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fractionation method]	comment[reduction reagent]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
Sample07	homo sapiens	serum	not applicable	not available	enrichment of phosphorylated protein	1	Sample07	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	0.05 Da	0.05 Da	strong anion-exchange chromatography (sax)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	Sample07.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD002079/Sample07.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	manual curation	serum
Sample02	homo sapiens	serum	not applicable	not available	enrichment of phosphorylated protein	1	Sample02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	0.05 Da	0.05 Da	strong anion-exchange chromatography (sax)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	Sample02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD002079/Sample02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	manual curation	serum
130419_VemRest_sa_02	homo sapiens	serum	not applicable	not available	enrichment of phosphorylated protein	2	130419_VemRest_sa_02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	0.05 Da	0.05 Da	strong anion-exchange chromatography (sax)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	130419_VemRest_sa_02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD002079/130419_VemRest_sa_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	manual curation	serum
Sample08	homo sapiens	serum	not applicable	not available	enrichment of phosphorylated protein	1	Sample08	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	0.05 Da	0.05 Da	strong anion-exchange chromatography (sax)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	Sample08.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD002079/Sample08.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	manual curation	serum
130419_VemRest_sa_03	homo sapiens	serum	not applicable	not available	enrichment of phosphorylated protein	3	130419_VemRest_sa_03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	0.05 Da	0.05 Da	strong anion-exchange chromatography (sax)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	130419_VemRest_sa_03.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD002079/130419_VemRest_sa_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	manual curation	serum
130419_VemRest_sa_08	homo sapiens	serum	not applicable	not available	enrichment of phosphorylated protein	8	130419_VemRest_sa_08	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	0.05 Da	0.05 Da	strong anion-exchange chromatography (sax)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	130419_VemRest_sa_08.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD002079/130419_VemRest_sa_08.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	manual curation	serum
130419_VemRest_sa_10	homo sapiens	serum	not applicable	not available	enrichment of phosphorylated protein	10	130419_VemRest_sa_10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	0.05 Da	0.05 Da	strong anion-exchange chromatography (sax)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	130419_VemRest_sa_10.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD002079/130419_VemRest_sa_10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	manual curation	serum
Sample10	homo sapiens	serum	not applicable	not available	enrichment of phosphorylated protein	1	Sample10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	0.05 Da	0.05 Da	strong anion-exchange chromatography (sax)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	Sample10.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD002079/Sample10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	manual curation	serum
Sample12	homo sapiens	serum	not applicable	not available	enrichment of phosphorylated protein	1	Sample12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	0.05 Da	0.05 Da	strong anion-exchange chromatography (sax)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	Sample12.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD002079/Sample12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	manual curation	serum
Sample09	homo sapiens	serum	not applicable	not available	enrichment of phosphorylated protein	1	Sample09	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	0.05 Da	0.05 Da	strong anion-exchange chromatography (sax)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	Sample09.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD002079/Sample09.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	manual curation	serum
Sample11	homo sapiens	serum	not applicable	not available	enrichment of phosphorylated protein	1	Sample11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	0.05 Da	0.05 Da	strong anion-exchange chromatography (sax)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	Sample11.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD002079/Sample11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	manual curation	serum
130419_VemRest_sa_05	homo sapiens	serum	not applicable	not available	enrichment of phosphorylated protein	5	130419_VemRest_sa_05	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	0.05 Da	0.05 Da	strong anion-exchange chromatography (sax)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	130419_VemRest_sa_05.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD002079/130419_VemRest_sa_05.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	manual curation	serum
Sample05	homo sapiens	serum	not applicable	not available	enrichment of phosphorylated protein	1	Sample05	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	0.05 Da	0.05 Da	strong anion-exchange chromatography (sax)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	Sample05.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD002079/Sample05.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	manual curation	serum
130419_VemRest_sa_09	homo sapiens	serum	not applicable	not available	enrichment of phosphorylated protein	9	130419_VemRest_sa_09	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	0.05 Da	0.05 Da	strong anion-exchange chromatography (sax)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	130419_VemRest_sa_09.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD002079/130419_VemRest_sa_09.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	manual curation	serum
