source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[material type]	characteristics[developmental stage]	characteristics[strain or breed]	characteristics[sex]	characteristics[treatment]	characteristics[sampling time]	characteristics[enrichment process]	characteristics[sample type]	characteristics[depletion]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[ms2 mass analyzer]	comment[ms1 scan range]	comment[ms2 scan range]	comment[ms min charge]	comment[acquisition date]	comment[fractionation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[strain or breed]	factor value[enrichment process]
PXD010157-Sample-11	Mus musculus	liver	not applicable	normal	tissue	adult	C57BL/6, Tcf3 (E47) flox/flox, Alb-Cre negative	male	dexamethasone	not available	chromatin immunoprecipitation with rabbit IgG isotype control (Cell Signaling 2729)	negative control	no depletion	2	20170809_Qep4_MiWi_SA_COLLAB_Charlotte_wt_IgG_2	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	4.5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	200m/z-2000m/z	2	2017-08-12T09:56:32	not applicable	1	1	20170809_Qep4_MiWi_SA_COLLAB_Charlotte_wt_IgG_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	C57BL/6, Tcf3 (E47) flox/flox, Alb-Cre negative	chromatin immunoprecipitation with rabbit IgG isotype control (Cell Signaling 2729)
PXD010157-Sample-12	Mus musculus	liver	not applicable	normal	tissue	adult	C57BL/6, Tcf3 (E47) flox/flox, Alb-Cre negative	male	dexamethasone	not available	chromatin immunoprecipitation with rabbit IgG isotype control (Cell Signaling 2729)	negative control	no depletion	3	20170809_Qep4_MiWi_SA_COLLAB_Charlotte_wt_IgG_3	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	4.5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	200m/z-2000m/z	2	2017-08-12T12:23:08	not applicable	1	1	20170809_Qep4_MiWi_SA_COLLAB_Charlotte_wt_IgG_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	C57BL/6, Tcf3 (E47) flox/flox, Alb-Cre negative	chromatin immunoprecipitation with rabbit IgG isotype control (Cell Signaling 2729)
PXD010157-Sample-13	Mus musculus	liver	not applicable	normal	tissue	adult	C57BL/6, Tcf3 (E47) flox/flox, Alb-Cre positive	male	dexamethasone	not available	chromatin immunoprecipitation of glucocorticoid receptor (Proteintech anti-GR 24050-1-AP)	study sample	no depletion	1	20170809_Qep4_MiWi_SA_COLLAB_Charlotte_KO_PTGR_1	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	4.5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	200m/z-2000m/z	2	2017-08-11T06:23:32	not applicable	1	1	20170809_Qep4_MiWi_SA_COLLAB_Charlotte_KO_PTGR_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	C57BL/6, Tcf3 (E47) flox/flox, Alb-Cre positive	chromatin immunoprecipitation of glucocorticoid receptor (Proteintech anti-GR 24050-1-AP)
PXD010157-Sample-14	Mus musculus	liver	not applicable	normal	tissue	adult	C57BL/6, Tcf3 (E47) flox/flox, Alb-Cre positive	male	dexamethasone	not available	chromatin immunoprecipitation of glucocorticoid receptor (Proteintech anti-GR 24050-1-AP)	study sample	no depletion	2	20170809_Qep4_MiWi_SA_COLLAB_Charlotte_KO_PTGR_2	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	4.5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	200m/z-2000m/z	2	2017-08-11T08:49:56	not applicable	1	1	20170809_Qep4_MiWi_SA_COLLAB_Charlotte_KO_PTGR_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	C57BL/6, Tcf3 (E47) flox/flox, Alb-Cre positive	chromatin immunoprecipitation of glucocorticoid receptor (Proteintech anti-GR 24050-1-AP)
PXD010157-Sample-15	Mus musculus	liver	not applicable	normal	tissue	adult	C57BL/6, Tcf3 (E47) flox/flox, Alb-Cre positive	male	dexamethasone	not available	chromatin immunoprecipitation of glucocorticoid receptor (Proteintech anti-GR 24050-1-AP)	study sample	no depletion	3	20170809_Qep4_MiWi_SA_COLLAB_Charlotte_KO_PTGR_3	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	4.5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	200m/z-2000m/z	2	2017-08-11T11:16:08	not applicable	1	1	20170809_Qep4_MiWi_SA_COLLAB_Charlotte_KO_PTGR_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	C57BL/6, Tcf3 (E47) flox/flox, Alb-Cre positive	chromatin immunoprecipitation of glucocorticoid receptor (Proteintech anti-GR 24050-1-AP)
PXD010157-Sample-16	Mus musculus	liver	not applicable	normal	tissue	adult	C57BL/6, Tcf3 (E47) flox/flox, Alb-Cre positive	male	dexamethasone	not available	chromatin immunoprecipitation of glucocorticoid receptor (second anti-GR antibody)	study sample	no depletion	1	20170809_Qep4_MiWi_SA_COLLAB_Charlotte_KO_scGR_1	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	4.5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	200m/z-2000m/z	2	2017-08-10T13:28:16	not applicable	1	1	20170809_Qep4_MiWi_SA_COLLAB_Charlotte_KO_scGR_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	C57BL/6, Tcf3 (E47) flox/flox, Alb-Cre positive	chromatin immunoprecipitation of glucocorticoid receptor (second anti-GR antibody)
PXD010157-Sample-17	Mus musculus	liver	not applicable	normal	tissue	adult	C57BL/6, Tcf3 (E47) flox/flox, Alb-Cre positive	male	dexamethasone	not available	chromatin immunoprecipitation of glucocorticoid receptor (second anti-GR antibody)	study sample	no depletion	2	20170809_Qep4_MiWi_SA_COLLAB_Charlotte_KO_scGR_2	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	4.5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	200m/z-2000m/z	2	2017-08-10T15:54:06	not applicable	1	1	20170809_Qep4_MiWi_SA_COLLAB_Charlotte_KO_scGR_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	C57BL/6, Tcf3 (E47) flox/flox, Alb-Cre positive	chromatin immunoprecipitation of glucocorticoid receptor (second anti-GR antibody)
PXD010157-Sample-18	Mus musculus	liver	not applicable	normal	tissue	adult	C57BL/6, Tcf3 (E47) flox/flox, Alb-Cre positive	male	dexamethasone	not available	chromatin immunoprecipitation of glucocorticoid receptor (second anti-GR antibody)	study sample	no depletion	3	20170809_Qep4_MiWi_SA_COLLAB_Charlotte_KO_scGR_3	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	4.5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	200m/z-2000m/z	2	2017-08-10T18:19:54	not applicable	1	1	20170809_Qep4_MiWi_SA_COLLAB_Charlotte_KO_scGR_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	C57BL/6, Tcf3 (E47) flox/flox, Alb-Cre positive	chromatin immunoprecipitation of glucocorticoid receptor (second anti-GR antibody)
PXD010157-Sample-19	Mus musculus	liver	not applicable	normal	tissue	adult	C57BL/6, Tcf3 (E47) flox/flox, Alb-Cre positive	male	dexamethasone	not available	chromatin immunoprecipitation of E2A (E47)	study sample	no depletion	1	20170809_Qep4_MiWi_SA_COLLAB_Charlotte_KO_E2A_1	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	4.5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	200m/z-2000m/z	2	2017-08-09T20:37:00	not applicable	1	1	20170809_Qep4_MiWi_SA_COLLAB_Charlotte_KO_E2A_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	C57BL/6, Tcf3 (E47) flox/flox, Alb-Cre positive	chromatin immunoprecipitation of E2A (E47)
PXD010157-Sample-20	Mus musculus	liver	not applicable	normal	tissue	adult	C57BL/6, Tcf3 (E47) flox/flox, Alb-Cre positive	male	dexamethasone	not available	chromatin immunoprecipitation of E2A (E47)	study sample	no depletion	2	20170809_Qep4_MiWi_SA_COLLAB_Charlotte_KO_E2A_2	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	4.5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	200m/z-2000m/z	2	2017-08-09T23:02:16	not applicable	1	1	20170809_Qep4_MiWi_SA_COLLAB_Charlotte_KO_E2A_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	C57BL/6, Tcf3 (E47) flox/flox, Alb-Cre positive	chromatin immunoprecipitation of E2A (E47)
PXD010157-Sample-21	Mus musculus	liver	not applicable	normal	tissue	adult	C57BL/6, Tcf3 (E47) flox/flox, Alb-Cre positive	male	dexamethasone	not available	chromatin immunoprecipitation of E2A (E47)	study sample	no depletion	3	20170809_Qep4_MiWi_SA_COLLAB_Charlotte_KO_E2A_3	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	4.5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	200m/z-2000m/z	2	2017-08-10T01:27:19	not applicable	1	1	20170809_Qep4_MiWi_SA_COLLAB_Charlotte_KO_E2A_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	C57BL/6, Tcf3 (E47) flox/flox, Alb-Cre positive	chromatin immunoprecipitation of E2A (E47)
PXD010157-Sample-22	Mus musculus	liver	not applicable	normal	tissue	adult	C57BL/6, Tcf3 (E47) flox/flox, Alb-Cre positive	male	dexamethasone	not available	chromatin immunoprecipitation with rabbit IgG isotype control (Cell Signaling 2729)	negative control	no depletion	1	20170809_Qep4_MiWi_SA_COLLAB_Charlotte_KO_IgG_1	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	4.5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	200m/z-2000m/z	2	2017-08-11T23:22:49	not applicable	1	1	20170809_Qep4_MiWi_SA_COLLAB_Charlotte_KO_IgG_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	C57BL/6, Tcf3 (E47) flox/flox, Alb-Cre positive	chromatin immunoprecipitation with rabbit IgG isotype control (Cell Signaling 2729)
PXD010157-Sample-23	Mus musculus	liver	not applicable	normal	tissue	adult	C57BL/6, Tcf3 (E47) flox/flox, Alb-Cre positive	male	dexamethasone	not available	chromatin immunoprecipitation with rabbit IgG isotype control (Cell Signaling 2729)	negative control	no depletion	2	20170809_Qep4_MiWi_SA_COLLAB_Charlotte_KO_IgG_2	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	4.5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	200m/z-2000m/z	2	2017-08-12T01:49:30	not applicable	1	1	20170809_Qep4_MiWi_SA_COLLAB_Charlotte_KO_IgG_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	C57BL/6, Tcf3 (E47) flox/flox, Alb-Cre positive	chromatin immunoprecipitation with rabbit IgG isotype control (Cell Signaling 2729)
PXD010157-Sample-24	Mus musculus	liver	not applicable	normal	tissue	adult	C57BL/6, Tcf3 (E47) flox/flox, Alb-Cre positive	male	dexamethasone	not available	chromatin immunoprecipitation with rabbit IgG isotype control (Cell Signaling 2729)	negative control	no depletion	3	20170809_Qep4_MiWi_SA_COLLAB_Charlotte_KO_IgG_3	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	4.5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	200m/z-2000m/z	2	2017-08-12T04:16:16	not applicable	1	1	20170809_Qep4_MiWi_SA_COLLAB_Charlotte_KO_IgG_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	C57BL/6, Tcf3 (E47) flox/flox, Alb-Cre positive	chromatin immunoprecipitation with rabbit IgG isotype control (Cell Signaling 2729)
