source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[project name]	characteristics[environmental sample type]	characteristics[environmental medium]	characteristics[geographic location]	characteristics[collection date]	characteristics[sample collection method]	characteristics[sample storage]	characteristics[microbiome source]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
Floc-D65-CER.dat	Floc-D65-CER.dat	Candidatus accumulibacter phosphatis	wastewater	not applicable	not available	Metaproteomic_analysis_of_laboratory-scale_floccular_and_granular_biofilms_enriched_with_Accumulibacter_phosphatis	wastewater	wastewater	not available	not available	not available	not available	wastewater microbiome	1	Floc-D65-CER.dat	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	Floc-D65-CER.dat	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	wastewater
Floc-D65-CER	Floc-D65-CER	Candidatus accumulibacter phosphatis	wastewater	not applicable	not available	Metaproteomic_analysis_of_laboratory-scale_floccular_and_granular_biofilms_enriched_with_Accumulibacter_phosphatis	wastewater	wastewater	not available	not available	not available	not available	wastewater microbiome	1	Floc-D65-CER	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	Floc-D65-CER.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	wastewater
Floc-D83-BPER.dat	Floc-D83-BPER.dat	Candidatus accumulibacter phosphatis	wastewater	not applicable	not available	Metaproteomic_analysis_of_laboratory-scale_floccular_and_granular_biofilms_enriched_with_Accumulibacter_phosphatis	wastewater	wastewater	not available	not available	not available	not available	wastewater microbiome	1	Floc-D83-BPER.dat	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	Floc-D83-BPER.dat	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	wastewater
Floc-D83-BPER	Floc-D83-BPER	Candidatus accumulibacter phosphatis	wastewater	not applicable	not available	Metaproteomic_analysis_of_laboratory-scale_floccular_and_granular_biofilms_enriched_with_Accumulibacter_phosphatis	wastewater	wastewater	not available	not available	not available	not available	wastewater microbiome	1	Floc-D83-BPER	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	Floc-D83-BPER.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	wastewater
Floc-D97-BPER.dat	Floc-D97-BPER.dat	Candidatus accumulibacter phosphatis	wastewater	not applicable	not available	Metaproteomic_analysis_of_laboratory-scale_floccular_and_granular_biofilms_enriched_with_Accumulibacter_phosphatis	wastewater	wastewater	not available	not available	not available	not available	wastewater microbiome	1	Floc-D97-BPER.dat	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	Floc-D97-BPER.dat	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	wastewater
Floc-D97-BPER	Floc-D97-BPER	Candidatus accumulibacter phosphatis	wastewater	not applicable	not available	Metaproteomic_analysis_of_laboratory-scale_floccular_and_granular_biofilms_enriched_with_Accumulibacter_phosphatis	wastewater	wastewater	not available	not available	not available	not available	wastewater microbiome	1	Floc-D97-BPER	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	Floc-D97-BPER.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	wastewater
Floc-D97-CER.dat	Floc-D97-CER.dat	Candidatus accumulibacter phosphatis	wastewater	not applicable	not available	Metaproteomic_analysis_of_laboratory-scale_floccular_and_granular_biofilms_enriched_with_Accumulibacter_phosphatis	wastewater	wastewater	not available	not available	not available	not available	wastewater microbiome	1	Floc-D97-CER.dat	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	Floc-D97-CER.dat	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	wastewater
Floc-D97-CER	Floc-D97-CER	Candidatus accumulibacter phosphatis	wastewater	not applicable	not available	Metaproteomic_analysis_of_laboratory-scale_floccular_and_granular_biofilms_enriched_with_Accumulibacter_phosphatis	wastewater	wastewater	not available	not available	not available	not available	wastewater microbiome	1	Floc-D97-CER	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	Floc-D97-CER.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	wastewater
Gran-D104-BP	Gran-D104-BP	Candidatus accumulibacter phosphatis	wastewater	not applicable	not available	Metaproteomic_analysis_of_laboratory-scale_floccular_and_granular_biofilms_enriched_with_Accumulibacter_phosphatis	wastewater	wastewater	not available	not available	not available	not available	wastewater microbiome	1	Gran-D104-BP	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	Gran-D104-BP.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	wastewater
Gran-D104-CER	Gran-D104-CER	Candidatus accumulibacter phosphatis	wastewater	not applicable	not available	Metaproteomic_analysis_of_laboratory-scale_floccular_and_granular_biofilms_enriched_with_Accumulibacter_phosphatis	wastewater	wastewater	not available	not available	not available	not available	wastewater microbiome	1	Gran-D104-CER	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	Gran-D104-CER.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	wastewater
Gran-D126-BPER.dat	Gran-D126-BPER.dat	Candidatus accumulibacter phosphatis	wastewater	not applicable	not available	Metaproteomic_analysis_of_laboratory-scale_floccular_and_granular_biofilms_enriched_with_Accumulibacter_phosphatis	wastewater	wastewater	not available	not available	not available	not available	wastewater microbiome	1	Gran-D126-BPER.dat	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	Gran-D126-BPER.dat	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	wastewater
Gran-D126-BPER	Gran-D126-BPER	Candidatus accumulibacter phosphatis	wastewater	not applicable	not available	Metaproteomic_analysis_of_laboratory-scale_floccular_and_granular_biofilms_enriched_with_Accumulibacter_phosphatis	wastewater	wastewater	not available	not available	not available	not available	wastewater microbiome	1	Gran-D126-BPER	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	Gran-D126-BPER.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	wastewater
Gran-D126-CER.dat	Gran-D126-CER.dat	Candidatus accumulibacter phosphatis	wastewater	not applicable	not available	Metaproteomic_analysis_of_laboratory-scale_floccular_and_granular_biofilms_enriched_with_Accumulibacter_phosphatis	wastewater	wastewater	not available	not available	not available	not available	wastewater microbiome	1	Gran-D126-CER.dat	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	Gran-D126-CER.dat	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	wastewater
Gran-D126-CER	Gran-D126-CER	Candidatus accumulibacter phosphatis	wastewater	not applicable	not available	Metaproteomic_analysis_of_laboratory-scale_floccular_and_granular_biofilms_enriched_with_Accumulibacter_phosphatis	wastewater	wastewater	not available	not available	not available	not available	wastewater microbiome	1	Gran-D126-CER	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	Gran-D126-CER.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	wastewater
Gran-D147-BPER.dat	Gran-D147-BPER.dat	Candidatus accumulibacter phosphatis	wastewater	not applicable	not available	Metaproteomic_analysis_of_laboratory-scale_floccular_and_granular_biofilms_enriched_with_Accumulibacter_phosphatis	wastewater	wastewater	not available	not available	not available	not available	wastewater microbiome	1	Gran-D147-BPER.dat	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	Gran-D147-BPER.dat	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	wastewater
Gran-D147-BPER	Gran-D147-BPER	Candidatus accumulibacter phosphatis	wastewater	not applicable	not available	Metaproteomic_analysis_of_laboratory-scale_floccular_and_granular_biofilms_enriched_with_Accumulibacter_phosphatis	wastewater	wastewater	not available	not available	not available	not available	wastewater microbiome	1	Gran-D147-BPER	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	Gran-D147-BPER.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	wastewater
Gran-D147-CER.dat	Gran-D147-CER.dat	Candidatus accumulibacter phosphatis	wastewater	not applicable	not available	Metaproteomic_analysis_of_laboratory-scale_floccular_and_granular_biofilms_enriched_with_Accumulibacter_phosphatis	wastewater	wastewater	not available	not available	not available	not available	wastewater microbiome	1	Gran-D147-CER.dat	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	Gran-D147-CER.dat	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	wastewater
Gran-D147-CER	Gran-D147-CER	Candidatus accumulibacter phosphatis	wastewater	not applicable	not available	Metaproteomic_analysis_of_laboratory-scale_floccular_and_granular_biofilms_enriched_with_Accumulibacter_phosphatis	wastewater	wastewater	not available	not available	not available	not available	wastewater microbiome	1	Gran-D147-CER	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	Gran-D147-CER.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	wastewater
Gran-D161-BPER.dat	Gran-D161-BPER.dat	Candidatus accumulibacter phosphatis	wastewater	not applicable	not available	Metaproteomic_analysis_of_laboratory-scale_floccular_and_granular_biofilms_enriched_with_Accumulibacter_phosphatis	wastewater	wastewater	not available	not available	not available	not available	wastewater microbiome	1	Gran-D161-BPER.dat	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	Gran-D161-BPER.dat	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	wastewater
