source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fractionation method]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
111107SendaiA549-5	homo sapiens	lung	not applicable	not available	enrichment of phosphorylated protein	5	111107SendaiA549-5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=qstar;AC=MS:1000190	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	50 ppm	0.2 Da	strong cation-exchange chromatography (scx)	iodoacetamide (iaa)	1	1	111107SendaiA549-5.wiff	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/03/PXD001561/111107SendaiA549-5.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	lung
111118SendaiA549-8	homo sapiens	lung	not applicable	not available	enrichment of phosphorylated protein	8	111118SendaiA549-8	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=qstar;AC=MS:1000190	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	50 ppm	0.2 Da	strong cation-exchange chromatography (scx)	iodoacetamide (iaa)	1	1	111118SendaiA549-8.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/03/PXD001561/111118SendaiA549-8.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	lung
111107SendaiA549-4	homo sapiens	lung	not applicable	not available	enrichment of phosphorylated protein	4	111107SendaiA549-4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=qstar;AC=MS:1000190	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	50 ppm	0.2 Da	strong cation-exchange chromatography (scx)	iodoacetamide (iaa)	1	1	111107SendaiA549-4.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/03/PXD001561/111107SendaiA549-4.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	lung
110606_phosbabu_i1	homo sapiens	lung	not applicable	not available	enrichment of phosphorylated protein	1	110606_phosbabu_i1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=qstar;AC=MS:1000190	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	50 ppm	0.2 Da	strong cation-exchange chromatography (scx)	iodoacetamide (iaa)	1	1	110606_phosbabu_i1.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/03/PXD001561/110606_phosbabu_i1.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	lung
111107SendaiA549-2	homo sapiens	lung	not applicable	not available	enrichment of phosphorylated protein	2	111107SendaiA549-2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=qstar;AC=MS:1000190	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	50 ppm	0.2 Da	strong cation-exchange chromatography (scx)	iodoacetamide (iaa)	1	1	111107SendaiA549-2.wiff	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/03/PXD001561/111107SendaiA549-2.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	lung
110607_phosbabu_i4	homo sapiens	lung	not applicable	not available	enrichment of phosphorylated protein	1	110607_phosbabu_i4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=qstar;AC=MS:1000190	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	50 ppm	0.2 Da	strong cation-exchange chromatography (scx)	iodoacetamide (iaa)	1	1	110607_phosbabu_i4.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/03/PXD001561/110607_phosbabu_i4.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	lung
111118ControlA549-7	homo sapiens	lung	not applicable	not available	enrichment of phosphorylated protein	7	111118ControlA549-7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=qstar;AC=MS:1000190	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	50 ppm	0.2 Da	strong cation-exchange chromatography (scx)	iodoacetamide (iaa)	1	1	111118ControlA549-7.wiff	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/03/PXD001561/111118ControlA549-7.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	lung
111107SendaiA549-6	homo sapiens	lung	not applicable	not available	enrichment of phosphorylated protein	6	111107SendaiA549-6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=qstar;AC=MS:1000190	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	50 ppm	0.2 Da	strong cation-exchange chromatography (scx)	iodoacetamide (iaa)	1	1	111107SendaiA549-6.wiff	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/03/PXD001561/111107SendaiA549-6.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	lung
110606_phosbabu_c6	homo sapiens	lung	not applicable	not available	enrichment of phosphorylated protein	1	110606_phosbabu_c6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=qstar;AC=MS:1000190	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	50 ppm	0.2 Da	strong cation-exchange chromatography (scx)	iodoacetamide (iaa)	1	1	110606_phosbabu_c6.wiff	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/03/PXD001561/110606_phosbabu_c6.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	lung
110606_phosbabu_c1	homo sapiens	lung	not applicable	not available	enrichment of phosphorylated protein	1	110606_phosbabu_c1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=qstar;AC=MS:1000190	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	50 ppm	0.2 Da	strong cation-exchange chromatography (scx)	iodoacetamide (iaa)	1	1	110606_phosbabu_c1.wiff	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/03/PXD001561/110606_phosbabu_c1.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	lung
110607_phosbabu_i6	homo sapiens	lung	not applicable	not available	enrichment of phosphorylated protein	1	110607_phosbabu_i6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=qstar;AC=MS:1000190	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	50 ppm	0.2 Da	strong cation-exchange chromatography (scx)	iodoacetamide (iaa)	1	1	110607_phosbabu_i6.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/03/PXD001561/110607_phosbabu_i6.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	lung
111118ControlA549-8	homo sapiens	lung	not applicable	not available	enrichment of phosphorylated protein	8	111118ControlA549-8	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=qstar;AC=MS:1000190	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	50 ppm	0.2 Da	strong cation-exchange chromatography (scx)	iodoacetamide (iaa)	1	1	111118ControlA549-8.wiff	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/03/PXD001561/111118ControlA549-8.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	lung
110606_phosbabu_c5	homo sapiens	lung	not applicable	not available	enrichment of phosphorylated protein	1	110606_phosbabu_c5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=qstar;AC=MS:1000190	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	50 ppm	0.2 Da	strong cation-exchange chromatography (scx)	iodoacetamide (iaa)	1	1	110606_phosbabu_c5.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/03/PXD001561/110606_phosbabu_c5.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	lung
110607_phosbabu_i5	homo sapiens	lung	not applicable	not available	enrichment of phosphorylated protein	1	110607_phosbabu_i5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=qstar;AC=MS:1000190	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	50 ppm	0.2 Da	strong cation-exchange chromatography (scx)	iodoacetamide (iaa)	1	1	110607_phosbabu_i5.wiff	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/03/PXD001561/110607_phosbabu_i5.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	lung
110606_phosbabu_c1b	homo sapiens	lung	not applicable	not available	enrichment of phosphorylated protein	1	110606_phosbabu_c1b	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=qstar;AC=MS:1000190	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	50 ppm	0.2 Da	strong cation-exchange chromatography (scx)	iodoacetamide (iaa)	1	1	110606_phosbabu_c1b.wiff	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/03/PXD001561/110606_phosbabu_c1b.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	lung
