source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]
SNOSID_Control_1303002-3	Chlamydomonas reinhardtii	not available	not applicable	not available	3	SNOSID_Control_1303002-3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	SNOSID_Control_1303002-3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/12/PXD000569/SNOSID_Control_1303002-3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
BST1_Control_Band2_1215002-12	Chlamydomonas reinhardtii	not available	not applicable	not available	12	BST1_Control_Band2_1215002-12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	BST1_Control_Band2_1215002-12.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/12/PXD000569/BST1_Control_Band2_1215002-12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
BST2_Control_Band5_1226006-10	Chlamydomonas reinhardtii	not available	not applicable	not available	10	BST2_Control_Band5_1226006-10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	BST2_Control_Band5_1226006-10.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/12/PXD000569/BST2_Control_Band5_1226006-10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
BST1_GSNO_Band4_1215002-4	Chlamydomonas reinhardtii	not available	not applicable	not available	4	BST1_GSNO_Band4_1215002-4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	BST1_GSNO_Band4_1215002-4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/12/PXD000569/BST1_GSNO_Band4_1215002-4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
BST2_GSNO_Band5_1226006-5	Chlamydomonas reinhardtii	not available	not applicable	not available	5	BST2_GSNO_Band5_1226006-5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	BST2_GSNO_Band5_1226006-5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/12/PXD000569/BST2_GSNO_Band5_1226006-5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
BST1_GSNO_Band7_1215002-7	Chlamydomonas reinhardtii	not available	not applicable	not available	7	BST1_GSNO_Band7_1215002-7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	BST1_GSNO_Band7_1215002-7.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/12/PXD000569/BST1_GSNO_Band7_1215002-7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
BST1_Control_Band1_1215002-11	Chlamydomonas reinhardtii	not available	not applicable	not available	11	BST1_Control_Band1_1215002-11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	BST1_Control_Band1_1215002-11.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/12/PXD000569/BST1_Control_Band1_1215002-11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
SNOSID_GSNO_1303002-4	Chlamydomonas reinhardtii	not available	not applicable	not available	4	SNOSID_GSNO_1303002-4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	SNOSID_GSNO_1303002-4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/12/PXD000569/SNOSID_GSNO_1303002-4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
BST2_GSNO_Band4_1226006-4	Chlamydomonas reinhardtii	not available	not applicable	not available	4	BST2_GSNO_Band4_1226006-4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	BST2_GSNO_Band4_1226006-4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/12/PXD000569/BST2_GSNO_Band4_1226006-4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
BST1_GSNO_Band8_1215002-8	Chlamydomonas reinhardtii	not available	not applicable	not available	8	BST1_GSNO_Band8_1215002-8	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	BST1_GSNO_Band8_1215002-8.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/12/PXD000569/BST1_GSNO_Band8_1215002-8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
BST1_GSNO_Band6_1215002-6	Chlamydomonas reinhardtii	not available	not applicable	not available	6	BST1_GSNO_Band6_1215002-6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	BST1_GSNO_Band6_1215002-6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/12/PXD000569/BST1_GSNO_Band6_1215002-6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
BST2_Control_Band2_1226006-7	Chlamydomonas reinhardtii	not available	not applicable	not available	7	BST2_Control_Band2_1226006-7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	BST2_Control_Band2_1226006-7.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/12/PXD000569/BST2_Control_Band2_1226006-7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
BST1_Control_Band3_1215002-13	Chlamydomonas reinhardtii	not available	not applicable	not available	13	BST1_Control_Band3_1215002-13	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	BST1_Control_Band3_1215002-13.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/12/PXD000569/BST1_Control_Band3_1215002-13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
BST1_GSNO_Band1_1215002-1	Chlamydomonas reinhardtii	not available	not applicable	not available	1	BST1_GSNO_Band1_1215002-1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	BST1_GSNO_Band1_1215002-1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/12/PXD000569/BST1_GSNO_Band1_1215002-1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
BST1_GSNO_Band3_1215002-3	Chlamydomonas reinhardtii	not available	not applicable	not available	3	BST1_GSNO_Band3_1215002-3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	BST1_GSNO_Band3_1215002-3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/12/PXD000569/BST1_GSNO_Band3_1215002-3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
BST1_GSNO_Band2_1215002-2	Chlamydomonas reinhardtii	not available	not applicable	not available	2	BST1_GSNO_Band2_1215002-2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	BST1_GSNO_Band2_1215002-2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/12/PXD000569/BST1_GSNO_Band2_1215002-2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
BST2_Control_Band1_1226006-6	Chlamydomonas reinhardtii	not available	not applicable	not available	6	BST2_Control_Band1_1226006-6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	BST2_Control_Band1_1226006-6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/12/PXD000569/BST2_Control_Band1_1226006-6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
