source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[material type]	characteristics[biological replicate]	characteristics[developmental stage]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[file type]
A20200218sunyt_TPF_4pulseDIA_b2_12_dl17_part1	Homo sapiens	thyroid gland	not available	tissue	1	not available	not available	not available	A20200218sunyt_TPF_4pulseDIA_b2_12_dl17_part1	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	1	A20200218sunyt_TPF_4pulseDIA_b2_12_dl17_part1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	DIA
A20200218sunyt_TPF_4pulseDIA_b2_12_dl17_part2	Homo sapiens	thyroid gland	not available	tissue	1	not available	not available	not available	A20200218sunyt_TPF_4pulseDIA_b2_12_dl17_part2	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	1	A20200218sunyt_TPF_4pulseDIA_b2_12_dl17_part2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	DIA
A20200218sunyt_TPF_4pulseDIA_b2_12_dl17_part3	Homo sapiens	thyroid gland	not available	tissue	1	not available	not available	not available	A20200218sunyt_TPF_4pulseDIA_b2_12_dl17_part3	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	1	A20200218sunyt_TPF_4pulseDIA_b2_12_dl17_part3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	DIA
A20200218sunyt_TPF_4pulseDIA_b2_12_dl17_part4	Homo sapiens	thyroid gland	not available	tissue	1	not available	not available	not available	A20200218sunyt_TPF_4pulseDIA_b2_12_dl17_part4	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	1	A20200218sunyt_TPF_4pulseDIA_b2_12_dl17_part4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	DIA
A20200218sunyt_TPF_4pulseDIA_b2_13_dl18_part1	Homo sapiens	thyroid gland	not available	tissue	1	not available	not available	not available	A20200218sunyt_TPF_4pulseDIA_b2_13_dl18_part1	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	1	A20200218sunyt_TPF_4pulseDIA_b2_13_dl18_part1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	DIA
A20200218sunyt_TPF_4pulseDIA_b2_13_dl18_part2	Homo sapiens	thyroid gland	not available	tissue	1	not available	not available	not available	A20200218sunyt_TPF_4pulseDIA_b2_13_dl18_part2	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	1	A20200218sunyt_TPF_4pulseDIA_b2_13_dl18_part2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	DIA
A20200218sunyt_TPF_4pulseDIA_b2_13_dl18_part3	Homo sapiens	thyroid gland	not available	tissue	1	not available	not available	not available	A20200218sunyt_TPF_4pulseDIA_b2_13_dl18_part3	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	1	A20200218sunyt_TPF_4pulseDIA_b2_13_dl18_part3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	DIA
A20200218sunyt_TPF_4pulseDIA_b2_13_dl18_part4	Homo sapiens	thyroid gland	not available	tissue	1	not available	not available	not available	A20200218sunyt_TPF_4pulseDIA_b2_13_dl18_part4	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	1	A20200218sunyt_TPF_4pulseDIA_b2_13_dl18_part4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	DIA
A20200218sunyt_TPF_4pulseDIA_b2_14_dl19_part1	Homo sapiens	thyroid gland	not available	tissue	1	not available	not available	not available	A20200218sunyt_TPF_4pulseDIA_b2_14_dl19_part1	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	1	A20200218sunyt_TPF_4pulseDIA_b2_14_dl19_part1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	DIA
A20200218sunyt_TPF_4pulseDIA_b2_14_dl19_part2	Homo sapiens	thyroid gland	not available	tissue	1	not available	not available	not available	A20200218sunyt_TPF_4pulseDIA_b2_14_dl19_part2	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	1	A20200218sunyt_TPF_4pulseDIA_b2_14_dl19_part2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	DIA
A20200218sunyt_TPF_4pulseDIA_b2_14_dl19_part3	Homo sapiens	thyroid gland	not available	tissue	1	not available	not available	not available	A20200218sunyt_TPF_4pulseDIA_b2_14_dl19_part3	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	1	A20200218sunyt_TPF_4pulseDIA_b2_14_dl19_part3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	DIA
A20200218sunyt_TPF_4pulseDIA_b2_14_dl19_part4	Homo sapiens	thyroid gland	not available	tissue	1	not available	not available	not available	A20200218sunyt_TPF_4pulseDIA_b2_14_dl19_part4	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	1	A20200218sunyt_TPF_4pulseDIA_b2_14_dl19_part4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	DIA
A20200218sunyt_TPF_4pulseDIA_b2_15_dl20_part1	Homo sapiens	thyroid gland	not available	tissue	1	not available	not available	not available	A20200218sunyt_TPF_4pulseDIA_b2_15_dl20_part1	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	1	A20200218sunyt_TPF_4pulseDIA_b2_15_dl20_part1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	DIA
A20200218sunyt_TPF_4pulseDIA_b2_15_dl20_part2	Homo sapiens	thyroid gland	not available	tissue	1	not available	not available	not available	A20200218sunyt_TPF_4pulseDIA_b2_15_dl20_part2	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	1	A20200218sunyt_TPF_4pulseDIA_b2_15_dl20_part2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	DIA
A20200218sunyt_TPF_4pulseDIA_b2_15_dl20_part3	Homo sapiens	thyroid gland	not available	tissue	1	not available	not available	not available	A20200218sunyt_TPF_4pulseDIA_b2_15_dl20_part3	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	1	A20200218sunyt_TPF_4pulseDIA_b2_15_dl20_part3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	DIA
A20200218sunyt_TPF_4pulseDIA_b2_15_dl20_part4	Homo sapiens	thyroid gland	not available	tissue	1	not available	not available	not available	A20200218sunyt_TPF_4pulseDIA_b2_15_dl20_part4	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	1	A20200218sunyt_TPF_4pulseDIA_b2_15_dl20_part4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	DIA
A20200218sunyt_TPF_4pulseDIA_b2_16_dl21_part1	Homo sapiens	thyroid gland	not available	tissue	1	not available	not available	not available	A20200218sunyt_TPF_4pulseDIA_b2_16_dl21_part1	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	1	A20200218sunyt_TPF_4pulseDIA_b2_16_dl21_part1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	DIA
A20200218sunyt_TPF_4pulseDIA_b2_16_dl21_part2	Homo sapiens	thyroid gland	not available	tissue	1	not available	not available	not available	A20200218sunyt_TPF_4pulseDIA_b2_16_dl21_part2	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	1	A20200218sunyt_TPF_4pulseDIA_b2_16_dl21_part2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	DIA
A20200218sunyt_TPF_4pulseDIA_b2_16_dl21_part3	Homo sapiens	thyroid gland	not available	tissue	1	not available	not available	not available	A20200218sunyt_TPF_4pulseDIA_b2_16_dl21_part3	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	1	A20200218sunyt_TPF_4pulseDIA_b2_16_dl21_part3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	DIA
A20200218sunyt_TPF_4pulseDIA_b2_16_dl21_part4	Homo sapiens	thyroid gland	not available	tissue	1	not available	not available	not available	A20200218sunyt_TPF_4pulseDIA_b2_16_dl21_part4	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	1	A20200218sunyt_TPF_4pulseDIA_b2_16_dl21_part4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	DIA
A20200218sunyt_TPF_4pulseDIA_b2_17_dl22_part1	Homo sapiens	thyroid gland	not available	tissue	1	not available	not available	not available	A20200218sunyt_TPF_4pulseDIA_b2_17_dl22_part1	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	1	A20200218sunyt_TPF_4pulseDIA_b2_17_dl22_part1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	DIA
A20200218sunyt_TPF_4pulseDIA_b2_17_dl22_part2	Homo sapiens	thyroid gland	not available	tissue	1	not available	not available	not available	A20200218sunyt_TPF_4pulseDIA_b2_17_dl22_part2	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	1	A20200218sunyt_TPF_4pulseDIA_b2_17_dl22_part2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	DIA
A20200218sunyt_TPF_4pulseDIA_b2_17_dl22_part3	Homo sapiens	thyroid gland	not available	tissue	1	not available	not available	not available	A20200218sunyt_TPF_4pulseDIA_b2_17_dl22_part3	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	1	A20200218sunyt_TPF_4pulseDIA_b2_17_dl22_part3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	DIA
A20200218sunyt_TPF_4pulseDIA_b2_17_dl22_part4	Homo sapiens	thyroid gland	not available	tissue	1	not available	not available	not available	A20200218sunyt_TPF_4pulseDIA_b2_17_dl22_part4	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	1	A20200218sunyt_TPF_4pulseDIA_b2_17_dl22_part4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	DIA
A20200218sunyt_TPF_4pulseDIA_b2_18_dl23_part1	Homo sapiens	thyroid gland	not available	tissue	1	not available	not available	not available	A20200218sunyt_TPF_4pulseDIA_b2_18_dl23_part1	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	1	A20200218sunyt_TPF_4pulseDIA_b2_18_dl23_part1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	DIA
