source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[instrument]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]
OR5_120621_EC_SCX_MIX2_mouse_cerebellum_23	Mus musculus	not available	not applicable	not available	1	OR5_120621_EC_SCX_MIX2_mouse_cerebellum_23	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Q Exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	OR5_120621_EC_SCX_MIX2_mouse_cerebellum_23.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/06/PXD000502/OR5_120621_EC_SCX_MIX2_mouse_cerebellum_23.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
OR9_2010809_EC_SCX_MIX3_mouse_cerebellum_28	Mus musculus	not available	not applicable	not available	1	OR9_2010809_EC_SCX_MIX3_mouse_cerebellum_28	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Q Exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	OR9_2010809_EC_SCX_MIX3_mouse_cerebellum_28.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/06/PXD000502/OR9_2010809_EC_SCX_MIX3_mouse_cerebellum_28.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
OR9_2010809_EC_SCX_MIX3_mouse_cerebellum_22	Mus musculus	not available	not applicable	not available	1	OR9_2010809_EC_SCX_MIX3_mouse_cerebellum_22	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Q Exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	OR9_2010809_EC_SCX_MIX3_mouse_cerebellum_22.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/06/PXD000502/OR9_2010809_EC_SCX_MIX3_mouse_cerebellum_22.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
OR5_120621_EC_SCX_MIX2_mouse_cerebellum_20_01	Mus musculus	not available	not applicable	not available	1	OR5_120621_EC_SCX_MIX2_mouse_cerebellum_20_01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Q Exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	OR5_120621_EC_SCX_MIX2_mouse_cerebellum_20_01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/06/PXD000502/OR5_120621_EC_SCX_MIX2_mouse_cerebellum_20_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
OR5_120619_EC_SCX_MIX1_mouse_cerebellum_25_rerun	Mus musculus	not available	not applicable	not available	1	OR5_120619_EC_SCX_MIX1_mouse_cerebellum_25_rerun	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Q Exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	OR5_120619_EC_SCX_MIX1_mouse_cerebellum_25_rerun.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/06/PXD000502/OR5_120619_EC_SCX_MIX1_mouse_cerebellum_25_rerun.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
OR9_20130208_EC_mouse_cerebellum_MIX2_TiIMAC_02	Mus musculus	not available	not applicable	not available	1	OR9_20130208_EC_mouse_cerebellum_MIX2_TiIMAC_02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Q Exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	OR9_20130208_EC_mouse_cerebellum_MIX2_TiIMAC_02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/06/PXD000502/OR9_20130208_EC_mouse_cerebellum_MIX2_TiIMAC_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
OR9_20130208_EC_mouse_cerebellum_MIX3_TiIMAC_02	Mus musculus	not available	not applicable	not available	1	OR9_20130208_EC_mouse_cerebellum_MIX3_TiIMAC_02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Q Exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	OR9_20130208_EC_mouse_cerebellum_MIX3_TiIMAC_02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/06/PXD000502/OR9_20130208_EC_mouse_cerebellum_MIX3_TiIMAC_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
OR6_120718_EC_SCX_MIX2_mouse_cerebellum_16	Mus musculus	not available	not applicable	not available	1	OR6_120718_EC_SCX_MIX2_mouse_cerebellum_16	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Q Exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	OR6_120718_EC_SCX_MIX2_mouse_cerebellum_16.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/06/PXD000502/OR6_120718_EC_SCX_MIX2_mouse_cerebellum_16.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
OR6_120619_EC_SCX_MIX1_mouse_cerebellum_10	Mus musculus	not available	not applicable	not available	1	OR6_120619_EC_SCX_MIX1_mouse_cerebellum_10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Q Exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	OR6_120619_EC_SCX_MIX1_mouse_cerebellum_10.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/06/PXD000502/OR6_120619_EC_SCX_MIX1_mouse_cerebellum_10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
OR9_2010809_EC_SCX_MIX3_mouse_cerebellum_21	Mus musculus	not available	not applicable	not available	1	OR9_2010809_EC_SCX_MIX3_mouse_cerebellum_21	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Q Exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	OR9_2010809_EC_SCX_MIX3_mouse_cerebellum_21.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/06/PXD000502/OR9_2010809_EC_SCX_MIX3_mouse_cerebellum_21.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
OR5_120619_EC_SCX_MIX1_mouse_cerebellum_20	Mus musculus	not available	not applicable	not available	1	OR5_120619_EC_SCX_MIX1_mouse_cerebellum_20	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Q Exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	OR5_120619_EC_SCX_MIX1_mouse_cerebellum_20.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/06/PXD000502/OR5_120619_EC_SCX_MIX1_mouse_cerebellum_20.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
OR6_120718_EC_SCX_MIX2_mouse_cerebellum_11	Mus musculus	not available	not applicable	not available	1	OR6_120718_EC_SCX_MIX2_mouse_cerebellum_11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Q Exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	OR6_120718_EC_SCX_MIX2_mouse_cerebellum_11.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/06/PXD000502/OR6_120718_EC_SCX_MIX2_mouse_cerebellum_11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
OR6_120807_EC_SCX_MIX3_mouse_cerebellum_18	Mus musculus	not available	not applicable	not available	1	OR6_120807_EC_SCX_MIX3_mouse_cerebellum_18	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Q Exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	OR6_120807_EC_SCX_MIX3_mouse_cerebellum_18.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/06/PXD000502/OR6_120807_EC_SCX_MIX3_mouse_cerebellum_18.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
OR6_120807_EC_SCX_MIX3_mouse_cerebellum_12	Mus musculus	not available	not applicable	not available	1	OR6_120807_EC_SCX_MIX3_mouse_cerebellum_12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Q Exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	OR6_120807_EC_SCX_MIX3_mouse_cerebellum_12.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/06/PXD000502/OR6_120807_EC_SCX_MIX3_mouse_cerebellum_12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
OR6_120619_EC_SCX_MIX1_mouse_cerebellum_15	Mus musculus	not available	not applicable	not available	1	OR6_120619_EC_SCX_MIX1_mouse_cerebellum_15	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Q Exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	OR6_120619_EC_SCX_MIX1_mouse_cerebellum_15.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/06/PXD000502/OR6_120619_EC_SCX_MIX1_mouse_cerebellum_15.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
OR5_120619_EC_SCX_MIX1_mouse_cerebellum_24	Mus musculus	not available	not applicable	not available	1	OR5_120619_EC_SCX_MIX1_mouse_cerebellum_24	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Q Exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	OR5_120619_EC_SCX_MIX1_mouse_cerebellum_24.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/06/PXD000502/OR5_120619_EC_SCX_MIX1_mouse_cerebellum_24.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
OR5_120621_EC_SCX_MIX2_mouse_cerebellum_25	Mus musculus	not available	not applicable	not available	1	OR5_120621_EC_SCX_MIX2_mouse_cerebellum_25	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Q Exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	OR5_120621_EC_SCX_MIX2_mouse_cerebellum_25.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/06/PXD000502/OR5_120621_EC_SCX_MIX2_mouse_cerebellum_25.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
OR6_120619_EC_SCX_MIX1_mouse_cerebellum_11	Mus musculus	not available	not applicable	not available	1	OR6_120619_EC_SCX_MIX1_mouse_cerebellum_11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Q Exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	OR6_120619_EC_SCX_MIX1_mouse_cerebellum_11.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/06/PXD000502/OR6_120619_EC_SCX_MIX1_mouse_cerebellum_11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
OR6_120619_EC_SCX_MIX1_mouse_cerebellum_17	Mus musculus	not available	not applicable	not available	1	OR6_120619_EC_SCX_MIX1_mouse_cerebellum_17	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Q Exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	OR6_120619_EC_SCX_MIX1_mouse_cerebellum_17.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/06/PXD000502/OR6_120619_EC_SCX_MIX1_mouse_cerebellum_17.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
OR5_120619_EC_SCX_MIX1_mouse_cerebellum_21	Mus musculus	not available	not applicable	not available	1	OR5_120619_EC_SCX_MIX1_mouse_cerebellum_21	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Q Exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	OR5_120619_EC_SCX_MIX1_mouse_cerebellum_21.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/06/PXD000502/OR5_120619_EC_SCX_MIX1_mouse_cerebellum_21.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
OR5_120619_EC_SCX_MIX1_mouse_cerebellum_22	Mus musculus	not available	not applicable	not available	1	OR5_120619_EC_SCX_MIX1_mouse_cerebellum_22	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Q Exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	OR5_120619_EC_SCX_MIX1_mouse_cerebellum_22.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/06/PXD000502/OR5_120619_EC_SCX_MIX1_mouse_cerebellum_22.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
OR6_120807_EC_SCX_MIX3_mouse_cerebellum_15_rerun	Mus musculus	not available	not applicable	not available	1	OR6_120807_EC_SCX_MIX3_mouse_cerebellum_15_rerun	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Q Exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	OR6_120807_EC_SCX_MIX3_mouse_cerebellum_15_rerun.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/06/PXD000502/OR6_120807_EC_SCX_MIX3_mouse_cerebellum_15_rerun.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
