source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fractionation method]	comment[reduction reagent]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
053113_Wang_ITRAQ_14	homo sapiens	Epithelial cell	not applicable	Prostate adenocarcinoma	14	053113_Wang_ITRAQ_14	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.06 Da	0.06 Da	strong cation-exchange chromatography (scx)	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	053113_Wang_ITRAQ_14.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD002107/053113_Wang_ITRAQ_14.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
053113_Wang_ITRAQ_6	homo sapiens	Epithelial cell	not applicable	Prostate adenocarcinoma	6	053113_Wang_ITRAQ_6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.06 Da	0.06 Da	strong cation-exchange chromatography (scx)	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	053113_Wang_ITRAQ_6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD002107/053113_Wang_ITRAQ_6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
053113_Wang_ITRAQ_13	homo sapiens	Epithelial cell	not applicable	Prostate adenocarcinoma	13	053113_Wang_ITRAQ_13	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.06 Da	0.06 Da	strong cation-exchange chromatography (scx)	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	053113_Wang_ITRAQ_13.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD002107/053113_Wang_ITRAQ_13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
053113_Wang_ITRAQ_2	homo sapiens	Epithelial cell	not applicable	Prostate adenocarcinoma	2	053113_Wang_ITRAQ_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.06 Da	0.06 Da	strong cation-exchange chromatography (scx)	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	053113_Wang_ITRAQ_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD002107/053113_Wang_ITRAQ_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
053113_Wang_ITRAQ_11	homo sapiens	Epithelial cell	not applicable	Prostate adenocarcinoma	11	053113_Wang_ITRAQ_11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.06 Da	0.06 Da	strong cation-exchange chromatography (scx)	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	053113_Wang_ITRAQ_11.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD002107/053113_Wang_ITRAQ_11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
053113_Wang_ITRAQ_18	homo sapiens	Epithelial cell	not applicable	Prostate adenocarcinoma	18	053113_Wang_ITRAQ_18	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.06 Da	0.06 Da	strong cation-exchange chromatography (scx)	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	053113_Wang_ITRAQ_18.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD002107/053113_Wang_ITRAQ_18.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
053113_Wang_ITRAQ_9	homo sapiens	Epithelial cell	not applicable	Prostate adenocarcinoma	9	053113_Wang_ITRAQ_9	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.06 Da	0.06 Da	strong cation-exchange chromatography (scx)	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	053113_Wang_ITRAQ_9.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD002107/053113_Wang_ITRAQ_9.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
053113_Wang_ITRAQ_4	homo sapiens	Epithelial cell	not applicable	Prostate adenocarcinoma	4	053113_Wang_ITRAQ_4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.06 Da	0.06 Da	strong cation-exchange chromatography (scx)	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	053113_Wang_ITRAQ_4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD002107/053113_Wang_ITRAQ_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
053113_Wang_ITRAQ_15	homo sapiens	Epithelial cell	not applicable	Prostate adenocarcinoma	15	053113_Wang_ITRAQ_15	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.06 Da	0.06 Da	strong cation-exchange chromatography (scx)	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	053113_Wang_ITRAQ_15.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD002107/053113_Wang_ITRAQ_15.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
053113_Wang_ITRAQ_17	homo sapiens	Epithelial cell	not applicable	Prostate adenocarcinoma	17	053113_Wang_ITRAQ_17	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.06 Da	0.06 Da	strong cation-exchange chromatography (scx)	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	053113_Wang_ITRAQ_17.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD002107/053113_Wang_ITRAQ_17.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
053113_Wang_ITRAQ_8	homo sapiens	Epithelial cell	not applicable	Prostate adenocarcinoma	8	053113_Wang_ITRAQ_8	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.06 Da	0.06 Da	strong cation-exchange chromatography (scx)	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	053113_Wang_ITRAQ_8.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD002107/053113_Wang_ITRAQ_8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
053113_Wang_ITRAQ_24	homo sapiens	Epithelial cell	not applicable	Prostate adenocarcinoma	24	053113_Wang_ITRAQ_24	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.06 Da	0.06 Da	strong cation-exchange chromatography (scx)	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	053113_Wang_ITRAQ_24.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD002107/053113_Wang_ITRAQ_24.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
053113_Wang_ITRAQ_3	homo sapiens	Epithelial cell	not applicable	Prostate adenocarcinoma	3	053113_Wang_ITRAQ_3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.06 Da	0.06 Da	strong cation-exchange chromatography (scx)	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	053113_Wang_ITRAQ_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD002107/053113_Wang_ITRAQ_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
053113_Wang_ITRAQ_22	homo sapiens	Epithelial cell	not applicable	Prostate adenocarcinoma	22	053113_Wang_ITRAQ_22	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.06 Da	0.06 Da	strong cation-exchange chromatography (scx)	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	053113_Wang_ITRAQ_22.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD002107/053113_Wang_ITRAQ_22.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
