source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fractionation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
ctsl_vs_wt3_06	mus musculus	Liver	not applicable	not available	6	ctsl_vs_wt3_06	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	28.03 Da	strong cation-exchange chromatography (scx)	1	1	ctsl_vs_wt3_06.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002847/ctsl_vs_wt3_06.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Liver
ffpe_heavy01	mus musculus	Liver	not applicable	not available	1	ffpe_heavy01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	28.03 Da	strong cation-exchange chromatography (scx)	1	1	ffpe_heavy01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002847/ffpe_heavy01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Liver
cryo2	mus musculus	Liver	not applicable	not available	1	cryo2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	28.03 Da	strong cation-exchange chromatography (scx)	1	1	cryo2.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002847/cryo2.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Liver
ctsl_vs_wt2_03	mus musculus	Liver	not applicable	not available	3	ctsl_vs_wt2_03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	28.03 Da	strong cation-exchange chromatography (scx)	1	1	ctsl_vs_wt2_03.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002847/ctsl_vs_wt2_03.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Liver
ctsl_vs_wt2_01	mus musculus	Liver	not applicable	not available	1	ctsl_vs_wt2_01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	28.03 Da	strong cation-exchange chromatography (scx)	1	1	ctsl_vs_wt2_01.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002847/ctsl_vs_wt2_01.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Liver
ctsl_vs_wt1_01	mus musculus	Liver	not applicable	not available	1	ctsl_vs_wt1_01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	28.03 Da	strong cation-exchange chromatography (scx)	1	1	ctsl_vs_wt1_01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002847/ctsl_vs_wt1_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Liver
ctsl_vs_wt2_02	mus musculus	Liver	not applicable	not available	2	ctsl_vs_wt2_02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	28.03 Da	strong cation-exchange chromatography (scx)	1	1	ctsl_vs_wt2_02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002847/ctsl_vs_wt2_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Liver
ctsl_vs_wt1_04	mus musculus	Liver	not applicable	not available	4	ctsl_vs_wt1_04	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	28.03 Da	strong cation-exchange chromatography (scx)	1	1	ctsl_vs_wt1_04.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002847/ctsl_vs_wt1_04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Liver
ctsl_vs_wt1_03	mus musculus	Liver	not applicable	not available	3	ctsl_vs_wt1_03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	28.03 Da	strong cation-exchange chromatography (scx)	1	1	ctsl_vs_wt1_03.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002847/ctsl_vs_wt1_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Liver
ffpe_heavy04	mus musculus	Liver	not applicable	not available	1	ffpe_heavy04	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	28.03 Da	strong cation-exchange chromatography (scx)	1	1	ffpe_heavy04.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002847/ffpe_heavy04.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Liver
ctsl_vs_wt3_03	mus musculus	Liver	not applicable	not available	3	ctsl_vs_wt3_03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	28.03 Da	strong cation-exchange chromatography (scx)	1	1	ctsl_vs_wt3_03.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002847/ctsl_vs_wt3_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Liver
ctsl_vs_wt3_01	mus musculus	Liver	not applicable	not available	1	ctsl_vs_wt3_01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	28.03 Da	strong cation-exchange chromatography (scx)	1	1	ctsl_vs_wt3_01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002847/ctsl_vs_wt3_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Liver
ctsl_vs_wt3_02	mus musculus	Liver	not applicable	not available	2	ctsl_vs_wt3_02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	28.03 Da	strong cation-exchange chromatography (scx)	1	1	ctsl_vs_wt3_02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002847/ctsl_vs_wt3_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Liver
ctsl_vs_wt3_05	mus musculus	Liver	not applicable	not available	5	ctsl_vs_wt3_05	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	28.03 Da	strong cation-exchange chromatography (scx)	1	1	ctsl_vs_wt3_05.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002847/ctsl_vs_wt3_05.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Liver
ctsl_vs_wt1_06	mus musculus	Liver	not applicable	not available	6	ctsl_vs_wt1_06	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	28.03 Da	strong cation-exchange chromatography (scx)	1	1	ctsl_vs_wt1_06.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002847/ctsl_vs_wt1_06.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Liver
ffpe3	mus musculus	Liver	not applicable	not available	1	ffpe3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	28.03 Da	strong cation-exchange chromatography (scx)	1	1	ffpe3.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002847/ffpe3.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Liver
ctsl_vs_wt1_05	mus musculus	Liver	not applicable	not available	5	ctsl_vs_wt1_05	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	28.03 Da	strong cation-exchange chromatography (scx)	1	1	ctsl_vs_wt1_05.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002847/ctsl_vs_wt1_05.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Liver
ctsl_vs_wt2_06	mus musculus	Liver	not applicable	not available	6	ctsl_vs_wt2_06	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	28.03 Da	strong cation-exchange chromatography (scx)	1	1	ctsl_vs_wt2_06.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002847/ctsl_vs_wt2_06.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Liver
ffpe1	mus musculus	Liver	not applicable	not available	1	ffpe1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	28.03 Da	strong cation-exchange chromatography (scx)	1	1	ffpe1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002847/ffpe1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Liver
