source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[material type]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[individual]	characteristics[phenotype]	characteristics[pooled sample]	characteristics[sample type]	characteristics[depletion]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[dia method]	comment[scan window lower limit]	comment[scan window upper limit]	comment[isolation window width]	comment[ms1 scan range]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[disease]	factor value[phenotype]
UG46_sEV	Homo sapiens	urine	IDH-wildtype glioblastoma	not applicable	organism part	adult	not available	not available	not available	UG46	100K small urinary extracellular vesicles	not pooled	study sample	no depletion	1	20220829_QEHFX3_LS_UG46_EV	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	350	1650	not available	350m/z-1650m/z	1	1	20220829_QEHFX3_LS_UG46_EV.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	IDH-wildtype glioblastoma	100K small urinary extracellular vesicles
UG46_lEV	Homo sapiens	urine	IDH-wildtype glioblastoma	not applicable	organism part	adult	not available	not available	not available	UG46	17K large urinary extracellular vesicles	not pooled	study sample	no depletion	1	20220829_QEHFX3_LS_UG46_MV	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	350	1650	not available	350m/z-1650m/z	1	1	20220829_QEHFX3_LS_UG46_MV.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	IDH-wildtype glioblastoma	17K large urinary extracellular vesicles
UG48_sEV	Homo sapiens	urine	IDH-wildtype glioblastoma	not applicable	organism part	adult	not available	not available	not available	UG48	100K small urinary extracellular vesicles	not pooled	study sample	no depletion	1	20220829_QEHFX3_LS_UG48_EV	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	350	1650	not available	350m/z-1650m/z	1	1	20220829_QEHFX3_LS_UG48_EV.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	IDH-wildtype glioblastoma	100K small urinary extracellular vesicles
UG48_lEV	Homo sapiens	urine	IDH-wildtype glioblastoma	not applicable	organism part	adult	not available	not available	not available	UG48	17K large urinary extracellular vesicles	not pooled	study sample	no depletion	1	20220829_QEHFX3_LS_UG48_MV	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	350	1650	not available	350m/z-1650m/z	1	1	20220829_QEHFX3_LS_UG48_MV.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	IDH-wildtype glioblastoma	17K large urinary extracellular vesicles
UG49_sEV	Homo sapiens	urine	IDH-wildtype glioblastoma	not applicable	organism part	adult	not available	not available	not available	UG49	100K small urinary extracellular vesicles	not pooled	study sample	no depletion	1	20220829_QEHFX3_LS_UG49_EV	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	350	1650	not available	350m/z-1650m/z	1	1	20220829_QEHFX3_LS_UG49_EV.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	IDH-wildtype glioblastoma	100K small urinary extracellular vesicles
UG49_lEV	Homo sapiens	urine	IDH-wildtype glioblastoma	not applicable	organism part	adult	not available	not available	not available	UG49	17K large urinary extracellular vesicles	not pooled	study sample	no depletion	1	20220829_QEHFX3_LS_UG49_MV	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	350	1650	not available	350m/z-1650m/z	1	1	20220829_QEHFX3_LS_UG49_MV.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	IDH-wildtype glioblastoma	17K large urinary extracellular vesicles
UG52_sEV	Homo sapiens	urine	IDH-wildtype glioblastoma	not applicable	organism part	adult	not available	not available	not available	UG52	100K small urinary extracellular vesicles	not pooled	study sample	no depletion	1	20220829_QEHFX3_LS_UG52_EV	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	350	1650	not available	350m/z-1650m/z	1	1	20220829_QEHFX3_LS_UG52_EV.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	IDH-wildtype glioblastoma	100K small urinary extracellular vesicles
UG52_lEV	Homo sapiens	urine	IDH-wildtype glioblastoma	not applicable	organism part	adult	not available	not available	not available	UG52	17K large urinary extracellular vesicles	not pooled	study sample	no depletion	1	20220829_QEHFX3_LS_UG52_MV	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	350	1650	not available	350m/z-1650m/z	1	1	20220829_QEHFX3_LS_UG52_MV.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	IDH-wildtype glioblastoma	17K large urinary extracellular vesicles
UG57_sEV	Homo sapiens	urine	IDH-wildtype glioblastoma	not applicable	organism part	adult	not available	not available	not available	UG57	100K small urinary extracellular vesicles	not pooled	study sample	no depletion	1	20220829_QEHFX3_LS_UG57_EV	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	350	1650	not available	350m/z-1650m/z	1	1	20220829_QEHFX3_LS_UG57_EV.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	IDH-wildtype glioblastoma	100K small urinary extracellular vesicles
UG57_lEV	Homo sapiens	urine	IDH-wildtype glioblastoma	not applicable	organism part	adult	not available	not available	not available	UG57	17K large urinary extracellular vesicles	not pooled	study sample	no depletion	1	20220829_QEHFX3_LS_UG57_MV	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	350	1650	not available	350m/z-1650m/z	1	1	20220829_QEHFX3_LS_UG57_MV.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	IDH-wildtype glioblastoma	17K large urinary extracellular vesicles
UG60_sEV	Homo sapiens	urine	IDH-wildtype glioblastoma	not applicable	organism part	adult	not available	not available	not available	UG60	100K small urinary extracellular vesicles	not pooled	study sample	no depletion	1	20220829_QEHFX3_LS_UG60_EV	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	350	1650	not available	350m/z-1650m/z	1	1	20220829_QEHFX3_LS_UG60_EV.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	IDH-wildtype glioblastoma	100K small urinary extracellular vesicles
UG60_lEV	Homo sapiens	urine	IDH-wildtype glioblastoma	not applicable	organism part	adult	not available	not available	not available	UG60	17K large urinary extracellular vesicles	not pooled	study sample	no depletion	1	20220829_QEHFX3_LS_UG60_MV	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	350	1650	not available	350m/z-1650m/z	1	1	20220829_QEHFX3_LS_UG60_MV.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	IDH-wildtype glioblastoma	17K large urinary extracellular vesicles
UG70_sEV	Homo sapiens	urine	IDH-wildtype glioblastoma	not applicable	organism part	adult	not available	not available	not available	UG70	100K small urinary extracellular vesicles	not pooled	study sample	no depletion	1	20220829_QEHFX3_LS_UG70_EV	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	350	1650	not available	350m/z-1650m/z	1	1	20220829_QEHFX3_LS_UG70_EV.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	IDH-wildtype glioblastoma	100K small urinary extracellular vesicles
UG70_lEV	Homo sapiens	urine	IDH-wildtype glioblastoma	not applicable	organism part	adult	not available	not available	not available	UG70	17K large urinary extracellular vesicles	not pooled	study sample	no depletion	1	20220829_QEHFX3_LS_UG70_MV_20220912091927	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	350	1650	not available	350m/z-1650m/z	1	1	20220829_QEHFX3_LS_UG70_MV_20220912091927.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	IDH-wildtype glioblastoma	17K large urinary extracellular vesicles
UG71_sEV	Homo sapiens	urine	IDH-wildtype glioblastoma	not applicable	organism part	adult	not available	not available	not available	UG71	100K small urinary extracellular vesicles	not pooled	study sample	no depletion	1	20220829_QEHFX3_LS_UG71_EV	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	350	1650	not available	350m/z-1650m/z	1	1	20220829_QEHFX3_LS_UG71_EV.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	IDH-wildtype glioblastoma	100K small urinary extracellular vesicles
UG71_lEV	Homo sapiens	urine	IDH-wildtype glioblastoma	not applicable	organism part	adult	not available	not available	not available	UG71	17K large urinary extracellular vesicles	not pooled	study sample	no depletion	1	20220829_QEHFX3_LS_UG71_MV	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	350	1650	not available	350m/z-1650m/z	1	1	20220829_QEHFX3_LS_UG71_MV.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	IDH-wildtype glioblastoma	17K large urinary extracellular vesicles
UG72_sEV	Homo sapiens	urine	IDH-wildtype glioblastoma	not applicable	organism part	adult	not available	not available	not available	UG72	100K small urinary extracellular vesicles	not pooled	study sample	no depletion	1	20220829_QEHFX3_LS_UG72_EV	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	350	1650	not available	350m/z-1650m/z	1	1	20220829_QEHFX3_LS_UG72_EV.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	IDH-wildtype glioblastoma	100K small urinary extracellular vesicles
UG72_lEV	Homo sapiens	urine	IDH-wildtype glioblastoma	not applicable	organism part	adult	not available	not available	not available	UG72	17K large urinary extracellular vesicles	not pooled	study sample	no depletion	1	20220829_QEHFX3_LS_UG72_MV	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	350	1650	not available	350m/z-1650m/z	1	1	20220829_QEHFX3_LS_UG72_MV.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	IDH-wildtype glioblastoma	17K large urinary extracellular vesicles
