source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[age]	characteristics[ancestry category]	characteristics[developmental stage]	characteristics[equalization]	characteristics[individual]	characteristics[origin]	characteristics[sex]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[fraction identifier]	comment[fractionation method]	comment[proteomics data acquisition method]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[file uri]	comment[fragment mass tolerance]	comment[ion exchange method]	comment[precursor mass tolerance]	comment[salt step]	comment[technical replicate]	comment[data file]	factor value[cell type]
PXD026126-Sample 11	Homo sapiens	blood	normal	peripheral blood mononuclear cell	not available	not available	not available	whole cell	1	peripheral blood	not available	1	run 11	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	AC=MS:1002038;NT=label free sample	4	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026126/20180615_rmi049_75idPLRPS_APA_PBMC_100_F4_a.raw	2.2 Da	NT=Strong anion-exchange chromatography;AC=PRIDE:0000558	10 ppm	100 mM	1	20180615_rmi049_75idPLRPS_APA_PBMC_100_F4_a.raw	pbmc
PXD026126-Sample 12	Homo sapiens	blood	normal	peripheral blood mononuclear cell	not available	not available	not available	whole cell	1	peripheral blood	not available	1	run 12	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	AC=MS:1002038;NT=label free sample	4	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026126/20180615_rmi049_75idPLRPS_APA_PBMC_100_F4_b.raw	2.2 Da	NT=Strong anion-exchange chromatography;AC=PRIDE:0000558	10 ppm	100 mM	2	20180615_rmi049_75idPLRPS_APA_PBMC_100_F4_b.raw	pbmc
PXD026126-Sample 13	Homo sapiens	blood	normal	peripheral blood mononuclear cell	not available	not available	not available	whole cell	1	peripheral blood	not available	1	run 13	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	AC=MS:1002038;NT=label free sample	4	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026126/20180615_rmi049_75idPLRPS_APA_PBMC_100_F4_c.raw	2.2 Da	NT=Strong anion-exchange chromatography;AC=PRIDE:0000558	10 ppm	100 mM	3	20180615_rmi049_75idPLRPS_APA_PBMC_100_F4_c.raw	pbmc
PXD026126-Sample 14	Homo sapiens	blood	normal	peripheral blood mononuclear cell	not available	not available	not available	whole cell	1	peripheral blood	not available	1	run 14	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	AC=MS:1002038;NT=label free sample	5	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026126/20180615_rmi049_75idPLRPS_APA_PBMC_100_F5_a.raw	2.2 Da	NT=Strong anion-exchange chromatography;AC=PRIDE:0000558	10 ppm	100 mM	1	20180615_rmi049_75idPLRPS_APA_PBMC_100_F5_a.raw	pbmc
PXD026126-Sample 15	Homo sapiens	blood	normal	peripheral blood mononuclear cell	not available	not available	not available	whole cell	1	peripheral blood	not available	1	run 15	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	AC=MS:1002038;NT=label free sample	5	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026126/20180615_rmi049_75idPLRPS_APA_PBMC_100_F5_b.raw	2.2 Da	NT=Strong anion-exchange chromatography;AC=PRIDE:0000558	10 ppm	100 mM	2	20180615_rmi049_75idPLRPS_APA_PBMC_100_F5_b.raw	pbmc
PXD026126-Sample 16	Homo sapiens	blood	normal	peripheral blood mononuclear cell	not available	not available	not available	whole cell	1	peripheral blood	not available	1	run 16	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	AC=MS:1002038;NT=label free sample	5	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026126/20180615_rmi049_75idPLRPS_APA_PBMC_100_F5_c.raw	2.2 Da	NT=Strong anion-exchange chromatography;AC=PRIDE:0000558	10 ppm	100 mM	3	20180615_rmi049_75idPLRPS_APA_PBMC_100_F5_c.raw	pbmc
PXD026126-Sample 17	Homo sapiens	blood	normal	peripheral blood mononuclear cell	not available	not available	not available	whole cell	1	peripheral blood	not available	1	run 17	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	AC=MS:1002038;NT=label free sample	6	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026126/20180615_rmi049_75idPLRPS_APA_PBMC_100_F6_a.raw	2.2 Da	NT=Strong anion-exchange chromatography;AC=PRIDE:0000558	10 ppm	100 mM	1	20180615_rmi049_75idPLRPS_APA_PBMC_100_F6_a.raw	pbmc
PXD026126-Sample 18	Homo sapiens	blood	normal	peripheral blood mononuclear cell	not available	not available	not available	whole cell	1	peripheral blood	not available	1	run 18	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	AC=MS:1002038;NT=label free sample	6	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026126/20180615_rmi049_75idPLRPS_APA_PBMC_100_F6_b.raw	2.2 Da	NT=Strong anion-exchange chromatography;AC=PRIDE:0000558	10 ppm	100 mM	2	20180615_rmi049_75idPLRPS_APA_PBMC_100_F6_b.raw	pbmc
PXD026126-Sample 19	Homo sapiens	blood	normal	peripheral blood mononuclear cell	not available	not available	not available	whole cell	1	peripheral blood	not available	1	run 19	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	AC=MS:1002038;NT=label free sample	6	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026126/20180615_rmi049_75idPLRPS_APA_PBMC_100_F6_c.raw	2.2 Da	NT=Strong anion-exchange chromatography;AC=PRIDE:0000558	10 ppm	100 mM	3	20180615_rmi049_75idPLRPS_APA_PBMC_100_F6_c.raw	pbmc
PXD026126-Sample 20	Homo sapiens	blood	normal	peripheral blood mononuclear cell	not available	not available	not available	whole cell	2	peripheral blood	not available	2	run 20	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	AC=MS:1002038;NT=label free sample	1	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026126/20180615_rmi049_75idPLRPS_APA_PBMC_200_F1_a.raw	2.2 Da	NT=Strong anion-exchange chromatography;AC=PRIDE:0000558	10 ppm	200 mM	1	20180615_rmi049_75idPLRPS_APA_PBMC_200_F1_a.raw	pbmc
PXD026126-Sample 21	Homo sapiens	blood	normal	peripheral blood mononuclear cell	not available	not available	not available	whole cell	2	peripheral blood	not available	2	run 21	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	AC=MS:1002038;NT=label free sample	1	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026126/20180615_rmi049_75idPLRPS_APA_PBMC_200_F1_c.raw	2.2 Da	NT=Strong anion-exchange chromatography;AC=PRIDE:0000558	10 ppm	200 mM	2	20180615_rmi049_75idPLRPS_APA_PBMC_200_F1_c.raw	pbmc
PXD026126-Sample 22	Homo sapiens	blood	normal	peripheral blood mononuclear cell	not available	not available	not available	whole cell	2	peripheral blood	not available	2	run 22	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	AC=MS:1002038;NT=label free sample	1	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026126/20180615_rmi049_75idPLRPS_APA_PBMC_200_F1_d.raw	2.2 Da	NT=Strong anion-exchange chromatography;AC=PRIDE:0000558	10 ppm	200 mM	3	20180615_rmi049_75idPLRPS_APA_PBMC_200_F1_d.raw	pbmc
PXD026126-Sample 23	Homo sapiens	blood	normal	peripheral blood mononuclear cell	not available	not available	not available	whole cell	2	peripheral blood	not available	2	run 23	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	AC=MS:1002038;NT=label free sample	2	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026126/20180615_rmi049_75idPLRPS_APA_PBMC_200_F2_a.raw	2.2 Da	NT=Strong anion-exchange chromatography;AC=PRIDE:0000558	10 ppm	200 mM	1	20180615_rmi049_75idPLRPS_APA_PBMC_200_F2_a.raw	pbmc
PXD026126-Sample 24	Homo sapiens	blood	normal	peripheral blood mononuclear cell	not available	not available	not available	whole cell	2	peripheral blood	not available	2	run 24	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	AC=MS:1002038;NT=label free sample	2	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026126/20180615_rmi049_75idPLRPS_APA_PBMC_200_F2_b.raw	2.2 Da	NT=Strong anion-exchange chromatography;AC=PRIDE:0000558	10 ppm	200 mM	2	20180615_rmi049_75idPLRPS_APA_PBMC_200_F2_b.raw	pbmc
PXD026126-Sample 25	Homo sapiens	blood	normal	peripheral blood mononuclear cell	not available	not available	not available	whole cell	2	peripheral blood	not available	2	run 25	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	AC=MS:1002038;NT=label free sample	2	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026126/20180615_rmi049_75idPLRPS_APA_PBMC_200_F2_c.raw	2.2 Da	NT=Strong anion-exchange chromatography;AC=PRIDE:0000558	10 ppm	200 mM	3	20180615_rmi049_75idPLRPS_APA_PBMC_200_F2_c.raw	pbmc
PXD026126-Sample 26	Homo sapiens	blood	normal	peripheral blood mononuclear cell	not available	not available	not available	whole cell	2	peripheral blood	not available	2	run 26	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	AC=MS:1002038;NT=label free sample	3	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026126/20180615_rmi049_75idPLRPS_APA_PBMC_200_F3_a.raw	2.2 Da	NT=Strong anion-exchange chromatography;AC=PRIDE:0000558	10 ppm	200 mM	1	20180615_rmi049_75idPLRPS_APA_PBMC_200_F3_a.raw	pbmc
PXD026126-Sample 27	Homo sapiens	blood	normal	peripheral blood mononuclear cell	not available	not available	not available	whole cell	2	peripheral blood	not available	2	run 27	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	AC=MS:1002038;NT=label free sample	3	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026126/20180615_rmi049_75idPLRPS_APA_PBMC_200_F3_b.raw	2.2 Da	NT=Strong anion-exchange chromatography;AC=PRIDE:0000558	10 ppm	200 mM	2	20180615_rmi049_75idPLRPS_APA_PBMC_200_F3_b.raw	pbmc
PXD026126-Sample 28	Homo sapiens	blood	normal	peripheral blood mononuclear cell	not available	not available	not available	whole cell	2	peripheral blood	not available	2	run 28	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	AC=MS:1002038;NT=label free sample	3	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026126/20180615_rmi049_75idPLRPS_APA_PBMC_200_F3_c.raw	2.2 Da	NT=Strong anion-exchange chromatography;AC=PRIDE:0000558	10 ppm	200 mM	3	20180615_rmi049_75idPLRPS_APA_PBMC_200_F3_c.raw	pbmc
PXD026126-Sample 29	Homo sapiens	blood	normal	peripheral blood mononuclear cell	not available	not available	not available	whole cell	3	peripheral blood	not available	3	run 29	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	AC=MS:1002038;NT=label free sample	1	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026126/20180615_rmi049_75idPLRPS_APA_PBMC_400_F1_a.raw	2.2 Da	NT=Strong anion-exchange chromatography;AC=PRIDE:0000558	10 ppm	400 mM	1	20180615_rmi049_75idPLRPS_APA_PBMC_400_F1_a.raw	pbmc
PXD026126-Sample 30	Homo sapiens	blood	normal	peripheral blood mononuclear cell	not available	not available	not available	whole cell	3	peripheral blood	not available	3	run 30	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	AC=MS:1002038;NT=label free sample	1	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026126/20180615_rmi049_75idPLRPS_APA_PBMC_400_F1_c.raw	2.2 Da	NT=Strong anion-exchange chromatography;AC=PRIDE:0000558	10 ppm	400 mM	2	20180615_rmi049_75idPLRPS_APA_PBMC_400_F1_c.raw	pbmc
