source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	characteristics[developmental stage]	characteristics[strain or breed]	characteristics[sex]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]
CAC20220223lut_Ag_lib2	mus musculus	not available	normal	pooled	not available	not available	not available	CAC20220223lut_Ag_lib2_5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	5	1	CAC20220223lut_Ag_lib2_5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation
CAC20220225lut_Ag_lib4	mus musculus	not available	normal	pooled	not available	not available	not available	CAC20220225lut_Ag_lib4_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	2	1	CAC20220225lut_Ag_lib4_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation
CAC20220225lut_Ag_lib4	mus musculus	not available	normal	pooled	not available	not available	not available	CAC20220225lut_Ag_lib4_9	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	9	1	CAC20220225lut_Ag_lib4_9.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation
CAC20220223lut_Ag_lib2	mus musculus	not available	normal	pooled	not available	not available	not available	CAC20220223lut_Ag_lib2_11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	11	1	CAC20220223lut_Ag_lib2_11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation
CAC20220223lut_Ag_lib2	mus musculus	not available	normal	pooled	not available	not available	not available	CAC20220223lut_Ag_lib2_29	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	29	1	CAC20220223lut_Ag_lib2_29.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation
CAC20220223lut_Ag_lib2	mus musculus	not available	normal	pooled	not available	not available	not available	CAC20220223lut_Ag_lib2_3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	3	1	CAC20220223lut_Ag_lib2_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation
CAC20220225lut_Ag_lib4	mus musculus	not available	normal	pooled	not available	not available	not available	CAC20220225lut_Ag_lib4_5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	5	1	CAC20220225lut_Ag_lib4_5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation
CAC20220225lut_Ag_lib4	mus musculus	not available	normal	pooled	not available	not available	not available	CAC20220225lut_Ag_lib4_8	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	8	1	CAC20220225lut_Ag_lib4_8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation
CAC20220225lut_Ag_lib4	mus musculus	not available	normal	pooled	not available	not available	not available	CAC20220225lut_Ag_lib4_11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	11	1	CAC20220225lut_Ag_lib4_11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation
CAC20220219lut_Ag_lib5	mus musculus	not available	normal	pooled	not available	not available	not available	CAC20220219lut_Ag_lib5_7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	7	1	CAC20220219lut_Ag_lib5_7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation
CAC20220225lut_Ag_lib4	mus musculus	not available	normal	pooled	not available	not available	not available	CAC20220225lut_Ag_lib4_4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	4	1	CAC20220225lut_Ag_lib4_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation
CAC20220223lut_Ag_lib2	mus musculus	not available	normal	pooled	not available	not available	not available	CAC20220223lut_Ag_lib2_9	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	9	1	CAC20220223lut_Ag_lib2_9.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation
CAC20220219lut_Ag_lib1	mus musculus	not available	normal	pooled	not available	not available	not available	CAC20220219lut_Ag_lib1_16	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	16	1	CAC20220219lut_Ag_lib1_16.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation
CAC20220219lut_Ag_lib1	mus musculus	not available	normal	pooled	not available	not available	not available	CAC20220219lut_Ag_lib1_12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	12	1	CAC20220219lut_Ag_lib1_12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation
CAC20220225lut_Ag_lib4	mus musculus	not available	normal	pooled	not available	not available	not available	CAC20220225lut_Ag_lib4_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	1	1	CAC20220225lut_Ag_lib4_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation
CAC20220219lut_Ag_lib1	mus musculus	not available	normal	pooled	not available	not available	not available	CAC20220219lut_Ag_lib1_8	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	8	1	CAC20220219lut_Ag_lib1_8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation
CAC20220225lut_Ag_lib4	mus musculus	not available	normal	pooled	not available	not available	not available	CAC20220225lut_Ag_lib4_24	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	24	1	CAC20220225lut_Ag_lib4_24.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation
CAC20220225lut_Ag_lib4	mus musculus	not available	normal	pooled	not available	not available	not available	CAC20220225lut_Ag_lib4_16	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	16	1	CAC20220225lut_Ag_lib4_16.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation
CAC20220219lut_Ag_lib5	mus musculus	not available	normal	pooled	not available	not available	not available	CAC20220219lut_Ag_lib5_16	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	16	1	CAC20220219lut_Ag_lib5_16.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation
CAC20220219lut_Ag_lib5	mus musculus	not available	normal	pooled	not available	not available	not available	CAC20220219lut_Ag_lib5_29	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	29	1	CAC20220219lut_Ag_lib5_29.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation
CAC20220219lut_Ag_lib1	mus musculus	not available	normal	pooled	not available	not available	not available	CAC20220219lut_Ag_lib1_11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	11	1	CAC20220219lut_Ag_lib1_11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation
CAC20220225lut_Ag_lib4	mus musculus	not available	normal	pooled	not available	not available	not available	CAC20220225lut_Ag_lib4_13	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	13	1	CAC20220225lut_Ag_lib4_13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation
CAC20220225lut_Ag_lib4	mus musculus	not available	normal	pooled	not available	not available	not available	CAC20220225lut_Ag_lib4_27	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	27	1	CAC20220225lut_Ag_lib4_27.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation
CAC20220223lut_Ag_lib2	mus musculus	not available	normal	pooled	not available	not available	not available	CAC20220223lut_Ag_lib2_6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	6	1	CAC20220223lut_Ag_lib2_6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation
CAC20220225lut_Ag_lib4	mus musculus	not available	normal	pooled	not available	not available	not available	CAC20220225lut_Ag_lib4_26	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	26	1	CAC20220225lut_Ag_lib4_26.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation
CAC20220219lut_Ag_lib5	mus musculus	not available	normal	pooled	not available	not available	not available	CAC20220219lut_Ag_lib5_17	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	17	1	CAC20220219lut_Ag_lib5_17.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation
CAC20220219lut_Ag_lib1	mus musculus	not available	normal	pooled	not available	not available	not available	CAC20220219lut_Ag_lib1_19	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	19	1	CAC20220219lut_Ag_lib1_19.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation
CAC20220223lut_Ag_lib2	mus musculus	not available	normal	pooled	not available	not available	not available	CAC20220223lut_Ag_lib2_22	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	22	1	CAC20220223lut_Ag_lib2_22.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation
CAC20220219lut_Ag_lib1	mus musculus	not available	normal	pooled	not available	not available	not available	CAC20220219lut_Ag_lib1_4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	4	1	CAC20220219lut_Ag_lib1_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation
CAC20220223lut_Ag_lib2	mus musculus	not available	normal	pooled	not available	not available	not available	CAC20220223lut_Ag_lib2_25	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	25	1	CAC20220223lut_Ag_lib2_25.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation
CAC20220225lut_Ag_lib4	mus musculus	not available	normal	pooled	not available	not available	not available	CAC20220225lut_Ag_lib4_20	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	20	1	CAC20220225lut_Ag_lib4_20.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation
CAC20220219lut_Ag_lib5	mus musculus	not available	normal	pooled	not available	not available	not available	CAC20220219lut_Ag_lib5_4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	4	1	CAC20220219lut_Ag_lib5_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation
CAC20220223lut_Ag_lib2	mus musculus	not available	normal	pooled	not available	not available	not available	CAC20220223lut_Ag_lib2_20	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	20	1	CAC20220223lut_Ag_lib2_20.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation
CAC20220223lut_Ag_lib2	mus musculus	not available	normal	pooled	not available	not available	not available	CAC20220223lut_Ag_lib2_28	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	28	1	CAC20220223lut_Ag_lib2_28.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation
CAC20220225lut_Ag_lib4	mus musculus	not available	normal	pooled	not available	not available	not available	CAC20220225lut_Ag_lib4_21	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	21	1	CAC20220225lut_Ag_lib4_21.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation
CAC20220219lut_Ag_lib1	mus musculus	not available	normal	pooled	not available	not available	not available	CAC20220219lut_Ag_lib1_24	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	24	1	CAC20220219lut_Ag_lib1_24.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation
CAC20220219lut_Ag_lib1	mus musculus	not available	normal	pooled	not available	not available	not available	CAC20220219lut_Ag_lib1_22	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	22	1	CAC20220219lut_Ag_lib1_22.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation
CAC20220225lut_Ag_lib4	mus musculus	not available	normal	pooled	not available	not available	not available	CAC20220225lut_Ag_lib4_17	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	17	1	CAC20220225lut_Ag_lib4_17.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation
CAC20220219lut_Ag_lib1	mus musculus	not available	normal	pooled	not available	not available	not available	CAC20220219lut_Ag_lib1_28	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	28	1	CAC20220219lut_Ag_lib1_28.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation
CAC20220225lut_Ag_lib4	mus musculus	not available	normal	pooled	not available	not available	not available	CAC20220225lut_Ag_lib4_7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	7	1	CAC20220225lut_Ag_lib4_7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation
CAC20220223lut_Ag_lib2	mus musculus	not available	normal	pooled	not available	not available	not available	CAC20220223lut_Ag_lib2_12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	12	1	CAC20220223lut_Ag_lib2_12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation
CAC20220219lut_Ag_lib1	mus musculus	not available	normal	pooled	not available	not available	not available	CAC20220219lut_Ag_lib1_21	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	21	1	CAC20220219lut_Ag_lib1_21.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation
CAC20220219lut_Ag_lib5	mus musculus	not available	normal	pooled	not available	not available	not available	CAC20220219lut_Ag_lib5_14	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	14	1	CAC20220219lut_Ag_lib5_14.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation
CAC20220219lut_Ag_lib5	mus musculus	not available	normal	pooled	not available	not available	not available	CAC20220219lut_Ag_lib5_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	1	1	CAC20220219lut_Ag_lib5_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation
