source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	characteristics[environmental medium]	characteristics[project name]	characteristics[geographic location]	characteristics[microbiome source]	characteristics[mock community]	characteristics[mock community composition]	characteristics[local environmental context]	characteristics[sample storage]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[modification parameters]	comment[modification parameters]	comment[expected organism list]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[local environmental context]
InVitro-Calibration_-_Enterococcus_faecalis_-_Culture	InVitro-Calibration_-_Enterococcus_faecalis_-_Culture	Enterococcus faecalis	not applicable	1	not available	InVitro-Calibration	Israel	gut microbiome	not applicable	Enterococcus faecalis	Enterococcus faecalis	-80C	HF2_EE_15400_1F14_03022022	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	HCD	5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	Enterococcus faecalis	1	HF2_EE_15400_1F14_03022022.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Enterococcus faecalis
InVitro-Calibration_-_Enterococcus_faecalis_-_Culture	InVitro-Calibration_-_Enterococcus_faecalis_-_Culture	Enterococcus faecalis	not applicable	1	not available	InVitro-Calibration	Israel	gut microbiome	not applicable	Enterococcus faecalis	Enterococcus faecalis	-80C	HF2_EE_15400_1F15_27012022	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	HCD	5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	Enterococcus faecalis	2	HF2_EE_15400_1F15_27012022.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Enterococcus faecalis
InVitro-Calibration_-_E._faecalis___E._coli___K._oxytoca_-_Culture	InVitro-Calibration_-_E._faecalis___E._coli___K._oxytoca_-_Culture	not applicable	not applicable	1	not available	InVitro-Calibration	Israel	gut microbiome	defined mixed-species standard	Enterococcus faecalis + Escherichia coli + Klebsiella oxytoca	E. faecalis | E. coli | K. oxytoca	-80C	HF2_EE_15400_3A14_03022022	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	HCD	5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	Enterococcus faecalis;Escherichia coli;Klebsiella oxytoca	1	HF2_EE_15400_3A14_03022022.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	E. faecalis | E. coli | K. oxytoca
InVitro-Calibration_-_E._faecalis___E._coli___K._oxytoca_-_Culture	InVitro-Calibration_-_E._faecalis___E._coli___K._oxytoca_-_Culture	not applicable	not applicable	1	not available	InVitro-Calibration	Israel	gut microbiome	defined mixed-species standard	Enterococcus faecalis + Escherichia coli + Klebsiella oxytoca	E. faecalis | E. coli | K. oxytoca	-80C	HF2_EE_15400_3A15_31012022	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	HCD	5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	Enterococcus faecalis;Escherichia coli;Klebsiella oxytoca	2	HF2_EE_15400_3A15_31012022.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	E. faecalis | E. coli | K. oxytoca
InVitro-Calibration_-_E._faecalis___E._coli___S._aureus_-_Culture	InVitro-Calibration_-_E._faecalis___E._coli___S._aureus_-_Culture	not applicable	not applicable	1	not available	InVitro-Calibration	Israel	gut microbiome	defined mixed-species standard	Enterococcus faecalis + Escherichia coli + Staphylococcus aureus	E. faecalis | E. coli | S. aureus	-80C	HF2_EE_15400_3B14_27012022	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	HCD	5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	Enterococcus faecalis;Escherichia coli;Staphylococcus aureus	1	HF2_EE_15400_3B14_27012022.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	E. faecalis | E. coli | S. aureus
InVitro-Calibration_-_E._faecalis___E._coli___S._aureus_-_Culture	InVitro-Calibration_-_E._faecalis___E._coli___S._aureus_-_Culture	not applicable	not applicable	1	not available	InVitro-Calibration	Israel	gut microbiome	defined mixed-species standard	Enterococcus faecalis + Escherichia coli + Staphylococcus aureus	E. faecalis | E. coli | S. aureus	-80C	HF2_EE_15400_3B15_31012022	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	HCD	5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	Enterococcus faecalis;Escherichia coli;Staphylococcus aureus	2	HF2_EE_15400_3B15_31012022.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	E. faecalis | E. coli | S. aureus
InVitro-Calibration_-_E._faecalis___E._coli___S._aureus___M._luteus_-_Culture	InVitro-Calibration_-_E._faecalis___E._coli___S._aureus___M._luteus_-_Culture	not applicable	not applicable	1	not available	InVitro-Calibration	Israel	gut microbiome	defined mixed-species standard	Enterococcus faecalis + Escherichia coli + Staphylococcus aureus + Micrococcus luteus	E. faecalis | E. coli | S. aureus | M. luteus	-80C	HF2_EE_15400_4A14_27012022	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	HCD	5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	Enterococcus faecalis;Escherichia coli;Staphylococcus aureus;Micrococcus luteus	1	HF2_EE_15400_4A14_27012022.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	E. faecalis | E. coli | S. aureus | M. luteus
InVitro-Calibration_-_E._faecalis___E._coli___S._aureus___M._luteus_-_Culture	InVitro-Calibration_-_E._faecalis___E._coli___S._aureus___M._luteus_-_Culture	not applicable	not applicable	1	not available	InVitro-Calibration	Israel	gut microbiome	defined mixed-species standard	Enterococcus faecalis + Escherichia coli + Staphylococcus aureus + Micrococcus luteus	E. faecalis | E. coli | S. aureus | M. luteus	-80C	HF2_EE_15400_4A16_03022022	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	HCD	5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	Enterococcus faecalis;Escherichia coli;Staphylococcus aureus;Micrococcus luteus	2	HF2_EE_15400_4A16_03022022.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	E. faecalis | E. coli | S. aureus | M. luteus
InVitro-Calibration_-_6_species_-_Culture	InVitro-Calibration_-_6_species_-_Culture	not applicable	not applicable	1	not available	InVitro-Calibration	Israel	gut microbiome	defined mixed-species standard	6-species defined mixture (composition not specified in deposited metadata)	6 species	-80C	HF2_EE_15400_7A14_27012022	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	HCD	5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not available	1	HF2_EE_15400_7A14_27012022.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	6 species
InVitro-Calibration_-_6_species_-_Culture	InVitro-Calibration_-_6_species_-_Culture	not applicable	not applicable	1	not available	InVitro-Calibration	Israel	gut microbiome	defined mixed-species standard	6-species defined mixture (composition not specified in deposited metadata)	6 species	-80C	HF2_EE_15400_7A16_03022022	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	HCD	5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not available	2	HF2_EE_15400_7A16_03022022.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	6 species
InVitro-Calibration_-_BHI_-_anaerobic_-_Culture	InVitro-Calibration_-_BHI_-_anaerobic_-_Culture	not applicable	not applicable	1	not available	InVitro-Calibration	Israel	gut microbiome	not applicable	not applicable	BHI - anaerobic	-80C	HF2_EE_15400_BHIminA_31012022	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	HCD	5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not available	1	HF2_EE_15400_BHIminA_31012022.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	BHI - anaerobic
InVitro-Calibration_-_BHI_-_anaerobic_-_Culture	InVitro-Calibration_-_BHI_-_anaerobic_-_Culture	not applicable	not applicable	1	not available	InVitro-Calibration	Israel	gut microbiome	not applicable	not applicable	BHI - anaerobic	-80C	HF2_EE_15400_BHIminB_03022022	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	HCD	5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not available	2	HF2_EE_15400_BHIminB_03022022.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	BHI - anaerobic
InVitro-Calibration_-_BHI_-_anaerobic_-_Culture	InVitro-Calibration_-_BHI_-_anaerobic_-_Culture	not applicable	not applicable	1	not available	InVitro-Calibration	Israel	gut microbiome	not applicable	not applicable	BHI - anaerobic	-80C	HF2_EE_15400_BHIminC_31012022	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	HCD	5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not available	3	HF2_EE_15400_BHIminC_31012022.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	BHI - anaerobic
InVitro-Calibration_-_BHI_-_aerobic_-_Culture	InVitro-Calibration_-_BHI_-_aerobic_-_Culture	not applicable	not applicable	1	not available	InVitro-Calibration	Israel	gut microbiome	not applicable	not applicable	BHI - aerobic	-80C	HF2_EE_15400_BHIposA_31012022	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	HCD	5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not available	1	HF2_EE_15400_BHIposA_31012022.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	BHI - aerobic
InVitro-Calibration_-_BHI_-_aerobic_-_Culture	InVitro-Calibration_-_BHI_-_aerobic_-_Culture	not applicable	not applicable	1	not available	InVitro-Calibration	Israel	gut microbiome	not applicable	not applicable	BHI - aerobic	-80C	HF2_EE_15400_BHIposB_08022022_2p5ul	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	HCD	5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not available	2	HF2_EE_15400_BHIposB_08022022_2p5ul.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	BHI - aerobic
InVitro-Calibration_-_BHI_-_aerobic_-_Culture	InVitro-Calibration_-_BHI_-_aerobic_-_Culture	not applicable	not applicable	1	not available	InVitro-Calibration	Israel	gut microbiome	not applicable	not applicable	BHI - aerobic	-80C	HF2_EE_15400_BHIposB_27012022	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	HCD	5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not available	3	HF2_EE_15400_BHIposB_27012022.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	BHI - aerobic
