source name	characteristics[organism]	characteristics[strain or breed]	characteristics[organism part]	characteristics[disease]	characteristics[developmental stage]	characteristics[age]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[technical replicate]	comment[fraction identifier]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]
PXD022557-Sample-11	Mus musculus	C57BL/6	heart	not available	adult	18M-20M	1	LEDO160928_MS_G18	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=5800 TOF/TOF;AC=MS:1001482	NT=Trypsin;AC=MS:1001251	1	1	LEDO160928_MS_G18.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD022557-Sample-12	Mus musculus	C57BL/6	heart	not available	adult	18M-20M	1	LEDO160928_MS_G19	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=5800 TOF/TOF;AC=MS:1001482	NT=Trypsin;AC=MS:1001251	1	1	LEDO160928_MS_G19.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD022557-Sample-13	Mus musculus	C57BL/6	heart	not available	adult	18M-20M	1	LEDO160928_MS_G2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=5800 TOF/TOF;AC=MS:1001482	NT=Trypsin;AC=MS:1001251	1	1	LEDO160928_MS_G2.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD022557-Sample-14	Mus musculus	C57BL/6	heart	not available	adult	18M-20M	1	LEDO160928_MS_G20	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=5800 TOF/TOF;AC=MS:1001482	NT=Trypsin;AC=MS:1001251	1	1	LEDO160928_MS_G20.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD022557-Sample-15	Mus musculus	C57BL/6	heart	not available	adult	18M-20M	1	LEDO160928_MS_G21	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=5800 TOF/TOF;AC=MS:1001482	NT=Trypsin;AC=MS:1001251	1	1	LEDO160928_MS_G21.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD022557-Sample-16	Mus musculus	C57BL/6	heart	not available	adult	18M-20M	1	LEDO160928_MS_G22	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=5800 TOF/TOF;AC=MS:1001482	NT=Trypsin;AC=MS:1001251	1	1	LEDO160928_MS_G22.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD022557-Sample-17	Mus musculus	C57BL/6	heart	not available	adult	18M-20M	1	LEDO160928_MS_G23	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=5800 TOF/TOF;AC=MS:1001482	NT=Trypsin;AC=MS:1001251	1	1	LEDO160928_MS_G23.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD022557-Sample-18	Mus musculus	C57BL/6	heart	not available	adult	18M-20M	1	LEDO160928_MS_G24	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=5800 TOF/TOF;AC=MS:1001482	NT=Trypsin;AC=MS:1001251	1	1	LEDO160928_MS_G24.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD022557-Sample-19	Mus musculus	C57BL/6	heart	not available	adult	18M-20M	1	LEDO160928_MS_G3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=5800 TOF/TOF;AC=MS:1001482	NT=Trypsin;AC=MS:1001251	1	1	LEDO160928_MS_G3.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD022557-Sample-20	Mus musculus	C57BL/6	heart	not available	adult	18M-20M	1	LEDO160928_MS_G4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=5800 TOF/TOF;AC=MS:1001482	NT=Trypsin;AC=MS:1001251	1	1	LEDO160928_MS_G4.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD022557-Sample-21	Mus musculus	C57BL/6	heart	not available	adult	18M-20M	1	LEDO160928_MS_G5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=5800 TOF/TOF;AC=MS:1001482	NT=Trypsin;AC=MS:1001251	1	1	LEDO160928_MS_G5.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD022557-Sample-22	Mus musculus	C57BL/6	heart	not available	adult	18M-20M	1	LEDO160928_MS_G6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=5800 TOF/TOF;AC=MS:1001482	NT=Trypsin;AC=MS:1001251	1	1	LEDO160928_MS_G6.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD022557-Sample-23	Mus musculus	C57BL/6	heart	not available	adult	18M-20M	1	LEDO160928_MS_G7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=5800 TOF/TOF;AC=MS:1001482	NT=Trypsin;AC=MS:1001251	1	1	LEDO160928_MS_G7.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD022557-Sample-24	Mus musculus	C57BL/6	heart	not available	adult	18M-20M	1	LEDO160928_MS_G8	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=5800 TOF/TOF;AC=MS:1001482	NT=Trypsin;AC=MS:1001251	1	1	LEDO160928_MS_G8.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD022557-Sample-25	Mus musculus	C57BL/6	heart	not available	adult	18M-20M	1	LEDO160928_MS_G9	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=5800 TOF/TOF;AC=MS:1001482	NT=Trypsin;AC=MS:1001251	1	1	LEDO160928_MS_G9.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD022557-Sample-26	Mus musculus	C57BL/6	heart	not available	adult	18M-20M	1	LEDO160928_MS_H1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=5800 TOF/TOF;AC=MS:1001482	NT=Trypsin;AC=MS:1001251	1	1	LEDO160928_MS_H1.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD022557-Sample-27	Mus musculus	C57BL/6	heart	not available	adult	18M-20M	1	LEDO160928_MS_H10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=5800 TOF/TOF;AC=MS:1001482	NT=Trypsin;AC=MS:1001251	1	1	LEDO160928_MS_H10.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD022557-Sample-28	Mus musculus	C57BL/6	heart	not available	adult	18M-20M	1	LEDO160928_MS_H11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=5800 TOF/TOF;AC=MS:1001482	NT=Trypsin;AC=MS:1001251	1	1	LEDO160928_MS_H11.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD022557-Sample-29	Mus musculus	C57BL/6	heart	not available	adult	18M-20M	1	LEDO160928_MS_H12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=5800 TOF/TOF;AC=MS:1001482	NT=Trypsin;AC=MS:1001251	1	1	LEDO160928_MS_H12.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD022557-Sample-30	Mus musculus	C57BL/6	heart	not available	adult	18M-20M	1	LEDO160928_MS_H13	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=5800 TOF/TOF;AC=MS:1001482	NT=Trypsin;AC=MS:1001251	1	1	LEDO160928_MS_H13.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD022557-Sample-31	Mus musculus	C57BL/6	heart	not available	adult	18M-20M	1	LEDO160928_MS_H14	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=5800 TOF/TOF;AC=MS:1001482	NT=Trypsin;AC=MS:1001251	1	1	LEDO160928_MS_H14.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD022557-Sample-32	Mus musculus	C57BL/6	heart	not available	adult	18M-20M	1	LEDO160928_MS_H15	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=5800 TOF/TOF;AC=MS:1001482	NT=Trypsin;AC=MS:1001251	1	1	LEDO160928_MS_H15.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD022557-Sample-33	Mus musculus	C57BL/6	heart	not available	adult	18M-20M	1	LEDO160928_MS_H16	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=5800 TOF/TOF;AC=MS:1001482	NT=Trypsin;AC=MS:1001251	1	1	LEDO160928_MS_H16.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD022557-Sample-34	Mus musculus	C57BL/6	heart	not available	adult	18M-20M	1	LEDO160928_MS_H17	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=5800 TOF/TOF;AC=MS:1001482	NT=Trypsin;AC=MS:1001251	1	1	LEDO160928_MS_H17.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD022557-Sample-35	Mus musculus	C57BL/6	heart	not available	adult	18M-20M	1	LEDO160928_MS_H18	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=5800 TOF/TOF;AC=MS:1001482	NT=Trypsin;AC=MS:1001251	1	1	LEDO160928_MS_H18.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD022557-Sample-36	Mus musculus	C57BL/6	heart	not available	adult	18M-20M	1	LEDO160928_MS_H19	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=5800 TOF/TOF;AC=MS:1001482	NT=Trypsin;AC=MS:1001251	1	1	LEDO160928_MS_H19.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD022557-Sample-37	Mus musculus	C57BL/6	heart	not available	adult	18M-20M	1	LEDO160928_MS_H2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=5800 TOF/TOF;AC=MS:1001482	NT=Trypsin;AC=MS:1001251	1	1	LEDO160928_MS_H2.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD022557-Sample-38	Mus musculus	C57BL/6	heart	not available	adult	18M-20M	1	LEDO160928_MS_H20	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=5800 TOF/TOF;AC=MS:1001482	NT=Trypsin;AC=MS:1001251	1	1	LEDO160928_MS_H20.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD022557-Sample-39	Mus musculus	C57BL/6	heart	not available	adult	18M-20M	1	LEDO160928_MS_H21	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=5800 TOF/TOF;AC=MS:1001482	NT=Trypsin;AC=MS:1001251	1	1	LEDO160928_MS_H21.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD022557-Sample-40	Mus musculus	C57BL/6	heart	not available	adult	18M-20M	1	LEDO160928_MS_H22	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=5800 TOF/TOF;AC=MS:1001482	NT=Trypsin;AC=MS:1001251	1	1	LEDO160928_MS_H22.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD022557-Sample-41	Mus musculus	C57BL/6	heart	not available	adult	18M-20M	1	LEDO160928_MS_H23	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=5800 TOF/TOF;AC=MS:1001482	NT=Trypsin;AC=MS:1001251	1	1	LEDO160928_MS_H23.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD022557-Sample-42	Mus musculus	C57BL/6	heart	not available	adult	18M-20M	1	LEDO160928_MS_H24	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=5800 TOF/TOF;AC=MS:1001482	NT=Trypsin;AC=MS:1001251	1	1	LEDO160928_MS_H24.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD022557-Sample-43	Mus musculus	C57BL/6	heart	not available	adult	18M-20M	1	LEDO160928_MS_H3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=5800 TOF/TOF;AC=MS:1001482	NT=Trypsin;AC=MS:1001251	1	1	LEDO160928_MS_H3.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD022557-Sample-44	Mus musculus	C57BL/6	heart	not available	adult	18M-20M	1	LEDO160928_MS_H4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=5800 TOF/TOF;AC=MS:1001482	NT=Trypsin;AC=MS:1001251	1	1	LEDO160928_MS_H4.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD022557-Sample-45	Mus musculus	C57BL/6	heart	not available	adult	18M-20M	1	LEDO160928_MS_H5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=5800 TOF/TOF;AC=MS:1001482	NT=Trypsin;AC=MS:1001251	1	1	LEDO160928_MS_H5.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD022557-Sample-46	Mus musculus	C57BL/6	heart	not available	adult	18M-20M	1	LEDO160928_MS_H6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=5800 TOF/TOF;AC=MS:1001482	NT=Trypsin;AC=MS:1001251	1	1	LEDO160928_MS_H6.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD022557-Sample-47	Mus musculus	C57BL/6	heart	not available	adult	18M-20M	1	LEDO160928_MS_H7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=5800 TOF/TOF;AC=MS:1001482	NT=Trypsin;AC=MS:1001251	1	1	LEDO160928_MS_H7.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD022557-Sample-48	Mus musculus	C57BL/6	heart	not available	adult	18M-20M	1	LEDO160928_MS_H8	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=5800 TOF/TOF;AC=MS:1001482	NT=Trypsin;AC=MS:1001251	1	1	LEDO160928_MS_H8.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD022557-Sample-49	Mus musculus	C57BL/6	heart	not available	adult	18M-20M	1	LEDO160928_MS_H9	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=5800 TOF/TOF;AC=MS:1001482	NT=Trypsin;AC=MS:1001251	1	1	LEDO160928_MS_H9.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD022557-Sample-50	Mus musculus	C57BL/6	heart	not available	adult	18M-20M	1	LEDO160928_MS_I1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=5800 TOF/TOF;AC=MS:1001482	NT=Trypsin;AC=MS:1001251	1	1	LEDO160928_MS_I1.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD022557-Sample-51	Mus musculus	C57BL/6	heart	not available	adult	18M-20M	1	LEDO160928_MS_I10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=5800 TOF/TOF;AC=MS:1001482	NT=Trypsin;AC=MS:1001251	1	1	LEDO160928_MS_I10.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD022557-Sample-52	Mus musculus	C57BL/6	heart	not available	adult	18M-20M	1	LEDO160928_MS_I11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=5800 TOF/TOF;AC=MS:1001482	NT=Trypsin;AC=MS:1001251	1	1	LEDO160928_MS_I11.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD022557-Sample-53	Mus musculus	C57BL/6	heart	not available	adult	18M-20M	1	LEDO160928_MS_I12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=5800 TOF/TOF;AC=MS:1001482	NT=Trypsin;AC=MS:1001251	1	1	LEDO160928_MS_I12.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
