source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fractionation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
ORBI-RSLC005649	mus musculus	Skeletal muscle myoblast	not applicable	not available	enrichment of phosphorylated protein	1	ORBI-RSLC005649	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	strong cation-exchange chromatography (scx)	1	1	ORBI-RSLC005649.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/01/PXD003211/ORBI-RSLC005649.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Skeletal muscle myoblast
ORBI-RSLC005665	mus musculus	Skeletal muscle myoblast	not applicable	not available	enrichment of phosphorylated protein	1	ORBI-RSLC005665	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	strong cation-exchange chromatography (scx)	1	1	ORBI-RSLC005665.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/01/PXD003211/ORBI-RSLC005665.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Skeletal muscle myoblast
ORBI-RSLC007640	mus musculus	Skeletal muscle myoblast	not applicable	not available	enrichment of phosphorylated protein	1	ORBI-RSLC007640	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	strong cation-exchange chromatography (scx)	1	1	ORBI-RSLC007640.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/01/PXD003211/ORBI-RSLC007640.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Skeletal muscle myoblast
ORBI-RSLC005670	mus musculus	Skeletal muscle myoblast	not applicable	not available	enrichment of phosphorylated protein	1	ORBI-RSLC005670	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	strong cation-exchange chromatography (scx)	1	1	ORBI-RSLC005670.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/01/PXD003211/ORBI-RSLC005670.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Skeletal muscle myoblast
ORBI-RSLC005658	mus musculus	Skeletal muscle myoblast	not applicable	not available	enrichment of phosphorylated protein	1	ORBI-RSLC005658	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	strong cation-exchange chromatography (scx)	1	1	ORBI-RSLC005658.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/01/PXD003211/ORBI-RSLC005658.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Skeletal muscle myoblast
ORBI-RSLC007598	mus musculus	Skeletal muscle myoblast	not applicable	not available	enrichment of phosphorylated protein	1	ORBI-RSLC007598	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	strong cation-exchange chromatography (scx)	1	1	ORBI-RSLC007598.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/01/PXD003211/ORBI-RSLC007598.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Skeletal muscle myoblast
ORBI-RSLC005623	mus musculus	Skeletal muscle myoblast	not applicable	not available	enrichment of phosphorylated protein	1	ORBI-RSLC005623	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	strong cation-exchange chromatography (scx)	1	1	ORBI-RSLC005623.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/01/PXD003211/ORBI-RSLC005623.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Skeletal muscle myoblast
ORBI-RSLC007615	mus musculus	Skeletal muscle myoblast	not applicable	not available	enrichment of phosphorylated protein	1	ORBI-RSLC007615	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	strong cation-exchange chromatography (scx)	1	1	ORBI-RSLC007615.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/01/PXD003211/ORBI-RSLC007615.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Skeletal muscle myoblast
ORBI-RSLC005691	mus musculus	Skeletal muscle myoblast	not applicable	not available	enrichment of phosphorylated protein	1	ORBI-RSLC005691	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	strong cation-exchange chromatography (scx)	1	1	ORBI-RSLC005691.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/01/PXD003211/ORBI-RSLC005691.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Skeletal muscle myoblast
ORBI-RSLC007588	mus musculus	Skeletal muscle myoblast	not applicable	not available	enrichment of phosphorylated protein	1	ORBI-RSLC007588	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	strong cation-exchange chromatography (scx)	1	1	ORBI-RSLC007588.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/01/PXD003211/ORBI-RSLC007588.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Skeletal muscle myoblast
ORBI-RSLC007584	mus musculus	Skeletal muscle myoblast	not applicable	not available	enrichment of phosphorylated protein	1	ORBI-RSLC007584	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	strong cation-exchange chromatography (scx)	1	1	ORBI-RSLC007584.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/01/PXD003211/ORBI-RSLC007584.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Skeletal muscle myoblast
ORBI-RSLC005680	mus musculus	Skeletal muscle myoblast	not applicable	not available	enrichment of phosphorylated protein	1	ORBI-RSLC005680	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	strong cation-exchange chromatography (scx)	1	1	ORBI-RSLC005680.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/01/PXD003211/ORBI-RSLC005680.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Skeletal muscle myoblast
ORBI-RSLC007587	mus musculus	Skeletal muscle myoblast	not applicable	not available	enrichment of phosphorylated protein	1	ORBI-RSLC007587	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	strong cation-exchange chromatography (scx)	1	1	ORBI-RSLC007587.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/01/PXD003211/ORBI-RSLC007587.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Skeletal muscle myoblast
ORBI-RSLC005636	mus musculus	Skeletal muscle myoblast	not applicable	not available	enrichment of phosphorylated protein	1	ORBI-RSLC005636	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	strong cation-exchange chromatography (scx)	1	1	ORBI-RSLC005636.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/01/PXD003211/ORBI-RSLC005636.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Skeletal muscle myoblast
ORBI-RSLC007635	mus musculus	Skeletal muscle myoblast	not applicable	not available	enrichment of phosphorylated protein	1	ORBI-RSLC007635	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	strong cation-exchange chromatography (scx)	1	1	ORBI-RSLC007635.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/01/PXD003211/ORBI-RSLC007635.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Skeletal muscle myoblast
ORBI-RSLC007589	mus musculus	Skeletal muscle myoblast	not applicable	not available	enrichment of phosphorylated protein	1	ORBI-RSLC007589	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	strong cation-exchange chromatography (scx)	1	1	ORBI-RSLC007589.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/01/PXD003211/ORBI-RSLC007589.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Skeletal muscle myoblast
ORBI-RSLC007626	mus musculus	Skeletal muscle myoblast	not applicable	not available	enrichment of phosphorylated protein	1	ORBI-RSLC007626	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	strong cation-exchange chromatography (scx)	1	1	ORBI-RSLC007626.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/01/PXD003211/ORBI-RSLC007626.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Skeletal muscle myoblast
ORBI-RSLC007659	mus musculus	Skeletal muscle myoblast	not applicable	not available	enrichment of phosphorylated protein	1	ORBI-RSLC007659	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	strong cation-exchange chromatography (scx)	1	1	ORBI-RSLC007659.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/01/PXD003211/ORBI-RSLC007659.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Skeletal muscle myoblast
ORBI-RSLC005647	mus musculus	Skeletal muscle myoblast	not applicable	not available	enrichment of phosphorylated protein	1	ORBI-RSLC005647	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	strong cation-exchange chromatography (scx)	1	1	ORBI-RSLC005647.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/01/PXD003211/ORBI-RSLC005647.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Skeletal muscle myoblast
