source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	characteristics[pooled sample]	characteristics[disease]	characteristics[material type]	characteristics[developmental stage]	characteristics[strain or breed]	characteristics[sex]	characteristics[age]	characteristics[clearing method]	characteristics[genotype]	characteristics[protein extraction method]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[fractionation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[ms2 mass analyzer]	comment[ms1 scan range]	factor value[clearing method]	factor value[disease]	factor value[protein extraction method]
mouse brain 4D TFE-SDC (sample preparation test)	Mus musculus	brain	1	not pooled	normal	tissue	not available	not available	not available	not available	uDISCO	not available	TFE-SDC	20180809_QX2_AnBr_SA_TM_BrainKryo_4D_TFE_SDC_1_1	proteomic profiling by mass spectrometry	1	20180809_QX2_AnBr_SA_TM_BrainKryo_4D_TFE_SDC_1_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	not applicable	20 ppm	20 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K,R;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	uDISCO	normal	TFE-SDC
mouse brain 4D TFE-SDC (sample preparation test)	Mus musculus	brain	1	not pooled	normal	tissue	not available	not available	not available	not available	uDISCO	not available	TFE-SDC	20180809_QX2_AnBr_SA_TM_BrainKryo_4D_TFE_SDC_1_2	proteomic profiling by mass spectrometry	2	20180809_QX2_AnBr_SA_TM_BrainKryo_4D_TFE_SDC_1_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	not applicable	20 ppm	20 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K,R;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	uDISCO	normal	TFE-SDC
mouse brain Fresh SDC (sample preparation test)	Mus musculus	brain	1	not pooled	normal	tissue	not available	not available	not available	not available	none (fresh-frozen, uncleared)	not available	SDC	20180807_QX2_AnBr_SA_TM_BrainKryo_Fresh_SDC_1	proteomic profiling by mass spectrometry	1	20180807_QX2_AnBr_SA_TM_BrainKryo_Fresh_SDC_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	not applicable	20 ppm	20 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K,R;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	none (fresh-frozen, uncleared)	normal	SDC
mouse brain Fresh SDC (sample preparation test)	Mus musculus	brain	1	not pooled	normal	tissue	not available	not available	not available	not available	none (fresh-frozen, uncleared)	not available	SDC	20180807_QX2_AnBr_SA_TM_BrainKryo_Fresh_SDC_2	proteomic profiling by mass spectrometry	2	20180807_QX2_AnBr_SA_TM_BrainKryo_Fresh_SDC_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	not applicable	20 ppm	20 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K,R;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	none (fresh-frozen, uncleared)	normal	SDC
mouse brain Fresh SDS-SDC (sample preparation test)	Mus musculus	brain	1	not pooled	normal	tissue	not available	not available	not available	not available	none (fresh-frozen, uncleared)	not available	SDS-SDC	201801008_QX2_AnBr_SA_TM_BrainKryo_Fresh_SDSSDC_1	proteomic profiling by mass spectrometry	1	201801008_QX2_AnBr_SA_TM_BrainKryo_Fresh_SDSSDC_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	not applicable	20 ppm	20 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K,R;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	none (fresh-frozen, uncleared)	normal	SDS-SDC
mouse brain Fresh SDS-SDC (sample preparation test)	Mus musculus	brain	1	not pooled	normal	tissue	not available	not available	not available	not available	none (fresh-frozen, uncleared)	not available	SDS-SDC	201801008_QX2_AnBr_SA_TM_BrainKryo_Fresh_SDSSDC_2	proteomic profiling by mass spectrometry	2	201801008_QX2_AnBr_SA_TM_BrainKryo_Fresh_SDSSDC_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	not applicable	20 ppm	20 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K,R;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	none (fresh-frozen, uncleared)	normal	SDS-SDC
mouse brain Fresh TFE-SDC (sample preparation test)	Mus musculus	brain	1	not pooled	normal	tissue	not available	not available	not available	not available	none (fresh-frozen, uncleared)	not available	TFE-SDC	20180809_QX2_AnBr_SA_TM_BrainKryo_Fresh_TFE_SDC_1_1	proteomic profiling by mass spectrometry	1	20180809_QX2_AnBr_SA_TM_BrainKryo_Fresh_TFE_SDC_1_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	not applicable	20 ppm	20 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K,R;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	none (fresh-frozen, uncleared)	normal	TFE-SDC
mouse brain Fresh TFE-SDC (sample preparation test)	Mus musculus	brain	1	not pooled	normal	tissue	not available	not available	not available	not available	none (fresh-frozen, uncleared)	not available	TFE-SDC	20180809_QX2_AnBr_SA_TM_BrainKryo_Fresh_TFE_SDC_1_2	proteomic profiling by mass spectrometry	2	20180809_QX2_AnBr_SA_TM_BrainKryo_Fresh_TFE_SDC_1_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	not applicable	20 ppm	20 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K,R;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	none (fresh-frozen, uncleared)	normal	TFE-SDC
mouse heart 3D SDS-SDC (sample preparation test)	Mus musculus	heart	1	not pooled	normal	tissue	not available	not available	not available	not available	3DISCO	not available	SDS-SDC	20180807_QX2_AnBr_SA_TM_HeartOrgan_3D_SDS_SDC_1	proteomic profiling by mass spectrometry	1	20180807_QX2_AnBr_SA_TM_HeartOrgan_3D_SDS_SDC_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	not applicable	20 ppm	20 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	3DISCO	normal	SDS-SDC
mouse heart 3D SDS-SDC (sample preparation test)	Mus musculus	heart	1	not pooled	normal	tissue	not available	not available	not available	not available	3DISCO	not available	SDS-SDC	20180807_QX2_AnBr_SA_TM_HeartOrgan_3D_SDS_SDC_2	proteomic profiling by mass spectrometry	2	20180807_QX2_AnBr_SA_TM_HeartOrgan_3D_SDS_SDC_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	not applicable	20 ppm	20 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	3DISCO	normal	SDS-SDC
