source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[strain or breed]	characteristics[genotype]	characteristics[compound]	characteristics[compound]	characteristics[compound]	characteristics[material type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[dia method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[reduction reagent]	comment[alkylation reagent]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[scan window lower limit]	comment[scan window upper limit]	comment[isolation window width]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[genotype]	factor value[stimulus]	factor value[compound]
WT_stim_3	NT=Mus musculus;AC=NCBITaxon:10090	NT=bone marrow;AC=UBERON:0002371	NT=macrophage;AC=CL:0000235	normal	not available	not available	not available	not available	wild type	NT=lipopolysaccharide;AC=CHEBI:16412	interferon gamma	not applicable	cell	3	2025-05-28_MM186_250ng_S11	proteomic profiling by mass spectrometry	Data-independent acquisition	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	not available	not available	380	980	4	1	1	2025-05-28_MM186_250ng_S11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	wild type	LPS and interferon gamma	not applicable
WT_stim_4	NT=Mus musculus;AC=NCBITaxon:10090	NT=bone marrow;AC=UBERON:0002371	NT=macrophage;AC=CL:0000235	normal	not available	not available	not available	not available	wild type	NT=lipopolysaccharide;AC=CHEBI:16412	interferon gamma	not applicable	cell	4	2025-05-28_MM186_250ng_S12	proteomic profiling by mass spectrometry	Data-independent acquisition	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	not available	not available	380	980	4	1	1	2025-05-28_MM186_250ng_S12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	wild type	LPS and interferon gamma	not applicable
iNOS_stim_1	NT=Mus musculus;AC=NCBITaxon:10090	NT=bone marrow;AC=UBERON:0002371	NT=macrophage;AC=CL:0000235	normal	not available	not available	not available	not available	Nos2 knockout	NT=lipopolysaccharide;AC=CHEBI:16412	interferon gamma	not applicable	cell	1	2025-05-28_MM186_250ng_S13	proteomic profiling by mass spectrometry	Data-independent acquisition	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	not available	not available	380	980	4	1	1	2025-05-28_MM186_250ng_S13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Nos2 knockout	LPS and interferon gamma	not applicable
iNOS_stim_2	NT=Mus musculus;AC=NCBITaxon:10090	NT=bone marrow;AC=UBERON:0002371	NT=macrophage;AC=CL:0000235	normal	not available	not available	not available	not available	Nos2 knockout	NT=lipopolysaccharide;AC=CHEBI:16412	interferon gamma	not applicable	cell	2	2025-05-28_MM186_250ng_S14	proteomic profiling by mass spectrometry	Data-independent acquisition	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	not available	not available	380	980	4	1	1	2025-05-28_MM186_250ng_S14.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Nos2 knockout	LPS and interferon gamma	not applicable
iNOS_stim_3	NT=Mus musculus;AC=NCBITaxon:10090	NT=bone marrow;AC=UBERON:0002371	NT=macrophage;AC=CL:0000235	normal	not available	not available	not available	not available	Nos2 knockout	NT=lipopolysaccharide;AC=CHEBI:16412	interferon gamma	not applicable	cell	3	2025-05-28_MM186_250ng_S15	proteomic profiling by mass spectrometry	Data-independent acquisition	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	not available	not available	380	980	4	1	1	2025-05-28_MM186_250ng_S15.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Nos2 knockout	LPS and interferon gamma	not applicable
iNOS_stim_4	NT=Mus musculus;AC=NCBITaxon:10090	NT=bone marrow;AC=UBERON:0002371	NT=macrophage;AC=CL:0000235	normal	not available	not available	not available	not available	Nos2 knockout	NT=lipopolysaccharide;AC=CHEBI:16412	interferon gamma	not applicable	cell	4	2025-05-28_MM186_250ng_S16	proteomic profiling by mass spectrometry	Data-independent acquisition	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	not available	not available	380	980	4	1	1	2025-05-28_MM186_250ng_S16.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Nos2 knockout	LPS and interferon gamma	not applicable
WT_DETA_1	NT=Mus musculus;AC=NCBITaxon:10090	NT=bone marrow;AC=UBERON:0002371	NT=macrophage;AC=CL:0000235	normal	not available	not available	not available	not available	wild type	not applicable	not applicable	NT=1,1-bis(2-aminoethyl)-2-hydroxy-3-oxotriazane;AC=CHEBI:50154	cell	1	2025-05-28_MM186_250ng_S17	proteomic profiling by mass spectrometry	Data-independent acquisition	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	not available	not available	380	980	4	1	1	2025-05-28_MM186_250ng_S17.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	wild type	not applicable	NT=1,1-bis(2-aminoethyl)-2-hydroxy-3-oxotriazane;AC=CHEBI:50154
WT_DETA_2	NT=Mus musculus;AC=NCBITaxon:10090	NT=bone marrow;AC=UBERON:0002371	NT=macrophage;AC=CL:0000235	normal	not available	not available	not available	not available	wild type	not applicable	not applicable	NT=1,1-bis(2-aminoethyl)-2-hydroxy-3-oxotriazane;AC=CHEBI:50154	cell	2	2025-05-28_MM186_250ng_S18	proteomic profiling by mass spectrometry	Data-independent acquisition	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	not available	not available	380	980	4	1	1	2025-05-28_MM186_250ng_S18.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	wild type	not applicable	NT=1,1-bis(2-aminoethyl)-2-hydroxy-3-oxotriazane;AC=CHEBI:50154
WT_DETA_3	NT=Mus musculus;AC=NCBITaxon:10090	NT=bone marrow;AC=UBERON:0002371	NT=macrophage;AC=CL:0000235	normal	not available	not available	not available	not available	wild type	not applicable	not applicable	NT=1,1-bis(2-aminoethyl)-2-hydroxy-3-oxotriazane;AC=CHEBI:50154	cell	3	2025-05-28_MM186_250ng_S19	proteomic profiling by mass spectrometry	Data-independent acquisition	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	not available	not available	380	980	4	1	1	2025-05-28_MM186_250ng_S19.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	wild type	not applicable	NT=1,1-bis(2-aminoethyl)-2-hydroxy-3-oxotriazane;AC=CHEBI:50154
WT_DETA_4	NT=Mus musculus;AC=NCBITaxon:10090	NT=bone marrow;AC=UBERON:0002371	NT=macrophage;AC=CL:0000235	normal	not available	not available	not available	not available	wild type	not applicable	not applicable	NT=1,1-bis(2-aminoethyl)-2-hydroxy-3-oxotriazane;AC=CHEBI:50154	cell	4	2025-05-28_MM186_250ng_S20	proteomic profiling by mass spectrometry	Data-independent acquisition	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	not available	not available	380	980	4	1	1	2025-05-28_MM186_250ng_S20.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	wild type	not applicable	NT=1,1-bis(2-aminoethyl)-2-hydroxy-3-oxotriazane;AC=CHEBI:50154
iNOS_DETA_1	NT=Mus musculus;AC=NCBITaxon:10090	NT=bone marrow;AC=UBERON:0002371	NT=macrophage;AC=CL:0000235	normal	not available	not available	not available	not available	Nos2 knockout	not applicable	not applicable	NT=1,1-bis(2-aminoethyl)-2-hydroxy-3-oxotriazane;AC=CHEBI:50154	cell	1	2025-05-28_MM186_250ng_S21	proteomic profiling by mass spectrometry	Data-independent acquisition	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	not available	not available	380	980	4	1	1	2025-05-28_MM186_250ng_S21.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Nos2 knockout	not applicable	NT=1,1-bis(2-aminoethyl)-2-hydroxy-3-oxotriazane;AC=CHEBI:50154
iNOS_DETA_2	NT=Mus musculus;AC=NCBITaxon:10090	NT=bone marrow;AC=UBERON:0002371	NT=macrophage;AC=CL:0000235	normal	not available	not available	not available	not available	Nos2 knockout	not applicable	not applicable	NT=1,1-bis(2-aminoethyl)-2-hydroxy-3-oxotriazane;AC=CHEBI:50154	cell	2	2025-05-28_MM186_250ng_S22	proteomic profiling by mass spectrometry	Data-independent acquisition	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	not available	not available	380	980	4	1	1	2025-05-28_MM186_250ng_S22.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Nos2 knockout	not applicable	NT=1,1-bis(2-aminoethyl)-2-hydroxy-3-oxotriazane;AC=CHEBI:50154
iNOS_DETA_3	NT=Mus musculus;AC=NCBITaxon:10090	NT=bone marrow;AC=UBERON:0002371	NT=macrophage;AC=CL:0000235	normal	not available	not available	not available	not available	Nos2 knockout	not applicable	not applicable	NT=1,1-bis(2-aminoethyl)-2-hydroxy-3-oxotriazane;AC=CHEBI:50154	cell	3	2025-05-28_MM186_250ng_S23	proteomic profiling by mass spectrometry	Data-independent acquisition	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	not available	not available	380	980	4	1	1	2025-05-28_MM186_250ng_S23.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Nos2 knockout	not applicable	NT=1,1-bis(2-aminoethyl)-2-hydroxy-3-oxotriazane;AC=CHEBI:50154
iNOS_DETA_4	NT=Mus musculus;AC=NCBITaxon:10090	NT=bone marrow;AC=UBERON:0002371	NT=macrophage;AC=CL:0000235	normal	not available	not available	not available	not available	Nos2 knockout	not applicable	not applicable	NT=1,1-bis(2-aminoethyl)-2-hydroxy-3-oxotriazane;AC=CHEBI:50154	cell	4	2025-05-28_MM186_250ng_S24	proteomic profiling by mass spectrometry	Data-independent acquisition	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	not available	not available	380	980	4	1	1	2025-05-28_MM186_250ng_S24.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Nos2 knockout	not applicable	NT=1,1-bis(2-aminoethyl)-2-hydroxy-3-oxotriazane;AC=CHEBI:50154
