source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
20150410_RG_0089-150310MaRiTQS04	mus musculus	Epithelial cell	not applicable	Fanconi syndrome	enrichment of phosphorylated protein	1	20150410_RG_0089-150310MaRiTQS04	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	20150410_RG_0089-150310MaRiTQS04.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD002422/20150410_RG_0089-150310MaRiTQS04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
20150410_RG_0089-150310MaRiTQS02	mus musculus	Epithelial cell	not applicable	Fanconi syndrome	enrichment of phosphorylated protein	1	20150410_RG_0089-150310MaRiTQS02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	20150410_RG_0089-150310MaRiTQS02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD002422/20150410_RG_0089-150310MaRiTQS02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
20150410_RG_0089-150311MaRiTpQS02	mus musculus	Epithelial cell	not applicable	Fanconi syndrome	enrichment of phosphorylated protein	1	20150410_RG_0089-150311MaRiTpQS02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	20150410_RG_0089-150311MaRiTpQS02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD002422/20150410_RG_0089-150311MaRiTpQS02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
20150410_RG_0089-150311MaRiTpQS04	mus musculus	Epithelial cell	not applicable	Fanconi syndrome	enrichment of phosphorylated protein	1	20150410_RG_0089-150311MaRiTpQS04	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	20150410_RG_0089-150311MaRiTpQS04.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD002422/20150410_RG_0089-150311MaRiTpQS04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
20150410_RG_0089-150310MaRiTQS11	mus musculus	Epithelial cell	not applicable	Fanconi syndrome	enrichment of phosphorylated protein	1	20150410_RG_0089-150310MaRiTQS11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	20150410_RG_0089-150310MaRiTQS11.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD002422/20150410_RG_0089-150310MaRiTQS11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
20150410_RG_0089-150311MaRiTpQS10	mus musculus	Epithelial cell	not applicable	Fanconi syndrome	enrichment of phosphorylated protein	1	20150410_RG_0089-150311MaRiTpQS10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	20150410_RG_0089-150311MaRiTpQS10.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD002422/20150410_RG_0089-150311MaRiTpQS10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
20150410_RG_0089-150310MaRiTQS09	mus musculus	Epithelial cell	not applicable	Fanconi syndrome	enrichment of phosphorylated protein	1	20150410_RG_0089-150310MaRiTQS09	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	20150410_RG_0089-150310MaRiTQS09.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD002422/20150410_RG_0089-150310MaRiTQS09.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
20150410_RG_0089-150311MaRiTpQS08	mus musculus	Epithelial cell	not applicable	Fanconi syndrome	enrichment of phosphorylated protein	1	20150410_RG_0089-150311MaRiTpQS08	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	20150410_RG_0089-150311MaRiTpQS08.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD002422/20150410_RG_0089-150311MaRiTpQS08.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
20150410_RG_0089-150310MaRiTQS05	mus musculus	Epithelial cell	not applicable	Fanconi syndrome	enrichment of phosphorylated protein	1	20150410_RG_0089-150310MaRiTQS05	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	20150410_RG_0089-150310MaRiTQS05.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD002422/20150410_RG_0089-150310MaRiTQS05.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
20150410_RG_0089-150311MaRiTpQS01	mus musculus	Epithelial cell	not applicable	Fanconi syndrome	enrichment of phosphorylated protein	1	20150410_RG_0089-150311MaRiTpQS01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	20150410_RG_0089-150311MaRiTpQS01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD002422/20150410_RG_0089-150311MaRiTpQS01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
20150410_RG_0089-150310MaRiTQS07	mus musculus	Epithelial cell	not applicable	Fanconi syndrome	enrichment of phosphorylated protein	1	20150410_RG_0089-150310MaRiTQS07	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	20150410_RG_0089-150310MaRiTQS07.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD002422/20150410_RG_0089-150310MaRiTQS07.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
20150410_RG_0089-150311MaRiTpQS11	mus musculus	Epithelial cell	not applicable	Fanconi syndrome	enrichment of phosphorylated protein	1	20150410_RG_0089-150311MaRiTpQS11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	20150410_RG_0089-150311MaRiTpQS11.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD002422/20150410_RG_0089-150311MaRiTpQS11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
20150410_RG_0089-150310MaRiTQS06	mus musculus	Epithelial cell	not applicable	Fanconi syndrome	enrichment of phosphorylated protein	1	20150410_RG_0089-150310MaRiTQS06	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	20150410_RG_0089-150310MaRiTQS06.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD002422/20150410_RG_0089-150310MaRiTQS06.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
20150410_RG_0089-150311MaRiTpQS05	mus musculus	Epithelial cell	not applicable	Fanconi syndrome	enrichment of phosphorylated protein	1	20150410_RG_0089-150311MaRiTpQS05	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	20150410_RG_0089-150311MaRiTpQS05.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD002422/20150410_RG_0089-150311MaRiTpQS05.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
