source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[strain or breed]	characteristics[compound]	characteristics[compound]	characteristics[material type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	factor value[compound]	factor value[compound]
MEF-FN-untreated-f28-20101126	Mus musculus	not available	embryonic fibroblast	normal	embryo	not available	not available	not available	Fibronectin	not applicable	cell	1	run 20101126_AMF_FN_28	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=LTQ Velos;AC=MS:1000855	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=collision-induced dissociation;AC=MS:1000133	not available	0.4 Da	0.5 Da	28	1	20101126_AMF_FN_28.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	Fibronectin	not applicable
MEF-FN-untreated-f29-20101126	Mus musculus	not available	embryonic fibroblast	normal	embryo	not available	not available	not available	Fibronectin	not applicable	cell	1	run 20101126_AMF_FN_29	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=LTQ Velos;AC=MS:1000855	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=collision-induced dissociation;AC=MS:1000133	not available	0.4 Da	0.5 Da	29	1	20101126_AMF_FN_29.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	Fibronectin	not applicable
MEF-FN-untreated-f3-20101126	Mus musculus	not available	embryonic fibroblast	normal	embryo	not available	not available	not available	Fibronectin	not applicable	cell	1	run 20101126_AMF_FN_3	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=LTQ Velos;AC=MS:1000855	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=collision-induced dissociation;AC=MS:1000133	not available	0.4 Da	0.5 Da	3	1	20101126_AMF_FN_3.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	Fibronectin	not applicable
MEF-FN-untreated-f4-20101126	Mus musculus	not available	embryonic fibroblast	normal	embryo	not available	not available	not available	Fibronectin	not applicable	cell	1	run 20101126_AMF_FN_4	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=LTQ Velos;AC=MS:1000855	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=collision-induced dissociation;AC=MS:1000133	not available	0.4 Da	0.5 Da	4	1	20101126_AMF_FN_4.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	Fibronectin	not applicable
MEF-FN-untreated-f5-20101126	Mus musculus	not available	embryonic fibroblast	normal	embryo	not available	not available	not available	Fibronectin	not applicable	cell	1	run 20101126_AMF_FN_5	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=LTQ Velos;AC=MS:1000855	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=collision-induced dissociation;AC=MS:1000133	not available	0.4 Da	0.5 Da	5	1	20101126_AMF_FN_5.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	Fibronectin	not applicable
MEF-FN-untreated-f6-20101126	Mus musculus	not available	embryonic fibroblast	normal	embryo	not available	not available	not available	Fibronectin	not applicable	cell	1	run 20101126_AMF_FN_6	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=LTQ Velos;AC=MS:1000855	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=collision-induced dissociation;AC=MS:1000133	not available	0.4 Da	0.5 Da	6	1	20101126_AMF_FN_6.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	Fibronectin	not applicable
MEF-FN-untreated-f61-20101126	Mus musculus	not available	embryonic fibroblast	normal	embryo	not available	not available	not available	Fibronectin	not applicable	cell	1	run 20101126_AMF_FN_61	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=LTQ Velos;AC=MS:1000855	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=collision-induced dissociation;AC=MS:1000133	not available	0.4 Da	0.5 Da	61	1	20101126_AMF_FN_61.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	Fibronectin	not applicable
MEF-FN-untreated-f62-20101126	Mus musculus	not available	embryonic fibroblast	normal	embryo	not available	not available	not available	Fibronectin	not applicable	cell	1	run 20101126_AMF_FN_62	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=LTQ Velos;AC=MS:1000855	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=collision-induced dissociation;AC=MS:1000133	not available	0.4 Da	0.5 Da	62	1	20101126_AMF_FN_62.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	Fibronectin	not applicable
MEF-FN-untreated-f63-20101126	Mus musculus	not available	embryonic fibroblast	normal	embryo	not available	not available	not available	Fibronectin	not applicable	cell	1	run 20101126_AMF_FN_63	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=LTQ Velos;AC=MS:1000855	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=collision-induced dissociation;AC=MS:1000133	not available	0.4 Da	0.5 Da	63	1	20101126_AMF_FN_63.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	Fibronectin	not applicable
MEF-FN-untreated-f64-20101126	Mus musculus	not available	embryonic fibroblast	normal	embryo	not available	not available	not available	Fibronectin	not applicable	cell	1	run 20101126_AMF_FN_64	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=LTQ Velos;AC=MS:1000855	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=collision-induced dissociation;AC=MS:1000133	not available	0.4 Da	0.5 Da	64	1	20101126_AMF_FN_64.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	Fibronectin	not applicable
