source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[age]	characteristics[ancestry category]	characteristics[developmental stage]	characteristics[equalization]	characteristics[individual]	characteristics[sex]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[fraction identifier]	comment[fractionation method]	comment[proteomics data acquisition method]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[file uri]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[technical replicate]	comment[data file]	factor value[organism part]
PXD026124-Sample 13	Homo sapiens	blood plasma	normal	not applicable	not available	not available	not available	Proteominer	1	not available	1	run 13	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	AC=MS:1002038;NT=label free sample	12	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026124/20180824_rmi049_75idPLRPS_APA_Plasma_PM_F12_d.raw	2.2 Da	10 ppm	3	20180824_rmi049_75idPLRPS_APA_Plasma_PM_F12_d.raw	blood plasma
PXD026124-Sample 14	Homo sapiens	blood plasma	normal	not applicable	not available	not available	not available	Proteominer	1	not available	1	run 14	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	AC=MS:1002038;NT=label free sample	12	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026124/20180824_rmi049_75idPLRPS_APA_Plasma_PM_F12_e.raw	2.2 Da	10 ppm	3	20180824_rmi049_75idPLRPS_APA_Plasma_PM_F12_e.raw	blood plasma
PXD026124-Sample 15	Homo sapiens	blood plasma	normal	not applicable	not available	not available	not available	Proteominer	1	not available	1	run 15	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	AC=MS:1002038;NT=label free sample	12	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026124/20180824_rmi049_75idPLRPS_APA_Plasma_PM_F12_f.raw	2.2 Da	10 ppm	3	20180824_rmi049_75idPLRPS_APA_Plasma_PM_F12_f.raw	blood plasma
PXD026124-Sample 16	Homo sapiens	blood plasma	normal	not applicable	not available	not available	not available	Proteominer	1	not available	1	run 16	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	AC=MS:1002038;NT=label free sample	7	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026124/20180824_rmi049_75idPLRPS_APA_Plasma_PM_F7_a.raw	2.2 Da	10 ppm	4	20180824_rmi049_75idPLRPS_APA_Plasma_PM_F7_a.raw	blood plasma
PXD026124-Sample 17	Homo sapiens	blood plasma	normal	not applicable	not available	not available	not available	Proteominer	1	not available	1	run 17	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	AC=MS:1002038;NT=label free sample	7	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026124/20180824_rmi049_75idPLRPS_APA_Plasma_PM_F7_b.raw	2.2 Da	10 ppm	4	20180824_rmi049_75idPLRPS_APA_Plasma_PM_F7_b.raw	blood plasma
PXD026124-Sample 18	Homo sapiens	blood plasma	normal	not applicable	not available	not available	not available	Proteominer	1	not available	1	run 18	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	AC=MS:1002038;NT=label free sample	7	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026124/20180824_rmi049_75idPLRPS_APA_Plasma_PM_F7_c.raw	2.2 Da	10 ppm	4	20180824_rmi049_75idPLRPS_APA_Plasma_PM_F7_c.raw	blood plasma
PXD026124-Sample 19	Homo sapiens	blood plasma	normal	not applicable	not available	not available	not available	Proteominer	1	not available	1	run 19	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	AC=MS:1002038;NT=label free sample	8	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026124/20180824_rmi049_75idPLRPS_APA_Plasma_PM_F8_a.raw	2.2 Da	10 ppm	5	20180824_rmi049_75idPLRPS_APA_Plasma_PM_F8_a.raw	blood plasma
PXD026124-Sample 20	Homo sapiens	blood plasma	normal	not applicable	not available	not available	not available	Proteominer	1	not available	1	run 20	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	AC=MS:1002038;NT=label free sample	8	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026124/20180824_rmi049_75idPLRPS_APA_Plasma_PM_F8_b.raw	2.2 Da	10 ppm	5	20180824_rmi049_75idPLRPS_APA_Plasma_PM_F8_b.raw	blood plasma
PXD026124-Sample 21	Homo sapiens	blood plasma	normal	not applicable	not available	not available	not available	Proteominer	1	not available	1	run 21	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	AC=MS:1002038;NT=label free sample	8	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026124/20180824_rmi049_75idPLRPS_APA_Plasma_PM_F8_c.raw	2.2 Da	10 ppm	5	20180824_rmi049_75idPLRPS_APA_Plasma_PM_F8_c.raw	blood plasma
PXD026124-Sample 22	Homo sapiens	blood plasma	normal	not applicable	not available	not available	not available	Proteominer	1	not available	1	run 22	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	AC=MS:1002038;NT=label free sample	9	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026124/20180824_rmi049_75idPLRPS_APA_Plasma_PM_F9_a.raw	2.2 Da	10 ppm	6	20180824_rmi049_75idPLRPS_APA_Plasma_PM_F9_a.raw	blood plasma
PXD026124-Sample 23	Homo sapiens	blood plasma	normal	not applicable	not available	not available	not available	Proteominer	1	not available	1	run 23	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	AC=MS:1002038;NT=label free sample	9	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026124/20180824_rmi049_75idPLRPS_APA_Plasma_PM_F9_b.raw	2.2 Da	10 ppm	6	20180824_rmi049_75idPLRPS_APA_Plasma_PM_F9_b.raw	blood plasma
PXD026124-Sample 24	Homo sapiens	blood plasma	normal	not applicable	not available	not available	not available	Proteominer	1	not available	1	run 24	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	AC=MS:1002038;NT=label free sample	9	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026124/20180824_rmi049_75idPLRPS_APA_Plasma_PM_F9_c.raw	2.2 Da	10 ppm	6	20180824_rmi049_75idPLRPS_APA_Plasma_PM_F9_c.raw	blood plasma
