source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
20121123_JR_TF4	homo sapiens	heart	not applicable	not available	enrichment of phosphorylated protein	1	20121123_JR_TF4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	0.5 Da	1	1	20121123_JR_TF4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/06/PXD001578/20121123_JR_TF4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	heart
20121029_JR_Tf12	homo sapiens	heart	not applicable	not available	enrichment of phosphorylated protein	1	20121029_JR_Tf12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	0.5 Da	1	1	20121029_JR_Tf12.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/06/PXD001578/20121029_JR_Tf12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	heart
20121123_JR_TF14	homo sapiens	heart	not applicable	not available	enrichment of phosphorylated protein	1	20121123_JR_TF14	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	0.5 Da	1	1	20121123_JR_TF14.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/06/PXD001578/20121123_JR_TF14.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	heart
20121012_JR_TF5	homo sapiens	heart	not applicable	not available	enrichment of phosphorylated protein	1	20121012_JR_TF5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	0.5 Da	1	1	20121012_JR_TF5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/06/PXD001578/20121012_JR_TF5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	heart
20121123_JR_FN1	homo sapiens	heart	not applicable	not available	enrichment of phosphorylated protein	1	20121123_JR_FN1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	0.5 Da	1	1	20121123_JR_FN1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/06/PXD001578/20121123_JR_FN1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	heart
20121029_JR_Tf13	homo sapiens	heart	not applicable	not available	enrichment of phosphorylated protein	1	20121029_JR_Tf13	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	0.5 Da	1	1	20121029_JR_Tf13.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/06/PXD001578/20121029_JR_Tf13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	heart
20120510_JR_TF_3h	homo sapiens	heart	not applicable	not available	enrichment of phosphorylated protein	1	20120510_JR_TF_3h	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	0.5 Da	1	1	20120510_JR_TF_3h.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/06/PXD001578/20120510_JR_TF_3h.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	heart
20121012_JR_TF2	homo sapiens	heart	not applicable	not available	enrichment of phosphorylated protein	1	20121012_JR_TF2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	0.5 Da	1	1	20121012_JR_TF2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/06/PXD001578/20121012_JR_TF2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	heart
20121012_JR_FN4	homo sapiens	heart	not applicable	not available	enrichment of phosphorylated protein	1	20121012_JR_FN4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	0.5 Da	1	1	20121012_JR_FN4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/06/PXD001578/20121012_JR_FN4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	heart
20121123_JR_FN5	homo sapiens	heart	not applicable	not available	enrichment of phosphorylated protein	1	20121123_JR_FN5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	0.5 Da	1	1	20121123_JR_FN5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/06/PXD001578/20121123_JR_FN5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	heart
20121012_JR_FN7	homo sapiens	heart	not applicable	not available	enrichment of phosphorylated protein	1	20121012_JR_FN7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	0.5 Da	1	1	20121012_JR_FN7.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/06/PXD001578/20121012_JR_FN7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	heart
20121123_JR_TF5	homo sapiens	heart	not applicable	not available	enrichment of phosphorylated protein	1	20121123_JR_TF5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	0.5 Da	1	1	20121123_JR_TF5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/06/PXD001578/20121123_JR_TF5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	heart
20121012_JR_TF1	homo sapiens	heart	not applicable	not available	enrichment of phosphorylated protein	1	20121012_JR_TF1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	0.5 Da	1	1	20121012_JR_TF1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/06/PXD001578/20121012_JR_TF1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	heart
20121012_JR_TF7	homo sapiens	heart	not applicable	not available	enrichment of phosphorylated protein	1	20121012_JR_TF7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	0.5 Da	1	1	20121012_JR_TF7.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/06/PXD001578/20121012_JR_TF7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	heart
20120809_JR_FN27_3h	homo sapiens	heart	not applicable	not available	enrichment of phosphorylated protein	1	20120809_JR_FN27_3h	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	0.5 Da	1	1	20120809_JR_FN27_3h.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/06/PXD001578/20120809_JR_FN27_3h.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	heart
20121012_JR_FN6	homo sapiens	heart	not applicable	not available	enrichment of phosphorylated protein	1	20121012_JR_FN6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	0.5 Da	1	1	20121012_JR_FN6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/06/PXD001578/20121012_JR_FN6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	heart
20121029_JR_Tf8	homo sapiens	heart	not applicable	not available	enrichment of phosphorylated protein	1	20121029_JR_Tf8	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	0.5 Da	1	1	20121029_JR_Tf8.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/06/PXD001578/20121029_JR_Tf8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	heart
20121012_JR_TF3	homo sapiens	heart	not applicable	not available	enrichment of phosphorylated protein	1	20121012_JR_TF3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	0.5 Da	1	1	20121012_JR_TF3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/06/PXD001578/20121012_JR_TF3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	heart
20121029_JR_FN12	homo sapiens	heart	not applicable	not available	enrichment of phosphorylated protein	1	20121029_JR_FN12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	0.5 Da	1	1	20121029_JR_FN12.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/06/PXD001578/20121029_JR_FN12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	heart
20121029_JR_FN4	homo sapiens	heart	not applicable	not available	enrichment of phosphorylated protein	1	20121029_JR_FN4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	0.5 Da	1	1	20121029_JR_FN4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/06/PXD001578/20121029_JR_FN4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	heart
20121123_JR_FN3	homo sapiens	heart	not applicable	not available	enrichment of phosphorylated protein	1	20121123_JR_FN3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	0.5 Da	1	1	20121123_JR_FN3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/06/PXD001578/20121123_JR_FN3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	heart
20121012_JR_TF13	homo sapiens	heart	not applicable	not available	enrichment of phosphorylated protein	1	20121012_JR_TF13	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	0.5 Da	1	1	20121012_JR_TF13.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/06/PXD001578/20121012_JR_TF13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	heart
20121012_JR_FN14	homo sapiens	heart	not applicable	not available	enrichment of phosphorylated protein	1	20121012_JR_FN14	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	0.5 Da	1	1	20121012_JR_FN14.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/06/PXD001578/20121012_JR_FN14.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	heart
20121123_JR_TF9	homo sapiens	heart	not applicable	not available	enrichment of phosphorylated protein	1	20121123_JR_TF9	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	0.5 Da	1	1	20121123_JR_TF9.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/06/PXD001578/20121123_JR_TF9.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	heart
