source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[biological replicate]	characteristics[compound]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[fractionation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[acquisition method]	comment[ms2 analyzer type]
sample 2	Cricetulus griseus	not applicable	not applicable	not applicable	not available	1	Nivolumab	run_11	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample	NT=Trypsin/P;CS='(?<=[KR])';AC=MS:1001313	not available	1	3	EC4150BCO.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=data-independent acquisition;AC=MS:1003215	N=Orbitrap
sample 2	Cricetulus griseus	not applicable	not applicable	not applicable	not available	1	Nivolumab	run_12	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample	NT=Trypsin/P;CS='(?<=[KR])';AC=MS:1001313	not available	1	4	EC4153BCO.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=data-independent acquisition;AC=MS:1003215	N=Orbitrap
sample 2	Cricetulus griseus	not applicable	not applicable	not applicable	not available	1	Nivolumab	run_13	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample	NT=Trypsin/P;CS='(?<=[KR])';AC=MS:1001313	NT=gas-phase fractionation	1	1	EC4112BCO.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=data-independent acquisition;AC=MS:1003215	N=Orbitrap
sample 2	Cricetulus griseus	not applicable	not applicable	not applicable	not available	1	Nivolumab	run_14	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample	NT=Trypsin/P;CS='(?<=[KR])';AC=MS:1001313	NT=gas-phase fractionation	2	1	EC4115BCO.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=data-independent acquisition;AC=MS:1003215	N=Orbitrap
sample 2	Cricetulus griseus	not applicable	not applicable	not applicable	not available	1	Nivolumab	run_15	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample	NT=Trypsin/P;CS='(?<=[KR])';AC=MS:1001313	NT=gas-phase fractionation	3	1	EC4118BCO.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=data-independent acquisition;AC=MS:1003215	N=Orbitrap
sample 2	Cricetulus griseus	not applicable	not applicable	not applicable	not available	1	Nivolumab	run_16	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample	NT=Trypsin/P;CS='(?<=[KR])';AC=MS:1001313	NT=gas-phase fractionation	4	1	EC4121BCO.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=data-independent acquisition;AC=MS:1003215	N=Orbitrap
sample 2	Cricetulus griseus	not applicable	not applicable	not applicable	not available	1	Nivolumab	run_17	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample	NT=Trypsin/P;CS='(?<=[KR])';AC=MS:1001313	NT=gas-phase fractionation	5	1	EC4124BCO.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=data-independent acquisition;AC=MS:1003215	N=Orbitrap
sample 2	Cricetulus griseus	not applicable	not applicable	not applicable	not available	1	Nivolumab	run_18	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample	NT=Trypsin/P;CS='(?<=[KR])';AC=MS:1001313	NT=gas-phase fractionation	6	1	EC4127BCO.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=data-independent acquisition;AC=MS:1003215	N=Orbitrap
sample 3	Cricetulus griseus	not applicable	not applicable	not applicable	not available	1	Trastuzumab	run_19	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample	NT=Trypsin/P;CS='(?<=[KR])';AC=MS:1001313	not available	1	1	EC4082BCO.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=data-independent acquisition;AC=MS:1003215	N=Orbitrap
sample 3	Cricetulus griseus	not applicable	not applicable	not applicable	not available	1	Trastuzumab	run_20	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample	NT=Trypsin/P;CS='(?<=[KR])';AC=MS:1001313	not available	1	3	EC4103BCO.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=data-independent acquisition;AC=MS:1003215	N=Orbitrap
sample 3	Cricetulus griseus	not applicable	not applicable	not applicable	not available	1	Trastuzumab	run_21	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample	NT=Trypsin/P;CS='(?<=[KR])';AC=MS:1001313	not available	1	4	EC4106BCO.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=data-independent acquisition;AC=MS:1003215	N=Orbitrap
sample 3	Cricetulus griseus	not applicable	not applicable	not applicable	not available	1	Trastuzumab	run_22	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample	NT=Trypsin/P;CS='(?<=[KR])';AC=MS:1001313	NT=gas-phase fractionation	1	2	EC4085BCO.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=data-independent acquisition;AC=MS:1003215	N=Orbitrap
sample 3	Cricetulus griseus	not applicable	not applicable	not applicable	not available	1	Trastuzumab	run_23	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample	NT=Trypsin/P;CS='(?<=[KR])';AC=MS:1001313	NT=gas-phase fractionation	2	1	EC4088BCO.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=data-independent acquisition;AC=MS:1003215	N=Orbitrap
sample 3	Cricetulus griseus	not applicable	not applicable	not applicable	not available	1	Trastuzumab	run_24	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample	NT=Trypsin/P;CS='(?<=[KR])';AC=MS:1001313	NT=gas-phase fractionation	3	1	EC4091BCO.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=data-independent acquisition;AC=MS:1003215	N=Orbitrap
sample 3	Cricetulus griseus	not applicable	not applicable	not applicable	not available	1	Trastuzumab	run_25	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample	NT=Trypsin/P;CS='(?<=[KR])';AC=MS:1001313	NT=gas-phase fractionation	4	1	EC4094BCO.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=data-independent acquisition;AC=MS:1003215	N=Orbitrap
sample 3	Cricetulus griseus	not applicable	not applicable	not applicable	not available	1	Trastuzumab	run_26	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample	NT=Trypsin/P;CS='(?<=[KR])';AC=MS:1001313	NT=gas-phase fractionation	5	1	EC4097BCO.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=data-independent acquisition;AC=MS:1003215	N=Orbitrap
sample 3	Cricetulus griseus	not applicable	not applicable	not applicable	not available	1	Trastuzumab	run_27	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample	NT=Trypsin/P;CS='(?<=[KR])';AC=MS:1001313	NT=gas-phase fractionation	6	1	EC4100BCO.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=data-independent acquisition;AC=MS:1003215	N=Orbitrap
