source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[environmental medium]	characteristics[host organism]	characteristics[host subject id]	characteristics[host disease status]	characteristics[chemical administration]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[chemical administration]
Sample11	Sample11	human gut metagenome	feces	feces	Homo sapiens	V1	healthy	Berberine; 12.1 mM	normal	not available	2	Assay11	proteomic profiling by mass spectrometry	1	Leyuan_20170610_CpdPreTest_P1A11.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD012725/Leyuan_20170610_CpdPreTest_P1A11.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=q exactive;AC=MS:1001911	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=HCD;AC=MS:1000422	20 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	Berberine; 12.1 mM
Sample12	Sample12	human gut metagenome	feces	feces	Homo sapiens	V1	healthy	Berberine; 12.1 mM	normal	not available	3	Assay12	proteomic profiling by mass spectrometry	1	Leyuan_20170610_CpdPreTest_P1A12.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD012725/Leyuan_20170610_CpdPreTest_P1A12.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=q exactive;AC=MS:1001911	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=HCD;AC=MS:1000422	20 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	Berberine; 12.1 mM
Sample13	Sample13	human gut metagenome	feces	feces	Homo sapiens	V1	healthy	Rifaximin-H; 11 mM	normal	not available	1	Assay13	proteomic profiling by mass spectrometry	1	Leyuan_20170610_CpdPreTest_P1B1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD012725/Leyuan_20170610_CpdPreTest_P1B1.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=q exactive;AC=MS:1001911	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=HCD;AC=MS:1000422	20 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	Rifaximin-H; 11 mM
Sample14	Sample14	human gut metagenome	feces	feces	Homo sapiens	V1	healthy	Rifaximin-H; 11 mM	normal	not available	2	Assay14	proteomic profiling by mass spectrometry	1	Leyuan_20170610_CpdPreTest_P1B2.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD012725/Leyuan_20170610_CpdPreTest_P1B2.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=q exactive;AC=MS:1001911	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=HCD;AC=MS:1000422	20 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	Rifaximin-H; 11 mM
Sample15	Sample15	human gut metagenome	feces	feces	Homo sapiens	V1	healthy	Rifaximin-H; 11 mM	normal	not available	3	Assay15	proteomic profiling by mass spectrometry	1	Leyuan_20170610_CpdPreTest_P1B3_check.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD012725/Leyuan_20170610_CpdPreTest_P1B3_check.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=q exactive;AC=MS:1001911	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=HCD;AC=MS:1000422	20 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	Rifaximin-H; 11 mM
Sample16	Sample16	human gut metagenome	feces	feces	Homo sapiens	V1	healthy	Rifaximin-L; 1.1 mM	normal	not available	1	Assay16	proteomic profiling by mass spectrometry	1	Leyuan_20170610_CpdPreTest_P1B4.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD012725/Leyuan_20170610_CpdPreTest_P1B4.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=q exactive;AC=MS:1001911	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=HCD;AC=MS:1000422	20 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	Rifaximin-L; 1.1 mM
Sample17	Sample17	human gut metagenome	feces	feces	Homo sapiens	V1	healthy	Rifaximin-L; 1.1 mM	normal	not available	2	Assay17	proteomic profiling by mass spectrometry	1	Leyuan_20170610_CpdPreTest_P1B5.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD012725/Leyuan_20170610_CpdPreTest_P1B5.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=q exactive;AC=MS:1001911	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=HCD;AC=MS:1000422	20 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	Rifaximin-L; 1.1 mM
Sample18	Sample18	human gut metagenome	feces	feces	Homo sapiens	V1	healthy	Rifaximin-L; 1.1 mM	normal	not available	3	Assay18	proteomic profiling by mass spectrometry	1	Leyuan_20170610_CpdPreTest_P1B6.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD012725/Leyuan_20170610_CpdPreTest_P1B6.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=q exactive;AC=MS:1001911	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=HCD;AC=MS:1000422	20 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	Rifaximin-L; 1.1 mM
Sample19	Sample19	human gut metagenome	feces	feces	Homo sapiens	V1	healthy	Paracetamol-H; 132 mM	normal	not available	1	Assay19	proteomic profiling by mass spectrometry	1	Leyuan_20170610_CpdPreTest_P1B7.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD012725/Leyuan_20170610_CpdPreTest_P1B7.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=q exactive;AC=MS:1001911	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=HCD;AC=MS:1000422	20 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	Paracetamol-H; 132 mM
Sample20	Sample20	human gut metagenome	feces	feces	Homo sapiens	V1	healthy	Paracetamol-H; 132 mM	normal	not available	2	Assay20	proteomic profiling by mass spectrometry	1	Leyuan_20170610_CpdPreTest_P1B8.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD012725/Leyuan_20170610_CpdPreTest_P1B8.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=q exactive;AC=MS:1001911	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=HCD;AC=MS:1000422	20 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	Paracetamol-H; 132 mM
Sample21	Sample21	human gut metagenome	feces	feces	Homo sapiens	V1	healthy	Paracetamol-H; 132 mM	normal	not available	3	Assay21	proteomic profiling by mass spectrometry	1	Leyuan_20170610_CpdPreTest_P1B9.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD012725/Leyuan_20170610_CpdPreTest_P1B9.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=q exactive;AC=MS:1001911	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=HCD;AC=MS:1000422	20 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	Paracetamol-H; 132 mM
Sample22	Sample22	human gut metagenome	feces	feces	Homo sapiens	V1	healthy	Resveratrol; 3.3 mM	normal	not available	1	Assay22	proteomic profiling by mass spectrometry	1	Leyuan_20170610_CpdPreTest_P1B10.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD012725/Leyuan_20170610_CpdPreTest_P1B10.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=q exactive;AC=MS:1001911	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=HCD;AC=MS:1000422	20 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	Resveratrol; 3.3 mM
Sample23	Sample23	human gut metagenome	feces	feces	Homo sapiens	V1	healthy	Resveratrol; 3.3 mM	normal	not available	2	Assay23	proteomic profiling by mass spectrometry	1	Leyuan_20170610_CpdPreTest_P1B11.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD012725/Leyuan_20170610_CpdPreTest_P1B11.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=q exactive;AC=MS:1001911	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=HCD;AC=MS:1000422	20 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	Resveratrol; 3.3 mM
Sample24	Sample24	human gut metagenome	feces	feces	Homo sapiens	V1	healthy	Resveratrol; 3.3 mM	normal	not available	3	Assay24	proteomic profiling by mass spectrometry	1	Leyuan_20170610_CpdPreTest_P1B12.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD012725/Leyuan_20170610_CpdPreTest_P1B12.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=q exactive;AC=MS:1001911	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=HCD;AC=MS:1000422	20 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	Resveratrol; 3.3 mM
Sample25	Sample25	human gut metagenome	feces	feces	Homo sapiens	V1	healthy	Metronidazole-H; 117 mM	normal	not available	1	Assay25	proteomic profiling by mass spectrometry	1	Leyuan_20170610_CpdPreTest_P1C1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD012725/Leyuan_20170610_CpdPreTest_P1C1.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=q exactive;AC=MS:1001911	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=HCD;AC=MS:1000422	20 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	Metronidazole-H; 117 mM
Sample26	Sample26	human gut metagenome	feces	feces	Homo sapiens	V1	healthy	Metronidazole-H; 117 mM	normal	not available	2	Assay26	proteomic profiling by mass spectrometry	1	Leyuan_20170610_CpdPreTest_P1C2.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD012725/Leyuan_20170610_CpdPreTest_P1C2.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=q exactive;AC=MS:1001911	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=HCD;AC=MS:1000422	20 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	Metronidazole-H; 117 mM
Sample27	Sample27	human gut metagenome	feces	feces	Homo sapiens	V1	healthy	Metronidazole-H; 117 mM	normal	not available	3	Assay27	proteomic profiling by mass spectrometry	1	Leyuan_20170610_CpdPreTest_P1C3.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD012725/Leyuan_20170610_CpdPreTest_P1C3.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=q exactive;AC=MS:1001911	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=HCD;AC=MS:1000422	20 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	Metronidazole-H; 117 mM
