source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[biological replicate]	characteristics[age]	characteristics[sex]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[collision energy]	comment[fractionation method]	comment[reduction reagent]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[sdrf template]	factor value[organism part]
130122_293	homo sapiens	Cell culture	HEK293	not available	antibody enrichment	HEK293	CVCL_0045	HEK293	1	not available	not available	130122_293	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	130122_293.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002070/130122_293.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=human;VV=v1.1.0	Cell culture
130210_DDX6_benzonase	homo sapiens	Cell culture	HEK293	not available	antibody enrichment	HEK293	CVCL_0045	HEK293	1	not available	not available	130210_DDX6_benzonase	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	130210_DDX6_benzonase.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002070/130210_DDX6_benzonase.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=human;VV=v1.1.0	Cell culture
130210_293_benzonase	homo sapiens	Cell culture	HEK293	not available	antibody enrichment	HEK293	CVCL_0045	HEK293	1	not available	not available	130210_293_benzonase	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	130210_293_benzonase.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002070/130210_293_benzonase.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=human;VV=v1.1.0	Cell culture
130311_D27	homo sapiens	Cell culture	HEK293	not available	antibody enrichment	HEK293	CVCL_0045	HEK293	1	not available	not available	130311_D27	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	130311_D27.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002070/130311_D27.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=human;VV=v1.1.0	Cell culture
130311_D15	homo sapiens	Cell culture	HEK293	not available	antibody enrichment	HEK293	CVCL_0045	HEK293	1	not available	not available	130311_D15	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	130311_D15.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002070/130311_D15.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=human;VV=v1.1.0	Cell culture
130222_DDX6	homo sapiens	Cell culture	HEK293	not available	antibody enrichment	HEK293	CVCL_0045	HEK293	1	not available	not available	130222_DDX6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	130222_DDX6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002070/130222_DDX6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=human;VV=v1.1.0	Cell culture
130311_D22	homo sapiens	Cell culture	HEK293	not available	antibody enrichment	HEK293	CVCL_0045	HEK293	1	not available	not available	130311_D22	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	130311_D22.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002070/130311_D22.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=human;VV=v1.1.0	Cell culture
130122_DDX6	homo sapiens	Cell culture	HEK293	not available	antibody enrichment	HEK293	CVCL_0045	HEK293	1	not available	not available	130122_DDX6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	130122_DDX6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002070/130122_DDX6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=human;VV=v1.1.0	Cell culture
130125_293	homo sapiens	Cell culture	HEK293	not available	antibody enrichment	HEK293	CVCL_0045	HEK293	1	not available	not available	130125_293	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	130125_293.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002070/130125_293.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=human;VV=v1.1.0	Cell culture
130311_D9	homo sapiens	Cell culture	HEK293	not available	antibody enrichment	HEK293	CVCL_0045	HEK293	1	not available	not available	130311_D9	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	130311_D9.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002070/130311_D9.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=human;VV=v1.1.0	Cell culture
130311_D29	homo sapiens	Cell culture	HEK293	not available	antibody enrichment	HEK293	CVCL_0045	HEK293	1	not available	not available	130311_D29	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	130311_D29.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002070/130311_D29.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=human;VV=v1.1.0	Cell culture
130222_DDX6_benzonase	homo sapiens	Cell culture	HEK293	not available	antibody enrichment	HEK293	CVCL_0045	HEK293	1	not available	not available	130222_DDX6_benzonase	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	130222_DDX6_benzonase.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002070/130222_DDX6_benzonase.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=human;VV=v1.1.0	Cell culture
130311_D23	homo sapiens	Cell culture	HEK293	not available	antibody enrichment	HEK293	CVCL_0045	HEK293	1	not available	not available	130311_D23	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	130311_D23.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002070/130311_D23.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=human;VV=v1.1.0	Cell culture
130311_D30	homo sapiens	Cell culture	HEK293	not available	antibody enrichment	HEK293	CVCL_0045	HEK293	1	not available	not available	130311_D30	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	130311_D30.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002070/130311_D30.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=human;VV=v1.1.0	Cell culture
130311_D26	homo sapiens	Cell culture	HEK293	not available	antibody enrichment	HEK293	CVCL_0045	HEK293	1	not available	not available	130311_D26	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	130311_D26.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002070/130311_D26.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=human;VV=v1.1.0	Cell culture
130311_D1	homo sapiens	Cell culture	HEK293	not available	antibody enrichment	HEK293	CVCL_0045	HEK293	1	not available	not available	130311_D1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	130311_D1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002070/130311_D1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=human;VV=v1.1.0	Cell culture
130311_D28	homo sapiens	Cell culture	HEK293	not available	antibody enrichment	HEK293	CVCL_0045	HEK293	1	not available	not available	130311_D28	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	130311_D28.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002070/130311_D28.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=human;VV=v1.1.0	Cell culture
130311_D14	homo sapiens	Cell culture	HEK293	not available	antibody enrichment	HEK293	CVCL_0045	HEK293	1	not available	not available	130311_D14	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	130311_D14.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002070/130311_D14.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=human;VV=v1.1.0	Cell culture
130311_D4	homo sapiens	Cell culture	HEK293	not available	antibody enrichment	HEK293	CVCL_0045	HEK293	1	not available	not available	130311_D4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	130311_D4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002070/130311_D4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=human;VV=v1.1.0	Cell culture
130125_293_benzonase	homo sapiens	Cell culture	HEK293	not available	antibody enrichment	HEK293	CVCL_0045	HEK293	1	not available	not available	130125_293_benzonase	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	130125_293_benzonase.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002070/130125_293_benzonase.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=human;VV=v1.1.0	Cell culture
