source name	characteristics[organism]	characteristics[organism part]	characteristics[age]	characteristics[sex]	characteristics[cell type]	characteristics[cell line]	characteristics[disease]	characteristics[biological replicate]	material type	characteristics[developmental stage]	characteristics[strain or breed]	assay name	technology type	comment[sdrf version]	comment[sdrf template]	comment[proteomics data acquisition method]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[organism part]
PXD022469-sample-11	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	1	cell	not available	not available	run11	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	2	AP051018_Gurjeet_LA_Hu14_11.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD022469/AP051018_Gurjeet_LA_Hu14_11.raw	11	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Glu->pyro-Glu;MT=Variable;TA=E;AC=UNIMOD:27	NT=Gln->pyro-Glu;MT=Variable;TA=Q;AC=UNIMOD:28	not available	5 ppm	0.07 Da	Blood plasma
PXD022469-sample-12	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	1	cell	not available	not available	run12	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	2	AP051018_Gurjeet_LA_Hu14_12.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD022469/AP051018_Gurjeet_LA_Hu14_12.raw	12	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Glu->pyro-Glu;MT=Variable;TA=E;AC=UNIMOD:27	NT=Gln->pyro-Glu;MT=Variable;TA=Q;AC=UNIMOD:28	not available	5 ppm	0.07 Da	Blood plasma
PXD022469-sample-13	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	1	cell	not available	not available	run13	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	2	AP051018_Gurjeet_LA_Hu14_13.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD022469/AP051018_Gurjeet_LA_Hu14_13.raw	13	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Glu->pyro-Glu;MT=Variable;TA=E;AC=UNIMOD:27	NT=Gln->pyro-Glu;MT=Variable;TA=Q;AC=UNIMOD:28	not available	5 ppm	0.07 Da	Blood plasma
PXD022469-sample-14	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	1	cell	not available	not available	run14	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	2	AP051018_Gurjeet_LA_Hu14_14.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD022469/AP051018_Gurjeet_LA_Hu14_14.raw	14	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Glu->pyro-Glu;MT=Variable;TA=E;AC=UNIMOD:27	NT=Gln->pyro-Glu;MT=Variable;TA=Q;AC=UNIMOD:28	not available	5 ppm	0.07 Da	Blood plasma
PXD022469-sample-15	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	1	cell	not available	not available	run15	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	2	AP051018_Gurjeet_LA_Hu14_15.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD022469/AP051018_Gurjeet_LA_Hu14_15.raw	15	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Glu->pyro-Glu;MT=Variable;TA=E;AC=UNIMOD:27	NT=Gln->pyro-Glu;MT=Variable;TA=Q;AC=UNIMOD:28	not available	5 ppm	0.07 Da	Blood plasma
PXD022469-sample-16	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	1	cell	not available	not available	run16	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	2	AP051018_Gurjeet_LA_Hu14_16.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD022469/AP051018_Gurjeet_LA_Hu14_16.raw	16	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Glu->pyro-Glu;MT=Variable;TA=E;AC=UNIMOD:27	NT=Gln->pyro-Glu;MT=Variable;TA=Q;AC=UNIMOD:28	not available	5 ppm	0.07 Da	Blood plasma
PXD022469-sample-17	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	1	cell	not available	not available	run17	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	2	AP051018_Gurjeet_LA_Hu14_17.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD022469/AP051018_Gurjeet_LA_Hu14_17.raw	17	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Glu->pyro-Glu;MT=Variable;TA=E;AC=UNIMOD:27	NT=Gln->pyro-Glu;MT=Variable;TA=Q;AC=UNIMOD:28	not available	5 ppm	0.07 Da	Blood plasma
PXD022469-sample-18	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	1	cell	not available	not available	run18	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	2	AP051018_Gurjeet_LA_Hu14_18.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD022469/AP051018_Gurjeet_LA_Hu14_18.raw	18	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Glu->pyro-Glu;MT=Variable;TA=E;AC=UNIMOD:27	NT=Gln->pyro-Glu;MT=Variable;TA=Q;AC=UNIMOD:28	not available	5 ppm	0.07 Da	Blood plasma
PXD022469-sample-19	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	1	cell	not available	not available	run19	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	2	AP051018_Gurjeet_LA_Hu14_19.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD022469/AP051018_Gurjeet_LA_Hu14_19.raw	19	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Glu->pyro-Glu;MT=Variable;TA=E;AC=UNIMOD:27	NT=Gln->pyro-Glu;MT=Variable;TA=Q;AC=UNIMOD:28	not available	5 ppm	0.07 Da	Blood plasma
PXD022469-sample-20	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	1	cell	not available	not available	run20	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	2	AP051018_Gurjeet_LA_Hu14_20.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD022469/AP051018_Gurjeet_LA_Hu14_20.raw	20	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Glu->pyro-Glu;MT=Variable;TA=E;AC=UNIMOD:27	NT=Gln->pyro-Glu;MT=Variable;TA=Q;AC=UNIMOD:28	not available	5 ppm	0.07 Da	Blood plasma
PXD022469-sample-21	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	1	cell	not available	not available	run21	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	2	AP051018_Gurjeet_LA_Hu14_21.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD022469/AP051018_Gurjeet_LA_Hu14_21.raw	21	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Glu->pyro-Glu;MT=Variable;TA=E;AC=UNIMOD:27	NT=Gln->pyro-Glu;MT=Variable;TA=Q;AC=UNIMOD:28	not available	5 ppm	0.07 Da	Blood plasma
PXD022469-sample-22	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	1	cell	not available	not available	run22	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	2	AP051018_Gurjeet_LA_Hu14_22.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD022469/AP051018_Gurjeet_LA_Hu14_22.raw	22	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Glu->pyro-Glu;MT=Variable;TA=E;AC=UNIMOD:27	NT=Gln->pyro-Glu;MT=Variable;TA=Q;AC=UNIMOD:28	not available	5 ppm	0.07 Da	Blood plasma
PXD022469-sample-23	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	1	cell	not available	not available	run23	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	2	AP051018_Gurjeet_LA_Hu14_23.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD022469/AP051018_Gurjeet_LA_Hu14_23.raw	23	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Glu->pyro-Glu;MT=Variable;TA=E;AC=UNIMOD:27	NT=Gln->pyro-Glu;MT=Variable;TA=Q;AC=UNIMOD:28	not available	5 ppm	0.07 Da	Blood plasma
PXD022469-sample-24	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	1	cell	not available	not available	run24	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	2	AP051018_Gurjeet_LA_Hu14_24.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD022469/AP051018_Gurjeet_LA_Hu14_24.raw	24	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Glu->pyro-Glu;MT=Variable;TA=E;AC=UNIMOD:27	NT=Gln->pyro-Glu;MT=Variable;TA=Q;AC=UNIMOD:28	not available	5 ppm	0.07 Da	Blood plasma
PXD022469-sample-25	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	1	cell	not available	not available	run25	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	2	AP051118_Gurjeet_Hu14_LA_C18_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD022469/AP051118_Gurjeet_Hu14_LA_C18_1.raw	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Glu->pyro-Glu;MT=Variable;TA=E;AC=UNIMOD:27	NT=Gln->pyro-Glu;MT=Variable;TA=Q;AC=UNIMOD:28	not available	5 ppm	0.07 Da	Blood plasma
PXD022469-sample-26	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	1	cell	not available	not available	run26	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	2	AP051118_Gurjeet_Hu14_LA_C18_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD022469/AP051118_Gurjeet_Hu14_LA_C18_2.raw	2	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Glu->pyro-Glu;MT=Variable;TA=E;AC=UNIMOD:27	NT=Gln->pyro-Glu;MT=Variable;TA=Q;AC=UNIMOD:28	not available	5 ppm	0.07 Da	Blood plasma
PXD022469-sample-27	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	1	cell	not available	not available	run27	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	2	AP051118_Gurjeet_Hu14_LA_C18_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD022469/AP051118_Gurjeet_Hu14_LA_C18_3.raw	3	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Glu->pyro-Glu;MT=Variable;TA=E;AC=UNIMOD:27	NT=Gln->pyro-Glu;MT=Variable;TA=Q;AC=UNIMOD:28	not available	5 ppm	0.07 Da	Blood plasma
