source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[sampling time]	characteristics[phenotype]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	factor value[phenotype]
before_2	Ixodes scapularis	saliva	not available	not available	before feeding	before	2	run_11	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	10 ppm	1	4	YRC_Mulenga_20140418_6_Ixodes_before_3.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	before
spontaneous_detach_1	Ixodes scapularis	saliva	not available	not available	spontaneous detachment	spontaneous_detach	1	run_12	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	10 ppm	1	5	YRC_Mulenga_20140418_7_Ixodes_spont_1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	spontaneous_detach
spontaneous_detach_2	Ixodes scapularis	saliva	not available	not available	spontaneous detachment	spontaneous_detach	2	run_13	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	10 ppm	1	5	YRC_Mulenga_20140418_7_Ixodes_spont_2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	spontaneous_detach
spontaneous_detach_3	Ixodes scapularis	saliva	not available	not available	spontaneous detachment	spontaneous_detach	3	run_14	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	10 ppm	1	5	YRC_Mulenga_20140418_7_Ixodes_spont_3.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	spontaneous_detach
feed_120hr_1	Ixodes scapularis	saliva	not available	not available	120 hour	feed_120hr	1	run_15	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	10 ppm	1	6	YRC_Mulenga_20140518_120hr_1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	feed_120hr
feed_120hr_2	Ixodes scapularis	saliva	not available	not available	120 hour	feed_120hr	2	run_16	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	10 ppm	1	6	YRC_Mulenga_20140518_120hr_2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	feed_120hr
feed_120hr_3	Ixodes scapularis	saliva	not available	not available	120 hour	feed_120hr	3	run_17	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	10 ppm	1	6	YRC_Mulenga_20140518_120hr_3.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	feed_120hr
feed_72h_1	Ixodes scapularis	saliva	not available	not available	72 hour	feed_72h	1	run_18	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	10 ppm	1	7	YRC_Mulenga_20140604_Ixodes_72h_1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	feed_72h
feed_72h_2	Ixodes scapularis	saliva	not available	not available	72 hour	feed_72h	2	run_19	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	10 ppm	1	7	YRC_Mulenga_20140604_Ixodes_72h_2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	feed_72h
feed_72h_3	Ixodes scapularis	saliva	not available	not available	72 hour	feed_72h	3	run_20	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	10 ppm	1	7	YRC_Mulenga_20140604_Ixodes_72h_3.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	feed_72h
