source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[cell line]	characteristics[age]	characteristics[sex]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	factor value[phenotype]
Sample 29	Mus musculus	heart	not applicable	TANGO2 dysfunction	not applicable	not available	male	29	run 29	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=HCD; AC = PRIDE:0000590	1	1	20230112_T3_008.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	NCD normal
Sample 30	Mus musculus	heart	not applicable	TANGO2 dysfunction	not applicable	not available	male	30	run 30	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=HCD; AC = PRIDE:0000590	1	1	20230112_T3_010.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	NCD normal
Sample 31	Mus musculus	heart	not applicable	TANGO2 dysfunction	not applicable	not available	male	31	run 31	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=HCD; AC = PRIDE:0000590	1	1	20230112_T3_012.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	NCD TANGO2
Sample 32	Mus musculus	heart	not applicable	TANGO2 dysfunction	not applicable	not available	male	32	run 32	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=HCD; AC = PRIDE:0000590	1	1	20230112_T3_014.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	NCD TANGO2
Sample 33	Mus musculus	heart	not applicable	TANGO2 dysfunction	not applicable	not available	male	33	run 33	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=HCD; AC = PRIDE:0000590	1	1	20230112_T3_018.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	NCD TANGO2
Sample 34	Mus musculus	heart	not applicable	TANGO2 dysfunction	not applicable	not available	male	34	run 34	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=HCD; AC = PRIDE:0000590	1	1	20230113_T3_002.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	NCD TANGO2
Sample 35	Mus musculus	heart	not applicable	TANGO2 dysfunction	not applicable	not available	male	35	run 35	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=HCD; AC = PRIDE:0000590	1	1	20230113_T3_004.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	HFD normal
Sample 36	Mus musculus	heart	not applicable	TANGO2 dysfunction	not applicable	not available	male	36	run 36	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=HCD; AC = PRIDE:0000590	1	1	20230113_T3_006.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	HFD normal
Sample 37	Mus musculus	heart	not applicable	TANGO2 dysfunction	not applicable	not available	male	37	run 37	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=HCD; AC = PRIDE:0000590	1	1	20230113_T3_008.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	HFD normal
Sample 38	Mus musculus	heart	not applicable	TANGO2 dysfunction	not applicable	not available	male	38	run 38	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=HCD; AC = PRIDE:0000590	1	1	20230113_T3_010.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	HFD normal
Sample 39	Mus musculus	heart	not applicable	TANGO2 dysfunction	not applicable	not available	male	39	run 39	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=HCD; AC = PRIDE:0000590	1	1	20230113_T3_012.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	HFD normal
Sample 40	Mus musculus	heart	not applicable	TANGO2 dysfunction	not applicable	not available	male	40	run 40	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=HCD; AC = PRIDE:0000590	1	1	20230113_T3_016.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	HFD TANGO2
Sample 41	Mus musculus	heart	not applicable	TANGO2 dysfunction	not applicable	not available	male	41	run 41	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=HCD; AC = PRIDE:0000590	1	1	20230113_T3_018.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	HFD TANGO2
Sample 42	Mus musculus	heart	not applicable	TANGO2 dysfunction	not applicable	not available	male	42	run 42	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=HCD; AC = PRIDE:0000590	1	1	20230113_T3_020.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	HFD TANGO2
Sample 43	Mus musculus	heart	not applicable	TANGO2 dysfunction	not applicable	not available	male	43	run 43	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=HCD; AC = PRIDE:0000590	1	1	20230113_T3_022.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	HFD TANGO2
Sample 44	Mus musculus	heart	not applicable	TANGO2 dysfunction	not applicable	not available	male	44	run 44	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=HCD; AC = PRIDE:0000590	1	1	20230113_T3_024.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	HFD TANGO2
Sample 45	Mus musculus	liver	not applicable	TANGO2 dysfunction	not applicable	not available	male	45	run 45	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=HCD; AC = PRIDE:0000590	1	1	20230113_T3_026.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	NCD normal
Sample 46	Mus musculus	liver	not applicable	TANGO2 dysfunction	not applicable	not available	male	46	run 46	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=HCD; AC = PRIDE:0000590	1	1	20230113_T3_028.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	NCD normal
Sample 47	Mus musculus	liver	not applicable	TANGO2 dysfunction	not applicable	not available	male	47	run 47	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=HCD; AC = PRIDE:0000590	1	1	20230113_T3_032.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	NCD normal
Sample 48	Mus musculus	liver	not applicable	TANGO2 dysfunction	not applicable	not available	male	48	run 48	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=HCD; AC = PRIDE:0000590	1	1	20230113_T3_034.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	NCD normal
Sample 49	Mus musculus	liver	not applicable	TANGO2 dysfunction	not applicable	not available	male	49	run 49	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=HCD; AC = PRIDE:0000590	1	1	20230113_T3_036.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	NCD normal
Sample 50	Mus musculus	liver	not applicable	TANGO2 dysfunction	not applicable	not available	male	50	run 50	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=HCD; AC = PRIDE:0000590	1	1	20230113_T3_038.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	NCD TANGO2
Sample 51	Mus musculus	liver	not applicable	TANGO2 dysfunction	not applicable	not available	male	51	run 51	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=HCD; AC = PRIDE:0000590	1	1	20230113_T3_040.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	NCD TANGO2
Sample 52	Mus musculus	liver	not applicable	TANGO2 dysfunction	not applicable	not available	male	52	run 52	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=HCD; AC = PRIDE:0000590	1	1	20230113_T3_042.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	NCD TANGO2
Sample 53	Mus musculus	liver	not applicable	TANGO2 dysfunction	not applicable	not available	male	53	run 53	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=HCD; AC = PRIDE:0000590	1	1	20230113_T3_044.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	NCD TANGO2
