source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
04142014_s15_r3_122	homo sapiens	Epithelial cell	not applicable	Ovarian cancer	enrichment of phosphorylated protein	1	04142014_s15_r3_122	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	5 ppm	0.6 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	04142014_s15_r3_122.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD002394/04142014_s15_r3_122.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
04142014_s12_r1_105	homo sapiens	Epithelial cell	not applicable	Ovarian cancer	enrichment of phosphorylated protein	1	04142014_s12_r1_105	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	5 ppm	0.6 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	04142014_s12_r1_105.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD002394/04142014_s12_r1_105.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
04142014_s10_r3_097	homo sapiens	Epithelial cell	not applicable	Ovarian cancer	enrichment of phosphorylated protein	1	04142014_s10_r3_097	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	5 ppm	0.6 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	04142014_s10_r3_097.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD002394/04142014_s10_r3_097.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
140521_EOC_MCis_T2_5	homo sapiens	Epithelial cell	not applicable	Ovarian cancer	enrichment of phosphorylated protein	5	140521_EOC_MCis_T2_5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	5 ppm	0.6 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	140521_EOC_MCis_T2_5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD002394/140521_EOC_MCis_T2_5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
140521_EOC_M_T_3	homo sapiens	Epithelial cell	not applicable	Ovarian cancer	enrichment of phosphorylated protein	3	140521_EOC_M_T_3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	5 ppm	0.6 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	140521_EOC_M_T_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD002394/140521_EOC_M_T_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
04142014_s3_r1_060	homo sapiens	Epithelial cell	not applicable	Ovarian cancer	enrichment of phosphorylated protein	1	04142014_s3_r1_060	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	5 ppm	0.6 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	04142014_s3_r1_060.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD002394/04142014_s3_r1_060.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
04142014_s8_r1_085	homo sapiens	Epithelial cell	not applicable	Ovarian cancer	enrichment of phosphorylated protein	1	04142014_s8_r1_085	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	5 ppm	0.6 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	04142014_s8_r1_085.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD002394/04142014_s8_r1_085.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
04142014_s7_r2_081	homo sapiens	Epithelial cell	not applicable	Ovarian cancer	enrichment of phosphorylated protein	1	04142014_s7_r2_081	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	5 ppm	0.6 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	04142014_s7_r2_081.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD002394/04142014_s7_r2_081.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
04142014_s5_r1_070	homo sapiens	Epithelial cell	not applicable	Ovarian cancer	enrichment of phosphorylated protein	1	04142014_s5_r1_070	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	5 ppm	0.6 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	04142014_s5_r1_070.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD002394/04142014_s5_r1_070.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
140521_EOC_M_NT_C	homo sapiens	Epithelial cell	not applicable	Ovarian cancer	enrichment of phosphorylated protein	1	140521_EOC_M_NT_C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	5 ppm	0.6 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	140521_EOC_M_NT_C.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD002394/140521_EOC_M_NT_C.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
04142014_s15_r1_120	homo sapiens	Epithelial cell	not applicable	Ovarian cancer	enrichment of phosphorylated protein	1	04142014_s15_r1_120	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	5 ppm	0.6 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	04142014_s15_r1_120.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD002394/04142014_s15_r1_120.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
04142014_s11_r3_102	homo sapiens	Epithelial cell	not applicable	Ovarian cancer	enrichment of phosphorylated protein	1	04142014_s11_r3_102	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	5 ppm	0.6 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	04142014_s11_r3_102.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD002394/04142014_s11_r3_102.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
04142014_s9_r2_091	homo sapiens	Epithelial cell	not applicable	Ovarian cancer	enrichment of phosphorylated protein	1	04142014_s9_r2_091	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	5 ppm	0.6 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	04142014_s9_r2_091.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD002394/04142014_s9_r2_091.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
04142014_s12_r3_107	homo sapiens	Epithelial cell	not applicable	Ovarian cancer	enrichment of phosphorylated protein	1	04142014_s12_r3_107	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	5 ppm	0.6 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	04142014_s12_r3_107.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD002394/04142014_s12_r3_107.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
140521_EOC_MCis_NT_3	homo sapiens	Epithelial cell	not applicable	Ovarian cancer	enrichment of phosphorylated protein	3	140521_EOC_MCis_NT_3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	5 ppm	0.6 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	140521_EOC_MCis_NT_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD002394/140521_EOC_MCis_NT_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
04142014_s2_r2_056	homo sapiens	Epithelial cell	not applicable	Ovarian cancer	enrichment of phosphorylated protein	1	04142014_s2_r2_056	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	5 ppm	0.6 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	04142014_s2_r2_056.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD002394/04142014_s2_r2_056.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
